timestamp,accX,accY,accZ
0,-7.44,6.07,2.64
91,-7.32,5.93,2.59
95,-7.40,5.93,2.69
100,-7.32,5.94,2.51
105,-7.34,6.24,2.58
110,-7.44,6.15,2.61
114,-7.35,6.35,2.57
119,-7.44,6.45,3.04
123,-7.20,6.54,2.49
127,-7.30,6.74,2.62
132,-7.17,6.66,2.49
137,-6.94,6.74,2.39
142,-6.91,6.85,2.08
146,-6.89,6.94,1.57
151,-6.91,7.24,1.95
156,-6.99,7.35,1.97
161,-6.94,7.57,1.86
164,-6.87,7.85,1.95
169,-6.92,8.08,2.00
174,-6.83,8.52,2.30
179,-6.78,8.84,2.11
183,-6.72,8.97,1.67
188,-6.62,9.21,1.30
193,-6.62,9.83,0.87
198,-6.22,10.49,0.74
202,-5.99,10.79,0.37
206,-5.65,11.50,-0.16
211,-5.60,11.91,-0.20
216,-5.40,12.28,-0.89
220,-5.12,12.49,-0.55
225,-4.82,12.40,-0.68
230,-4.64,11.90,-0.85
235,-4.45,11.63,-1.42
239,-4.36,10.81,-1.62
244,-4.41,10.11,-1.31
248,-4.05,9.25,-1.63
252,-3.64,8.34,-1.60
257,-3.57,7.53,-1.36
262,-3.37,7.12,-1.63
267,-3.02,6.62,-1.59
271,-2.68,6.19,-1.59
276,-2.31,5.65,-1.96
281,-2.21,4.26,-2.90
285,-2.31,3.58,-2.82
289,-1.93,3.06,-3.29
294,-2.07,2.68,-3.46
299,-1.89,2.35,-3.62
303,-1.84,2.08,-3.67
308,-1.78,2.36,-2.45
313,-1.70,2.41,-2.41
318,-1.89,1.56,-1.81
322,-1.66,1.10,-1.53
327,-1.46,0.99,-1.02
331,-0.81,1.27,-1.05
336,-0.66,1.23,-0.26
340,-0.95,0.73,-0.34
345,-1.05,0.21,0.02
350,-1.25,0.74,0.96
354,-0.84,0.80,1.28
359,-0.86,0.26,1.41
364,-0.76,-0.13,2.36
368,-0.59,-0.19,2.06
372,-0.36,-0.66,2.58
377,0.27,-1.05,2.46
382,0.41,-1.31,2.93
386,0.33,-1.61,3.43
391,0.33,-2.16,3.70
396,0.43,-2.89,3.71
401,0.41,-3.79,3.81
405,0.31,-4.38,3.87
410,0.00,-5.00,3.93
414,-0.56,-5.63,4.32
419,-0.29,-6.08,4.30
423,0.38,-6.86,4.49
428,0.57,-7.55,5.14
433,1.30,-7.11,5.16
438,1.71,-7.86,5.25
442,2.22,-8.39,5.46
447,2.64,-8.54,4.96
452,3.40,-8.52,5.24
456,4.09,-8.70,5.43
460,4.37,-9.20,5.83
465,4.60,-9.74,6.90
470,4.51,-10.52,8.19
475,4.08,-11.37,9.19
479,4.27,-11.71,10.43
484,4.41,-11.88,11.11
489,4.60,-12.12,11.59
494,4.73,-11.98,12.70
498,5.15,-11.42,13.33
502,5.57,-10.96,14.20
