timestamp,accX,accY,accZ
0,3.52,3.46,-4.06
91,-1.02,3.32,-3.98
95,-1.02,2.88,-3.99
100,-1.57,2.31,-3.23
105,-1.11,1.82,-2.96
110,-0.34,1.48,-2.90
114,0.35,1.12,-2.55
118,0.85,0.62,-1.99
123,1.13,0.73,-1.55
128,1.00,0.75,-1.37
132,0.83,1.39,-1.90
137,0.64,1.38,-1.28
142,-0.20,0.39,-1.28
147,0.35,0.45,-1.12
151,1.60,0.18,-1.46
156,2.69,-0.11,-1.58
160,3.01,-0.51,-1.83
164,3.04,-1.28,-1.64
169,3.10,-1.77,-1.21
174,2.60,-2.09,-0.76
179,3.00,-2.95,-0.55
183,3.49,-3.42,0.04
188,3.83,-3.65,0.60
193,4.17,-4.13,0.74
198,4.29,-4.57,1.29
201,4.61,-4.92,1.94
206,5.26,-5.30,2.39
211,5.78,-5.48,2.58
216,6.49,-5.64,2.93
220,7.63,-5.66,3.53
225,8.22,-6.30,3.62
230,8.68,-7.21,4.21
235,8.84,-7.88,5.26
239,9.55,-8.44,6.35
243,9.70,-8.97,7.18
248,10.14,-9.57,7.94
253,10.47,-9.78,9.22
257,10.53,-10.58,9.94
262,11.17,-11.33,10.26
267,11.31,-11.95,10.62
272,11.91,-12.42,11.44
276,12.13,-13.54,11.58
281,12.35,-14.16,11.45
285,12.82,-15.04,11.30
290,12.92,-15.60,12.02
295,13.14,-16.47,11.90
299,13.02,-17.46,12.40
304,13.20,-18.42,12.86
309,13.04,-18.82,13.38
314,13.48,-19.20,13.77
319,13.07,-19.07,13.58
323,13.21,-19.03,13.23
327,13.08,-19.23,13.78
332,12.83,-19.45,14.58
337,12.62,-19.51,15.48
341,12.48,-19.53,16.56
346,12.47,-19.53,17.05
351,12.17,-19.53,18.24
356,12.06,-19.53,18.59
360,11.67,-19.53,18.85
365,11.55,-19.53,18.86
369,11.39,-19.41,19.07
374,11.10,-19.01,19.16
378,11.04,-18.19,19.25
383,10.96,-17.50,19.19
388,10.84,-16.68,18.97
393,10.87,-16.12,18.87
398,10.73,-15.28,18.50
402,10.49,-14.34,18.38
407,10.34,-13.77,17.95
411,10.20,-12.82,18.15
416,10.64,-11.07,18.95
421,10.97,-9.48,19.19
425,10.72,-7.99,19.38
430,10.20,-7.33,19.50
435,10.10,-5.49,19.53
440,9.94,-4.58,19.54
444,9.67,-3.56,19.54
449,9.35,-1.75,19.54
453,8.70,-1.16,19.54
458,8.50,-2.17,19.54
462,8.34,-2.71,19.51
467,8.26,-2.59,19.51
472,8.12,-2.27,19.54
477,8.07,-2.85,19.49
481,7.98,-3.32,19.22
486,8.28,-3.41,19.24
491,8.22,-3.09,19.06
495,8.33,-2.61,18.78
499,8.47,-2.38,18.29
504,8.69,-2.31,18.05
509,8.92,-2.24,17.64
514,8.97,-2.46,16.85
518,8.67,-2.73,16.85
523,8.70,-3.07,16.25
528,8.41,-3.61,15.87
533,8.14,-3.93,15.64
536,7.79,-4.58,15.62
541,7.66,-5.21,15.59
546,7.51,-6.01,16.07
551,7.46,-6.54,16.26
556,7.27,-7.03,16.20
560,7.24,-7.18,16.27
565,7.46,-7.17,16.10
570,7.51,-6.95,16.17
575,7.46,-6.21,16.24
578,7.46,-4.96,16.33
583,7.47,-5.46,15.70
588,7.66,-5.37,15.82
593,7.64,-5.58,15.60
597,7.60,-6.62,15.30
602,7.44,-6.94,14.92
607,7.50,-7.72,14.95
612,7.56,-8.67,14.59
616,7.99,-9.18,14.62
620,8.24,-8.69,14.47
625,8.67,-7.95,14.64
629,8.59,-7.83,14.36
634,8.89,-7.62,14.13
639,9.30,-7.61,13.57
644,9.38,-7.63,13.00
648,9.45,-8.07,13.25
653,8.18,-3.77,13.54
658,8.81,-5.09,12.33
662,8.90,-7.00,11.53
666,9.08,-6.96,11.19
671,8.42,-7.01,11.54
676,7.97,-7.53,12.45
681,7.38,-7.47,12.71
685,7.08,-8.13,13.22
690,7.00,-9.62,12.52
695,7.15,-10.52,12.65
700,7.16,-10.40,12.68
703,7.27,-9.45,13.09
708,7.13,-8.28,13.30
713,7.36,-7.17,13.91
718,7.73,-6.03,13.64
722,8.16,-2.26,13.80
727,7.83,-4.42,12.27
732,8.67,-3.68,10.97
737,8.57,-2.99,9.59
742,8.23,-2.33,7.96
745,7.58,-2.19,6.20
750,6.49,-1.72,5.61
755,5.55,-0.95,4.99
759,4.87,-0.43,4.38
764,4.00,-0.39,4.83
769,3.59,-0.17,4.84
774,3.23,-0.23,4.77
778,2.85,-0.63,4.86
783,2.39,-1.50,5.14
787,2.29,-2.50,4.67
792,1.97,-2.81,4.68
796,1.80,-3.07,4.32
801,1.36,-3.88,3.93
806,1.03,-3.62,3.42
811,0.39,-2.55,3.50
815,0.11,-1.75,3.29
820,-0.01,-0.76,2.86
825,-0.26,-0.39,2.09
828,-0.59,-0.05,1.22
833,-1.02,0.06,0.17
838,-1.43,0.34,-0.34
842,-1.95,1.46,-0.23
847,-2.21,1.80,-1.03
852,-2.28,1.89,-2.06
857,-2.54,1.95,-2.74
861,-2.96,1.35,-3.73
866,-3.10,1.48,-4.37
870,-3.83,2.04,-4.37
875,-4.39,2.38,-4.44
879,-4.64,1.46,-4.69
884,-4.81,0.80,-5.17
889,-5.13,-0.54,-5.36
894,-4.88,-1.04,-5.32
898,-5.24,-0.70,-4.50
903,-5.29,-0.34,-3.71
908,-5.21,-0.20,-3.63
911,-5.19,-0.39,-3.10
916,-5.50,-0.53,-2.44
921,-5.88,-0.83,-2.09
926,-5.88,-0.95,-1.75
930,-5.95,-1.02,-1.28
935,-5.87,-0.60,-0.29
940,-6.14,0.29,0.05
945,-6.03,1.30,0.89
949,-6.01,1.85,1.72
953,-6.06,2.82,2.34
958,-5.96,3.62,2.79
962,-5.95,4.14,3.14
967,-5.88,4.56,2.99
972,-5.69,5.01,3.07
977,-5.54,5.07,2.45
981,-5.33,5.45,1.93
986,-5.23,5.64,0.83
991,-5.30,5.68,-0.40
995,-5.07,5.51,-1.71
999,-4.82,5.36,-2.62
1004,-4.43,5.11,-3.90
1009,-4.15,4.94,-4.99
1013,-3.93,4.21,-6.14
1018,-3.85,3.60,-7.41
1023,-3.76,2.84,-8.08
1028,-3.30,2.11,-9.21
1032,-3.07,1.69,-9.51
1036,-2.81,0.95,-9.92
1041,-2.51,0.58,-10.21
1046,-2.13,-0.11,-10.13
1050,-1.43,-1.11,-10.07
1055,-1.14,-1.93,-10.08
1060,-0.45,-2.55,-9.64
1065,0.37,-3.16,-9.75
1069,1.19,-3.60,-9.22
1074,2.06,-3.98,-8.94
1078,3.06,-4.41,-8.45
1082,3.38,-5.00,-8.27
1087,4.23,-5.77,-8.08
1092,5.12,-6.59,-7.75
1097,6.18,-7.48,-7.29
1101,7.51,-8.27,-7.22
1106,8.74,-8.59,-7.17
1111,9.46,-9.35,-6.44
1116,10.01,-10.13,-6.00
1119,11.07,-10.94,-4.93
1124,12.41,-11.06,-4.27
1129,13.76,-10.82,-2.29
1134,14.88,-10.62,-0.93
1138,16.27,-10.87,0.50
1143,17.24,-11.48,1.25
1148,17.69,-11.95,2.50
1153,17.76,-12.31,4.52
1158,18.35,-12.16,5.99
1161,19.17,-12.27,7.21
1166,19.34,-12.25,9.34
1171,18.56,-13.02,10.77
1176,17.87,-12.78,11.89
1181,17.73,-12.86,12.73
1185,17.73,-11.44,11.82
1190,17.65,-11.19,14.45
1195,17.71,-10.13,17.15
1200,17.11,-9.31,17.87
1203,16.31,-8.21,19.03
1208,15.62,-7.79,19.42
1213,14.91,-5.56,19.51
1218,14.05,-3.41,19.54
1223,13.66,-1.67,19.54
1227,12.41,-0.17,19.54
1232,10.56,0.64,19.54
1237,8.74,0.82,19.54
1242,7.37,0.53,19.54
1245,6.53,0.32,19.54
1250,5.97,-0.29,19.54
1255,5.87,-0.72,19.45
1259,5.76,-1.42,19.19
1264,5.59,-2.11,19.28
1269,5.91,-2.52,18.91
1274,6.12,-3.11,18.32
1278,6.27,-3.37,17.82
1283,6.72,-3.59,17.41
1287,6.92,-3.41,17.68
1292,7.67,-2.88,17.19
1296,8.28,-2.61,17.27
1301,8.62,-2.22,17.99
1306,8.94,-2.16,17.75
1310,8.94,-2.48,17.40
1315,8.88,-2.98,17.23
1320,8.69,-3.63,16.91
1325,8.40,-4.35,16.48
1328,7.96,-5.03,16.27
1333,7.75,-6.21,16.06
1338,7.59,-6.79,15.80
1343,7.41,-7.93,15.51
1347,7.13,-8.54,15.20
1352,7.00,-10.68,14.46
1357,7.17,-11.67,14.43
1362,7.12,-10.87,14.60
1366,6.83,-9.22,14.83
1370,6.28,-8.53,15.06
1375,6.44,-7.12,14.69
1380,6.42,-5.72,14.42
1384,6.54,-4.23,13.91
1389,7.03,-3.11,13.32
1394,7.29,-2.76,12.95
1399,7.40,-2.74,11.76
1403,7.47,-3.06,10.96
1408,7.35,-3.60,10.33
1412,7.38,-3.99,9.70
1416,7.32,-4.36,9.28
1421,7.46,-4.75,9.54
1426,7.31,-5.10,9.33
1431,7.40,-5.35,9.46
1435,7.04,-5.35,10.05
1440,7.22,-5.45,10.17
1445,7.05,-5.47,10.19
1450,6.85,-5.73,10.63
1453,7.08,-5.77,10.58
1458,7.04,-5.77,10.69
1463,6.83,-5.88,10.78
1468,6.83,-5.86,10.81
1472,7.10,-5.75,10.69
1477,7.08,-5.60,10.42
1482,7.24,-5.72,10.19
1487,7.03,-5.72,9.90
1491,7.07,-5.68,9.93
1495,7.33,-5.65,9.49
1500,7.59,-5.55,9.40
1505,7.63,-5.62,9.63
1509,7.66,-5.61,9.44
1514,7.60,-5.35,9.55
1519,7.39,-5.46,9.52
1523,7.27,-5.40,9.26
1528,7.00,-5.40,9.67
1533,6.92,-5.44,9.99
1536,6.94,-5.39,9.89
1541,6.83,-5.19,10.02
1546,6.67,-5.39,10.16
1551,6.66,-5.47,9.77
1555,6.51,-5.43,9.28
1560,6.44,-5.50,9.14
1565,6.25,-5.66,9.46
1569,6.24,-5.75,9.70
1574,6.09,-6.04,10.25
1578,6.01,-6.14,10.12
1583,5.73,-6.11,10.93
1587,5.77,-6.05,11.47
1592,5.57,-6.05,11.87
1597,5.57,-6.26,12.34
1602,5.46,-6.42,12.63
1606,5.36,-6.32,12.70
1611,5.19,-6.28,12.96
1616,5.19,-5.97,13.05
1620,5.23,-5.70,12.12
1624,5.03,-5.62,11.88
1629,5.02,-5.73,11.44
