timestamp,accX,accY,accZ
0,-7.68,9.78,-1.61
91,-7.42,10.49,-2.32
95,-7.49,11.05,-3.16
100,-7.35,11.39,-3.86
105,-7.43,12.17,-5.22
110,-7.13,12.86,-5.34
114,-6.85,13.62,-5.84
118,-6.93,13.79,-6.05
123,-6.88,13.91,-6.21
128,-6.65,13.77,-6.54
132,-6.39,13.66,-6.35
137,-6.10,13.13,-6.54
142,-5.50,12.61,-6.63
147,-5.42,11.59,-6.04
151,-5.20,10.35,-5.76
156,-4.72,9.01,-5.51
160,-4.39,7.67,-4.94
165,-3.99,7.19,-4.84
169,-3.82,6.01,-4.55
174,-3.49,4.96,-4.58
179,-3.34,3.69,-4.89
183,-3.27,1.55,-6.54
188,-3.11,0.57,-6.73
193,-2.92,0.28,-6.40
198,-2.85,-0.11,-6.41
201,-2.98,-1.10,-6.51
206,-2.85,-1.94,-6.64
211,-2.48,-2.39,-6.83
216,-2.49,-2.42,-7.06
220,-2.35,-2.12,-7.40
225,-1.98,-1.74,-7.62
230,-1.71,-1.64,-7.77
234,-1.09,-0.96,-7.97
239,-0.79,-0.04,-8.10
243,-0.51,0.92,-7.90
247,-0.29,1.88,-8.21
252,0.22,2.67,-8.24
257,0.98,2.96,-8.51
262,1.82,3.29,-8.30
266,2.29,3.53,-8.39
271,2.83,3.40,-7.89
276,3.53,2.86,-7.34
281,4.63,1.91,-7.13
284,5.41,1.16,-6.63
289,6.20,0.86,-5.63
294,6.49,-0.48,-4.34
299,6.80,-1.65,-3.51
303,7.42,-2.78,-1.45
308,7.39,-3.73,-1.71
313,8.09,-4.44,-0.60
318,8.75,-5.18,0.38
322,9.86,-5.35,1.35
326,10.78,-6.18,1.78
331,11.21,-6.99,2.48
336,11.59,-7.58,3.16
340,11.94,-8.02,3.60
345,12.40,-8.43,4.58
350,12.88,-8.75,5.16
354,13.72,-8.93,5.94
359,14.00,-9.14,6.58
364,14.16,-9.47,6.61
368,14.52,-9.86,6.98
372,14.69,-10.05,7.42
377,14.57,-10.18,8.11
382,14.41,-10.66,7.77
387,14.53,-10.81,7.98
391,14.82,-10.62,8.47
396,14.97,-10.65,8.59
401,15.96,-10.75,7.99
406,16.76,-11.28,7.85
409,17.00,-11.73,7.33
414,17.02,-11.82,7.14
419,17.35,-11.72,7.16
424,17.37,-11.79,7.43
428,17.44,-12.27,7.70
433,17.60,-12.95,7.72
438,17.94,-13.59,8.29
443,17.98,-13.85,8.17
448,18.72,-15.07,8.73
451,18.12,-15.66,9.62
456,17.67,-16.17,10.36
461,17.56,-16.86,11.42
466,17.63,-17.49,12.91
471,17.67,-18.25,14.42
475,16.36,-19.01,15.91
480,15.82,-19.30,16.79
485,15.89,-19.25,18.39
490,15.58,-18.73,19.23
494,14.82,-18.54,19.46
498,13.73,-18.05,19.52
503,13.14,-17.77,19.54
508,12.14,-17.02,19.54
513,11.36,-16.68,19.54
517,11.25,-15.33,19.54
522,10.80,-14.39,19.54
527,10.38,-13.99,19.54
532,9.90,-13.36,19.54
535,9.61,-13.34,19.54
540,10.25,-13.23,18.91
545,10.58,-13.12,17.79
550,10.98,-12.86,17.27
554,11.43,-11.80,16.20
559,11.58,-10.82,14.97
564,11.09,-8.81,14.46
569,10.79,-7.79,13.77
573,10.90,-6.96,13.68
577,10.91,-5.51,13.58
582,10.44,-4.00,13.87
587,9.94,-3.27,13.93
592,9.56,-3.14,14.62
596,9.22,-2.77,14.91
601,9.06,-2.09,15.43
606,8.92,-1.29,15.82
610,8.76,-0.95,15.72
615,8.44,-1.08,15.79
619,8.51,-1.43,16.04
624,8.35,-1.68,16.29
628,8.17,-2.23,16.41
633,8.30,-2.85,16.73
638,8.10,-3.34,16.96
643,8.25,-3.77,16.81
647,8.52,-4.35,16.95
652,8.67,-4.49,17.03
657,8.94,-4.85,16.52
661,9.20,-5.22,16.05
665,9.24,-6.03,15.40
670,9.29,-6.90,14.54
675,9.16,-7.63,13.85
679,9.28,-8.23,13.32
684,9.66,-8.73,12.72
689,9.67,-8.88,11.95
694,9.55,-9.21,11.51
698,9.25,-9.29,10.95
702,9.45,-9.29,11.06
707,9.62,-9.30,10.66
712,9.34,-8.87,10.70
717,9.45,-8.58,10.64
721,9.60,-8.71,10.44
726,9.38,-8.97,10.79
731,9.45,-8.73,11.56
735,9.39,-8.02,12.33
740,9.10,-7.59,12.92
744,8.96,-7.40,13.32
749,9.19,-7.57,14.08
753,9.41,-7.71,14.00
758,10.12,-7.48,13.83
763,9.88,-4.87,13.55
768,10.66,-7.81,13.14
772,10.82,-8.71,13.13
777,10.46,-8.30,12.94
782,9.99,-7.86,13.17
786,9.94,-8.10,12.87
790,9.88,-9.08,11.98
795,9.84,-10.04,10.77
800,9.90,-10.68,10.07
805,9.78,-10.57,9.03
809,9.78,-10.27,8.48
814,9.57,-11.08,7.89
819,9.24,-10.92,7.40
824,8.78,-10.06,6.84
827,8.48,-8.59,6.59
832,8.56,-7.35,5.67
837,7.71,-7.78,5.00
842,7.17,-7.17,4.82
846,6.30,-5.76,5.35
851,5.53,-4.40,4.89
856,4.76,-3.90,5.02
861,3.96,-3.36,4.86
865,3.54,-2.85,4.78
869,2.85,-1.89,4.80
874,2.01,0.01,5.46
878,1.64,1.85,6.87
883,1.33,2.75,8.33
888,0.95,3.57,9.06
893,0.83,3.61,9.86
897,0.65,2.97,10.08
902,0.40,2.62,10.13
907,0.24,1.82,10.20
911,0.13,0.35,9.48
915,-0.19,-0.42,9.25
920,-0.10,-1.66,8.62
925,-0.11,-1.79,8.35
930,-0.12,-1.18,8.71
934,-0.26,-0.11,8.23
939,-0.03,0.00,7.99
944,0.25,0.07,7.57
948,0.24,-0.11,6.87
952,0.16,-0.99,5.49
957,0.08,-1.48,4.15
962,0.03,-2.14,2.45
966,-0.29,-2.05,2.14
971,-0.55,-2.00,0.85
976,-1.10,-2.07,0.02
980,-1.75,-2.05,-0.79
985,-1.99,-1.99,-1.75
990,-2.54,-2.10,-2.49
994,-2.79,-2.16,-2.58
998,-3.19,-2.39,-2.78
1003,-3.76,-2.52,-2.81
1008,-3.98,-2.89,-2.85
1013,-4.41,-2.88,-2.57
1017,-4.51,-2.97,-2.20
1022,-5.05,-2.93,-1.63
1027,-5.12,-2.76,-1.30
1032,-4.98,-2.59,-1.39
1036,-4.96,-2.52,-1.66
1040,-5.05,-2.51,-1.93
