timestamp,accX,accY,accZ
0,-7.18,8.00,-5.19
91,-7.40,8.08,-5.20
95,-7.29,8.43,-5.42
100,-6.98,8.66,-5.59
104,-6.91,8.94,-5.83
108,-6.72,9.42,-5.84
113,-6.49,9.72,-6.29
118,-6.76,9.84,-6.26
123,-7.59,10.38,-5.96
127,-6.59,10.94,-6.53
132,-5.22,10.79,-7.30
137,-3.86,10.87,-7.67
142,-4.03,11.08,-7.97
145,-4.06,11.10,-7.94
150,-4.29,11.27,-7.70
155,-4.30,11.34,-7.75
160,-4.10,11.11,-7.67
165,-3.31,10.51,-7.65
169,-2.65,9.68,-7.41
174,-2.31,8.62,-7.44
179,-1.71,7.59,-7.64
184,-1.26,7.25,-8.08
187,-0.80,6.43,-8.02
192,-0.80,5.81,-8.03
197,-0.47,4.89,-7.65
201,-0.52,3.70,-7.36
206,0.10,2.55,-7.42
211,0.04,2.10,-7.21
215,-0.29,0.97,-6.72
220,0.37,0.15,-6.35
225,0.71,-0.92,-6.41
229,1.70,-1.71,-5.96
234,2.53,-2.46,-5.83
238,2.89,-3.35,-5.61
243,2.73,-4.26,-4.62
248,3.21,-4.63,-4.25
253,3.38,-5.18,-3.90
257,3.53,-5.69,-3.46
262,4.02,-6.17,-3.07
267,4.45,-6.23,-2.71
270,5.28,-6.37,-2.54
275,5.56,-6.53,-2.08
280,6.08,-6.64,-1.44
285,6.55,-6.90,-1.12
289,6.69,-6.81,-0.89
294,7.25,-6.47,-0.38
299,7.77,-6.02,-0.11
304,8.50,-5.85,0.65
308,8.88,-5.96,1.33
312,9.45,-6.03,1.71
317,9.71,-5.97,1.97
321,10.51,-5.95,2.31
326,10.89,-6.42,2.45
331,11.31,-7.00,2.44
336,12.13,-7.57,2.76
340,12.67,-7.77,3.15
345,13.42,-8.18,3.44
350,13.86,-8.78,4.20
354,14.59,-9.28,4.59
359,15.22,-9.92,4.83
363,15.81,-10.65,5.31
368,16.20,-11.27,6.15
373,16.50,-11.69,7.13
377,16.35,-12.38,7.29
382,16.32,-12.83,8.06
387,16.47,-13.08,7.88
392,16.12,-12.94,8.25
395,16.06,-12.86,8.30
400,15.87,-13.08,9.14
405,15.71,-13.15,9.41
410,15.56,-13.33,10.06
415,15.46,-13.85,11.13
419,15.30,-14.23,11.71
424,15.01,-14.67,12.42
429,14.86,-15.27,12.77
434,14.43,-15.98,13.71
438,13.90,-16.59,14.46
442,13.30,-16.94,15.07
447,12.97,-17.18,15.65
452,12.88,-17.51,16.03
457,12.97,-17.73,16.50
461,12.73,-18.09,16.36
466,12.50,-18.58,16.13
471,12.30,-19.05,15.56
476,12.11,-19.32,14.58
480,11.57,-19.19,13.96
484,10.94,-18.75,13.89
489,10.39,-17.53,14.06
494,10.29,-15.89,15.26
499,9.86,-14.12,16.08
503,9.83,-12.24,16.65
508,9.80,-10.08,17.17
513,9.66,-8.96,17.54
518,9.09,-7.35,17.60
521,9.03,-6.10,17.40
526,8.94,-6.07,17.09
531,8.68,-6.53,16.82
536,8.76,-6.13,16.95
540,8.75,-6.95,16.36
545,8.80,-7.54,16.28
550,9.09,-9.00,16.30
555,9.13,-9.91,17.20
559,9.18,-10.41,17.82
563,9.22,-10.72,18.03
568,9.25,-10.81,18.15
573,9.20,-10.72,18.12
577,9.63,-10.63,18.26
582,9.59,-10.78,17.83
587,9.48,-10.79,17.55
592,9.58,-10.72,17.05
597,9.90,-10.61,16.37
601,9.82,-10.15,15.79
605,9.52,-9.47,15.11
610,9.57,-8.58,14.81
615,9.69,-8.06,13.94
619,9.66,-7.18,13.15
624,9.85,-6.26,13.11
629,9.78,-5.45,12.86
633,9.86,-4.75,12.61
638,9.91,-4.36,12.86
643,9.95,-4.29,12.93
647,9.66,-4.50,12.74
652,9.41,-4.73,13.14
656,9.38,-5.17,12.95
661,9.24,-5.59,13.26
666,9.45,-6.00,13.23
671,9.20,-6.19,13.40
675,9.35,-6.22,13.16
680,9.48,-6.08,13.28
685,9.34,-6.12,13.64
688,9.65,-5.94,13.65
693,9.70,-6.00,13.32
698,9.63,-4.98,13.28
703,9.79,-5.21,13.17
707,10.05,-5.98,11.94
712,10.35,-5.46,11.09
717,10.24,-4.68,9.81
722,10.32,-4.72,8.83
726,10.46,-4.69,8.31
730,10.11,-4.33,7.70
735,9.62,-4.02,7.49
740,9.27,-3.45,7.17
744,8.35,-3.03,7.96
749,8.59,-3.28,8.39
754,8.43,-3.95,8.47
758,7.73,-4.37,8.60
763,6.83,-3.81,8.87
768,5.92,-3.74,9.51
772,5.36,-3.57,10.62
776,4.94,-2.43,11.61
781,4.64,-0.95,12.68
786,4.62,0.63,13.01
791,4.34,0.72,13.43
795,4.57,1.81,13.76
800,4.82,2.68,13.60
805,4.63,3.27,13.70
810,4.43,3.72,13.45
813,4.34,1.89,12.49
818,4.47,-1.29,11.77
823,4.85,-2.80,11.14
828,4.68,-2.71,10.99
832,4.42,-2.39,11.04
837,4.09,-2.35,11.40
842,3.85,-2.47,11.16
847,3.66,-1.73,11.77
851,3.78,-0.06,11.06
855,3.15,-0.09,10.24
860,3.08,-0.85,9.56
864,2.28,-0.94,8.77
869,1.80,-0.46,8.29
874,1.54,1.26,7.76
879,1.21,2.86,7.51
883,1.13,3.58,6.85
888,1.25,3.47,6.41
893,0.77,1.43,8.23
896,-0.53,3.52,5.12
901,0.77,3.71,2.93
906,1.37,3.68,0.71
911,1.12,2.59,-1.18
915,0.89,0.73,-2.69
920,-0.22,-0.28,-3.15
925,-1.14,-0.57,-3.53
930,-2.34,-0.40,-3.68
934,-3.33,0.01,-3.48
938,-3.66,0.08,-3.95
943,-3.53,-0.47,-3.87
947,-3.67,-1.03,-3.91
952,-3.76,-1.79,-4.45
957,-3.99,-2.31,-3.98
962,-4.34,-2.62,-3.33
966,-4.77,-3.15,-2.72
971,-4.82,-3.46,-2.12
976,-5.11,-3.88,-1.22
980,-5.35,-4.24,-0.71
984,-5.38,-4.70,-0.35
989,-5.45,-4.77,0.30
994,-5.84,-4.83,1.03
998,-6.01,-4.83,1.84
1003,-6.19,-4.67,1.94
1008,-6.26,-4.67,2.20
1013,-6.36,-4.60,2.11
1017,-6.44,-4.05,2.37
1021,-6.43,-3.87,2.29
1026,-6.42,-3.21,2.38
1031,-6.24,-2.34,1.79
1035,-6.58,-1.66,1.27
1040,-6.71,-0.91,1.19
1045,-6.91,-0.26,0.51
1050,-6.62,0.39,0.04
1054,-6.57,0.65,-0.40
1059,-6.46,1.35,-0.66
1063,-6.54,2.08,-1.31
1067,-6.65,2.79,-1.36
1072,-6.55,3.57,-1.53
1077,-6.47,4.18,-1.57
1082,-6.30,4.58,-1.87
1086,-6.05,4.81,-2.18
1091,-6.02,5.33,-2.74
1096,-6.15,5.37,-3.00
1101,-6.09,5.49,-3.14
1104,-5.83,5.25,-3.23
1109,-5.67,4.89,-3.80
1114,-5.39,4.45,-4.19
1119,-5.30,4.20,-4.41
1123,-4.99,3.76,-4.54
1128,-4.70,3.39,-4.64
1133,-4.24,3.19,-5.12
1138,-3.78,2.76,-5.06
1142,-3.37,2.39,-4.89
1146,-2.85,2.19,-5.30
1151,-2.39,2.03,-5.09
1156,-1.95,1.41,-4.97
1160,-1.74,0.57,-5.09
1165,-1.25,-0.11,-5.14
1170,-0.83,-0.75,-5.07
1174,-0.39,-1.47,-4.99
1179,0.18,-1.62,-4.65
1184,0.65,-2.44,-4.20
1188,1.27,-3.41,-3.63
1192,1.60,-4.24,-3.17
1197,2.21,-4.89,-1.96
1202,2.45,-5.43,-1.76
1207,2.98,-6.04,-1.35
1211,3.55,-6.28,-0.54
1216,3.96,-6.77,0.27
1221,4.56,-7.04,1.01
1226,4.74,-7.00,1.81
1229,5.08,-6.62,3.06
1234,5.80,-5.65,3.62
1239,6.48,-4.74,4.90
1243,6.91,-4.33,6.36
1248,7.48,-3.90,6.73
1253,7.58,-3.60,6.93
1258,7.52,-3.88,6.49
1262,7.64,-4.11,6.86
1267,7.63,-3.97,7.21
1271,8.45,-3.43,7.80
1276,8.56,-3.30,8.27
1280,8.81,-3.18,8.59
1285,9.11,-3.08,8.99
1290,9.90,-2.75,8.64
1295,10.44,-2.97,8.07
1299,10.73,-3.94,8.09
1304,11.30,-3.61,7.98
1309,11.68,-3.19,7.66
1313,12.18,-2.44,7.65
1317,12.51,-1.48,7.61
1322,13.09,-0.79,7.34
1327,13.64,0.17,7.57
1332,14.01,1.05,8.08
1336,14.00,1.57,8.99
1341,14.07,1.01,8.88
1346,14.04,0.54,9.89
1351,14.32,1.11,11.21
1354,14.72,1.23,12.57
1359,14.03,0.80,13.19
1364,13.35,-0.37,14.10
1369,12.94,-1.11,14.83
1373,12.36,-2.16,14.63
