timestamp,accX,accY,accZ
0,9.74,8.97,-1.18
91,-7.81,8.58,-1.64
95,-7.62,8.77,-2.26
100,-7.37,8.99,-3.05
105,-7.39,9.53,-3.66
109,-7.17,9.69,-3.98
113,-7.12,10.01,-4.34
118,-6.82,10.08,-4.80
123,-6.59,10.24,-4.96
128,-6.44,10.40,-5.38
132,-6.13,10.78,-5.32
137,-5.85,10.98,-5.20
142,-5.48,11.10,-5.31
146,-5.31,11.61,-5.51
151,-5.12,11.52,-5.65
155,-4.76,11.31,-5.34
160,-4.70,10.99,-5.21
164,-4.46,10.56,-4.79
169,-4.10,10.10,-4.88
174,-3.65,9.47,-4.95
179,-3.06,9.05,-5.47
183,-2.68,8.90,-5.53
188,-2.42,8.16,-5.29
193,-2.18,7.28,-5.54
197,-1.93,5.98,-5.53
201,-1.52,4.98,-5.59
206,-1.07,4.11,-5.47
211,-0.63,3.26,-5.75
216,-0.08,3.02,-5.78
220,0.20,2.58,-5.85
225,0.20,2.30,-6.25
230,0.60,2.24,-6.41
234,1.19,2.14,-7.15
238,1.70,2.05,-7.34
243,2.09,1.48,-7.59
248,2.19,1.33,-7.94
253,2.61,0.90,-8.60
257,3.44,0.45,-8.83
262,3.61,0.07,-6.82
267,4.35,-1.17,-7.28
272,4.49,-2.51,-8.19
276,4.85,-4.22,-8.28
280,5.20,-5.16,-7.83
285,5.48,-6.81,-7.08
290,6.13,-7.76,-5.69
294,7.08,-8.37,-4.41
299,7.96,-8.55,-3.64
304,8.96,-8.13,-2.07
308,9.39,-7.91,-0.98
313,10.02,-7.14,1.09
318,10.67,-6.54,2.04
322,10.90,-5.80,3.35
326,11.55,-5.39,4.36
331,12.07,-5.15,5.35
336,12.30,-4.99,6.10
341,12.51,-4.91,7.21
345,12.53,-5.03,7.29
350,12.61,-5.17,7.71
355,12.76,-5.19,8.06
359,12.58,-6.06,7.79
363,12.41,-6.75,7.57
368,12.32,-7.30,7.32
373,12.43,-7.79,7.31
378,12.61,-8.04,7.24
382,13.17,-8.60,6.94
387,13.17,-9.28,6.40
392,13.14,-9.60,5.72
397,13.54,-9.52,5.42
401,14.05,-8.46,4.67
405,13.81,-7.33,4.27
410,13.79,-6.87,4.89
415,14.00,-6.71,5.63
419,14.19,-6.95,6.52
