timestamp,accX,accY,accZ
0,-5.70,5.09,-5.22
91,-6.07,6.86,-7.56
95,-3.28,6.43,-7.63
100,-4.98,6.00,-7.07
105,-5.58,5.95,-6.21
110,-5.71,6.77,-6.26
114,-5.84,6.90,-6.59
118,-5.69,7.19,-6.67
123,-5.25,7.46,-6.80
127,-4.94,7.51,-7.14
132,-5.07,7.67,-7.58
137,-5.01,8.30,-7.85
142,-5.22,9.24,-8.23
146,-5.07,10.18,-8.25
151,-4.89,10.75,-8.32
156,-4.86,11.11,-8.63
160,-4.57,11.33,-8.96
164,-4.24,11.46,-9.34
169,-4.13,11.25,-9.42
174,-3.66,11.01,-9.67
179,-3.30,10.33,-9.85
183,-3.08,9.53,-9.71
188,-2.61,8.80,-9.98
193,-2.13,8.15,-9.95
198,-1.82,7.62,-10.50
201,-1.12,6.85,-10.94
206,-0.98,5.87,-10.99
211,-0.75,5.06,-10.94
216,-0.65,4.29,-11.17
220,-0.38,3.89,-10.84
225,0.16,3.40,-10.11
230,0.44,2.97,-9.46
235,0.94,2.76,-8.51
239,1.14,2.62,-7.24
243,1.79,2.59,-6.48
248,1.94,2.62,-6.15
253,2.46,2.79,-5.39
257,2.98,2.88,-4.41
262,3.78,3.19,-3.81
267,4.33,3.38,-3.18
272,4.67,3.51,-3.22
276,4.81,3.11,-2.54
281,5.08,2.66,-2.22
285,5.26,2.28,-0.83
290,5.39,1.67,0.03
294,5.63,1.28,1.11
299,6.02,0.58,2.21
304,5.92,-0.26,3.04
308,5.98,-1.17,4.10
313,5.89,-2.13,4.55
318,6.01,-2.40,5.14
323,6.30,-2.61,6.54
326,6.41,-3.08,7.38
331,6.71,-3.42,8.11
336,6.57,-3.83,8.42
341,6.91,-3.54,8.76
345,6.34,-3.06,9.50
350,6.33,-2.25,10.28
355,6.83,-2.11,10.13
359,6.90,-1.30,10.13
364,6.70,-0.54,10.00
368,6.45,0.08,9.86
373,6.46,0.40,10.22
377,6.41,0.91,10.12
382,6.45,1.08,9.98
387,6.65,1.17,9.75
391,6.88,0.90,9.43
396,7.40,0.70,8.82
401,7.25,0.88,8.66
405,7.30,0.91,8.95
409,7.80,0.86,8.54
414,8.11,0.55,7.82
419,8.31,0.15,6.97
423,8.52,-0.35,6.39
428,8.70,-1.13,6.21
433,9.21,-1.84,5.94
438,8.97,-2.44,6.17
442,9.64,-2.91,6.10
447,9.93,-3.48,6.33
451,10.54,-4.11,6.42
456,10.94,-4.99,6.57
460,12.11,-5.62,7.04
465,12.60,-6.47,7.30
470,12.83,-7.22,7.40
475,13.26,-7.59,8.06
479,13.82,-7.68,8.65
484,14.04,-7.82,9.79
489,14.13,-7.56,11.12
493,14.65,-6.92,12.03
497,15.06,-6.56,12.33
502,15.59,-6.54,12.63
507,16.04,-6.30,13.19
512,16.05,-6.20,13.41
516,16.02,-6.26,13.74
521,16.02,-6.59,13.99
526,16.32,-7.09,14.01
531,16.82,-7.31,14.49
534,16.65,-7.70,14.63
539,16.46,-8.11,15.30
544,16.86,-8.36,15.06
549,18.53,-8.02,14.18
554,17.18,-8.94,14.40
558,17.02,-8.39,15.63
563,17.43,-7.45,16.52
568,17.71,-6.74,16.55
573,17.53,-6.47,16.47
576,17.55,-5.68,17.01
581,17.75,-5.47,17.40
586,17.07,-4.43,17.93
591,16.84,-4.14,18.44
595,16.27,-4.30,19.01
600,15.77,-4.64,19.21
605,14.91,-5.35,19.33
610,14.84,-5.66,19.41
615,14.47,-5.87,19.50
618,14.36,-5.81,19.51
623,14.01,-5.76,19.48
628,14.03,-6.06,19.49
633,13.84,-6.17,19.45
638,14.20,-5.93,19.24
642,14.13,-5.86,18.97
647,14.19,-5.99,18.61
652,14.19,-5.83,18.42
657,14.13,-5.57,17.83
660,14.37,-4.96,17.58
665,14.35,-4.69,16.96
670,14.37,-4.97,16.21
675,13.95,-5.50,15.88
679,13.83,-6.01,15.56
684,13.56,-6.18,15.21
689,13.25,-6.17,14.88
694,13.09,-6.15,14.91
698,12.85,-5.96,15.33
702,12.63,-5.79,15.65
707,12.90,-5.34,15.41
712,12.95,-5.06,15.46
717,12.59,-4.70,14.72
721,12.30,-4.60,14.41
726,12.09,-4.73,14.01
731,12.08,-4.97,13.71
735,11.77,-5.13,14.02
740,11.50,-5.27,13.90
744,11.12,-5.39,14.13
749,11.00,-5.23,14.56
754,10.81,-5.07,14.53
758,10.58,-4.91,14.51
763,10.38,-4.98,14.76
768,10.79,-4.91,14.56
773,10.96,-5.09,14.46
777,11.30,-5.22,14.20
782,11.68,-5.36,14.18
786,11.89,-5.55,14.02
791,12.32,-5.84,13.04
795,12.87,-6.41,12.16
800,13.27,-6.96,11.20
805,13.31,-7.27,10.91
810,13.41,-7.21,10.89
814,13.17,-5.79,10.72
819,12.75,-3.07,10.76
824,12.46,-1.78,10.86
828,12.34,-1.81,9.22
832,12.48,-7.85,7.43
837,12.23,-10.55,7.10
842,10.69,-8.76,7.67
847,9.86,-5.16,9.46
851,9.87,-2.39,11.74
856,9.96,-1.57,13.70
861,9.76,-0.91,14.72
865,9.58,-1.43,14.69
869,9.22,-1.71,15.04
874,9.52,-0.79,15.03
879,9.14,-3.41,13.94
884,9.83,-5.26,12.38
888,8.50,-6.72,10.66
893,7.17,-8.89,9.15
898,6.53,-9.91,8.28
902,5.56,-9.09,7.92
907,4.46,-7.34,8.08
911,3.81,-5.58,8.88
916,3.48,-4.98,8.97
920,2.81,-3.92,7.90
925,2.71,-3.59,6.47
930,2.32,-3.17,4.79
935,1.78,-2.39,3.96
939,1.38,-0.79,3.31
944,0.73,0.46,2.98
949,0.37,0.89,2.54
952,-0.14,1.94,2.48
957,-0.17,2.48,1.84
962,-0.57,2.62,1.71
967,-0.74,2.72,1.60
971,-0.95,2.71,0.95
976,-1.43,3.00,0.35
981,-1.85,3.05,0.22
986,-2.31,3.16,-0.11
990,-2.54,3.28,-0.53
994,-2.92,3.35,-0.51
999,-3.37,3.25,-0.80
1003,-3.68,2.99,-0.80
1008,-3.79,2.92,-0.78
1013,-3.79,2.58,-0.89
1018,-3.93,2.06,-0.63
1022,-3.99,1.43,-0.60
1027,-4.04,0.87,-0.78
1032,-4.44,0.22,-0.78
1036,-4.84,-0.20,-0.54
1040,-5.10,-0.48,-0.55
1045,-5.20,-0.95,-0.39
1050,-5.16,-1.21,-0.75
1055,-5.21,-1.49,-1.06
1059,-5.37,-1.45,-1.41
1064,-5.69,-1.48,-1.53
1069,-5.80,-1.48,-1.75
1074,-6.05,-1.32,-1.73
1077,-6.12,-1.42,-1.89
1082,-6.29,-1.15,-2.08
1087,-6.42,-1.02,-2.27
1092,-6.41,-0.96,-2.56
1096,-6.51,-0.60,-2.94
1101,-6.45,-0.45,-3.05
1106,-6.60,0.08,-3.59
1111,-6.67,0.25,-3.51
1115,-6.69,0.52,-3.76
1119,-6.51,0.60,-4.08
1124,-6.77,0.96,-4.23
1128,-6.95,1.15,-4.03
1133,-6.88,1.15,-4.03
1138,-6.80,1.25,-4.06
1143,-6.72,1.47,-4.62
1147,-6.79,1.64,-4.52
1152,-6.60,1.84,-4.62
1157,-6.70,2.15,-4.84
1161,-6.69,2.08,-5.31
1165,-6.61,2.18,-5.61
1170,-6.59,2.08,-5.54
1175,-6.34,1.94,-6.15
1180,-6.14,1.95,-6.31
1184,-6.12,1.76,-6.29
1189,-5.70,1.56,-6.56
1194,-5.54,1.35,-6.34
1198,-5.27,1.05,-6.65
1202,-4.92,0.61,-6.78
1207,-4.34,0.53,-6.52
1212,-4.25,0.32,-6.69
1216,-3.99,0.01,-6.58
1221,-3.56,-0.14,-6.73
1226,-3.14,-0.25,-6.97
1231,-2.58,-0.16,-6.89
1235,-2.25,0.08,-6.98
1240,-1.80,0.19,-6.73
1244,-1.57,0.16,-6.67
1249,-1.10,0.19,-6.23
1253,-0.35,0.31,-6.36
1258,0.30,0.65,-6.11
1263,1.04,0.91,-5.78
1268,1.59,0.92,-5.28
1272,2.28,1.05,-4.59
1277,2.58,0.97,-4.21
1282,3.32,0.94,-3.95
1285,3.71,0.98,-3.15
1290,4.11,0.78,-2.45
1295,4.74,0.76,-1.29
1300,5.17,0.82,0.16
1304,5.54,0.72,0.63
1309,6.65,0.28,1.29
1314,7.05,-0.53,1.59
1318,7.17,-1.79,2.43
1323,7.40,-3.05,3.06
1327,7.99,-3.56,3.67
1332,8.56,-4.72,3.90
1336,8.78,-5.63,4.58
1341,9.30,-6.36,5.13
1346,10.02,-6.73,5.53
1351,10.85,-6.62,6.56
1355,11.29,-5.85,7.53
1360,12.16,-5.39,7.90
1365,12.51,-4.43,8.65
1369,12.50,-3.35,8.80
1373,14.23,-1.96,9.01
1378,14.32,-0.55,10.00
1383,14.49,0.85,10.54
1388,14.78,1.87,11.18
1393,14.37,2.39,12.69
1397,14.96,2.84,13.54
1402,15.36,3.05,14.35
1407,15.22,2.89,15.07
1411,14.99,2.44,15.61
1415,14.74,2.11,15.91
1420,14.81,1.66,16.54
1425,14.65,1.59,17.32
1430,14.01,1.39,17.70
1434,14.46,1.35,17.69
1439,14.51,2.18,17.99
1444,13.41,3.05,18.25
1449,13.17,3.75,18.45
1452,12.67,4.34,18.37
1457,12.51,4.06,17.88
1462,12.40,4.03,17.39
1467,11.85,4.00,17.93
1471,11.91,4.18,18.23
1476,11.14,4.27,18.51
1481,10.47,4.06,18.22
1486,10.16,3.88,17.95
1490,9.90,3.82,17.34
1494,9.61,3.81,16.82
1499,9.19,3.94,16.69
1504,9.02,3.95,16.40
1508,9.27,3.89,16.12
1513,9.02,3.94,15.82
1518,8.88,3.77,15.74
1523,8.93,3.50,15.59
1527,8.85,3.33,15.68
1532,8.84,3.07,15.62
1536,8.77,2.71,15.64
1541,8.76,2.47,15.49
1545,9.08,1.89,15.51
1550,9.31,1.08,15.38
1555,9.39,0.24,15.02
1560,9.46,0.03,15.46
1565,9.58,-0.67,15.37
1569,9.71,-1.87,15.48
1574,9.95,-2.59,15.36
1578,9.75,-2.45,15.92
1583,10.01,-1.86,16.37
1587,9.88,-1.43,16.72
1592,9.73,-1.09,16.84
1597,9.72,-0.54,16.94
1602,9.89,0.22,16.97
1606,9.81,0.86,16.53
1611,9.84,1.03,16.22
1615,9.67,1.20,16.02
1620,9.90,1.24,15.70
1624,9.88,1.26,15.33
1629,9.64,1.31,15.33
