timestamp,accX,accY,accZ
0,-8.85,7.07,0.89
91,-8.81,7.18,0.58
95,-8.70,7.40,0.48
100,-8.72,7.24,0.05
105,-8.85,7.43,0.04
110,-8.85,7.14,-0.80
114,-8.63,6.96,-0.95
118,-8.89,7.21,-1.38
123,-8.73,7.06,-1.86
127,-8.31,6.73,-2.07
132,-7.88,6.86,-2.44
137,-7.75,7.05,-2.85
142,-7.98,7.15,-3.08
146,-8.18,7.20,-3.30
151,-7.67,7.20,-3.49
156,-7.74,7.33,-4.05
160,-7.67,6.86,-4.73
164,-7.61,6.61,-4.77
169,-7.45,6.54,-4.79
174,-7.45,6.77,-5.26
179,-7.29,7.24,-5.70
183,-7.42,7.60,-5.96
188,-7.36,7.61,-6.71
193,-7.17,7.67,-7.72
198,-7.10,7.75,-7.79
201,-6.54,8.47,-8.32
206,-6.06,8.79,-8.97
211,-5.93,9.40,-9.73
215,-5.57,9.71,-10.52
220,-5.75,10.04,-11.00
225,-5.32,10.19,-10.96
230,-4.92,10.18,-11.13
235,-4.60,10.21,-11.21
239,-4.21,9.88,-11.77
243,-3.90,9.80,-11.92
248,-3.17,8.71,-12.22
252,-2.78,8.12,-12.84
257,-2.22,7.97,-13.05
262,-2.19,7.50,-13.24
267,-2.07,7.48,-12.81
271,-1.70,7.53,-11.92
276,-1.18,7.79,-10.69
281,-0.61,8.13,-9.95
285,-0.38,8.54,-9.05
289,0.16,8.84,-8.39
294,0.62,9.35,-8.09
299,0.84,9.58,-7.17
303,1.08,9.46,-7.21
308,1.34,9.09,-6.94
313,1.59,8.67,-6.53
318,2.17,8.02,-6.53
322,2.26,7.35,-6.49
326,2.69,6.26,-5.48
331,2.88,5.14,-4.67
336,2.94,4.84,-3.57
340,3.16,4.09,-2.59
345,3.42,3.57,-1.95
350,3.89,2.79,-1.25
355,3.89,1.66,-0.69
359,3.88,0.67,-0.48
364,4.10,0.35,0.08
368,4.45,-0.14,0.65
372,4.93,-0.28,0.93
377,5.16,-0.35,1.52
382,5.44,-0.21,1.58
387,5.84,-0.15,2.16
391,5.94,0.10,2.37
396,6.44,0.09,2.74
401,7.01,-0.14,3.35
405,7.40,-0.69,4.03
409,7.76,-1.39,4.36
414,7.89,-2.29,4.44
419,8.52,-3.00,5.18
423,8.92,-3.14,5.41
428,9.36,-2.85,6.26
433,9.70,-2.16,7.05
437,10.18,-1.96,7.84
442,10.42,-1.91,8.53
447,10.30,-2.04,8.80
451,10.15,-2.27,9.47
455,10.12,-2.31,9.84
460,10.05,-2.50,9.87
465,9.98,-2.78,9.85
469,10.37,-2.83,10.25
474,10.25,-2.97,10.29
479,10.07,-3.22,10.74
484,10.07,-3.63,10.72
489,10.26,-3.87,10.40
492,10.56,-4.45,10.31
497,10.72,-5.14,10.41
502,10.87,-5.70,9.87
507,11.13,-6.36,9.09
512,11.50,-6.98,8.79
516,11.93,-7.32,8.99
521,12.49,-7.78,8.92
526,13.33,-8.08,8.89
531,14.12,-8.44,8.69
534,14.51,-8.91,8.76
539,15.39,-9.11,8.91
544,15.81,-8.71,9.34
549,16.54,-7.94,9.13
553,17.75,-7.67,9.56
558,18.73,-7.52,9.43
563,19.30,-7.46,9.51
568,19.57,-7.03,9.85
572,19.51,-6.87,10.58
576,19.54,-6.66,11.22
581,19.54,-6.38,11.47
586,19.54,-6.99,12.74
590,19.54,-7.07,13.42
595,19.54,-7.39,14.48
600,19.54,-7.71,15.11
605,19.54,-8.03,16.24
609,19.54,-8.42,16.95
614,19.54,-8.53,16.85
618,19.54,-8.62,17.49
623,19.54,-8.87,17.36
627,19.54,-8.93,18.06
632,19.54,-8.89,18.68
637,19.54,-8.76,19.12
642,19.54,-8.17,19.39
646,19.54,-8.04,19.40
651,19.54,-7.82,19.42
656,19.45,-7.29,19.45
660,19.19,-6.93,19.47
664,18.71,-5.98,19.52
669,18.25,-5.25,19.50
674,17.26,-4.44,19.53
679,16.34,-3.86,19.54
684,15.32,-3.46,19.54
688,14.63,-3.22,19.53
693,13.94,-3.21,19.51
698,12.85,-2.17,19.51
702,12.13,-2.20,19.25
706,12.20,-3.16,18.83
711,12.10,-3.56,18.92
716,12.05,-3.15,18.99
721,11.86,-2.81,19.05
725,11.62,-3.17,18.32
730,11.49,-3.39,18.16
735,11.39,-3.53,18.00
739,11.25,-3.89,17.84
743,11.08,-4.53,17.98
748,11.14,-5.50,17.55
753,11.26,-6.91,17.39
758,11.13,-8.06,17.41
762,11.16,-8.54,17.36
767,11.36,-9.54,17.01
772,11.62,-10.28,16.78
777,11.99,-10.50,16.35
781,12.30,-10.34,15.88
785,12.64,-10.36,15.68
790,12.95,-10.39,15.49
795,13.13,-10.31,14.87
800,13.17,-10.40,14.10
804,13.18,-10.20,13.09
809,13.28,-9.70,12.69
814,13.24,-9.37,12.31
819,13.42,-8.83,12.13
823,12.87,-8.56,11.50
827,12.31,-7.99,11.37
832,12.04,-7.78,10.93
837,12.32,-7.60,11.02
842,12.50,-7.46,11.20
846,12.98,-8.56,10.99
851,13.20,-9.30,9.78
856,13.33,-10.43,9.64
861,13.04,-11.64,8.84
865,12.57,-12.18,8.50
869,12.41,-12.40,8.61
874,12.18,-12.34,9.30
879,12.13,-9.70,11.17
883,10.52,-2.94,11.94
888,10.57,-0.21,11.58
893,10.64,-3.01,10.27
898,11.45,-8.03,8.00
903,12.59,-8.51,6.30
906,12.46,-7.46,5.83
911,11.80,-5.84,5.56
916,10.15,-4.89,4.91
921,8.81,-4.25,4.67
925,7.82,-3.79,4.53
930,7.11,-3.90,4.12
935,6.49,-4.02,4.06
939,5.96,-1.54,4.37
944,5.29,-3.74,4.38
948,4.53,-2.46,4.96
953,3.97,-0.30,5.25
957,2.76,-0.29,5.90
962,2.09,-0.89,6.26
967,1.53,-2.11,6.70
971,1.08,-2.06,7.16
976,1.26,-1.15,8.54
