timestamp,accX,accY,accZ
0,-8.82,9.53,-0.59
91,-8.97,10.02,-1.01
95,-8.99,10.14,-1.07
100,-8.82,10.53,-1.65
105,-8.97,10.57,-1.99
110,-8.82,10.28,-2.21
114,-8.73,10.17,-2.26
118,-8.50,10.06,-3.00
123,-8.34,9.75,-3.72
127,-8.24,9.56,-3.76
132,-7.97,9.37,-4.18
137,-7.79,9.40,-4.38
142,-7.90,9.53,-4.80
146,-7.90,9.41,-5.24
151,-7.59,9.41,-5.86
156,-7.32,9.33,-6.77
159,-6.85,8.85,-7.95
164,-6.94,8.78,-9.04
169,-6.72,8.80,-9.48
174,-6.20,8.98,-10.63
178,-6.00,9.63,-10.82
183,-5.82,9.74,-11.02
188,-5.71,10.18,-11.25
193,-5.60,10.59,-10.57
197,-5.41,10.73,-10.11
201,-4.86,11.03,-9.77
206,-4.34,11.29,-9.45
211,-3.76,11.45,-8.47
215,-3.45,11.61,-7.99
220,-2.88,11.95,-7.47
225,-2.64,12.21,-6.71
230,-2.19,12.46,-6.42
235,-1.75,12.46,-6.11
239,-1.28,11.90,-5.35
243,-0.87,11.53,-5.72
248,-0.47,10.79,-5.87
252,0.34,10.54,-5.98
257,0.53,10.05,-5.98
262,0.80,9.42,-5.50
267,1.20,8.51,-5.26
271,1.69,7.73,-4.94
276,1.91,7.22,-4.36
281,2.01,6.14,-3.66
285,2.13,5.33,-2.86
289,2.44,4.59,-2.27
294,2.98,3.83,-2.02
299,3.20,3.14,-1.13
303,3.30,2.43,-0.49
308,3.81,2.06,-0.49
313,4.00,1.03,-0.09
318,3.87,-0.18,-0.15
322,4.22,-1.31,-0.20
326,4.63,-2.37,0.19
331,4.81,-3.69,0.32
336,5.38,-4.79,0.68
340,5.55,-5.42,0.82
345,5.97,-6.58,1.35
350,6.34,-7.34,1.49
354,6.84,-8.07,1.96
359,7.31,-9.04,2.15
364,8.02,-9.62,2.13
368,8.38,-9.93,1.83
372,8.75,-10.13,1.76
377,9.31,-10.08,1.67
382,9.90,-9.85,1.98
387,10.41,-9.24,2.01
391,10.97,-8.31,2.47
396,11.76,-6.82,3.07
401,12.65,-6.09,3.87
405,13.39,-4.80,4.54
409,13.82,-3.92,5.20
414,14.71,-3.52,5.60
419,15.57,-3.81,6.09
423,16.14,-4.65,6.46
428,16.47,-5.80,6.52
433,16.71,-6.37,6.75
438,16.93,-7.96,7.29
442,17.41,-9.22,7.92
447,17.71,-10.09,8.60
451,17.92,-10.85,9.35
456,18.25,-11.21,9.49
461,18.66,-11.48,10.12
465,19.12,-11.44,11.38
470,19.35,-10.86,11.35
