timestamp,accX,accY,accZ
0,11.24,5.59,1.86
91,-8.99,5.87,1.54
94,-8.89,6.03,1.49
99,-9.01,5.99,1.11
104,-9.01,6.30,0.94
109,-8.90,6.60,0.87
113,-9.19,6.85,0.66
118,-8.84,7.05,0.84
123,-8.86,7.20,0.40
127,-8.87,7.35,0.60
132,-8.73,7.48,0.16
136,-8.71,7.68,-0.23
141,-8.48,8.06,-0.79
145,-8.45,8.40,-0.82
150,-8.41,8.76,-1.19
155,-8.25,9.11,-1.91
160,-8.04,9.33,-2.42
164,-7.68,9.61,-3.16
169,-7.75,9.84,-3.42
174,-7.56,10.01,-3.94
178,-7.43,10.11,-4.21
182,-7.15,10.16,-4.31
187,-6.85,10.16,-4.45
192,-6.71,10.23,-4.89
196,-6.36,10.27,-5.47
201,-8.01,10.43,-5.32
206,-7.55,10.32,-6.26
211,-5.87,10.30,-6.61
216,-4.78,10.20,-7.47
219,-4.24,9.91,-8.06
224,-4.50,9.80,-9.14
229,-4.60,9.41,-9.66
233,-4.67,9.18,-10.00
238,-4.36,8.84,-10.70
243,-3.87,8.94,-10.96
248,-4.07,8.59,-11.10
252,-3.77,8.64,-10.48
257,-3.33,8.64,-10.24
261,-3.27,8.54,-9.90
266,-3.52,8.76,-9.03
270,-2.74,9.04,-8.95
275,-2.14,8.99,-8.99
280,-1.94,9.05,-8.31
285,-1.74,9.40,-7.88
289,-1.21,9.32,-7.06
294,-0.78,9.59,-6.00
299,-0.81,9.84,-5.00
303,-0.24,9.82,-4.81
307,-0.04,9.63,-4.16
312,0.31,9.38,-3.51
317,0.67,9.15,-2.93
321,0.77,8.53,-2.53
326,0.91,7.73,-2.13
331,1.18,6.69,-2.23
336,1.46,5.80,-2.00
340,1.95,4.88,-2.21
344,2.19,4.60,-1.42
349,2.30,3.88,-1.46
353,2.42,3.31,-1.40
358,2.44,2.55,-1.70
363,2.42,1.80,-2.23
368,2.58,1.18,-2.39
372,2.49,0.28,-2.04
377,2.76,-0.18,-2.13
382,2.74,-1.17,-2.11
386,2.99,-1.67,-1.53
390,2.97,-2.28,-1.34
395,3.30,-2.34,-1.41
400,4.21,-2.48,-1.29
405,4.50,-2.83,-1.04
409,4.76,-2.81,-0.34
414,5.35,-2.37,-0.23
419,5.50,-2.00,0.34
423,6.03,-1.58,0.92
427,6.36,-1.30,1.33
432,6.82,-1.25,1.56
437,7.46,-1.48,1.91
441,8.11,-1.74,2.23
446,8.51,-2.45,2.73
451,8.71,-3.15,3.38
456,9.30,-4.12,3.60
460,9.29,-5.13,4.12
465,10.39,-5.80,4.39
469,10.66,-6.43,5.38
474,11.28,-6.95,5.65
478,11.95,-7.51,6.45
483,12.71,-8.02,7.07
488,12.81,-8.26,7.97
493,13.58,-8.79,8.57
498,14.34,-9.15,8.53
502,14.69,-9.74,9.18
507,15.00,-10.19,9.53
511,15.10,-10.97,9.97
516,15.38,-11.99,10.09
520,15.65,-12.75,10.88
525,16.26,-13.33,11.64
530,16.64,-13.43,12.83
535,16.99,-14.07,13.47
540,17.28,-14.84,14.23
544,16.88,-15.74,14.65
549,16.90,-16.56,15.27
553,16.73,-17.22,16.68
558,16.56,-17.40,18.37
562,16.56,-18.08,18.72
567,16.47,-18.64,18.99
572,16.16,-18.91,19.28
577,15.59,-18.96,19.38
581,15.14,-19.05,19.50
586,14.84,-18.57,19.53
591,14.49,-17.64,19.54
595,14.32,-16.86,19.54
599,14.26,-16.36,19.54
604,14.15,-15.90,19.54
609,13.43,-15.47,19.54
614,12.95,-15.38,19.54
618,12.76,-14.93,19.54
623,12.69,-14.54,19.54
628,12.67,-14.00,19.54
633,12.62,-13.44,19.49
636,12.79,-13.11,19.41
641,12.58,-12.79,19.04
646,12.25,-12.59,18.59
651,12.44,-12.46,17.81
656,12.60,-12.37,16.98
660,12.39,-11.94,16.28
665,12.14,-11.21,16.25
670,12.09,-10.80,16.25
674,12.11,-10.36,15.95
678,11.95,-10.18,16.28
683,11.47,-9.27,17.19
688,11.27,-8.43,18.07
692,10.40,-7.77,18.52
697,10.08,-7.45,19.01
702,9.79,-7.03,19.03
707,9.29,-6.87,19.36
711,8.79,-6.86,19.32
716,8.54,-7.31,19.41
720,8.19,-7.77,19.42
725,8.18,-8.09,19.48
730,8.01,-7.89,19.31
734,8.30,-7.98,19.35
739,8.35,-8.20,19.32
