timestamp,accX,accY,accZ
0,7.31,5.37,2.03
91,-8.38,5.57,2.02
94,-8.55,5.65,1.99
99,-8.38,5.80,1.53
104,-8.26,5.81,1.31
109,-8.35,5.73,1.08
113,-8.30,5.57,1.07
118,-8.20,5.50,0.84
123,-8.31,5.53,0.91
128,-8.45,5.58,0.57
132,-8.34,5.45,0.58
136,-8.37,5.39,0.08
141,-8.30,5.18,-0.32
145,-8.29,5.27,-0.44
150,-8.10,5.24,-0.85
155,-7.82,5.29,-1.30
160,-8.04,5.49,-1.72
164,-7.91,5.81,-2.44
169,-7.99,6.37,-2.69
174,-7.71,6.90,-3.05
178,-7.49,7.17,-3.37
182,-7.59,7.89,-4.14
187,-7.89,8.13,-4.22
192,-7.85,8.63,-4.88
197,-7.89,9.09,-5.21
201,-7.73,9.29,-5.88
206,-7.30,9.65,-6.14
211,-6.80,9.79,-6.90
216,-6.65,10.86,-7.31
220,-6.35,11.33,-7.85
224,-6.52,12.07,-7.89
229,-6.53,12.43,-7.96
234,-6.63,12.50,-8.46
239,-6.33,12.59,-8.36
243,-6.04,12.80,-8.39
248,-5.88,12.70,-8.38
253,-5.96,12.83,-8.77
257,-6.02,12.86,-9.22
261,-6.00,12.93,-9.62
266,-5.82,12.93,-9.66
271,-5.36,12.84,-9.54
275,-5.17,12.42,-9.58
280,-4.81,11.88,-9.62
285,-4.36,11.56,-9.77
289,-4.41,10.43,-10.25
294,-3.53,9.79,-10.12
299,-3.59,8.78,-10.31
303,-3.53,7.77,-10.30
307,-3.14,7.08,-10.51
312,-2.78,6.73,-10.47
317,-2.31,6.46,-10.25
322,-1.76,6.17,-10.33
326,-1.41,5.62,-10.15
331,-1.09,5.11,-10.16
336,-0.62,4.85,-10.16
341,0.34,4.89,-10.43
344,1.69,4.83,-10.91
349,2.86,4.30,-11.50
354,3.42,3.98,-12.06
359,2.81,2.85,-12.26
363,3.56,1.70,-13.09
368,3.77,0.74,-13.33
373,3.31,-0.81,-13.11
378,3.20,-1.62,-12.27
382,3.78,-2.03,-11.81
386,5.63,-2.39,-10.51
391,6.77,-2.51,-8.45
396,8.88,-2.73,-5.98
400,10.63,-3.19,-5.11
405,11.31,-3.21,-2.90
410,12.09,-3.17,-0.72
415,12.71,-3.17,1.31
419,13.60,-3.10,3.23
424,13.77,-3.48,4.87
428,13.87,-3.78,7.12
433,13.37,-3.70,8.47
437,13.28,-3.85,9.58
442,12.46,-4.36,9.56
447,12.23,-5.56,8.24
451,12.00,-6.81,7.48
456,11.89,-7.68,7.59
461,11.37,-8.26,8.12
466,10.85,-8.60,8.26
469,10.65,-8.74,9.03
474,10.99,-8.82,9.49
479,11.49,-8.99,9.62
484,11.57,-9.73,8.89
488,11.89,-10.27,7.52
493,12.46,-9.68,6.67
498,13.13,-9.03,6.78
503,13.32,-8.41,7.06
507,14.24,-8.04,7.72
511,14.86,-7.48,8.19
516,15.14,-7.49,7.72
521,16.11,-8.10,7.50
525,16.32,-9.75,7.12
530,16.97,-10.73,7.26
535,17.88,-11.66,7.76
540,18.56,-12.29,8.32
544,19.23,-13.84,8.86
549,19.37,-15.18,9.58
553,19.50,-16.86,10.27
558,19.53,-18.36,10.58
562,19.54,-19.23,11.04
567,19.54,-19.46,12.05
572,19.54,-19.49,13.00
577,19.54,-19.52,13.58
581,19.54,-19.53,13.48
586,19.54,-19.53,12.97
591,19.54,-19.53,12.94
595,19.54,-19.53,14.25
600,19.54,-19.53,14.50
604,19.54,-19.53,14.55
609,19.54,-19.53,15.73
614,19.54,-18.29,16.04
619,19.51,-15.70,18.09
623,18.60,-13.60,19.18
628,19.03,-12.22,19.46
633,18.18,-12.20,19.50
637,16.90,-11.73,19.53
641,15.51,-11.55,19.54
646,14.11,-11.27,19.54
651,12.66,-10.45,19.54
656,11.12,-9.22,19.54
661,10.75,-8.47,19.54
665,10.23,-8.43,19.54
670,9.92,-9.35,19.54
675,9.66,-10.81,18.97
679,9.63,-11.64,17.83
683,9.65,-12.99,17.28
688,9.58,-13.49,16.66
693,9.41,-13.92,15.82
698,9.58,-15.37,14.85
703,9.73,-15.64,14.39
707,9.82,-15.27,13.48
712,9.96,-14.74,12.71
717,10.22,-14.37,11.76
721,10.78,-13.58,11.07
726,10.78,-12.15,11.29
730,11.02,-10.09,11.50
735,11.38,-8.17,11.76
740,11.37,-6.43,11.63
745,11.33,-5.39,12.16
749,11.01,-5.12,11.88
754,10.49,-5.11,12.18
759,10.01,-5.15,12.02
763,9.79,-5.21,11.54
767,9.67,-5.48,11.51
772,9.23,-5.57,11.75
777,8.98,-6.02,11.73
782,8.57,-6.36,12.18
786,8.74,-6.40,12.31
791,9.08,-6.80,12.32
796,9.45,-7.22,12.38
801,9.63,-7.59,12.79
805,9.65,-7.59,12.90
