timestamp,accX,accY,accZ
0,-9.03,2.48,1.38
91,-8.84,2.50,1.21
94,-8.96,2.38,0.91
99,-8.99,2.54,0.95
104,-9.06,2.77,1.03
108,-9.18,2.91,1.17
113,-9.31,3.27,1.23
118,-9.31,3.12,1.36
123,-9.31,3.33,0.90
127,-9.45,3.44,0.88
132,-9.59,3.42,0.79
136,-9.54,3.49,0.89
140,-9.75,3.54,0.67
145,-9.69,3.42,0.81
150,-9.73,3.53,1.12
155,-9.56,3.49,1.24
159,-9.43,3.48,1.30
164,-9.37,3.30,1.77
169,-9.66,3.42,1.65
174,-9.53,3.20,1.62
178,-9.35,3.14,1.02
182,-9.20,3.20,0.98
187,-9.13,3.18,0.80
192,-8.93,3.29,0.40
196,-8.99,3.63,0.27
201,-9.06,4.08,-0.09
206,-9.23,4.42,-0.41
211,-9.21,4.77,-0.92
215,-9.06,5.10,-1.75
219,-9.19,5.82,-1.89
224,-9.17,6.52,-2.36
229,-9.35,7.40,-2.45
233,-9.50,8.23,-2.36
238,-9.59,9.02,-2.70
243,-9.27,9.45,-2.76
248,-9.26,10.07,-3.57
252,-9.07,10.94,-3.63
257,-9.26,11.85,-4.25
261,-9.04,12.29,-4.57
265,-8.99,12.60,-4.77
270,-8.75,12.82,-5.63
275,-8.24,12.94,-6.47
280,-8.23,13.09,-7.27
285,-7.88,13.51,-8.30
289,-7.98,13.99,-9.24
294,-7.96,14.33,-10.91
299,-7.90,14.60,-11.09
303,-7.46,14.30,-11.80
307,-7.05,14.02,-12.63
312,-6.68,13.70,-12.71
317,-6.53,12.75,-12.85
322,-6.40,11.59,-12.39
326,-6.03,10.57,-12.33
331,-5.60,9.52,-12.12
336,-4.90,8.70,-11.66
341,-4.37,7.52,-11.55
344,-3.72,7.18,-10.87
349,-3.31,6.50,-10.28
354,-3.00,5.64,-9.97
358,-2.44,4.84,-9.46
363,-2.04,4.02,-9.25
368,-1.84,3.30,-9.06
373,-1.35,3.06,-8.92
377,-0.69,2.39,-8.40
382,-0.03,1.86,-8.00
386,0.19,1.41,-7.85
391,1.20,0.72,-7.86
395,2.03,0.34,-7.69
400,2.71,0.13,-7.75
405,2.71,0.23,-7.06
410,3.26,0.09,-6.56
414,3.65,0.20,-5.46
419,3.91,0.67,-4.08
424,3.98,1.42,-3.12
428,3.95,2.47,-1.06
432,4.28,3.91,0.74
437,4.69,4.17,0.81
442,5.06,4.50,1.15
446,4.97,4.31,1.60
451,5.53,4.20,2.22
456,4.98,3.26,2.55
461,4.36,2.55,2.78
465,4.24,1.45,3.43
469,4.72,0.96,3.72
474,4.67,-0.02,4.15
479,4.66,-1.31,4.43
483,4.67,-2.16,4.62
488,4.43,-2.72,5.59
493,5.01,-3.26,6.07
498,5.61,-3.68,5.66
502,5.28,-3.80,5.99
507,4.65,-4.47,6.20
511,4.88,-5.07,6.61
516,5.21,-5.71,6.71
520,4.98,-6.71,6.51
525,5.37,-7.20,6.21
530,5.94,-7.34,6.05
534,5.59,-7.25,6.49
539,5.63,-7.12,6.74
544,5.76,-6.96,7.32
549,6.39,-6.96,7.40
553,7.20,-6.79,7.55
557,7.45,-6.53,7.25
562,7.76,-6.54,7.54
566,8.51,-6.21,7.70
571,8.66,-5.64,7.91
576,9.41,-5.01,8.31
581,9.87,-4.36,8.17
585,10.71,-3.85,8.05
590,10.99,-3.78,7.80
594,11.63,-4.11,6.94
598,11.99,-4.41,7.09
603,12.04,-4.89,7.29
608,12.69,-5.54,7.58
613,13.16,-6.49,7.92
617,13.78,-7.42,8.03
622,14.26,-8.02,8.31
627,14.98,-9.38,8.35
632,15.27,-11.00,8.21
636,16.11,-11.89,8.33
640,16.18,-11.58,9.07
645,16.20,-11.72,9.79
650,18.05,-12.00,10.13
654,18.51,-12.20,10.25
659,18.21,-13.06,10.67
664,18.78,-14.41,9.94
669,18.72,-14.91,9.16
673,18.30,-15.80,10.71
678,18.11,-16.37,11.40
682,18.30,-17.46,12.09
687,19.19,-18.23,9.45
692,18.32,-18.67,8.79
696,19.11,-18.92,12.10
701,19.33,-18.65,14.05
706,19.33,-18.91,14.51
711,19.30,-18.68,14.21
716,19.32,-17.93,14.04
719,19.16,-16.19,14.36
724,18.65,-13.74,14.82
729,18.17,-12.61,16.31
734,17.78,-10.34,17.61
738,17.18,-8.72,18.84
743,16.31,-8.18,19.26
748,15.26,-8.00,19.41
753,13.96,-7.31,19.51
757,13.15,-7.07,19.54
761,12.66,-7.72,19.54
766,12.31,-8.72,19.54
771,11.90,-8.40,19.54
775,10.91,-8.22,19.39
780,10.42,-8.58,19.06
785,9.82,-9.45,18.26
790,9.41,-10.08,17.58
794,9.44,-10.59,16.43
799,9.66,-11.02,15.62
803,9.98,-11.62,14.84
808,10.17,-12.89,13.74
812,10.79,-14.16,13.11
817,10.93,-15.24,12.87
822,10.91,-15.81,12.84
827,10.90,-15.98,12.21
832,11.15,-15.66,11.95
836,11.14,-14.69,11.29
841,11.27,-13.32,11.60
845,10.98,-12.26,11.70
850,10.84,-10.65,12.37
855,10.45,-9.13,12.63
859,10.46,-7.75,13.27
864,10.50,-6.92,13.52
869,10.34,-5.82,13.96
873,9.93,-5.07,13.62
878,9.63,-4.77,14.13
883,9.43,-4.38,14.23
887,9.36,-4.45,14.35
891,9.21,-4.72,14.33
896,9.37,-4.77,14.59
901,9.21,-5.58,14.28
906,9.20,-6.84,13.99
910,9.52,-8.20,13.99
915,9.89,-9.30,13.79
920,10.16,-9.37,13.54
925,10.60,-8.54,13.80
928,11.12,-7.83,13.34
933,11.48,-6.67,12.89
938,11.47,-2.33,13.22
943,11.24,-0.11,11.90
948,10.88,-1.66,9.36
952,11.02,-7.01,8.35
957,11.66,-10.33,6.35
962,11.48,-10.13,6.04
966,10.51,-8.34,6.57
970,9.49,-7.25,6.77
975,8.68,-7.68,6.51
980,8.02,-8.48,6.06
985,7.88,-8.72,6.03
989,7.55,-8.30,6.39
994,7.07,-8.04,6.86
999,6.60,-8.28,7.31
1003,6.28,-7.06,7.98
1008,6.36,-6.21,8.12
1012,5.83,-7.19,7.53
1017,5.37,-7.30,7.32
1021,4.72,-6.75,6.40
1026,3.82,-6.80,6.02
1031,3.65,-7.09,5.23
1036,3.51,-6.58,4.78
1040,3.21,-5.10,5.06
1045,2.95,-3.60,5.24
1050,3.02,-3.34,5.29
1054,2.72,-3.18,5.06
1058,2.08,-3.13,5.38
1063,1.78,-3.12,5.85
1068,1.92,-3.19,4.92
1073,2.06,-3.01,3.86
1077,2.39,-2.23,3.58
1082,2.32,-1.15,3.09
1087,2.15,0.50,2.88
1092,1.81,0.39,1.83
1095,1.06,0.01,0.40
1100,0.47,-0.77,-0.73
1105,-0.41,-1.00,-0.91
1109,-0.65,-0.50,-1.05
1114,-0.97,-0.24,-1.32
1119,-1.52,-0.28,-1.14
1124,-2.02,-0.62,-1.20
1128,-2.66,-1.34,-1.82
1133,-3.22,-1.96,-2.23
1137,-3.65,-2.41,-2.35
1142,-4.00,-2.49,-2.66
1146,-4.44,-2.45,-2.65
1151,-4.82,-2.39,-2.92
1156,-5.18,-2.34,-2.94
1161,-5.36,-2.13,-3.17
1165,-5.52,-1.53,-3.48
1170,-5.78,-1.24,-3.97
1175,-6.06,-1.05,-4.25
1178,-6.23,-0.58,-4.86
1183,-6.53,-0.20,-5.43
1188,-7.04,-0.21,-5.83
1193,-7.39,-0.64,-5.59
1197,-7.49,-1.04,-5.87
1202,-7.67,-1.61,-6.43
1207,-8.02,-2.21,-6.40
1212,-7.82,-2.22,-6.28
1216,-7.96,-2.41,-5.92
1220,-7.87,-2.46,-5.66
1225,-7.88,-2.60,-5.36
1230,-7.96,-2.62,-5.01
1234,-8.52,-2.60,-5.12
1239,-8.40,-2.50,-5.49
1244,-8.60,-2.33,-5.51
1249,-8.35,-2.34,-5.53
1253,-8.12,-2.30,-5.59
1258,-7.81,-2.15,-5.66
1262,-7.79,-2.03,-5.90
1267,-7.74,-1.85,-6.07
1271,-7.81,-1.64,-6.12
1276,-7.87,-1.13,-5.56
1281,-7.99,-0.34,-5.83
1285,-7.78,-0.01,-5.69
1290,-7.60,0.81,-5.86
1295,-7.62,1.47,-5.65
1300,-7.29,2.04,-5.65
1303,-7.04,2.58,-6.13
1308,-6.83,3.07,-6.07
1313,-7.06,3.22,-6.70
1318,-6.73,3.41,-7.30
1322,-6.80,3.29,-8.01
1327,-6.53,3.32,-8.63
1332,-5.75,3.18,-9.17
1336,-5.35,3.16,-9.53
1341,-4.99,3.06,-9.84
1345,-4.63,2.89,-9.92
1349,-4.29,2.82,-9.51
1354,-3.91,2.54,-9.50
1359,-3.08,2.33,-9.17
1364,-2.42,2.12,-9.06
1368,-2.03,1.44,-8.50
1373,-1.34,1.46,-8.21
1378,-0.89,1.33,-7.81
1383,-1.11,1.54,-7.16
1386,-0.95,1.60,-6.85
1391,0.81,1.41,-6.79
1396,1.28,0.85,-7.46
1400,1.78,0.33,-7.82
1405,2.18,0.35,-7.79
1410,2.29,0.01,-7.09
1415,2.49,0.01,-6.89
1419,2.65,0.01,-6.78
1424,2.67,0.19,-5.56
1428,2.63,0.68,-4.05
1432,3.85,0.74,-2.66
1437,5.33,1.07,-2.34
1442,5.89,2.15,-1.83
1447,6.62,3.11,-1.70
1451,7.00,3.06,-1.97
1456,7.34,3.54,-3.02
1461,7.58,3.95,-3.96
1466,7.30,3.59,-4.91
1469,6.77,2.86,-5.11
1474,6.62,1.43,-4.42
1479,6.26,-0.77,-3.10
1483,7.30,-3.47,-1.94
1488,8.92,-6.39,0.01
1493,10.35,-7.75,2.16
1498,11.76,-10.35,4.96
1502,12.17,-12.61,7.92
1507,11.77,-14.11,10.45
1511,11.81,-14.54,12.78
1516,11.48,-14.63,13.87
1521,11.07,-13.89,14.80
1526,10.20,-12.58,15.92
1530,9.45,-9.56,17.66
1535,9.05,-7.89,18.67
1540,8.65,-5.29,19.28
1545,8.65,-3.84,19.46
1549,8.32,-3.66,19.40
1553,8.13,-3.59,18.97
1558,7.93,-3.68,18.51
1563,8.00,-3.64,17.62
1567,7.62,-3.39,16.19
1572,7.73,-3.13,14.81
1577,7.75,-2.85,13.33
1582,7.80,-3.80,11.95
1586,8.34,-4.38,11.43
1591,8.05,-2.59,11.15
1595,8.53,-1.53,10.72
1600,8.64,-1.38,9.70
1604,9.22,-0.96,9.51
1609,10.24,-0.05,10.13
1614,10.68,0.37,11.30
1619,10.74,-0.31,12.74
1623,10.64,-1.24,13.52
1628,10.77,-2.57,14.71
