timestamp,accX,accY,accZ
0,-8.17,4.55,-3.60
90,-8.10,4.73,-4.01
94,-8.04,4.90,-4.05
99,-8.10,5.22,-3.98
104,-8.26,5.48,-3.96
109,-8.24,5.83,-3.93
113,-8.29,6.16,-3.89
118,-8.31,6.58,-3.81
123,-8.27,7.17,-4.44
127,-7.99,7.39,-4.73
131,-7.84,7.81,-4.75
136,-7.49,8.00,-5.73
141,-7.00,8.27,-8.44
145,-7.83,8.60,-10.37
150,-8.35,8.88,-10.00
155,-7.90,9.53,-9.53
160,-7.62,10.15,-10.22
164,-7.73,10.20,-10.19
168,-7.96,9.98,-10.77
173,-7.77,9.74,-10.86
178,-7.26,9.74,-10.62
183,-6.84,9.63,-10.57
187,-6.53,9.65,-10.41
192,-6.33,9.43,-10.72
197,-6.14,9.50,-10.83
202,-5.81,9.25,-11.17
206,-5.47,8.88,-11.67
210,-4.89,8.69,-11.81
215,-4.47,7.86,-12.17
220,-4.26,6.97,-12.01
224,-3.91,6.03,-11.47
229,-3.56,4.88,-10.97
234,-3.14,3.70,-11.02
239,-2.76,2.56,-10.34
243,-2.51,2.01,-9.32
248,-1.68,1.28,-8.59
252,-0.96,1.02,-7.40
257,-0.64,0.87,-6.26
261,-0.19,0.71,-5.77
266,0.17,0.37,-5.10
271,0.48,0.16,-4.35
276,0.72,-0.20,-3.84
280,0.88,-0.46,-3.95
285,1.32,-0.79,-3.71
290,1.47,-0.78,-3.53
294,1.61,-0.66,-2.63
298,1.17,1.54,-1.65
303,1.20,3.18,-0.34
308,1.72,3.98,0.30
313,2.06,4.60,0.69
317,2.39,4.36,0.98
322,2.45,3.61,1.49
327,2.56,2.66,1.65
331,2.77,1.59,1.95
335,2.79,0.47,1.62
340,2.48,-0.05,1.92
345,2.27,-1.60,2.42
349,1.94,-2.83,2.93
354,1.39,-3.89,3.15
359,2.15,-5.02,3.30
364,3.19,-5.91,3.29
368,4.04,-6.10,3.68
373,3.76,-6.51,3.94
377,3.72,-6.75,4.66
381,3.70,-6.54,5.01
386,3.86,-5.98,5.76
391,4.24,-5.19,6.04
396,4.60,-4.16,6.32
400,4.92,-3.53,6.94
405,4.69,-2.62,7.17
410,5.17,-1.71,7.61
415,5.39,-0.98,7.83
418,5.76,-0.05,8.21
423,6.09,0.60,8.28
428,6.59,1.06,7.98
432,6.84,1.13,7.71
437,7.45,0.63,7.03
442,7.63,0.16,6.54
447,7.88,-0.49,5.35
451,8.43,-1.41,5.47
456,8.92,-2.06,5.13
460,9.63,-2.20,4.94
464,10.36,-2.56,5.33
469,11.09,-3.11,5.65
474,11.40,-3.52,5.70
479,12.05,-3.97,6.52
484,12.48,-4.60,6.92
488,13.09,-5.29,7.63
493,13.84,-5.84,7.85
498,14.78,-6.17,8.53
502,15.43,-6.49,9.21
506,15.42,-6.50,10.10
511,15.81,-6.98,11.28
516,16.07,-6.49,11.94
520,16.58,-6.36,12.79
525,16.93,-6.28,13.80
530,16.78,-6.23,14.51
535,16.73,-6.38,15.46
540,15.86,-6.65,16.56
543,15.71,-6.66,17.21
548,15.51,-7.22,17.97
553,15.00,-7.63,18.37
558,14.58,-8.39,18.74
562,14.18,-8.76,18.96
567,13.93,-8.96,19.25
572,13.63,-9.15,19.43
577,13.46,-8.76,19.37
581,13.43,-8.37,19.41
585,13.26,-7.72,19.36
590,12.79,-7.14,19.32
595,12.45,-6.89,19.28
600,12.74,-6.81,18.98
604,12.63,-6.88,18.67
609,12.48,-7.17,18.70
614,12.32,-7.47,18.55
619,12.26,-8.23,18.30
623,12.27,-8.99,18.32
627,12.22,-8.57,18.40
632,11.53,-8.62,18.36
637,11.46,-9.40,18.15
641,11.38,-10.17,18.13
646,11.20,-10.72,17.74
651,11.26,-10.87,17.60
656,11.44,-10.48,17.40
660,11.71,-10.58,16.77
665,12.18,-10.71,16.41
669,12.23,-10.81,16.25
674,12.16,-10.05,15.56
679,11.91,-9.33,15.23
683,11.86,-8.93,14.82
688,12.09,-8.92,14.53
693,11.94,-8.62,14.30
698,11.88,-8.54,14.01
702,11.77,-8.37,14.11
707,11.37,-8.21,13.79
711,11.14,-7.85,13.27
716,10.94,-7.24,13.00
721,10.65,-6.30,12.59
725,10.30,-5.34,12.70
730,9.92,-4.54,13.03
735,9.74,-3.79,13.21
740,9.72,-3.50,13.27
744,9.54,-2.82,13.19
749,9.44,-2.42,13.38
753,9.17,-2.30,13.37
758,9.16,-2.12,13.03
762,9.13,-2.03,13.05
767,9.45,-1.98,12.76
772,9.63,-1.95,12.52
777,9.80,-1.97,12.18
781,9.69,-2.16,11.52
786,9.47,-2.50,11.02
791,9.24,-2.64,10.70
795,9.14,-2.67,10.56
799,8.74,-2.42,10.19
804,8.67,-2.45,10.08
809,8.33,-2.79,9.87
814,8.32,-2.44,10.34
818,8.49,1.65,11.19
823,7.22,4.02,11.36
828,7.25,2.62,10.71
832,6.81,-5.59,7.85
836,6.54,-7.94,6.00
841,5.30,-8.91,6.12
846,4.90,-6.43,7.45
850,4.42,-3.63,9.39
855,4.30,-2.13,10.32
860,4.17,-1.55,11.09
865,3.84,-1.16,10.72
869,3.82,0.23,10.95
874,3.98,1.64,10.21
878,3.98,-0.01,9.81
883,4.44,0.37,9.28
887,3.78,-1.12,8.83
892,3.16,-1.34,8.21
897,3.32,-2.63,7.40
902,3.13,-3.06,6.91
906,2.50,-2.13,7.28
911,2.02,-1.24,7.52
916,1.42,-0.54,7.64
920,1.31,-0.44,7.58
924,1.05,-0.30,7.43
929,0.73,-0.48,7.49
934,0.19,-1.25,7.50
938,-0.23,-1.60,7.57
943,-0.33,-1.65,7.65
948,-0.57,-1.91,7.57
953,-0.90,-1.93,7.58
957,-1.02,-1.68,7.30
961,-1.00,-1.66,7.03
966,-1.85,-2.03,5.00
970,-1.87,-3.72,2.71
975,-2.00,-5.01,1.98
980,-1.55,-5.08,2.36
985,-1.00,-4.72,2.89
990,-1.09,-3.95,3.31
994,-1.29,-3.52,2.96
999,-2.02,-2.78,2.39
1003,-2.21,-2.33,2.09
1008,-2.80,-2.59,1.50
1012,-3.26,-3.19,1.44
1017,-3.66,-3.81,0.52
1022,-4.71,-4.04,0.47
1026,-5.13,-4.93,0.43
1031,-4.55,-5.19,-0.49
1036,-4.11,-5.32,-0.75
1040,-3.56,-5.38,-1.02
1044,-3.68,-6.01,-1.27
1049,-4.36,-6.49,-2.39
1054,-4.86,-6.69,-3.95
1058,-5.06,-7.36,-5.14
1063,-5.07,-7.21,-6.18
1068,-4.85,-7.03,-7.32
1073,-4.56,-6.64,-7.71
1077,-4.81,-6.33,-8.57
1082,-5.23,-5.94,-9.70
1086,-5.47,-5.65,-10.54
1090,-5.57,-4.72,-10.85
1095,-5.58,-3.17,-11.27
1100,-5.82,-1.61,-10.80
1105,-5.83,-0.34,-9.99
1109,-6.11,1.24,-9.35
1114,-6.21,2.22,-8.86
1119,-6.40,2.62,-8.29
1124,-6.10,3.33,-7.12
1127,-6.00,3.81,-6.38
1132,-5.85,4.27,-5.36
1137,-5.63,4.80,-5.10
1142,-5.58,5.23,-3.74
1146,-5.60,6.08,-3.06
1151,-5.70,6.19,-1.92
1156,-5.97,6.63,-0.81
1161,-5.97,6.51,-0.25
1165,-6.62,6.43,0.27
1169,-7.17,5.98,0.68
1174,-7.46,6.67,1.62
1178,-6.87,7.44,2.86
1183,-6.57,8.69,3.08
1188,-6.21,10.04,3.61
1193,-5.96,11.64,4.34
1197,-5.74,12.91,4.99
1202,-5.67,13.69,4.86
1207,-6.25,14.40,5.13
1211,-6.64,14.53,4.79
1215,-7.10,14.59,4.45
1220,-7.60,14.22,3.48
1225,-7.78,13.49,2.89
1230,-8.31,12.86,2.62
1234,-8.34,12.13,2.52
1239,-8.29,11.65,2.00
1244,-8.27,11.45,1.47
1249,-8.00,11.26,1.19
1252,-7.94,11.05,0.42
1257,-7.91,10.87,-0.19
1262,-7.87,10.96,-0.39
1267,-7.71,10.92,-0.98
1271,-7.73,11.19,-1.34
1276,-7.40,11.56,-2.01
1281,-7.63,11.68,-2.29
1286,-7.42,11.35,-3.07
1291,-7.50,10.78,-3.13
1294,-7.40,10.17,-3.21
1299,-7.72,9.96,-2.82
1304,-7.63,9.48,-2.88
1309,-7.39,8.72,-2.91
1313,-7.16,8.41,-2.97
1318,-6.85,8.19,-3.08
1323,-6.67,7.95,-2.75
1327,-6.40,7.69,-2.33
1332,-6.11,7.21,-1.87
1336,-5.93,6.76,-1.69
1341,-5.80,6.23,-1.53
1345,-5.79,5.89,-1.66
1350,-6.29,5.64,-1.57
1355,-6.46,4.63,-1.79
1360,-6.49,3.98,-1.78
1364,-6.20,3.24,-1.75
1369,-6.01,3.14,-1.88
1374,-5.85,3.31,-1.93
1378,-5.67,3.33,-2.35
1382,-5.50,3.64,-2.23
1387,-5.43,3.59,-2.53
1392,-5.45,3.05,-3.11
1397,-5.37,2.47,-3.45
1401,-5.17,2.17,-3.71
1406,-5.31,1.50,-4.48
1411,-4.98,1.51,-5.05
1416,-4.84,1.50,-5.53
1419,-4.67,1.21,-5.87
1424,-4.78,1.13,-6.53
1429,-4.74,1.03,-6.59
1433,-4.26,0.86,-6.47
1438,-3.88,0.82,-6.46
1443,-3.52,0.56,-6.22
1448,-3.17,0.22,-6.17
1452,-2.98,0.01,-6.17
1457,-2.08,-0.02,-6.30
1461,-1.30,-0.20,-6.46
1466,-0.64,-0.57,-6.39
1470,-0.36,-0.74,-6.91
1475,-0.14,-1.25,-7.36
1480,-0.11,-1.58,-7.73
1485,-0.15,-2.20,-7.63
1489,0.20,-2.77,-7.40
1494,0.70,-3.26,-7.32
1499,1.09,-3.79,-6.58
1502,1.56,-4.21,-5.68
1507,2.80,-4.41,-3.93
1512,3.21,-5.78,-4.11
1517,3.95,-6.62,-3.78
1521,4.81,-7.04,-2.97
1526,5.34,-8.35,-2.88
1531,5.54,-9.28,-2.07
1536,6.20,-9.57,-1.17
1540,6.61,-10.14,-0.50
1544,6.88,-10.26,0.56
1549,7.38,-9.99,1.52
1554,7.46,-9.82,2.70
