timestamp,accX,accY,accZ
0,-1.93,6.55,-4.13
91,-1.50,6.38,-3.95
95,-1.53,6.53,-3.46
100,-1.25,6.82,-3.25
105,-0.69,6.89,-3.08
110,-0.82,6.53,-3.02
114,-0.99,5.80,-3.16
118,-1.33,5.36,-2.52
123,-0.78,4.44,-1.39
128,-0.55,3.55,-0.53
132,-0.30,2.95,0.11
137,-0.47,2.55,0.82
142,-0.48,2.15,1.59
147,-0.57,2.01,2.35
151,-0.56,1.42,2.97
156,-0.68,1.07,3.31
160,-0.51,0.34,3.34
164,-0.29,-0.22,3.85
169,-0.53,-0.93,3.56
174,-0.42,-1.82,3.45
179,-0.25,-2.35,3.30
183,-0.16,-3.12,3.11
188,-0.11,-3.99,2.39
193,-0.11,-4.89,1.90
197,-0.30,-5.30,1.84
201,-0.60,-5.61,2.85
206,-0.45,-5.64,3.11
211,-0.50,-5.56,4.38
215,-0.22,-5.03,5.01
220,-0.21,-4.44,6.23
225,-0.20,-3.77,6.82
230,0.16,-3.39,7.22
234,0.76,-2.93,7.42
239,0.81,-2.88,6.33
243,0.64,-2.63,5.58
247,1.05,-2.88,4.54
252,1.01,-2.96,3.30
257,1.03,-3.02,2.94
262,1.08,-2.87,2.94
266,1.48,-2.76,2.56
271,1.80,-2.98,2.62
276,2.53,-3.00,2.95
281,3.45,-2.59,2.46
284,3.37,-2.28,2.88
289,3.25,-2.42,3.08
294,4.17,-2.37,2.89
298,4.07,-1.59,3.86
303,4.59,-1.59,4.90
308,5.58,-1.95,6.16
312,5.28,-2.66,6.74
317,5.74,-3.11,6.62
322,5.77,-3.38,6.38
326,5.70,-4.53,6.05
330,6.16,-4.87,5.82
335,6.13,-5.47,5.74
340,6.26,-5.79,5.87
345,6.38,-5.78,6.33
349,6.49,-5.80,6.57
354,6.94,-6.02,6.54
359,7.72,-6.60,6.17
363,7.96,-6.74,5.76
367,8.12,-7.06,5.63
372,8.09,-7.51,5.91
376,8.62,-8.06,5.72
381,9.07,-8.69,5.86
386,9.47,-9.03,6.10
391,10.37,-9.29,6.03
395,10.79,-9.72,6.19
400,11.17,-9.67,6.21
405,11.72,-9.60,6.30
409,12.25,-9.22,6.51
413,12.97,-8.84,6.62
418,13.57,-8.08,7.29
423,14.26,-7.89,8.34
428,14.86,-7.69,8.99
432,15.13,-7.93,9.16
437,15.17,-8.48,9.30
442,15.39,-9.05,9.31
447,15.35,-9.77,9.08
450,15.31,-10.40,9.63
455,15.24,-10.76,9.72
460,15.45,-11.39,9.85
465,15.82,-11.89,10.05
469,15.84,-12.38,10.18
474,16.19,-12.88,10.60
479,16.02,-12.99,10.65
484,16.48,-13.22,11.13
489,16.68,-13.70,10.97
492,16.92,-13.67,10.95
497,17.49,-13.81,10.86
502,17.54,-14.14,10.39
507,17.57,-14.37,10.54
511,17.41,-14.76,10.36
516,17.45,-14.02,10.31
521,17.19,-14.15,10.65
526,16.91,-14.43,10.62
530,16.54,-15.01,10.36
534,16.42,-15.32,10.93
539,15.91,-15.24,10.69
544,15.63,-14.76,11.57
548,15.19,-14.17,11.75
553,14.56,-13.02,12.86
558,13.96,-11.69,13.25
563,13.54,-11.25,14.00
567,13.09,-10.60,13.92
572,12.90,-10.64,13.16
576,12.62,-10.55,12.44
581,12.38,-10.65,12.27
586,12.15,-10.87,12.07
590,12.13,-11.17,11.35
595,11.98,-11.27,10.80
600,12.03,-11.12,10.00
605,12.12,-11.22,9.24
609,11.96,-11.27,8.70
614,11.89,-11.19,8.46
618,12.08,-10.72,7.74
623,11.87,-10.38,7.43
627,11.79,-10.29,6.76
632,12.15,-10.47,6.46
637,12.25,-9.79,6.45
641,11.83,-9.69,6.65
646,11.26,-9.93,6.54
651,10.84,-10.11,6.64
656,10.35,-10.46,7.17
660,9.95,-10.52,7.34
664,9.46,-10.81,8.14
669,9.27,-10.58,8.60
674,8.82,-10.43,8.50
679,8.43,-10.16,8.90
683,8.48,-10.03,9.17
688,8.21,-9.87,8.77
693,8.38,-10.00,8.59
697,8.32,-10.33,8.54
701,8.36,-10.50,8.81
706,8.26,-10.97,8.74
711,8.14,-10.99,8.71
715,8.19,-11.13,8.90
720,8.66,-11.15,8.70
725,9.00,-11.13,8.98
730,9.73,-10.29,8.74
734,9.74,-8.96,8.52
739,9.57,-7.86,8.42
743,9.71,-7.10,8.42
748,9.39,-6.46,7.50
752,8.59,-5.69,7.87
757,7.87,-5.50,7.59
762,7.24,-5.25,8.42
767,6.95,-5.89,9.13
771,6.62,-6.32,9.25
776,5.54,-5.65,9.87
781,5.08,-2.54,10.66
785,5.52,-1.61,11.65
789,3.99,-1.57,10.81
794,4.93,-6.23,9.17
799,5.98,-10.87,8.06
803,6.63,-11.69,6.94
808,6.62,-9.92,7.04
813,5.57,-7.74,7.97
818,4.92,-7.07,8.75
822,3.98,-6.18,9.38
826,3.13,-5.98,9.47
831,3.37,-6.11,9.90
