timestamp,accX,accY,accZ
0,-5.54,5.83,-9.51
91,-5.37,6.14,-10.33
95,-5.22,6.51,-10.75
100,-5.34,7.10,-11.84
105,-5.28,7.33,-11.86
110,-5.13,7.65,-11.98
114,-5.14,8.01,-12.18
118,-5.50,7.53,-12.23
123,-8.59,7.57,-10.68
128,-6.28,6.95,-11.58
132,-4.52,7.16,-11.42
137,-2.41,7.14,-11.42
142,-1.59,7.23,-11.48
147,-1.21,7.08,-10.79
152,-0.77,6.70,-9.96
156,-0.80,6.53,-9.19
160,-0.97,6.03,-8.46
165,-0.93,5.36,-7.40
169,-1.03,4.66,-6.26
174,-0.76,3.94,-5.99
179,-0.41,3.46,-4.74
183,0.10,3.34,-3.80
188,0.67,2.91,-3.22
193,0.96,2.92,-2.42
198,1.37,2.95,-1.79
202,1.88,3.15,-1.34
206,2.00,3.16,-0.57
211,2.08,3.04,-0.08
216,2.34,3.00,0.51
220,2.39,2.58,1.12
225,2.34,2.43,2.82
230,2.16,2.56,3.92
235,2.39,2.94,4.69
239,2.31,3.18,5.94
243,2.08,2.48,6.39
248,1.97,2.07,7.30
252,1.65,0.82,8.05
257,1.35,-0.90,8.75
262,1.13,-2.24,9.15
267,1.18,-3.98,9.04
271,1.19,-5.20,8.86
276,0.75,-7.31,8.56
281,0.77,-7.33,7.20
285,0.91,-7.84,6.76
289,0.89,-8.46,6.65
294,1.05,-8.53,6.63
299,1.10,-8.26,6.81
303,1.53,-8.03,7.90
308,2.24,-7.98,7.71
313,2.76,-7.54,7.40
318,2.62,-6.94,6.71
322,2.66,-6.16,6.14
327,3.10,-5.42,6.09
331,3.35,-4.74,5.86
336,3.81,-4.03,5.30
340,4.62,-4.18,4.98
345,5.23,-3.76,4.51
350,5.30,-3.44,3.90
355,5.85,-3.51,3.44
359,6.65,-3.41,3.32
364,7.34,-3.70,3.09
368,7.85,-4.02,2.88
373,8.84,-3.93,2.61
377,9.45,-3.98,2.74
382,9.82,-4.15,2.87
387,10.59,-4.44,3.90
392,11.14,-4.75,4.17
396,12.22,-4.85,4.89
401,12.60,-5.08,5.21
406,13.88,-5.16,6.31
410,14.07,-5.03,7.47
414,13.87,-5.73,8.41
419,13.93,-6.30,8.89
424,14.10,-7.30,9.20
428,14.81,-7.90,8.73
433,14.84,-7.99,9.64
438,14.49,-8.88,9.63
443,14.42,-9.69,10.18
447,14.40,-11.85,10.07
452,14.67,-13.26,9.72
456,14.72,-14.32,10.05
461,15.08,-15.09,9.74
465,15.62,-15.55,9.45
470,15.91,-15.75,10.02
475,16.14,-16.20,10.13
480,16.16,-15.36,12.46
485,15.89,-14.41,11.99
489,16.66,-12.48,11.89
493,16.85,-9.97,12.44
498,16.34,-8.13,14.21
502,15.68,-7.49,15.45
507,14.85,-6.73,16.61
512,14.40,-7.06,17.53
517,13.50,-7.90,17.60
522,12.78,-8.88,17.66
526,11.49,-10.36,17.57
531,10.82,-11.91,17.73
535,10.46,-12.49,17.51
540,10.04,-13.01,17.87
544,10.02,-13.41,17.32
549,10.01,-14.09,16.96
554,10.37,-14.76,15.98
559,10.72,-14.01,14.74
564,10.36,-14.42,14.23
569,10.39,-15.38,12.65
573,10.83,-15.61,11.49
577,11.32,-15.41,10.75
582,11.29,-14.66,10.09
587,11.07,-13.66,10.15
591,11.19,-12.04,10.86
596,11.58,-10.34,11.19
601,11.85,-8.92,12.09
606,11.69,-7.77,13.05
610,11.47,-7.27,13.19
615,11.26,-6.97,13.24
619,11.44,-6.70,13.52
624,11.49,-7.20,13.90
628,10.79,-7.84,13.52
633,10.49,-7.77,13.36
638,10.58,-6.79,12.91
643,10.52,-6.56,12.61
647,10.52,-6.16,12.42
652,10.43,-6.38,11.42
657,10.59,-6.94,10.42
661,10.58,-7.59,9.37
665,10.58,-8.00,8.88
670,10.36,-8.31,7.40
675,10.57,-8.58,6.13
680,10.21,-8.82,5.11
684,10.18,-8.80,4.15
689,9.99,-8.84,3.51
694,10.15,-8.76,3.34
699,10.12,-9.01,3.12
702,10.06,-9.04,3.50
707,9.82,-9.44,3.55
712,9.56,-9.91,4.37
716,9.55,-10.25,5.20
721,9.15,-10.68,6.13
726,9.15,-10.78,6.61
731,8.97,-11.02,7.72
735,8.82,-10.89,8.95
740,8.91,-10.66,10.52
744,8.55,-9.33,11.95
749,8.44,-7.98,13.26
753,8.32,-6.87,14.63
758,8.34,-6.18,15.38
763,8.31,-5.69,15.88
768,8.18,-5.66,14.59
772,9.03,-4.40,15.66
777,8.54,-3.22,16.27
782,8.16,-2.34,15.59
785,8.27,-5.51,12.02
790,7.58,-12.27,10.19
795,7.02,-14.32,8.09
800,6.08,-13.65,7.78
804,5.90,-11.28,8.89
809,6.69,-8.85,9.86
814,7.27,-6.87,10.26
819,7.58,-5.12,11.35
823,7.85,-4.45,11.47
827,7.68,-4.19,11.83
832,7.59,-3.10,12.07
837,7.60,-0.64,11.49
841,6.40,-3.85,8.67
846,6.43,-6.71,7.55
851,4.15,-6.66,7.81
856,2.46,-6.52,8.14
860,1.75,-6.90,8.80
865,1.72,-6.77,9.91
869,2.09,-5.46,11.04
874,2.33,-3.56,11.59
878,2.61,-2.70,11.23
883,2.88,-1.98,11.12
888,2.49,-1.24,10.65
892,1.95,-1.18,10.43
897,2.43,-0.91,10.21
902,3.33,0.48,10.03
907,3.70,2.38,10.01
910,4.35,2.86,9.10
915,4.73,2.40,8.03
920,4.23,1.78,6.34
925,3.04,0.34,4.06
929,1.53,-0.32,2.77
934,0.20,-1.22,1.41
939,-0.04,-0.90,0.70
944,-0.34,0.99,0.53
948,-0.25,2.84,0.49
952,-0.32,3.98,0.69
957,-0.49,4.43,1.19
961,-1.11,4.74,1.25
966,-1.48,5.02,0.51
971,-1.31,4.71,0.33
976,-1.68,3.93,-0.44
980,-2.13,2.83,0.00
985,-2.28,1.03,-0.66
990,-2.97,0.37,-1.13
993,-3.65,-1.25,-1.70
