timestamp,accX,accY,accZ
0,-8.09,6.71,-4.44
91,-7.93,6.83,-4.80
95,-7.50,6.84,-5.34
100,-7.40,6.99,-5.51
105,-7.21,7.35,-5.89
109,-7.03,8.03,-6.21
114,-6.58,8.72,-6.97
118,-6.39,9.20,-7.85
123,-6.51,10.16,-8.44
127,-6.53,11.22,-9.07
132,-6.26,11.71,-9.46
137,-5.73,12.12,-9.88
142,-5.82,12.70,-10.13
146,-5.35,13.08,-10.38
151,-5.09,13.21,-10.41
156,-4.74,13.41,-10.82
160,-4.53,13.39,-10.69
165,-4.12,13.30,-11.15
169,-3.37,12.99,-11.04
174,-2.74,13.10,-10.88
179,-2.01,13.54,-10.69
184,-1.36,14.09,-11.00
188,-1.02,14.44,-11.00
193,-0.26,14.76,-10.53
198,0.21,14.78,-9.56
202,1.23,14.49,-9.10
206,2.14,13.88,-7.58
211,3.59,13.02,-7.13
216,4.66,11.91,-5.70
221,5.48,11.44,-4.81
225,6.69,10.22,-3.39
230,7.68,9.03,-1.84
235,8.23,7.92,-0.46
240,8.86,7.07,1.14
243,9.32,6.18,1.61
248,9.66,5.14,2.55
253,9.97,4.62,3.75
258,10.63,3.68,4.79
262,10.66,2.95,5.02
267,10.74,1.97,4.88
272,10.81,1.55,5.11
277,11.18,1.46,5.10
281,11.07,1.17,4.93
285,10.49,1.03,4.49
290,10.22,0.47,3.85
295,9.79,-0.02,3.75
299,9.78,-0.54,3.39
304,10.00,-1.51,3.57
309,10.50,-2.22,3.79
314,10.66,-3.32,3.63
318,10.68,-4.48,4.34
323,11.08,-5.04,5.27
327,10.77,-6.10,5.35
332,10.65,-7.66,5.20
336,10.96,-9.24,5.03
341,11.25,-10.68,4.71
346,11.46,-11.72,4.02
351,11.55,-12.54,3.38
355,11.11,-12.87,3.15
360,10.64,-13.25,2.74
365,10.27,-13.44,2.61
369,10.14,-13.45,3.00
373,10.24,-13.50,3.49
378,10.65,-13.22,3.75
383,11.04,-13.04,4.75
388,11.49,-13.06,5.25
392,11.57,-12.61,6.28
397,11.55,-12.17,6.92
402,11.80,-11.71,7.08
407,11.74,-11.38,7.11
410,11.90,-11.38,6.46
415,12.00,-11.68,5.32
420,11.51,-11.89,3.87
425,11.43,-11.78,5.01
429,12.09,-13.19,4.28
434,12.62,-14.26,4.18
439,12.86,-14.84,3.30
444,12.65,-15.03,2.62
448,12.40,-15.02,2.12
452,12.09,-15.31,1.43
457,12.01,-15.64,0.98
462,12.11,-15.88,0.78
466,12.12,-16.05,0.26
471,11.95,-15.99,0.28
476,11.69,-16.25,0.14
481,11.76,-16.61,-0.34
485,11.90,-16.69,0.08
490,11.42,-17.14,0.74
494,11.69,-17.52,0.95
499,11.45,-18.11,1.22
504,11.52,-18.43,1.61
508,11.53,-18.65,1.57
513,11.42,-18.81,1.77
518,11.49,-18.95,1.93
523,11.29,-19.11,1.85
527,11.13,-19.24,1.10
532,11.04,-19.40,0.85
536,11.34,-19.27,0.26
541,11.15,-19.32,-0.04
545,10.92,-19.24,0.13
550,10.70,-18.90,-0.29
555,10.65,-18.71,-0.20
560,10.35,-18.45,0.20
564,10.25,-18.06,0.88
569,10.18,-17.77,1.23
574,9.90,-17.33,1.36
578,9.73,-16.90,2.01
582,9.61,-16.37,1.82
587,9.22,-16.19,2.02
592,8.88,-15.82,2.62
597,8.87,-15.29,2.58
601,8.65,-15.05,2.38
606,8.24,-15.18,2.55
611,8.15,-15.43,2.23
616,8.09,-15.92,1.31
619,8.41,-16.12,0.85
624,8.35,-16.71,-0.48
629,8.53,-17.10,-1.19
634,8.56,-17.23,-2.17
638,8.48,-17.07,-2.53
643,8.81,-16.75,-2.88
648,8.96,-16.12,-3.06
652,9.38,-15.70,-2.58
657,9.48,-14.68,-1.55
661,9.71,-13.75,-0.53
666,9.45,-12.56,1.23
671,9.46,-11.40,2.69
675,9.38,-10.18,3.33
680,8.99,-9.22,4.67
685,8.76,-8.60,6.01
689,8.38,-7.74,7.11
694,8.28,-7.20,8.08
699,7.68,-6.58,9.11
702,6.85,-5.96,9.58
707,6.03,-5.16,10.40
712,5.36,-4.57,11.91
717,4.75,-3.85,13.18
721,3.76,-3.00,13.84
726,3.30,-2.74,13.93
731,3.20,-2.78,13.59
736,2.62,-3.15,12.91
740,1.63,-3.42,11.27
744,1.02,-2.05,10.50
749,0.51,-4.45,8.86
754,0.00,-7.19,6.80
758,0.28,-9.27,5.92
763,1.12,-9.23,5.08
768,2.16,-7.76,4.93
772,2.81,-5.32,3.69
777,2.63,-4.65,1.94
782,3.77,-0.42,0.36
786,2.30,-0.13,-1.00
790,0.63,1.19,-2.35
795,-0.51,0.84,-2.90
800,-0.72,1.00,-3.45
805,-0.48,1.47,-3.47
809,-0.07,2.28,-3.13
814,0.11,3.14,-2.24
819,-0.06,3.97,-1.02
823,-0.10,4.53,-0.34
827,-0.36,4.88,0.85
832,-0.30,5.22,2.11
836,-0.55,5.55,3.76
841,-0.88,6.50,5.85
846,-1.45,6.93,8.29
851,-1.98,6.77,10.45
855,-3.36,6.89,11.00
860,-3.82,7.09,12.60
865,-2.72,8.43,13.60
869,-1.35,9.85,14.91
873,-0.04,11.54,15.27
878,0.32,14.20,15.63
883,0.79,16.31,15.19
888,0.56,18.00,15.76
892,-0.29,19.16,15.34
897,-1.85,19.45,15.41
902,-3.79,19.49,14.71
907,-4.34,19.53,15.01
911,-4.76,19.54,15.66
915,-4.93,19.54,15.74
920,-4.59,19.54,15.42
925,-3.95,19.54,15.17
930,-3.54,19.29,15.26
934,-2.98,18.45,14.48
939,-2.92,16.26,12.99
944,-2.82,13.97,11.83
949,-2.69,11.76,10.58
952,-2.72,9.81,9.44
957,-2.85,8.18,8.97
962,-2.95,6.57,8.11
967,-2.96,5.43,7.17
971,-2.85,4.91,6.87
976,-2.99,4.03,6.41
981,-2.81,3.77,6.16
986,-3.09,3.54,6.27
990,-3.09,3.64,6.74
994,-3.12,4.07,7.24
999,-3.14,4.47,8.04
1004,-3.21,4.61,7.98
1009,-3.24,5.01,7.93
1013,-3.00,5.60,7.81
1018,-3.04,6.08,7.23
1023,-2.81,6.25,6.27
1028,-2.80,6.15,5.80
1032,-2.79,5.65,3.91
1036,-2.67,5.53,2.03
1041,-2.89,5.05,0.59
1046,-3.30,4.59,-0.65
1050,-3.45,3.62,-1.56
1055,-3.58,2.99,-3.03
1060,-3.41,2.34,-3.26
1065,-3.21,1.97,-4.42
1069,-3.13,1.90,-5.29
1074,-3.23,1.20,-5.73
1078,-3.72,0.96,-5.99
1083,-3.76,0.67,-6.06
1087,-4.02,0.27,-6.17
1092,-4.20,0.10,-5.86
1097,-4.37,-0.20,-5.53
1101,-4.66,-0.28,-4.90
1106,-4.74,-0.49,-4.12
1111,-4.77,-0.49,-3.53
1116,-4.77,-0.34,-2.57
1119,-4.77,-0.30,-2.19
1124,-4.60,-0.26,-2.26
1129,-4.92,-0.30,-2.07
1134,-4.70,-0.33,-2.39
1138,-4.73,-0.43,-2.51
1143,-4.81,-0.59,-2.93
1148,-4.70,-0.60,-3.34
1153,-4.44,-0.43,-3.79
1157,-4.26,-0.17,-3.83
1161,-4.14,0.14,-4.48
1166,-3.91,0.28,-4.89
1171,-3.62,0.50,-5.23
1175,-3.44,0.92,-5.77
1180,-3.43,1.29,-5.70
1185,-3.07,1.63,-6.21
1189,-2.54,2.09,-6.46
1194,-2.19,2.41,-7.63
1199,-1.88,2.69,-8.87
1203,-1.97,3.29,-9.76
1207,-2.25,4.02,-10.37
1212,-1.92,4.24,-11.29
1217,-1.70,4.53,-12.54
1222,-1.37,4.26,-13.13
1227,-1.26,3.88,-14.00
1231,-1.35,3.77,-14.66
1236,-0.82,3.16,-15.24
1241,0.04,2.69,-16.15
1245,0.31,2.27,-16.93
1249,0.95,2.13,-17.81
1254,1.52,2.24,-18.02
1259,2.52,2.42,-18.38
1264,3.34,1.98,-18.55
1268,4.20,1.83,-18.56
1273,5.46,1.63,-18.42
1278,6.10,1.18,-18.23
1283,7.25,1.01,-17.26
1286,8.85,0.92,-16.57
1291,10.43,1.05,-15.27
1296,12.11,1.25,-13.68
1300,13.36,1.80,-11.96
1305,14.41,2.62,-9.96
1310,14.81,3.71,-8.04
1315,15.57,4.38,-6.34
1320,15.91,5.54,-2.93
1324,16.27,6.26,-1.93
1328,16.26,6.49,0.80
1333,15.91,6.79,4.14
1338,15.24,8.06,7.30
1342,12.70,8.82,8.83
1347,12.43,8.82,9.67
1352,12.88,8.26,11.28
1357,13.38,7.98,12.14
1362,13.70,6.70,13.23
1366,13.89,6.46,16.18
1370,13.27,5.61,18.27
1375,12.32,5.12,19.20
1379,11.95,4.34,19.46
1384,10.86,3.06,19.52
1389,9.63,1.95,19.53
1394,8.22,0.96,19.54
1398,6.85,0.53,19.54
1403,5.69,-0.07,19.54
1408,5.21,-0.63,19.54
1412,4.38,-1.42,19.54
1416,3.76,-2.33,19.54
1421,3.11,-3.19,19.54
1426,2.59,-4.24,19.54
1430,3.21,-4.03,19.26
1435,1.88,-4.99,19.09
1440,1.70,-5.08,18.46
1445,0.90,-5.17,17.81
1449,0.56,-4.81,17.64
1453,0.36,-4.32,17.04
1458,-0.31,-4.07,16.85
1463,-0.44,-3.49,16.50
1467,-0.38,-2.67,16.37
1472,-0.19,-2.03,16.18
1477,-0.27,-1.56,16.36
1482,-0.48,-1.17,15.98
1486,-0.69,-1.02,16.01
1491,-0.53,-0.79,16.29
1495,-0.89,-0.27,16.73
1499,-1.69,1.22,17.18
1504,-1.38,0.81,16.27
1509,-1.05,0.58,16.96
1514,-0.81,0.95,16.25
1518,-0.41,0.61,16.10
1523,-0.23,0.48,16.15
1528,-0.22,0.28,15.90
1533,0.45,0.09,16.82
1536,0.69,-0.28,16.89
1541,1.60,-0.15,16.72
1546,1.37,-1.27,16.92
