timestamp,accX,accY,accZ
0,-7.36,0.07,5.61
91,-7.46,0.07,5.54
95,-7.39,0.07,5.38
100,-7.50,0.06,5.54
104,-7.40,0.14,5.48
108,-7.40,0.23,5.63
113,-7.34,0.35,5.58
118,-7.40,0.31,5.36
123,-7.31,0.21,5.16
127,-7.50,0.08,5.42
132,-7.52,0.15,5.61
137,-7.63,0.37,5.74
141,-7.67,0.40,5.80
146,-7.65,0.41,5.69
150,-7.76,0.53,5.52
155,-8.09,0.56,5.94
159,-8.47,0.84,5.98
164,-8.55,0.86,5.91
169,-8.77,0.80,6.28
174,-8.94,0.84,6.48
178,-8.91,0.68,6.33
183,-9.14,0.44,6.71
187,-9.19,0.21,6.70
191,-9.39,-0.15,6.53
196,-9.56,-0.55,7.06
201,-9.63,-0.93,7.17
206,-9.61,-1.22,7.30
210,-9.71,-1.31,7.26
215,-9.82,-1.25,7.17
220,-10.09,-1.04,6.88
224,-10.10,-0.83,6.99
229,-10.31,-0.50,7.14
233,-10.33,-0.38,6.96
238,-10.70,0.16,7.00
242,-10.86,0.39,7.44
247,-10.83,0.74,7.35
252,-10.95,0.72,7.57
257,-10.70,1.01,8.04
261,-10.92,1.01,8.21
266,-11.06,1.09,8.55
271,-11.17,1.18,9.03
275,-11.04,1.45,9.75
279,-10.74,1.77,10.13
284,-10.74,2.01,10.28
289,-10.81,2.36,10.27
294,-10.62,3.03,10.59
299,-10.36,3.12,10.40
303,-10.28,3.38,10.23
308,-10.01,3.60,10.31
312,-9.95,3.97,9.64
316,-9.99,4.17,9.55
321,-9.76,4.04,9.24
326,-9.60,3.82,8.76
331,-9.49,3.53,8.84
335,-9.08,3.32,8.56
340,-9.03,3.02,8.23
345,-8.96,2.69,7.83
350,-8.38,2.63,7.20
354,-8.22,2.64,6.83
358,-7.93,2.71,6.57
363,-7.36,2.68,5.65
367,-6.95,2.89,4.77
372,-6.68,3.10,3.90
377,-6.80,3.44,3.03
382,-6.86,3.81,2.44
386,-6.61,4.39,1.91
391,-6.46,4.83,1.17
396,-6.41,5.21,1.02
399,-5.93,6.46,0.43
404,-5.58,7.21,-0.42
409,-5.77,7.58,-1.31
414,-5.82,7.89,-1.68
418,-5.69,8.81,-1.92
423,-5.73,9.37,-2.63
428,-5.65,10.08,-3.52
433,-5.87,9.82,-3.91
437,-6.09,9.23,-4.82
441,-5.45,9.30,-5.24
446,-5.33,9.87,-5.46
450,-5.28,10.66,-6.06
455,-5.47,10.82,-7.05
460,-5.43,11.09,-7.37
465,-5.17,11.02,-8.22
469,-5.03,11.18,-9.44
474,-4.70,10.96,-9.75
479,-4.50,10.62,-10.25
483,-4.13,10.35,-10.66
487,-3.67,9.70,-10.75
492,-3.42,9.56,-11.21
497,-3.01,9.61,-11.61
501,-2.16,9.82,-11.73
506,-1.76,10.14,-12.02
511,-1.00,10.58,-12.05
516,-0.12,10.57,-11.97
520,0.78,10.53,-11.71
524,1.92,10.28,-11.29
529,2.40,9.65,-10.56
534,3.34,8.81,-10.30
538,4.38,8.06,-9.89
543,5.20,7.31,-8.83
548,6.30,7.04,-7.80
553,7.40,6.62,-7.21
557,7.83,6.41,-6.48
562,8.71,6.68,-5.76
566,9.93,7.40,-5.57
570,11.01,8.24,-4.98
575,12.03,9.09,-4.67
580,13.01,9.38,-3.81
585,13.60,9.77,-3.05
589,14.02,9.97,-1.87
594,14.15,8.93,-0.59
599,15.97,8.72,5.57
