timestamp,accX,accY,accZ
0,-4.75,9.40,-9.99
91,-4.83,10.18,-11.43
95,-4.66,11.18,-12.88
100,-4.75,12.02,-14.07
105,-4.87,13.17,-14.48
109,-4.73,14.11,-16.07
114,-4.58,14.81,-17.23
118,-4.47,14.92,-17.80
123,-4.36,15.08,-18.32
128,-4.10,14.29,-18.83
133,-3.70,13.13,-18.11
137,-2.79,11.64,-17.96
142,-2.15,10.13,-17.09
147,-0.99,8.51,-15.92
151,-0.04,7.71,-14.55
155,0.81,6.37,-13.37
160,1.09,5.10,-11.84
165,1.96,4.00,-10.43
170,2.67,3.31,-9.90
174,3.24,2.90,-9.28
179,3.91,2.39,-7.92
184,4.72,2.38,-6.92
189,5.23,2.67,-6.32
192,5.70,2.98,-5.79
197,6.24,3.49,-5.32
202,6.41,4.18,-5.46
206,6.52,4.85,-4.76
211,6.30,5.37,-4.19
216,6.46,5.25,-3.08
221,7.64,5.10,-2.57
225,7.92,5.45,-1.16
230,8.22,6.07,-0.41
234,8.09,6.54,0.23
239,8.20,7.00,1.23
243,8.25,7.44,2.57
248,8.42,7.54,4.00
253,8.74,8.24,4.99
258,8.86,8.69,6.35
262,9.09,8.76,6.62
267,9.49,8.18,6.59
272,9.79,7.53,6.94
276,9.73,6.74,7.17
280,9.57,6.30,7.26
285,9.59,4.99,6.59
290,9.78,3.55,6.05
294,9.94,2.11,5.38
299,10.42,0.93,4.91
304,10.89,-0.37,4.21
309,10.92,-0.80,3.33
313,10.63,-1.53,2.49
317,10.66,-2.62,1.99
322,10.69,-3.35,1.96
326,11.07,-3.91,1.92
331,11.26,-4.05,2.32
336,11.77,-3.84,2.62
341,12.26,-3.62,4.05
346,12.45,-3.24,5.30
350,12.52,-2.48,7.23
355,12.68,-1.17,9.74
359,12.67,0.26,10.80
364,12.93,1.01,12.03
368,13.00,1.42,12.71
373,12.63,1.60,12.98
378,12.28,1.82,13.21
383,12.39,1.84,13.33
387,12.74,2.04,12.33
392,13.00,2.31,11.27
397,12.63,2.74,11.15
401,12.69,3.20,10.98
405,12.49,3.46,10.67
410,12.52,3.78,10.98
415,12.54,4.08,11.52
420,12.47,3.98,11.29
424,12.93,3.75,11.32
429,13.04,1.88,11.76
434,12.84,1.81,12.95
439,12.61,3.23,13.10
443,12.29,3.27,13.22
447,12.24,3.42,12.91
452,12.11,3.01,12.17
457,12.13,1.88,11.94
462,11.91,0.44,11.79
466,12.03,-0.42,11.78
471,12.03,-0.57,11.73
476,11.93,-0.50,11.20
481,11.76,-0.74,10.84
484,11.67,-0.98,10.72
489,11.62,-1.25,10.79
494,11.74,-1.04,10.89
499,11.99,-0.71,11.07
503,12.22,0.21,11.50
508,12.16,0.79,11.35
513,12.14,1.77,11.97
518,12.18,2.45,11.59
522,12.70,1.44,12.63
526,12.09,2.82,13.12
531,11.88,3.77,13.38
536,12.24,4.52,12.98
540,12.11,4.88,12.75
545,12.05,4.98,13.00
550,12.16,5.08,12.86
555,12.17,5.06,12.11
559,12.26,4.95,11.48
564,12.07,5.21,11.00
568,11.92,5.62,10.39
573,11.80,6.03,10.26
577,12.00,6.24,9.50
582,12.35,6.12,8.66
587,12.39,5.66,8.34
592,12.81,4.82,7.81
596,13.10,4.12,7.94
601,13.30,3.55,7.92
606,13.23,3.60,8.64
610,13.30,3.55,9.47
614,13.52,3.03,9.83
619,13.72,3.09,10.55
624,13.67,3.41,11.81
629,13.61,2.29,11.85
633,13.59,1.48,12.48
638,13.72,1.04,12.61
643,14.01,1.44,14.03
647,14.33,1.60,14.54
652,14.31,2.32,14.80
656,14.01,2.71,15.65
661,13.56,4.05,16.27
666,13.19,4.77,16.69
671,12.90,5.15,17.33
675,12.61,5.20,17.12
680,12.63,4.87,16.59
685,12.74,1.09,13.87
689,12.63,1.37,15.36
693,13.45,2.68,15.74
698,13.95,2.54,15.37
703,13.97,2.62,15.66
708,13.97,2.37,15.93
712,14.00,2.22,15.92
717,14.33,1.58,15.98
722,14.50,0.98,15.41
727,14.46,0.80,15.02
731,14.18,1.01,14.53
735,14.09,1.20,14.12
740,13.97,1.29,13.62
745,14.19,1.17,12.75
750,14.09,0.78,12.01
754,14.09,0.67,11.27
759,14.16,0.87,10.83
764,14.38,1.26,10.23
769,14.51,1.75,9.86
772,14.40,2.81,9.22
777,14.37,3.25,9.25
782,14.10,4.34,9.23
787,13.80,5.45,9.26
791,13.70,6.16,9.65
796,13.31,6.49,10.26
801,13.12,6.74,10.66
806,12.75,6.44,11.18
810,12.34,6.04,12.21
814,11.98,5.61,12.77
819,11.74,4.93,14.03
824,11.50,2.60,13.71
828,11.35,3.53,14.18
833,10.95,4.30,14.41
838,10.42,4.88,14.43
843,9.76,5.11,14.42
848,9.57,5.42,14.86
852,9.31,5.80,15.30
856,9.11,5.59,15.22
861,9.19,5.26,14.88
865,9.11,4.78,14.75
870,8.81,4.09,14.65
875,8.45,3.34,14.80
880,8.21,2.78,14.78
884,7.91,1.98,14.82
889,7.46,1.03,14.61
894,6.82,0.19,14.75
898,6.03,-0.45,14.77
902,5.56,-0.89,14.65
907,4.90,-1.14,14.62
912,4.63,-1.18,14.73
917,4.61,-1.24,15.18
921,4.58,-1.05,16.19
926,4.78,-0.92,16.87
931,4.98,-1.11,17.69
935,5.16,-1.54,18.36
939,5.38,-2.17,18.84
944,5.71,-2.91,19.27
949,6.26,-4.16,19.31
954,6.77,-5.04,19.48
958,7.64,-6.34,19.53
963,9.45,-7.24,19.54
968,11.87,-7.84,19.44
973,13.46,-8.14,18.08
977,14.58,-7.79,16.10
981,15.34,-7.55,14.11
986,15.79,-5.70,13.23
991,16.40,0.11,11.71
995,16.96,-0.77,10.46
1000,17.11,2.37,10.01
1005,17.06,0.67,8.35
1010,16.96,-0.33,7.59
1014,15.85,-2.23,7.75
1019,15.46,-2.73,8.86
1023,15.73,0.92,9.51
1028,16.14,4.88,8.96
1032,16.09,7.74,8.86
1037,15.66,8.97,7.25
1042,15.02,9.45,4.02
1047,13.69,9.31,1.71
1051,12.81,9.82,0.37
1056,12.24,10.68,-0.74
1061,11.27,11.58,-1.72
1065,10.12,11.93,-1.90
1069,9.18,11.74,-3.05
1074,8.34,11.50,-3.92
1079,7.19,11.24,-5.32
1084,6.01,10.29,-6.39
1088,5.33,9.55,-7.07
1093,4.46,9.20,-8.03
1098,3.60,8.99,-8.92
1103,2.90,8.84,-10.01
1106,2.32,8.75,-11.53
1111,1.44,8.47,-12.66
1116,0.94,7.81,-13.83
1120,0.17,7.37,-14.55
1125,-0.65,7.56,-14.97
1130,-1.55,7.79,-15.95
1135,-2.20,7.85,-16.16
1140,-2.88,7.87,-16.64
1144,-3.74,7.95,-16.38
1148,-4.20,8.42,-16.17
1153,-4.28,8.76,-15.70
1158,-4.67,8.54,-14.95
1162,-4.71,7.82,-14.51
1167,-5.01,6.99,-13.31
1172,-5.16,6.58,-12.74
1176,-4.79,6.14,-12.25
1181,-4.73,5.93,-12.08
1186,-4.56,5.60,-11.86
1190,-4.17,5.46,-11.53
1194,-3.94,5.36,-11.25
1199,-4.15,5.66,-10.93
1204,-3.58,5.57,-10.80
1209,-3.38,5.67,-10.84
1213,-2.86,5.92,-11.07
1218,-2.67,6.18,-11.09
1223,-2.25,6.55,-10.69
1228,-2.06,6.76,-10.84
1231,-1.68,6.89,-10.88
1236,-1.24,7.04,-10.72
1241,-0.57,7.17,-10.88
1246,-0.04,7.21,-10.44
1250,0.27,7.18,-9.94
1255,1.15,6.81,-9.72
1260,1.98,6.37,-9.80
1265,3.01,5.77,-8.84
1269,4.03,5.35,-8.58
1273,4.93,4.67,-8.18
1278,5.73,3.77,-7.61
1282,6.40,2.61,-7.83
1287,7.50,1.61,-7.51
1292,8.45,0.54,-7.25
1297,9.82,-0.36,-7.17
1301,10.63,-0.73,-7.60
1306,11.86,-1.35,-7.63
1311,12.36,-1.69,-8.00
1315,12.79,-1.34,-7.85
1319,13.84,-0.87,-7.00
1324,14.90,-0.54,-6.71
1329,15.94,-0.41,-6.60
1334,17.60,-0.43,-6.31
1338,18.97,-0.32,-6.01
1343,19.40,-0.18,-5.54
1348,19.47,-0.31,-5.33
1353,19.53,-0.68,-4.37
1357,19.54,-0.94,-3.75
1361,19.54,-1.69,0.57
1366,19.54,-1.79,8.87
1371,19.54,-1.74,14.28
1376,19.54,-3.05,17.07
1380,19.54,-3.85,17.67
1385,19.54,-4.96,18.09
1390,19.27,-5.62,18.65
1395,18.41,-5.75,18.64
1398,17.99,-5.77,19.13
1403,17.23,-5.80,19.33
1408,17.22,-5.85,19.41
1413,17.05,-5.69,19.46
1417,16.60,-5.62,19.46
1422,16.57,-5.28,19.50
1427,16.17,-4.81,19.53
1432,15.71,-4.15,19.54
1436,14.92,-3.74,19.54
1440,14.25,-3.27,19.54
1445,13.61,-3.20,19.54
1450,13.64,-3.28,19.54
1454,13.33,-2.54,19.54
1459,12.75,-2.43,19.54
1464,12.05,-2.06,19.54
1469,11.83,-1.99,19.54
1474,11.71,-1.38,19.54
1478,11.68,-1.01,19.54
1482,11.72,-0.63,19.54
1487,11.34,-0.21,19.54
1491,10.93,0.10,19.54
1496,10.55,0.02,19.54
1501,10.36,0.00,19.54
1506,10.01,-0.02,19.54
1510,9.45,0.21,19.51
1515,9.21,0.55,19.49
1520,8.78,0.67,19.52
1524,8.56,0.77,19.31
1528,8.04,0.60,19.22
1533,7.69,0.58,19.28
1538,7.50,0.45,19.21
1543,6.95,0.37,19.25
1547,7.10,0.15,19.34
1552,6.84,-0.22,19.33
1557,6.70,-0.68,19.41
1562,6.51,-0.90,19.21
1566,6.26,-1.18,19.23
1570,5.96,-1.35,18.88
1575,5.95,-1.48,18.78
1580,6.16,-1.37,18.89
1584,6.10,-1.15,18.34
1589,6.00,-0.87,18.36
1594,5.91,-0.63,18.33
1599,5.57,-0.44,17.86
1603,5.59,-0.32,17.71
1607,5.65,-0.51,17.41
1612,5.54,-0.60,16.73
1617,5.30,-0.73,16.71
1621,5.45,-0.94,16.37
1626,5.21,-1.08,16.18
1631,5.13,-0.95,15.24
