timestamp,accX,accY,accZ
0,-7.15,8.84,-0.42
91,-6.95,9.25,-1.04
95,-6.69,10.34,-1.12
100,-6.58,11.37,-1.43
105,-6.73,12.26,-2.11
108,-6.16,13.00,-2.48
113,-5.80,13.56,-2.97
118,-5.56,14.25,-3.41
123,-5.47,14.87,-4.14
127,-5.26,15.59,-4.40
132,-5.06,16.10,-4.42
137,-4.76,16.08,-5.11
142,-3.67,15.83,-4.65
146,-3.49,16.75,-3.49
150,-3.16,16.63,-3.57
155,-2.82,16.17,-3.95
160,-1.97,15.02,-4.36
164,-1.87,13.77,-4.11
169,-0.92,12.39,-4.26
174,-0.02,11.09,-3.92
179,0.82,9.81,-4.00
183,1.44,8.54,-4.01
188,1.88,7.82,-3.62
192,2.61,6.68,-3.19
197,3.10,5.92,-3.42
201,3.19,5.16,-2.90
206,3.65,4.56,-2.46
211,3.95,3.84,-1.84
215,4.07,3.57,-1.01
220,4.52,3.37,-0.75
225,4.61,3.03,-0.12
230,5.33,2.53,0.92
233,5.93,2.59,2.16
238,6.50,2.80,2.34
243,6.87,2.70,2.76
247,7.31,2.57,2.85
252,7.69,2.53,2.69
257,8.18,2.29,2.52
262,8.60,2.05,2.47
266,9.06,1.96,2.31
271,8.76,2.05,2.06
275,8.80,1.91,1.68
279,8.46,0.83,1.53
284,9.02,0.41,1.48
289,9.53,-0.41,1.68
293,10.04,-1.40,2.17
298,10.51,-2.51,2.31
303,10.65,-3.76,2.46
308,10.86,-4.17,3.01
312,11.52,-5.47,3.83
316,11.63,-6.52,4.27
321,11.96,-7.35,4.55
326,12.21,-7.94,4.96
330,12.43,-8.50,5.06
335,12.49,-8.63,5.50
340,12.34,-8.70,5.58
345,12.62,-8.73,5.49
349,12.67,-8.72,5.65
354,12.94,-8.51,5.72
358,13.00,-8.33,5.64
363,12.77,-8.31,5.48
367,12.80,-8.44,5.23
372,12.73,-8.36,5.33
377,13.05,-8.29,5.06
382,12.99,-8.52,4.81
386,12.88,-8.41,4.74
391,12.90,-8.48,4.77
396,12.69,-8.55,5.12
400,12.84,-8.55,5.48
404,12.77,-8.58,5.76
409,12.90,-8.76,6.22
414,12.91,-8.86,6.11
419,13.31,-8.80,6.55
423,12.98,-8.95,6.94
428,12.96,-9.00,7.14
433,12.93,-9.06,7.62
438,13.01,-8.99,7.87
442,13.25,-9.16,7.82
446,13.09,-8.84,7.88
451,13.09,-8.62,7.81
456,12.90,-8.71,7.40
460,12.71,-8.47,7.45
465,12.42,-8.55,7.31
470,12.73,-8.67,7.54
475,12.86,-8.60,7.04
479,12.86,-8.43,7.29
483,13.01,-8.34,6.90
488,12.79,-8.15,7.00
493,12.83,-7.69,6.88
497,12.79,-7.24,7.10
502,13.13,-6.94,6.72
507,12.84,-6.51,6.69
512,13.03,-6.25,6.54
516,13.09,-6.38,7.05
521,12.94,-6.51,6.75
525,13.38,-6.63,6.50
530,13.74,-6.68,7.41
534,14.07,-6.88,7.63
539,14.42,-7.13,8.04
544,14.45,-7.51,8.01
549,14.70,-7.84,7.96
553,14.99,-8.15,8.22
558,15.01,-8.41,8.10
563,15.03,-8.84,8.69
567,15.11,-9.07,8.64
571,14.92,-9.54,8.67
576,14.96,-10.07,8.44
581,14.88,-10.44,8.51
586,15.16,-11.01,8.60
590,15.14,-11.54,8.31
595,15.48,-11.92,8.36
600,15.62,-12.30,8.97
605,15.64,-12.40,9.42
609,15.77,-12.53,9.91
613,15.70,-12.48,10.62
618,15.66,-12.37,11.08
623,15.67,-12.18,11.73
628,15.70,-12.04,12.18
632,15.65,-11.97,12.24
637,15.50,-12.03,12.59
642,15.41,-11.95,12.46
647,15.36,-11.95,12.21
651,15.28,-12.09,11.98
655,15.40,-12.40,11.49
660,15.48,-13.00,10.94
665,15.27,-13.72,10.05
670,15.17,-14.47,8.51
674,15.22,-14.92,7.57
679,15.05,-15.57,6.97
684,15.24,-15.89,6.00
689,15.37,-16.10,5.57
693,15.72,-16.12,5.10
697,16.39,-15.96,5.18
702,16.80,-15.45,4.96
707,17.19,-15.09,4.87
711,17.45,-14.44,4.55
716,17.41,-13.79,4.44
721,17.51,-13.18,4.46
726,17.72,-12.63,4.34
731,17.80,-12.12,3.72
734,18.03,-11.90,3.58
739,18.33,-11.49,2.99
744,18.08,-11.27,3.11
749,18.06,-10.78,3.34
753,17.98,-9.76,3.84
758,18.02,-8.87,4.65
763,18.18,-7.48,5.42
768,18.45,-5.30,7.27
772,18.66,-4.25,8.54
776,18.42,-2.46,9.47
781,17.91,-1.10,9.68
785,17.32,0.00,9.63
790,16.47,0.43,9.39
795,15.57,0.27,9.45
800,14.95,-0.11,9.30
804,12.98,-0.38,9.97
809,14.01,-2.05,8.95
814,14.55,-2.23,7.49
818,14.66,-4.18,6.44
822,13.33,-4.26,6.23
827,11.31,-5.09,5.81
832,10.23,-4.55,5.69
837,10.21,-3.18,5.35
841,9.67,-2.94,5.13
846,8.51,-1.50,5.52
851,7.81,0.32,6.94
856,6.19,1.40,7.95
859,4.94,2.28,8.54
864,4.04,1.78,8.83
869,3.13,1.99,9.90
874,2.92,1.48,10.47
878,2.47,0.23,11.48
883,2.45,-1.02,12.15
888,2.87,-2.25,12.64
892,3.09,-3.37,12.82
897,3.27,-4.33,13.14
901,3.70,-4.74,13.24
906,3.90,-5.04,13.28
910,3.61,-5.08,13.24
915,3.40,-5.06,12.83
920,2.91,-4.66,12.77
925,2.37,-4.44,12.66
929,1.67,-4.65,13.19
934,1.42,-4.65,13.24
939,0.98,-5.10,13.07
943,1.09,-6.15,13.37
947,0.99,-7.33,13.65
952,1.40,-8.38,13.92
957,2.35,-7.59,13.98
962,3.50,-10.63,13.04
966,5.54,-10.22,13.26
971,5.68,-9.85,12.73
976,7.07,-10.05,11.81
981,7.57,-10.71,9.97
984,7.85,-11.49,7.67
989,8.40,-11.30,6.74
994,8.92,-10.05,5.12
999,9.57,-8.51,3.87
1003,10.36,-3.49,3.98
1008,10.46,0.65,3.33
1013,10.21,1.50,2.69
1017,8.91,0.90,2.59
1022,7.24,1.39,2.41
1026,6.17,2.24,2.66
1031,5.41,2.62,2.90
1035,4.80,3.75,3.36
1040,4.64,3.18,3.30
1045,4.60,3.02,3.83
1049,4.47,4.55,3.86
1054,3.98,6.98,4.19
1059,3.32,7.77,4.99
1064,3.41,8.02,6.07
1067,3.70,7.30,6.92
1072,3.78,7.71,6.83
1077,3.06,8.78,6.61
1082,3.00,10.32,6.36
1086,2.80,11.96,6.15
1091,3.17,12.80,4.99
1096,2.88,14.68,3.89
1101,2.67,16.55,2.06
1105,1.49,17.43,0.23
1109,0.38,17.69,-0.77
1114,-0.98,18.44,-2.38
1118,-2.05,18.51,-3.97
1123,-3.11,18.35,-5.79
1128,-3.71,17.45,-7.74
1133,-4.25,16.64,-9.48
1137,-5.26,16.12,-10.65
1142,-6.24,15.69,-11.20
1147,-6.77,15.53,-11.98
1151,-7.49,15.58,-11.86
1155,-7.88,15.15,-12.23
1160,-7.76,13.73,-12.40
1165,-7.58,11.95,-12.29
1170,-7.63,10.10,-11.95
1174,-7.36,8.38,-11.51
1179,-6.75,6.70,-10.73
1184,-5.91,5.06,-10.70
1189,-5.33,4.52,-10.36
1192,-5.59,3.53,-10.07
1197,-4.30,1.84,-9.77
1202,-4.12,1.16,-9.48
1207,-4.28,0.44,-9.43
1211,-4.70,-0.30,-9.51
1216,-4.76,-0.79,-9.11
1221,-5.02,-1.14,-7.84
1226,-4.98,-1.46,-7.40
1230,-5.12,-2.23,-7.01
1234,-5.24,-2.81,-6.11
1239,-5.26,-3.40,-5.49
1243,-4.66,-3.96,-4.75
1248,-4.29,-4.33,-3.96
1253,-4.21,-4.43,-3.22
1258,-3.82,-4.60,-2.60
1262,-3.61,-4.60,-2.63
1267,-3.46,-4.49,-2.11
1272,-3.34,-4.54,-2.16
1276,-3.08,-4.51,-2.33
1280,-2.89,-4.51,-2.90
1285,-2.78,-4.75,-3.37
1290,-2.91,-4.77,-4.28
1295,-3.06,-4.72,-4.37
1299,-3.13,-4.71,-4.99
1304,-2.88,-4.59,-5.31
1309,-2.62,-4.47,-5.75
1314,-2.75,-4.37,-5.98
1317,-2.63,-4.03,-6.14
1322,-2.46,-3.72,-5.95
1327,-2.33,-3.40,-6.11
1331,-2.33,-3.22,-6.26
1336,-2.00,-3.08,-5.98
1341,-1.28,-2.97,-6.25
1346,-1.02,-2.84,-6.53
1350,-0.84,-2.58,-6.84
1355,-0.70,-2.44,-6.88
1359,0.13,-2.17,-7.51
1364,0.72,-1.76,-7.81
1368,1.48,-1.55,-8.01
1373,2.04,-1.13,-8.40
1378,2.63,-0.93,-8.94
1382,3.19,-0.40,-9.38
1387,3.65,0.11,-9.70
1392,3.92,0.71,-9.89
1397,4.36,1.22,-9.90
1400,4.77,1.75,-10.45
1405,4.88,2.35,-10.60
1410,5.44,2.74,-10.90
1415,5.89,3.42,-10.71
1420,6.15,3.96,-10.30
1424,7.00,4.40,-10.33
1429,7.64,4.81,-9.89
1434,8.36,4.88,-9.90
1438,9.57,4.95,-9.88
1442,10.63,5.28,-9.41
1447,11.78,5.67,-9.04
1452,12.39,6.11,-8.63
1456,13.29,6.67,-8.07
1461,14.17,7.14,-7.87
1466,15.28,7.93,-7.28
1471,16.80,8.78,-6.45
1475,18.29,9.22,-5.22
