timestamp,accX,accY,accZ
0,5.98,5.50,3.55
90,-11.18,5.62,3.05
94,-11.20,5.76,2.71
99,-11.05,5.89,2.51
104,-10.99,6.01,1.99
109,-10.67,5.96,1.50
113,-10.31,6.00,1.34
118,-10.13,6.19,0.71
123,-10.03,6.23,0.44
128,-9.44,6.43,-0.30
131,-9.10,6.66,-1.01
136,-9.07,7.23,-1.55
141,-8.56,8.26,-2.43
146,-8.31,8.53,-3.14
150,-7.86,9.39,-4.47
155,-7.85,10.27,-5.37
160,-7.72,10.98,-6.55
165,-7.31,11.49,-7.53
169,-7.07,12.11,-7.95
173,-6.61,12.25,-8.38
178,-6.32,12.45,-9.22
183,-5.92,12.29,-9.26
187,-5.49,12.22,-9.93
192,-5.17,12.34,-10.38
197,-4.63,12.03,-10.46
202,-3.96,11.47,-10.71
207,-3.04,11.08,-10.86
211,-2.26,10.93,-10.41
215,-1.36,10.80,-10.73
220,-0.57,10.50,-10.93
225,-0.19,10.10,-11.15
229,0.57,9.48,-11.68
234,1.15,9.02,-11.79
239,1.70,8.44,-12.00
244,2.47,7.94,-11.84
248,3.42,7.64,-11.94
253,4.24,7.26,-11.76
257,4.74,7.09,-12.13
262,5.48,7.03,-11.89
266,6.25,7.17,-11.67
271,7.36,7.13,-11.39
276,7.91,7.30,-11.06
281,8.68,7.20,-10.58
285,9.71,7.30,-10.28
290,10.22,7.42,-9.45
295,11.27,7.61,-8.48
299,12.45,7.94,-7.02
303,13.91,8.35,-6.20
308,14.92,8.44,-4.28
313,16.13,8.46,-2.26
317,17.18,8.39,0.26
322,17.66,8.01,2.52
327,18.79,7.81,4.85
332,19.30,7.63,6.01
336,19.48,7.52,8.88
340,19.53,7.38,11.52
345,19.54,7.10,13.74
350,19.54,6.45,15.38
354,19.54,5.50,16.56
359,19.54,4.45,17.70
364,19.53,3.20,18.08
369,19.47,1.51,17.70
373,19.37,0.17,17.51
378,19.27,-0.97,17.31
382,18.65,-3.30,15.81
387,17.78,-4.60,13.75
392,17.27,-5.26,12.29
396,16.57,-5.86,11.05
401,16.30,-6.47,10.93
406,16.23,-6.68,10.53
411,16.05,-6.84,10.85
415,15.81,-7.31,11.44
420,15.74,-7.52,12.26
424,15.61,-7.24,13.28
429,15.34,-6.76,14.06
433,15.00,-5.87,14.27
438,14.73,-5.16,15.05
443,14.24,-4.28,15.44
448,14.04,-4.10,15.23
452,13.76,-3.99,15.81
457,13.31,-3.92,15.76
462,13.18,-3.71,15.69
466,13.09,-3.53,15.64
