timestamp,accX,accY,accZ
0,-8.63,15.37,0.01
91,-8.62,16.03,-0.63
94,-8.31,16.07,-1.14
99,-7.98,16.35,-1.68
104,-8.13,16.79,-2.30
109,-7.50,17.19,-2.61
113,-7.30,17.42,-3.15
118,-7.07,17.22,-3.16
123,-6.70,16.86,-3.59
127,-6.34,16.63,-3.69
132,-5.99,16.05,-3.71
136,-5.69,15.40,-4.20
141,-5.36,14.96,-5.07
145,-5.12,14.12,-5.05
150,-4.67,13.01,-5.47
155,-4.44,12.18,-5.94
160,-3.80,11.81,-6.25
164,-3.47,10.94,-6.42
169,-3.30,10.17,-6.28
174,-3.07,9.33,-5.89
178,-2.62,8.29,-5.96
182,-2.18,7.40,-5.98
187,-1.76,7.00,-5.58
192,-1.31,6.23,-6.03
197,-0.90,5.67,-6.14
201,-0.65,5.71,-6.80
206,-0.46,5.79,-7.45
211,-0.31,6.16,-7.86
215,0.33,6.49,-8.31
219,0.76,6.47,-8.90
224,1.48,6.41,-9.06
229,2.19,6.49,-9.54
233,2.52,6.47,-9.43
238,3.17,6.33,-9.08
243,4.01,5.96,-9.01
248,4.80,5.50,-8.29
252,6.18,5.10,-7.28
257,7.35,4.37,-6.21
261,7.92,3.96,-5.51
266,8.27,3.64,-4.27
270,8.76,3.29,-3.63
275,9.20,2.79,-3.26
280,9.84,2.62,-2.23
284,10.21,2.51,-1.83
289,10.58,2.50,-0.99
294,10.60,2.90,-0.38
299,10.85,3.26,0.15
303,11.13,3.79,0.11
307,11.54,4.06,0.01
312,11.81,4.21,-0.09
317,11.92,4.26,-0.03
321,12.21,4.36,-0.47
326,12.37,4.04,-0.44
331,13.28,3.77,-0.18
336,14.23,3.58,0.31
340,14.96,3.32,0.52
344,15.94,2.97,0.28
349,17.03,2.81,0.71
354,18.15,2.31,1.60
358,19.13,1.57,2.05
363,19.34,1.06,3.20
368,19.49,0.58,4.48
373,19.53,0.32,5.00
378,19.54,0.02,6.30
382,19.54,-0.44,7.82
386,19.54,-0.70,9.04
391,19.54,-1.28,10.36
396,19.54,-1.94,11.55
400,19.54,-2.80,12.44
405,19.54,-3.75,12.94
410,19.54,-4.55,13.45
415,19.54,-5.15,13.73
419,19.54,-5.52,13.53
424,19.54,-6.43,13.63
428,19.54,-7.15,13.81
433,19.54,-7.85,13.84
437,19.54,-8.23,13.51
442,19.54,-8.22,13.03
447,19.52,-8.21,13.07
452,19.47,-8.03,12.61
457,19.34,-7.75,12.18
461,19.01,-7.55,12.05
466,19.02,-7.29,12.51
470,18.85,-6.79,13.00
475,18.60,-6.50,13.22
479,18.65,-6.26,13.69
484,18.65,-5.99,14.26
489,18.82,-6.25,14.92
494,18.75,-5.67,15.52
498,18.43,-4.46,16.02
503,18.40,-3.96,16.58
508,18.16,-3.93,16.85
512,18.24,-5.66,16.98
517,17.84,-5.13,17.98
521,17.67,-4.83,17.81
526,17.77,-4.96,17.76
531,17.47,-5.24,17.31
535,17.42,-5.99,16.91
540,16.96,-6.40,16.76
545,16.84,-6.53,16.73
550,16.62,-6.81,16.48
554,16.56,-7.98,16.13
558,16.39,-8.99,16.26
563,16.10,-10.48,16.72
568,16.07,-11.41,17.33
573,15.89,-11.72,17.80
577,15.49,-11.72,18.51
582,15.60,-11.48,18.85
587,15.12,-11.20,19.21
592,14.71,-11.11,19.41
595,14.52,-10.89,19.47
600,14.46,-10.85,19.51
605,14.17,-10.81,19.50
610,14.13,-10.98,19.47
614,13.99,-10.93,19.51
619,13.65,-11.07,19.42
624,13.53,-11.04,19.13
629,13.39,-11.27,18.73
633,13.43,-11.68,17.80
637,13.40,-12.39,16.61
642,13.19,-12.84,15.13
647,13.25,-13.55,14.68
652,13.54,-13.86,13.58
656,14.23,-13.49,12.86
661,14.71,-13.09,11.95
666,15.09,-12.71,11.45
671,15.32,-11.73,11.01
675,15.71,-9.80,10.63
679,16.09,-7.68,10.16
684,16.24,-5.16,10.36
689,16.41,-3.00,10.19
693,15.99,-1.79,10.15
698,15.47,-0.05,9.98
703,15.04,1.40,9.55
708,14.41,2.31,9.67
712,13.66,2.31,8.92
717,13.06,1.71,8.94
721,12.41,0.84,9.05
726,11.76,0.37,9.38
730,11.34,-0.57,9.60
735,11.03,-1.30,9.55
740,10.69,-1.65,9.48
745,10.48,-1.78,9.70
749,10.18,-1.69,9.99
754,9.67,-1.46,9.82
759,9.04,-1.39,9.76
762,8.52,-1.56,9.36
767,8.32,-2.80,9.91
772,7.94,-3.44,10.11
777,7.59,-4.60,10.49
781,7.41,-6.14,10.72
786,6.94,-6.92,10.10
791,7.49,-8.22,10.00
796,7.68,-9.42,9.67
800,7.84,-10.50,8.81
804,8.16,-11.75,8.21
809,8.59,-12.31,7.40
814,8.64,-12.10,6.15
818,8.64,-10.35,5.63
823,8.62,-9.76,4.88
828,8.51,-8.02,4.92
833,8.54,-6.13,5.25
837,8.82,-4.27,6.24
842,9.31,-2.48,7.35
846,9.42,-0.65,9.32
850,9.90,0.32,11.26
855,9.54,1.65,12.97
860,9.27,2.95,13.78
865,8.48,6.87,14.28
869,7.72,9.28,13.04
874,6.86,7.22,13.04
879,5.10,6.29,13.20
884,3.80,6.12,13.57
887,3.68,5.69,14.56
892,3.73,6.46,15.97
897,3.87,8.28,17.16
902,3.58,9.85,18.51
906,3.48,10.91,18.64
911,2.90,10.12,19.16
916,2.90,9.82,19.29
921,2.82,8.22,19.13
925,3.09,7.04,19.23
929,3.39,5.77,18.87
934,3.85,3.47,18.56
939,3.76,2.21,18.22
943,4.31,2.36,17.59
948,5.32,2.75,15.75
953,5.78,3.42,13.86
957,6.26,3.85,10.87
962,6.34,3.70,8.37
967,5.54,3.37,6.29
971,4.67,3.71,5.59
976,4.22,3.13,4.05
980,3.65,2.84,3.37
985,3.12,1.85,2.81
990,2.92,1.73,3.08
994,2.49,2.62,2.90
999,2.51,2.88,2.90
1004,2.33,2.69,2.12
1009,1.94,2.78,1.24
1012,1.22,3.07,0.65
1017,0.65,3.53,0.13
1022,0.34,4.09,-0.96
1026,-0.47,4.11,-1.44
1031,-0.98,3.57,-1.42
1036,-1.39,2.75,-1.63
1041,-1.67,2.51,-1.96
1045,-2.02,2.64,-2.04
1050,-1.93,3.30,-2.43
1054,-2.07,4.30,-2.76
1059,-2.23,5.45,-3.10
1064,-2.65,6.73,-3.13
1068,-2.77,5.96,-3.23
1073,-3.18,5.11,-3.53
1078,-3.31,5.11,-3.91
1083,-3.35,5.12,-4.11
1087,-3.05,5.85,-4.60
1092,-2.67,7.03,-5.80
1096,-2.96,7.78,-6.51
1100,-3.70,7.97,-7.75
1105,-4.49,8.01,-8.84
1110,-5.16,7.55,-9.76
1115,-5.39,7.19,-10.12
1119,-5.35,6.89,-10.17
1124,-5.51,6.53,-10.16
1129,-5.58,5.84,-10.01
1134,-5.55,5.06,-9.72
1137,-5.42,4.62,-9.13
1142,-5.40,3.52,-8.92
1147,-5.28,2.62,-8.58
1151,-5.24,1.49,-8.31
1156,-5.21,0.35,-8.27
1161,-5.02,-0.70,-8.28
1166,-4.74,-1.29,-8.25
1170,-4.85,-1.50,-7.94
1175,-4.74,-2.07,-7.95
1179,-4.81,-2.32,-8.26
1184,-4.80,-2.31,-7.81
1188,-4.91,-2.16,-7.92
1193,-4.65,-1.64,-7.94
1198,-4.15,-0.96,-7.64
1203,-4.24,-0.72,-7.53
1207,-3.99,-0.20,-7.83
1212,-3.83,0.42,-8.35
1217,-3.88,1.23,-8.56
1221,-3.76,1.79,-9.18
1225,-3.33,2.35,-9.39
1230,-3.19,2.94,-9.82
1235,-3.24,3.30,-10.27
1239,-3.24,3.65,-10.19
1244,-3.05,3.89,-10.18
1249,-2.84,4.02,-10.23
1254,-2.81,4.32,-10.00
1258,-2.53,4.42,-10.01
1262,-2.09,4.34,-9.71
1267,-1.53,4.36,-10.01
1272,-1.26,4.28,-9.72
1276,-1.08,4.21,-9.92
1281,-0.49,3.95,-9.65
1286,0.18,3.63,-9.61
1291,0.99,2.83,-9.63
1295,1.73,2.30,-9.94
1300,2.43,2.04,-10.22
1304,2.80,1.63,-10.40
1309,3.04,1.29,-10.03
1313,3.98,1.20,-10.19
1318,4.86,1.26,-9.60
1323,5.71,1.59,-9.78
1328,6.61,2.17,-9.46
1332,7.20,2.32,-8.85
1337,8.07,2.77,-8.67
1342,8.19,3.17,-8.13
1345,9.04,3.55,-7.62
1350,9.90,3.80,-7.20
1355,11.18,4.11,-6.95
