timestamp,accX,accY,accZ
0,-8.75,1.82,-0.41
91,-8.74,1.98,-0.05
95,-8.98,2.30,0.12
100,-8.99,2.92,0.28
105,-8.99,3.34,0.73
109,-9.22,3.95,1.22
113,-9.26,4.56,1.11
118,-9.27,4.97,0.88
123,-9.80,5.65,1.03
127,-9.90,6.02,0.73
132,-10.07,6.49,0.77
137,-9.99,6.76,0.50
142,-10.29,7.08,0.49
146,-10.21,7.27,0.62
150,-10.22,7.42,0.43
155,-10.30,7.68,0.25
160,-10.31,7.63,0.03
164,-10.32,7.67,-0.25
169,-10.28,7.68,-0.96
174,-10.48,7.75,-1.23
178,-10.33,7.81,-0.98
183,-10.30,8.17,-1.24
188,-10.58,8.58,-1.13
192,-10.53,8.99,-1.65
196,-10.36,9.29,-1.39
201,-10.19,9.88,-1.42
206,-10.29,10.57,-1.11
211,-10.28,11.47,-0.64
215,-10.53,12.22,0.08
220,-10.57,12.80,0.26
225,-10.45,13.13,0.64
230,-10.09,13.46,1.71
233,-9.85,13.26,2.71
238,-9.45,13.22,3.02
243,-9.20,12.72,2.97
248,-8.83,12.16,2.79
253,-8.70,11.44,2.39
257,-8.67,10.68,1.43
262,-8.31,9.82,0.77
267,-7.93,9.26,-0.17
272,-7.45,8.27,-1.29
275,-7.44,7.54,-2.77
280,-7.36,7.06,-3.62
285,-7.39,6.71,-4.05
289,-7.40,6.16,-4.45
294,-7.01,5.67,-4.77
299,-6.77,5.52,-5.04
304,-6.75,5.45,-5.68
308,-6.56,5.35,-5.43
313,-6.48,5.45,-6.25
317,-6.53,5.83,-6.17
322,-6.45,6.49,-6.60
326,-5.99,7.41,-6.90
331,-5.33,7.89,-7.91
336,-4.19,8.44,-9.25
341,-4.08,9.32,-10.55
345,-3.31,8.96,-12.06
350,-3.53,8.46,-12.63
355,-4.25,8.33,-13.29
359,-4.00,8.28,-12.97
363,-3.18,8.45,-12.84
368,-2.34,8.89,-12.09
373,-2.00,9.14,-10.69
378,-1.68,9.23,-9.48
382,-1.12,8.99,-8.84
387,-0.87,8.34,-7.44
392,-0.41,7.81,-6.59
397,0.13,7.73,-5.59
400,0.30,7.53,-4.55
405,0.51,7.01,-3.30
410,0.81,6.14,-2.17
415,1.34,5.21,-1.77
419,1.46,4.27,-1.50
424,1.35,3.31,-1.00
429,1.14,2.89,-0.30
433,1.15,2.23,0.09
438,1.00,1.48,0.35
442,0.84,0.89,0.68
447,0.49,0.41,1.00
451,0.35,0.11,1.30
456,0.04,-0.01,1.18
461,-0.24,-0.02,1.39
466,-0.34,0.12,1.41
470,-0.32,0.59,1.15
475,-0.30,0.97,1.10
480,-0.48,1.43,1.02
483,-0.34,1.94,1.31
488,-0.06,2.16,1.53
493,-0.09,2.31,1.18
498,-0.11,2.23,0.66
502,-0.16,2.11,0.24
507,0.16,2.00,0.16
