timestamp,accX,accY,accZ
0,-3.26,17.46,8.47
91,-3.01,16.69,8.34
95,-2.87,15.82,8.18
99,-2.53,15.43,7.50
104,-2.11,14.42,6.84
109,-2.08,13.53,6.33
113,-2.00,12.76,5.96
118,-1.87,11.95,6.02
123,-1.83,11.35,5.77
128,-1.88,10.85,5.76
132,-1.68,10.40,5.58
137,-2.09,9.94,5.15
141,-1.68,9.29,4.65
146,-1.23,8.31,4.64
150,-1.27,7.67,4.87
155,-1.71,6.92,5.27
160,-1.69,6.55,4.84
164,-1.48,5.81,5.33
169,-1.26,5.74,5.17
174,-1.05,5.38,4.70
179,-1.39,5.06,4.82
183,-1.98,4.88,4.85
187,-1.82,4.34,4.31
192,-1.97,4.21,4.67
197,-2.04,3.81,3.58
201,-2.12,3.23,2.94
206,-2.21,2.93,3.05
211,-2.29,2.91,2.90
216,-2.06,2.75,2.71
220,-2.58,2.46,2.23
224,-2.80,2.39,1.93
229,-2.81,2.60,1.93
233,-3.07,2.71,1.49
238,-2.85,2.94,1.06
243,-3.07,2.91,0.84
248,-2.93,2.74,-0.07
252,-3.09,2.37,-0.94
257,-3.31,2.33,-1.60
262,-3.15,2.67,-1.93
266,-3.31,2.43,-2.26
270,-3.48,2.00,-2.63
275,-3.76,1.63,-3.23
280,-4.27,0.36,-4.67
285,-5.03,-0.57,-4.96
289,-5.23,-0.93,-5.52
294,-5.08,-1.60,-6.27
299,-5.29,-2.04,-7.16
304,-5.71,-2.52,-8.51
308,-6.10,-2.78,-8.99
312,-6.04,-2.72,-9.45
317,-6.54,-2.56,-9.44
321,-6.62,-2.47,-9.49
326,-6.44,-2.30,-9.27
331,-6.39,-2.04,-9.28
336,-6.54,-1.76,-9.23
341,-6.56,-1.69,-9.07
345,-6.56,-1.34,-9.17
349,-6.42,-0.97,-9.39
354,-6.21,-0.76,-9.35
358,-6.10,-0.64,-9.95
363,-6.22,-0.57,-10.10
368,-6.14,-0.58,-10.56
373,-5.95,-0.24,-11.17
377,-5.78,0.14,-11.39
382,-5.58,0.52,-11.59
387,-5.53,1.23,-11.84
391,-5.48,2.08,-11.87
395,-5.65,2.70,-11.52
400,-5.47,3.19,-11.44
405,-5.48,3.64,-11.32
410,-5.41,4.12,-11.04
414,-5.28,4.58,-11.03
419,-5.13,4.52,-11.15
424,-4.78,4.32,-11.36
429,-5.04,4.42,-11.58
433,-4.49,3.86,-12.06
437,-4.25,3.47,-12.17
