timestamp,accX,accY,accZ
0,-10.11,7.47,-10.58
91,-9.95,7.46,-11.30
94,-10.04,7.55,-11.90
99,-10.31,7.57,-12.31
104,-10.13,7.66,-12.67
109,-10.05,7.59,-13.27
113,-9.80,7.59,-13.35
118,-9.93,7.54,-13.43
123,-9.59,7.59,-13.39
128,-9.02,7.76,-13.51
132,-8.87,7.85,-13.51
136,-8.41,7.68,-13.77
141,-7.95,7.67,-13.62
146,-7.84,7.91,-13.38
150,-7.32,7.85,-13.23
155,-7.21,7.66,-13.60
160,-6.91,7.27,-13.53
165,-6.17,6.65,-13.22
169,-5.98,6.43,-13.21
174,-4.99,5.83,-12.91
178,-4.30,5.29,-12.75
183,-4.20,4.81,-12.36
187,-3.49,4.75,-11.72
192,-2.76,4.29,-11.10
197,-1.84,4.31,-10.10
202,-0.64,4.10,-9.33
206,0.24,3.54,-9.15
211,0.57,3.24,-8.63
216,1.48,2.54,-8.55
220,2.38,1.94,-8.51
224,3.08,1.45,-8.25
229,3.95,1.08,-8.32
234,4.55,0.89,-8.76
239,4.77,0.50,-8.29
243,5.13,0.46,-8.03
248,5.88,0.44,-7.53
253,6.67,0.71,-7.04
258,7.49,1.12,-6.18
261,8.28,1.58,-4.97
266,8.42,1.82,-2.58
271,8.31,2.75,-2.10
275,8.66,1.98,-1.18
280,10.15,2.30,-0.37
285,10.45,2.50,0.00
290,10.49,2.58,1.12
294,10.52,2.45,1.56
299,10.70,2.83,2.33
303,9.27,3.26,3.09
308,9.00,3.75,4.29
313,11.03,3.55,4.89
317,12.07,3.10,5.18
322,11.30,2.68,5.64
327,10.49,2.39,6.71
331,10.71,2.31,7.78
336,10.81,1.96,8.80
341,10.38,1.37,9.82
345,10.10,0.55,10.40
349,9.68,-0.16,10.80
354,9.14,-0.64,11.53
359,8.99,-0.54,12.34
364,8.79,-0.72,12.72
368,8.27,-0.80,13.39
373,8.25,-1.09,13.75
378,7.80,-0.80,14.63
383,7.96,-0.52,14.86
386,7.97,-0.09,15.20
391,7.12,0.26,16.02
396,8.71,0.74,16.40
401,9.47,1.41,16.88
405,9.05,2.44,17.33
410,8.21,3.34,17.79
415,8.51,4.04,17.96
420,9.19,4.98,17.87
424,9.06,4.77,17.62
428,9.31,5.12,17.85
433,9.61,6.35,18.33
438,9.70,6.72,18.02
442,9.42,7.29,18.49
447,9.33,7.51,18.25
452,8.53,7.13,18.28
457,8.01,6.22,18.42
461,7.59,5.45,18.23
466,7.63,4.05,17.69
470,7.58,2.62,17.37
475,7.14,1.02,17.21
479,7.08,0.14,17.05
484,7.64,-0.80,16.48
489,7.39,-1.54,15.58
494,7.48,-1.87,15.09
498,8.28,-2.60,14.46
503,8.66,-3.08,13.69
508,9.42,-3.47,13.38
512,9.95,-3.76,12.48
516,11.27,-4.22,12.37
521,11.60,-4.70,10.99
526,12.45,-4.80,10.49
531,13.72,-5.14,9.48
535,14.18,-5.34,8.81
540,14.69,-5.37,7.64
545,16.05,-5.41,6.79
550,17.37,-5.42,6.19
553,17.87,-5.03,5.56
558,18.90,-4.86,4.55
563,19.37,-4.41,4.02
568,19.58,-3.60,3.67
572,19.51,-2.83,3.95
577,19.54,-2.22,4.09
582,19.54,-1.50,3.82
587,19.54,-0.61,4.76
591,19.54,-0.33,5.01
595,19.54,0.23,6.03
600,19.54,0.77,7.27
