timestamp,accX,accY,accZ
0,-10.10,4.70,-0.04
90,-10.26,5.31,-0.08
94,-10.20,5.24,-0.42
99,-10.36,5.47,-0.80
104,-10.28,5.76,-0.98
109,-10.42,6.01,-1.36
113,-10.59,6.28,-1.59
118,-10.61,6.34,-2.24
123,-10.34,6.88,-2.35
127,-10.02,7.31,-2.67
131,-10.35,7.44,-3.33
136,-10.57,7.63,-4.08
141,-10.45,7.63,-5.15
145,-10.26,7.85,-5.63
150,-10.54,7.41,-6.14
155,-10.28,7.27,-6.93
160,-10.49,6.95,-7.93
164,-10.51,6.94,-8.61
168,-10.03,6.97,-9.68
173,-9.40,7.05,-10.96
178,-9.31,7.29,-11.54
182,-9.49,7.36,-11.79
187,-9.51,7.40,-12.38
192,-9.00,7.40,-12.46
196,-8.60,7.46,-12.80
201,-8.46,7.28,-13.34
206,-8.21,7.23,-13.64
210,-7.87,7.03,-13.95
215,-7.57,6.93,-14.56
219,-7.22,6.69,-14.47
224,-6.79,6.60,-14.36
229,-6.51,6.41,-14.46
234,-5.74,6.24,-15.00
238,-5.42,5.88,-14.87
243,-4.97,5.54,-15.09
248,-4.46,5.04,-15.18
251,-3.73,4.71,-15.63
256,-3.08,4.16,-15.36
261,-2.10,3.99,-15.30
266,-1.43,3.57,-15.11
270,-1.02,2.92,-14.91
275,-0.07,2.41,-14.17
280,0.52,2.19,-14.06
285,1.93,1.75,-13.43
289,3.09,1.47,-13.05
293,3.96,1.42,-12.29
298,5.50,1.34,-11.49
302,6.11,1.33,-11.44
307,6.98,1.65,-10.70
312,7.97,1.93,-10.23
317,9.20,2.32,-9.07
321,10.17,2.45,-8.40
326,10.99,3.03,-7.40
331,11.99,3.30,-6.65
335,12.45,3.55,-5.71
339,13.18,3.86,-5.08
344,13.83,4.36,-4.93
349,14.50,4.79,-3.78
354,14.91,4.92,-2.83
358,15.39,5.25,-1.56
363,15.98,5.38,-0.67
368,16.20,5.42,0.51
373,16.68,5.17,1.20
376,16.81,5.07,1.82
