timestamp,accX,accY,accZ
0,-9.75,4.40,-0.69
91,-9.97,4.85,-1.03
95,-10.06,5.20,-1.34
100,-10.01,5.54,-1.67
105,-9.92,5.83,-1.70
110,-10.10,6.11,-2.10
114,-10.15,6.32,-2.42
118,-10.28,6.56,-2.69
123,-10.63,6.68,-2.75
128,-10.28,6.70,-2.79
132,-10.25,6.98,-3.29
137,-10.25,7.17,-4.10
142,-10.34,7.49,-4.76
147,-10.85,7.95,-4.89
151,-10.95,8.33,-5.82
156,-10.95,8.55,-5.94
160,-10.85,8.78,-6.26
165,-11.41,9.17,-6.83
169,-11.35,9.43,-7.30
174,-10.42,9.53,-8.00
179,-10.45,10.23,-8.22
184,-10.66,10.78,-8.70
188,-10.44,11.11,-8.81
193,-10.30,11.29,-9.14
198,-9.93,11.58,-9.46
202,-9.55,11.67,-9.47
206,-8.87,11.59,-9.61
211,-8.67,11.69,-9.22
216,-8.29,11.85,-9.24
221,-8.38,11.88,-9.36
225,-7.69,11.94,-8.75
230,-7.11,11.87,-8.49
235,-6.71,11.39,-7.95
240,-6.29,11.12,-7.68
243,-5.83,10.93,-8.23
248,-5.40,9.99,-7.78
253,-4.47,8.86,-7.89
257,-4.05,8.10,-7.97
262,-3.56,7.40,-8.09
267,-2.76,7.16,-8.08
271,-2.07,6.50,-8.21
276,-1.61,5.88,-8.42
281,-1.29,5.27,-8.49
285,-0.39,4.73,-8.38
290,0.54,4.24,-8.45
294,1.35,4.00,-8.46
299,2.21,3.77,-8.73
304,2.89,3.43,-8.53
308,4.15,3.24,-8.12
313,4.62,2.78,-8.62
318,5.58,2.72,-8.96
323,6.34,2.56,-9.07
326,7.12,2.56,-9.19
331,8.18,2.54,-8.96
336,8.82,2.72,-8.29
340,9.18,3.06,-7.67
345,10.08,3.38,-6.76
350,11.27,3.68,-6.31
354,12.03,3.78,-5.65
359,12.37,3.97,-4.40
364,12.18,4.17,-3.29
368,11.85,4.49,-1.53
372,12.65,4.73,-0.41
377,15.53,4.22,-0.05
382,16.00,3.57,0.96
387,15.51,3.25,1.81
391,15.74,3.07,2.99
396,16.07,2.58,3.69
401,16.31,1.89,4.76
406,16.50,1.65,5.17
409,16.68,1.31,5.56
414,16.63,1.25,5.86
419,16.65,1.48,6.59
423,16.42,1.90,7.49
428,16.34,2.14,8.11
433,16.05,2.57,8.89
438,16.17,3.00,9.66
442,16.00,3.26,10.10
447,15.75,3.53,11.46
