timestamp,accX,accY,accZ
0,11.08,9.24,-11.41
91,-5.36,8.74,-12.95
95,-3.71,7.31,-11.27
100,-5.07,6.92,-11.17
105,-4.58,6.53,-11.53
110,-3.64,7.56,-13.72
113,-2.25,8.85,-14.02
118,-3.51,6.50,-12.54
123,-3.12,6.15,-12.47
128,-2.56,5.53,-13.10
132,-1.93,5.28,-13.21
137,-1.15,5.43,-13.02
142,-0.73,5.35,-12.96
147,0.27,5.26,-12.92
151,1.29,5.21,-13.25
155,1.70,5.30,-12.79
160,2.23,5.13,-12.89
165,3.12,5.18,-13.34
169,3.98,4.04,-12.52
174,4.91,4.04,-12.60
179,5.95,4.43,-11.97
183,6.77,4.50,-11.22
188,7.52,4.56,-9.99
193,8.29,4.94,-9.04
197,9.19,5.13,-8.44
202,10.10,5.08,-7.72
206,10.80,4.88,-6.52
211,11.17,4.85,-5.58
216,11.50,4.57,-4.74
220,12.05,4.31,-3.85
225,12.47,3.98,-3.31
230,13.06,3.65,-2.44
235,13.50,3.06,-2.09
238,14.19,2.63,-1.64
243,14.59,1.92,-1.19
248,14.45,0.82,-0.90
252,14.24,-0.03,0.24
257,14.25,-0.82,0.54
262,14.68,-1.69,1.05
267,15.35,-2.05,2.21
271,15.87,-2.60,3.40
276,16.21,-3.06,4.41
280,16.04,-3.55,5.15
284,16.02,-3.95,6.26
289,16.18,-3.98,6.26
294,16.61,-3.61,7.27
299,16.32,-3.28,8.03
303,16.24,-2.57,8.51
308,16.59,-1.76,8.96
313,16.73,-0.67,10.07
318,17.02,0.19,10.77
321,16.76,1.06,11.19
326,16.58,1.74,12.48
331,16.14,2.04,13.60
336,16.37,2.36,14.63
340,16.09,2.52,16.31
345,16.08,2.65,17.74
350,16.22,2.54,18.74
355,16.26,2.21,19.09
360,16.31,2.12,19.44
363,13.86,2.01,19.48
368,15.63,1.52,19.53
373,15.99,1.76,19.54
377,16.11,1.67,19.54
382,15.47,1.37,19.54
387,14.98,1.57,19.54
392,14.54,2.00,19.54
397,14.16,2.40,19.54
401,13.83,2.39,19.54
405,13.14,2.38,19.54
410,12.68,2.05,19.54
415,11.83,1.71,19.54
419,11.66,1.24,19.54
424,11.49,0.89,19.54
429,11.40,0.52,19.54
434,10.89,0.45,19.53
438,10.74,-0.05,19.51
443,10.49,-0.58,19.24
447,10.34,-0.92,18.81
452,10.46,-1.13,18.45
456,10.33,-1.41,17.64
461,10.40,-1.47,16.83
466,10.50,-1.63,15.66
471,10.65,-1.86,14.71
475,10.95,-2.07,13.54
480,10.98,-2.12,12.63
485,11.15,-2.41,11.69
489,11.54,-2.51,11.09
493,12.00,-2.60,10.44
498,12.27,-2.62,9.48
503,12.83,-2.80,8.96
507,13.08,-2.85,8.14
512,13.64,-3.02,7.89
517,14.23,-3.08,7.58
522,14.67,-3.08,6.84
526,15.17,-3.14,6.44
530,15.52,-3.09,6.24
