timestamp,accX,accY,accZ
0,9.87,3.55,-11.18
91,-0.74,3.18,-10.69
95,-0.16,3.03,-10.29
100,0.45,3.09,-10.04
104,1.07,3.11,-9.90
108,1.52,3.11,-9.07
113,2.17,3.18,-8.57
118,3.20,3.43,-8.08
123,3.67,3.61,-8.00
127,4.17,4.10,-7.57
132,4.82,4.52,-7.30
137,5.33,4.80,-6.91
142,6.12,5.46,-6.52
145,6.84,5.56,-6.10
150,7.32,5.88,-5.58
155,7.51,6.28,-5.01
160,7.94,6.65,-4.35
164,8.66,6.87,-3.98
169,9.58,6.91,-3.49
174,10.83,6.84,-2.99
178,11.30,6.83,-2.66
183,10.79,6.94,-1.93
187,10.59,7.00,-1.74
192,10.57,6.80,-1.12
196,11.08,6.46,-0.67
201,11.33,5.96,-0.12
206,11.75,5.88,-0.11
211,12.11,5.61,0.64
215,11.97,5.19,1.07
220,11.97,4.86,1.11
225,12.10,4.44,1.37
229,12.40,4.03,1.77
233,12.67,3.56,2.14
238,12.86,3.39,3.01
243,13.06,2.97,3.60
247,13.07,2.71,4.62
252,12.94,2.38,5.99
257,12.83,2.02,6.42
262,12.55,1.72,7.55
266,12.64,1.17,8.87
270,12.77,0.95,10.05
275,12.87,0.48,11.47
280,12.77,0.08,13.09
284,12.12,0.27,14.07
289,11.51,-0.23,14.77
294,11.75,-0.55,15.34
299,14.04,-0.35,15.69
303,14.75,-0.38,16.75
308,14.18,0.00,17.91
312,13.90,0.50,18.28
317,13.64,0.99,18.58
321,13.48,1.02,18.56
326,13.40,1.29,18.77
331,13.36,1.45,18.87
336,12.95,1.39,19.00
340,12.64,1.66,19.16
345,12.36,1.86,19.20
350,12.02,1.78,19.25
354,11.58,1.61,19.40
359,11.52,1.56,19.36
363,11.20,1.53,19.46
368,10.74,1.48,19.50
373,10.18,1.17,19.53
378,10.13,0.67,19.54
382,10.26,0.41,19.54
387,10.25,0.25,19.54
392,10.30,0.01,19.54
396,10.13,-0.18,19.54
401,10.26,-0.21,19.52
405,10.28,-0.25,19.46
410,10.31,-0.19,19.21
415,10.58,-0.22,18.75
420,10.47,-0.30,18.05
425,10.69,-0.69,17.11
429,11.15,-0.76,16.49
434,11.71,-1.08,15.44
438,12.05,-1.44,14.23
442,12.24,-1.53,13.03
447,12.70,-1.90,11.85
452,12.94,-2.23,10.79
457,13.12,-2.38,9.66
461,13.72,-2.65,9.09
466,14.10,-2.99,8.37
471,14.33,-3.31,7.63
476,14.92,-3.30,7.45
479,15.48,-3.39,6.65
484,15.74,-3.38,6.25
489,15.99,-3.34,6.02
494,16.27,-3.02,5.90
498,16.90,-2.81,5.43
503,17.26,-2.50,4.98
508,17.49,-2.26,5.05
513,18.08,-1.90,4.56
517,18.32,-1.50,4.42
521,18.54,-0.92,5.03
526,18.60,-0.50,5.18
531,18.75,-0.21,5.37
535,18.67,0.17,5.78
540,18.94,0.34,5.95
545,18.78,0.60,6.40
550,18.73,0.76,6.88
554,18.59,0.86,7.52
559,18.49,1.01,7.87
563,18.34,1.14,8.80
568,18.52,1.23,9.74
572,18.58,1.44,10.50
577,18.71,1.53,11.33
582,18.81,1.79,12.39
587,19.01,2.16,13.19
591,18.98,2.65,13.69
596,19.27,2.94,14.25
601,19.28,3.13,14.36
605,19.15,3.36,14.32
609,19.09,3.63,14.53
614,19.18,4.05,14.34
619,19.14,4.38,14.41
624,19.14,4.73,14.68
629,18.92,5.10,14.31
633,18.30,5.47,14.27
638,17.90,5.88,14.55
642,17.31,5.89,14.61
647,16.75,5.98,14.67
651,16.29,6.10,14.90
656,15.90,6.14,14.83
661,15.64,6.09,14.55
666,15.06,6.09,14.00
670,14.79,6.00,13.27
675,14.45,6.10,13.24
680,14.18,6.17,13.05
684,13.95,6.13,12.87
688,13.69,6.28,12.40
693,13.21,6.33,12.09
698,12.96,6.25,12.39
703,12.79,6.23,12.54
707,12.41,6.12,12.18
712,11.96,6.02,12.08
717,11.58,5.79,11.84
722,11.21,5.64,11.82
726,10.87,5.70,12.19
730,10.87,5.64,12.41
735,10.45,5.80,12.58
740,10.20,5.77,12.82
745,10.16,5.90,13.34
749,9.89,5.95,13.74
754,9.87,5.96,14.00
759,9.49,5.99,14.17
763,9.36,5.47,14.20
767,8.94,5.91,14.22
772,9.25,6.11,14.73
777,9.56,6.75,14.43
781,9.35,6.45,14.11
786,9.61,6.28,13.88
791,9.54,6.92,13.19
796,9.50,7.10,13.05
800,9.97,6.82,12.71
805,10.24,5.77,12.06
809,10.50,5.51,11.95
814,10.66,5.64,11.66
