timestamp,accX,accY,accZ
0,11.80,7.96,-9.65
91,-10.04,7.69,-10.82
95,-10.07,7.50,-11.56
99,-9.88,7.12,-12.67
104,-9.68,6.67,-13.21
109,-9.31,6.39,-14.34
113,-9.19,6.45,-15.13
118,-8.76,6.46,-15.51
123,-8.50,6.56,-16.11
128,-8.08,6.52,-16.21
132,-7.49,6.77,-16.27
137,-6.50,6.80,-16.17
141,-6.07,7.05,-15.84
146,-5.34,7.09,-15.37
150,-4.58,7.17,-15.34
155,-3.46,7.07,-15.30
160,-3.14,6.70,-15.15
165,-2.49,6.29,-15.20
169,-1.36,5.87,-15.30
174,-0.39,5.46,-15.06
179,0.38,4.99,-14.78
183,1.49,4.88,-14.75
187,2.61,4.66,-14.18
192,3.06,4.52,-14.08
197,4.18,4.44,-13.45
202,5.22,4.28,-12.95
207,6.72,4.54,-12.47
211,8.07,4.48,-11.98
216,9.16,4.46,-11.34
221,10.22,4.60,-10.73
225,11.02,4.74,-9.86
229,11.49,4.62,-8.90
234,12.35,4.68,-8.49
239,12.93,4.46,-7.93
244,13.75,4.42,-6.95
248,14.32,4.37,-6.53
253,14.66,4.12,-5.54
258,14.76,4.04,-4.74
262,15.47,4.07,-3.55
266,15.90,3.79,-2.26
271,16.41,3.69,-1.93
276,16.88,3.36,-0.88
280,17.00,3.22,0.30
285,16.78,3.12,1.45
290,16.54,2.91,2.22
295,16.77,2.71,3.43
299,16.90,2.22,3.93
304,16.69,1.62,4.15
308,16.17,1.11,5.10
313,15.75,0.88,5.94
317,15.40,0.40,6.71
322,15.41,0.20,7.73
327,15.07,-0.14,8.72
332,14.52,-0.33,9.82
336,14.43,-0.34,10.48
341,14.04,-0.30,11.33
346,13.85,-0.21,12.17
350,13.77,-0.12,13.44
354,11.75,0.44,14.48
359,13.29,0.38,14.87
364,14.60,0.68,15.36
369,15.08,1.02,15.55
373,14.45,1.68,16.71
378,14.23,1.93,16.80
383,14.00,2.08,17.07
388,14.05,1.85,16.96
391,13.80,1.54,16.85
396,13.26,1.08,16.96
401,12.58,0.53,17.37
406,11.72,0.08,17.21
410,11.59,-0.17,17.50
415,11.92,-0.24,17.62
420,11.75,-0.15,17.79
425,11.32,-0.53,18.00
430,11.07,-0.98,17.98
433,10.61,-1.55,17.80
438,9.78,-2.18,17.51
443,9.90,-2.86,17.43
448,9.80,-3.03,17.18
452,9.93,-3.59,16.89
457,10.07,-3.93,16.45
462,10.23,-4.38,15.59
467,10.45,-4.78,14.61
472,10.67,-5.36,14.13
475,11.59,-5.60,12.77
480,11.87,-5.79,11.72
485,12.45,-5.65,10.81
490,13.80,-5.32,9.70
494,13.85,-5.14,9.01
499,14.77,-4.76,8.08
504,15.82,-4.34,7.56
509,16.13,-3.92,7.06
513,16.90,-3.48,6.68
