timestamp,accX,accY,accZ
0,-10.96,5.56,-4.25
91,-11.07,5.97,-5.27
94,-10.99,6.30,-5.87
99,-11.23,6.96,-6.10
104,-11.31,7.64,-6.46
109,-11.35,8.23,-6.89
113,-11.63,8.39,-7.17
118,-11.24,8.57,-7.45
123,-10.96,8.78,-7.86
128,-11.04,8.72,-8.53
132,-11.34,8.55,-9.31
136,-10.96,8.57,-10.46
141,-10.55,8.77,-11.63
146,-10.85,8.66,-12.03
150,-10.80,8.68,-12.72
155,-10.75,8.79,-13.50
160,-10.36,8.77,-13.60
165,-9.83,8.95,-13.97
169,-9.62,9.04,-13.73
174,-9.47,9.05,-13.50
178,-8.63,9.16,-13.13
183,-7.90,8.87,-13.15
187,-7.35,8.46,-13.03
192,-6.48,8.22,-12.99
197,-5.66,7.65,-13.14
202,-4.78,7.03,-13.23
206,-4.27,6.29,-13.57
211,-3.32,5.89,-14.00
216,-2.29,5.39,-14.12
220,-1.32,5.05,-14.00
225,-0.28,5.00,-13.82
229,0.90,4.97,-13.84
234,2.20,4.82,-13.74
239,2.84,4.89,-13.56
244,4.10,4.84,-13.31
248,5.57,4.90,-13.17
253,7.08,5.20,-12.57
258,8.28,5.25,-11.95
262,9.84,5.39,-11.72
266,11.19,5.71,-11.17
271,11.89,5.86,-10.43
276,13.56,5.96,-10.03
281,14.78,5.95,-8.99
285,15.79,5.81,-9.05
290,16.50,5.54,-8.81
295,18.12,5.36,-7.97
300,19.01,5.04,-7.51
303,19.31,4.90,-6.63
308,19.45,4.92,-6.18
313,19.52,4.81,-5.45
318,19.54,4.41,-5.26
322,19.54,4.01,-5.04
327,19.54,3.93,-4.10
332,19.54,4.02,-4.37
337,19.54,4.29,-3.30
341,19.54,4.58,-2.48
345,19.54,4.16,-1.83
350,19.54,3.99,-1.25
355,19.54,3.76,0.77
359,19.54,3.53,2.39
364,19.54,3.37,4.84
369,19.54,3.47,7.59
374,19.54,3.40,10.13
378,19.54,3.16,12.48
383,19.54,3.22,13.72
387,19.17,4.19,15.88
392,19.46,4.38,18.30
397,19.52,3.90,19.11
401,19.54,2.43,19.44
406,19.54,1.78,19.52
411,19.54,2.03,19.54
415,19.54,2.43,19.54
420,19.54,2.19,19.54
425,19.54,1.88,19.54
429,19.52,1.70,19.54
433,19.33,1.44,19.54
438,19.11,2.05,19.54
443,17.95,2.26,19.54
448,16.71,2.34,19.54
452,15.68,1.95,19.54
457,14.36,1.91,19.54
462,13.33,1.93,19.54
467,12.25,1.43,19.54
470,12.07,0.39,19.54
475,11.33,-0.67,19.54
480,10.53,-1.64,19.54
485,9.57,-2.61,19.54
490,9.05,-3.69,19.54
494,8.63,-3.95,19.54
499,8.50,-4.51,19.54
504,8.33,-4.88,19.51
508,8.15,-5.15,19.14
512,8.04,-5.28,18.71
517,8.06,-5.44,17.49
522,8.00,-5.63,16.02
527,8.15,-5.69,14.49
531,8.60,-5.72,12.85
536,8.87,-5.67,11.75
541,8.92,-5.83,10.38
546,9.08,-6.17,9.43
550,9.82,-6.35,8.75
554,10.30,-6.68,8.04
559,10.28,-6.84,7.04
564,10.74,-7.01,6.07
568,11.13,-7.39,5.25
573,11.33,-7.39,4.60
578,11.57,-7.71,4.46
583,12.02,-7.76,4.39
587,12.49,-7.64,3.54
592,12.98,-7.67,3.06
596,13.32,-7.74,3.25
601,13.70,-7.52,2.76
605,13.77,-7.23,2.42
610,14.20,-7.04,2.77
615,14.79,-6.84,3.12
620,15.42,-6.68,3.06
624,15.78,-6.56,3.54
629,16.36,-6.46,3.99
634,16.96,-6.31,4.17
638,17.24,-6.34,4.57
642,17.49,-6.40,5.09
647,17.87,-6.27,5.61
652,18.28,-6.23,5.92
657,18.62,-6.14,6.59
661,19.06,-5.87,7.18
666,19.42,-5.74,7.95
671,19.50,-5.29,9.04
676,19.52,-4.83,9.96
679,19.54,-4.39,10.55
684,19.54,-4.23,10.81
689,19.50,-4.08,11.57
694,19.51,-3.98,12.55
698,19.53,-3.96,12.95
703,19.53,-3.96,13.37
708,19.54,-4.02,14.20
713,19.51,-3.96,14.72
717,19.45,-4.00,14.75
721,19.47,-4.00,15.59
726,19.47,-3.76,16.05
731,19.53,-3.71,16.46
735,19.49,-3.43,16.78
740,19.51,-3.09,17.22
745,19.54,-2.74,17.42
750,19.24,-2.61,17.28
754,19.12,-2.55,17.27
759,18.81,-2.67,16.94
763,18.45,-2.69,16.66
768,18.04,-2.71,16.10
773,17.72,-2.67,16.03
777,17.56,-2.73,15.66
782,17.39,-2.66,15.18
787,16.96,-2.71,14.91
792,16.96,-2.67,14.67
796,16.61,-2.62,13.58
801,16.45,-2.71,13.01
805,16.24,-2.76,11.88
810,16.29,-2.79,11.10
814,15.94,-2.69,10.07
819,15.52,-2.77,9.64
824,15.10,-2.76,8.85
828,14.62,-2.73,8.10
833,13.98,-2.90,7.89
838,13.19,-2.98,7.53
842,13.07,-3.34,7.56
847,12.63,-3.50,7.53
851,12.28,-3.66,7.61
856,11.54,-3.81,7.35
861,10.97,-3.96,7.79
865,10.66,-4.15,8.01
870,10.40,-4.13,8.16
875,10.17,-4.01,8.43
880,9.60,-3.81,8.33
884,9.11,-3.83,8.07
888,8.70,-3.56,7.90
893,8.52,-3.61,7.66
897,8.09,-3.58,7.54
902,7.53,-3.63,7.57
907,6.35,-3.52,7.77
912,6.35,-3.57,7.78
916,5.84,-3.61,8.14
921,5.49,-3.72,8.33
926,5.02,-3.84,8.59
930,4.91,-3.65,9.07
934,4.79,-3.71,9.60
939,4.90,-4.18,9.41
944,5.61,-3.82,9.40
949,6.18,-0.78,10.26
953,5.94,0.42,10.22
958,5.70,1.11,8.25
963,5.85,-2.91,7.78
967,5.63,-5.43,9.74
971,4.89,-5.73,11.11
976,3.24,-5.13,12.28
981,4.14,-4.44,12.82
986,5.31,-3.60,13.91
990,5.58,1.23,13.80
995,5.58,0.66,11.12
1000,5.42,-1.37,8.43
1004,5.12,-2.17,7.65
1009,4.45,-2.10,6.65
1013,4.32,-2.30,5.58
1018,4.85,-2.14,5.81
1022,4.89,-0.94,6.49
1027,4.64,0.33,6.51
1032,4.49,2.10,6.77
1036,4.78,3.39,5.91
1041,4.61,2.31,4.58
1046,4.21,1.55,3.02
1050,4.07,0.24,1.94
1054,3.66,-0.33,2.35
1059,2.92,-0.41,3.01
1064,2.17,0.75,3.50
1068,1.87,0.92,3.59
1073,1.03,-1.50,2.63
1078,0.58,-2.69,2.72
1083,0.02,-3.96,3.60
1087,-0.41,-4.44,4.76
1092,-0.93,-3.97,6.13
1096,-0.86,-3.52,6.90
1100,-0.85,-3.78,8.29
1105,-0.63,-3.82,9.25
1110,-0.47,-3.25,9.64
1114,-0.52,-2.63,10.33
1119,-0.11,-1.63,10.64
1124,-0.02,-1.21,10.87
1129,-0.23,-0.88,10.09
1133,-0.39,-0.80,9.52
1137,-0.58,-1.21,8.15
1142,-0.89,-1.54,7.47
1147,-1.21,-2.08,7.12
1151,-1.38,-3.03,6.79
1156,-1.91,-3.42,6.55
1161,-2.20,-3.40,6.55
1165,-2.55,-3.28,6.49
1170,-2.86,-2.84,6.25
1175,-3.08,-2.39,6.41
1179,-3.20,-1.91,6.26
1183,-3.06,-1.52,6.35
1188,-3.35,-1.17,5.61
1193,-3.69,-0.87,5.19
1197,-3.85,-0.69,5.01
1202,-3.93,-0.67,4.03
1207,-4.01,-0.64,2.58
1212,-5.18,-0.68,1.76
1216,-5.24,-1.09,1.25
1220,-4.99,-1.20,0.54
1225,-5.93,-1.16,-0.02
1230,-6.91,-1.25,-0.89
1234,-6.98,-1.19,-1.48
1239,-6.78,-1.10,-2.10
1244,-6.77,-1.19,-2.63
1248,-7.17,-1.05,-3.17
1253,-7.91,-0.66,-3.22
1258,-7.85,-0.75,-3.60
1262,-7.98,-0.88,-3.75
1266,-8.12,-0.95,-3.83
1271,-8.28,-0.57,-3.78
1276,-8.49,-0.51,-3.76
1280,-8.70,-0.84,-3.90
1285,-8.77,-0.80,-3.84
1290,-8.73,-0.91,-3.52
1295,-8.68,-0.88,-3.15
1299,-8.58,-0.87,-3.07
1303,-8.60,-0.54,-2.72
1308,-8.49,-0.03,-2.76
1313,-8.42,0.58,-2.48
1317,-8.43,0.67,-2.66
1322,-8.27,1.06,-2.90
1327,-8.42,1.37,-2.88
1332,-8.46,1.49,-3.09
1336,-8.28,1.69,-3.97
1341,-8.18,1.78,-4.22
1345,-8.15,1.95,-5.18
1349,-8.34,1.99,-5.12
1354,-8.29,2.19,-5.34
1359,-8.19,2.50,-5.88
1364,-8.14,2.79,-5.82
1368,-8.09,3.16,-5.96
1373,-7.71,3.51,-6.53
1378,-8.01,3.73,-7.18
1383,-8.13,3.89,-7.22
1386,-7.95,4.15,-7.59
1391,-7.97,4.45,-7.68
1396,-7.49,4.50,-8.06
1400,-7.38,4.45,-8.51
1405,-7.20,4.53,-8.73
1410,-7.26,4.51,-8.84
1415,-7.19,4.21,-8.57
1419,-6.75,4.20,-8.94
1424,-6.79,4.05,-8.40
1428,-6.32,3.75,-8.09
1433,-5.95,3.82,-8.18
1437,-5.60,3.80,-7.91
1442,-5.13,3.79,-7.76
1447,-4.94,3.77,-7.91
1452,-4.76,3.89,-8.09
1456,-4.48,4.11,-8.10
1461,-4.41,4.28,-7.91
1466,-3.88,4.63,-7.70
1470,-3.65,4.82,-7.51
1474,-2.91,4.85,-7.83
1479,-2.27,4.97,-7.58
1484,-1.54,5.12,-7.42
1488,-1.33,5.03,-7.52
1493,-0.37,5.05,-7.56
1498,0.26,4.81,-7.46
1503,1.16,4.61,-6.99
1507,2.28,4.37,-6.68
1511,3.38,3.94,-6.45
1516,3.97,3.31,-6.10
1520,4.89,2.82,-5.35
1525,6.10,1.73,-5.08
1530,7.79,0.44,-4.80
1535,8.99,-0.97,-3.96
1539,9.94,-1.83,-3.53
1544,11.11,-3.51,-2.87
1549,11.76,-5.19,-2.26
1553,12.36,-7.26,-1.51
1557,12.87,-9.10,-0.80
1562,13.56,-10.70,0.00
1567,13.81,-11.41,1.72
1572,13.83,-12.68,3.66
1576,14.19,-13.55,5.02
1581,14.46,-13.53,6.40
1586,14.44,-12.97,8.02
1591,14.53,-10.98,8.63
1594,14.87,-9.71,9.09
1599,15.79,-8.23,9.30
1604,16.34,-7.22,10.26
1609,16.03,-4.97,10.44
1613,15.62,-2.81,10.18
