timestamp,accX,accY,accZ
0,-10.18,4.82,3.64
90,-9.91,4.77,2.85
94,-9.63,4.60,2.48
99,-9.62,4.53,2.26
104,-9.49,4.61,1.63
109,-9.46,4.70,1.31
113,-9.54,5.05,0.87
118,-9.33,5.55,0.39
123,-9.43,6.41,-0.13
128,-9.22,7.14,-0.49
131,-9.21,7.94,-0.46
136,-8.99,8.57,-0.89
141,-8.80,8.91,-1.68
146,-8.91,9.41,-2.39
150,-8.99,9.70,-3.75
155,-9.19,9.83,-4.81
160,-9.33,9.81,-6.01
165,-9.62,9.59,-6.30
169,-9.73,9.20,-7.82
173,-9.85,9.32,-8.88
178,-10.08,9.40,-9.63
182,-10.05,9.56,-9.94
187,-9.96,9.71,-9.97
192,-10.06,10.08,-10.40
197,-10.28,10.34,-10.61
202,-10.29,10.68,-10.95
206,-9.94,10.84,-11.05
211,-9.88,11.18,-11.24
215,-9.77,11.64,-11.34
220,-9.78,11.83,-11.31
224,-9.58,11.95,-11.36
229,-9.26,11.78,-11.44
234,-9.22,11.65,-11.52
239,-8.99,11.29,-11.64
243,-8.70,10.95,-11.86
248,-8.42,10.41,-11.79
253,-8.21,9.93,-11.54
257,-8.20,9.36,-11.25
261,-7.86,8.76,-11.05
266,-7.49,8.34,-10.62
271,-7.76,8.28,-10.15
276,-6.87,8.01,-10.35
280,-6.68,7.39,-10.41
285,-6.44,7.05,-10.91
290,-6.34,6.55,-11.26
294,-6.11,6.06,-11.46
298,-5.74,5.70,-11.47
303,-5.35,5.29,-12.18
308,-4.89,4.98,-12.37
313,-4.74,4.33,-12.66
318,-3.84,3.73,-12.63
322,-3.42,3.67,-12.87
327,-2.85,3.85,-12.07
332,-2.13,3.38,-12.47
336,-0.88,2.92,-12.59
340,-0.18,2.76,-12.51
345,0.94,2.57,-12.25
350,1.87,2.42,-12.17
354,2.89,2.31,-12.13
359,4.54,2.05,-12.67
364,6.02,2.11,-12.85
369,7.73,2.28,-13.10
373,10.22,2.29,-13.02
378,11.58,2.16,-13.61
382,11.30,2.20,-14.00
387,11.68,2.70,-14.61
391,13.47,3.18,-14.45
396,14.70,3.24,-14.89
401,15.52,3.29,-14.71
406,16.30,3.37,-14.68
410,17.57,3.58,-13.98
415,19.00,3.83,-13.06
419,19.27,3.80,-11.44
424,19.47,3.64,-9.67
428,19.53,2.98,-8.84
433,19.54,1.50,-6.45
438,19.54,0.49,-4.64
443,19.54,-1.28,-2.98
447,19.54,-2.99,-1.02
452,19.54,-4.44,1.04
457,19.54,-5.53,2.85
461,19.54,-6.57,3.75
465,19.54,-7.32,5.26
470,19.54,-7.65,6.83
475,19.54,-7.63,8.18
480,19.54,-7.21,9.59
484,19.54,-6.08,11.49
489,19.54,-4.67,13.49
494,19.54,-3.26,14.20
499,19.54,-1.84,15.96
503,19.54,-0.86,17.30
507,19.54,-0.27,18.89
512,19.54,1.08,19.38
517,17.62,2.48,19.50
522,19.06,2.16,19.53
526,19.43,2.13,19.54
531,19.51,1.76,19.54
536,19.54,2.06,19.54
540,19.54,2.29,19.54
544,19.32,2.28,19.54
549,18.42,1.98,19.54
554,18.07,1.76,19.54
559,16.91,1.40,19.54
563,16.16,1.04,19.54
568,15.42,0.96,19.54
573,14.57,0.88,19.54
578,13.98,0.69,19.54
582,13.59,0.34,19.54
586,13.31,0.01,19.54
591,12.82,-0.12,19.54
596,12.31,-0.07,19.54
601,11.86,-0.51,19.39
605,12.03,-0.65,18.57
610,12.28,-0.92,16.98
615,12.42,-1.36,15.10
620,12.46,-1.63,13.67
624,12.86,-1.83,12.22
628,13.30,-1.89,10.80
633,13.56,-1.93,9.98
638,13.98,-2.19,8.63
642,14.50,-2.22,7.96
647,14.87,-2.41,6.69
652,15.00,-2.62,6.03
657,15.49,-2.77,5.47
661,15.57,-2.94,5.21
666,15.84,-2.94,5.08
670,16.10,-3.09,4.82
675,16.18,-3.27,5.28
679,16.64,-3.61,5.72
684,17.20,-4.26,6.12
689,17.44,-4.95,6.33
694,17.77,-5.45,7.12
698,18.08,-5.80,7.52
703,18.11,-5.94,8.11
708,18.10,-6.26,8.96
712,18.27,-6.41,10.06
716,18.34,-6.45,10.70
721,18.42,-6.20,11.64
726,18.48,-5.93,12.58
731,18.94,-5.85,13.20
735,19.21,-5.41,14.31
740,19.40,-4.94,14.99
745,19.48,-4.52,15.79
750,19.53,-3.56,16.73
754,19.54,-2.68,17.63
758,19.54,-2.17,18.11
763,19.54,-2.39,18.59
768,19.52,-2.52,18.63
773,19.54,-2.16,19.16
777,19.54,-1.67,19.45
782,19.54,-0.84,19.52
787,19.54,0.11,19.54
792,19.54,0.77,19.54
795,19.54,1.05,19.54
800,19.54,0.99,19.54
805,19.53,0.96,19.54
810,19.52,0.82,19.46
814,19.42,0.86,19.30
819,19.25,1.16,19.33
824,18.88,1.16,19.13
829,18.34,1.04,19.00
833,17.93,0.88,18.51
837,17.38,0.68,18.40
