timestamp,accX,accY,accZ
0,-7.77,5.72,-15.82
91,-7.66,5.32,-15.18
95,-7.17,5.94,-14.83
100,-6.90,5.90,-14.86
105,-6.65,5.17,-15.57
110,-6.09,4.99,-15.42
114,-5.61,4.89,-14.98
118,-4.89,4.92,-14.39
123,-4.55,5.03,-14.06
128,-4.00,4.81,-13.99
132,-3.20,4.73,-13.39
137,-2.22,4.44,-12.95
142,-1.45,4.24,-12.61
147,-0.65,4.00,-12.36
151,0.29,3.74,-11.95
156,0.78,3.42,-11.19
160,1.67,2.94,-10.37
165,2.52,3.01,-10.13
169,3.69,3.31,-8.85
174,4.80,3.96,-7.76
179,5.04,4.90,-6.89
184,5.21,5.26,-6.71
188,6.07,4.66,-6.51
193,8.06,5.07,-6.26
198,9.02,6.09,-5.85
201,9.13,7.26,-5.98
206,9.14,8.18,-5.59
211,9.68,8.38,-5.58
216,10.28,8.71,-5.87
220,10.40,8.87,-5.64
225,10.78,8.80,-5.49
230,11.25,8.38,-5.21
235,11.35,8.07,-5.10
239,11.59,7.61,-4.71
243,11.48,7.41,-3.35
248,11.29,7.21,-1.39
253,11.43,6.57,-0.11
258,11.13,6.03,1.54
262,10.91,5.33,2.11
267,10.90,4.68,3.63
272,11.08,3.87,4.61
276,10.97,3.64,5.29
281,9.71,2.77,6.28
285,9.19,1.86,7.20
290,9.15,0.99,8.16
294,8.87,0.46,8.42
299,8.56,0.09,9.26
304,7.89,-0.16,9.84
308,7.84,-0.46,10.08
313,8.15,-1.11,10.34
318,8.03,-1.79,10.15
323,7.32,-2.02,10.43
326,7.01,-2.47,10.16
331,6.66,-2.85,9.94
336,6.77,-2.91,10.16
341,7.62,-3.43,9.85
345,6.86,-2.88,10.25
350,7.08,-2.83,10.63
355,7.62,-2.73,10.61
360,8.08,-2.20,10.89
364,8.83,-1.71,10.35
368,9.20,-0.88,11.26
373,9.80,0.09,11.54
378,10.36,0.70,11.38
382,10.66,1.88,12.56
387,11.95,3.24,12.56
392,11.43,4.20,12.73
397,11.49,4.43,12.55
401,11.72,4.58,13.03
406,11.96,5.11,13.24
410,11.26,5.11,13.65
415,10.95,4.99,13.61
419,10.82,4.61,13.51
424,10.78,3.99,13.63
429,10.59,3.26,13.39
434,9.91,2.47,13.60
438,9.66,2.37,14.18
443,9.45,1.64,14.29
448,9.52,0.92,13.71
452,9.12,0.26,13.25
456,8.75,-0.34,13.02
461,8.64,-0.87,12.94
466,8.61,-1.31,12.57
471,9.19,-1.49,12.18
475,9.53,-1.81,11.16
480,9.58,-1.73,10.55
485,10.11,-1.92,10.03
490,10.61,-1.72,9.11
494,11.09,-1.78,8.91
498,11.55,-1.42,8.30
503,12.28,-1.35,7.52
508,12.95,-1.01,7.01
513,13.87,-0.66,6.49
517,14.38,-0.86,6.04
522,14.87,-0.98,5.82
527,15.28,-1.36,5.68
532,15.93,-1.55,6.08
535,16.46,-1.82,5.99
540,16.70,-1.92,6.57
545,17.18,-1.92,6.86
550,17.37,-2.08,7.72
554,17.87,-2.48,7.85
559,18.25,-2.68,8.42
564,18.71,-3.03,9.27
569,19.12,-3.35,9.98
573,19.34,-3.34,11.16
577,19.43,-3.57,11.97
582,19.46,-3.79,12.81
587,19.52,-3.90,14.08
592,19.54,-3.85,15.08
596,19.54,-3.79,15.56
601,19.54,-3.82,16.32
606,19.41,-3.80,16.07
611,19.51,-3.76,16.76
615,19.53,-3.07,17.35
619,19.54,-2.28,18.00
624,19.54,-1.60,18.54
629,19.54,-0.81,18.88
633,19.54,-0.02,19.35
638,19.54,0.62,19.46
643,19.54,1.01,19.52
648,19.54,1.27,19.54
652,19.54,1.65,19.54
657,19.54,2.21,19.54
661,19.54,2.45,19.54
666,19.54,2.71,19.54
671,19.51,2.67,19.54
675,19.50,2.61,19.51
680,19.46,2.37,19.53
685,19.45,2.05,19.52
690,19.32,1.83,19.52
694,19.13,1.82,19.53
698,18.91,1.78,19.54
703,18.77,1.72,19.46
708,18.51,1.64,19.35
712,18.47,1.77,18.47
717,18.38,1.94,17.75
722,18.10,1.94,17.15
727,17.92,1.97,16.36
731,17.55,2.10,15.97
736,17.21,2.07,15.15
740,16.61,2.16,14.92
745,15.93,1.92,14.76
749,15.64,1.54,14.29
754,15.34,1.04,14.10
759,15.17,0.89,13.92
764,15.04,0.44,13.61
768,14.57,-0.11,12.94
773,14.32,-0.36,12.52
778,15.06,-0.50,11.86
782,15.10,-0.74,10.52
786,14.75,-1.04,9.55
791,14.24,-1.49,8.51
796,13.59,-1.85,7.72
801,13.08,-2.39,7.35
805,12.54,-2.83,6.88
810,11.91,-3.04,7.32
815,10.88,-3.42,7.83
820,10.35,-3.83,8.56
823,10.54,-4.34,9.46
828,10.99,-4.89,10.59
833,10.81,-4.31,11.15
838,10.13,-3.72,11.66
843,10.33,-3.30,11.99
847,11.10,-2.49,11.60
852,11.69,-1.49,10.96
857,11.60,-1.00,9.45
862,11.28,0.62,7.87
865,11.17,3.41,6.69
870,11.53,2.27,3.25
875,11.36,1.06,0.27
880,10.55,-0.08,-0.33
884,9.48,1.17,0.05
889,9.11,-0.24,1.08
894,8.97,-0.92,1.45
898,7.92,-1.47,2.58
903,7.11,-1.79,3.91
907,6.96,-1.75,4.72
911,7.17,-1.56,5.51
916,7.29,-1.46,5.58
921,7.24,-1.48,6.05
926,7.56,-0.91,6.03
930,7.44,-1.10,5.68
935,6.47,-1.19,6.16
940,7.93,-1.40,6.64
