timestamp,accX,accY,accZ
0,-9.90,5.67,-9.67
91,-9.76,5.96,-10.41
95,-9.81,6.26,-10.83
100,-9.60,6.58,-11.40
105,-9.61,6.94,-12.23
109,-9.63,7.21,-12.58
113,-9.43,7.58,-13.02
118,-9.55,8.06,-13.59
123,-9.37,8.57,-13.53
128,-8.95,9.63,-13.02
132,-8.68,10.15,-13.21
137,-8.28,10.62,-13.14
142,-7.87,10.95,-12.40
147,-7.56,11.46,-11.84
151,-6.66,11.94,-11.41
155,-6.66,12.47,-10.48
160,-6.15,13.47,-9.91
165,-5.81,13.20,-10.10
170,-5.40,12.73,-10.60
174,-4.76,12.79,-10.14
179,-4.61,12.81,-9.66
184,-4.33,12.67,-9.26
189,-4.19,12.41,-8.90
192,-3.80,11.96,-8.60
197,-3.29,11.04,-8.67
202,-2.72,10.05,-8.75
207,-2.17,9.15,-8.66
211,-1.64,8.78,-9.08
216,-1.72,7.96,-8.73
221,-1.45,7.40,-8.43
226,-0.27,6.94,-8.31
230,-0.01,6.68,-8.44
234,0.15,6.34,-8.02
239,0.90,6.17,-7.51
243,1.91,5.66,-7.12
248,2.37,5.10,-6.74
253,2.72,4.64,-6.74
258,2.96,4.05,-6.42
262,3.68,3.47,-6.26
267,4.78,2.71,-6.49
272,6.24,2.30,-6.77
275,7.11,1.64,-6.65
280,7.39,1.26,-6.53
285,7.51,1.30,-6.08
290,7.79,1.58,-5.58
294,7.66,1.72,-4.44
299,7.82,1.98,-3.44
304,8.31,1.82,-2.94
309,8.49,1.57,-1.69
313,8.79,1.19,-0.92
317,9.85,1.07,-0.01
322,10.51,0.58,0.38
326,11.03,0.10,0.85
331,11.11,-0.13,1.47
336,11.02,-0.53,1.65
341,11.03,-0.99,2.33
345,10.88,-1.57,2.62
350,11.09,-2.06,3.11
355,11.78,-2.39,2.99
359,11.98,-2.42,3.37
363,11.93,-2.43,3.71
368,11.66,-2.42,3.60
373,11.42,-2.47,3.79
378,11.40,-2.44,4.09
382,11.24,-2.35,4.32
387,11.33,-2.47,4.85
392,11.44,-2.58,5.29
397,11.59,-2.69,5.85
400,11.51,-2.78,6.37
405,11.43,-3.02,7.46
410,11.55,-3.23,8.31
415,11.15,-3.30,9.58
419,11.34,-3.19,9.90
424,11.53,-3.02,11.02
429,11.80,-3.46,11.11
434,11.95,-3.28,12.28
438,12.74,-2.72,13.42
442,12.98,-2.16,14.49
447,13.13,-2.11,14.85
452,13.27,-2.12,15.27
456,13.52,-1.69,15.71
461,13.75,-1.40,15.90
466,13.47,-1.43,15.58
471,13.10,-0.91,15.77
475,13.46,-0.35,15.73
480,13.42,0.04,15.23
484,12.95,0.03,14.91
489,12.89,0.40,14.72
493,13.24,0.57,14.35
498,13.25,0.39,14.24
503,12.97,0.30,13.65
508,12.83,0.00,12.89
512,12.76,-0.57,12.23
517,13.07,-0.85,11.79
522,13.54,-1.30,10.81
526,13.87,-1.73,9.96
530,14.34,-1.95,8.99
535,15.01,-2.34,8.35
540,15.20,-2.71,7.94
545,15.94,-3.13,7.28
549,16.79,-3.52,6.99
554,17.66,-3.93,6.81
559,18.24,-4.33,6.38
564,19.08,-4.45,6.38
567,19.39,-4.67,6.15
572,19.61,-4.66,6.21
577,19.52,-4.75,5.76
582,19.54,-4.60,5.96
586,19.54,-4.55,5.91
591,19.54,-4.50,6.36
596,19.54,-4.58,5.84
601,19.54,-4.42,6.02
606,19.54,-4.42,5.91
609,19.54,-4.51,6.59
614,19.54,-4.67,7.06
619,19.54,-4.71,7.24
624,19.54,-4.73,7.91
628,19.54,-4.78,8.69
633,19.54,-4.80,9.35
638,19.54,-4.66,10.09
643,19.54,-4.47,11.37
647,19.54,-3.91,11.92
651,19.54,-3.36,13.44
656,19.54,-3.09,14.06
661,19.54,-2.89,14.25
666,19.54,-2.70,14.33
670,19.54,-2.59,15.26
675,19.54,-2.02,15.93
680,19.54,-1.59,16.64
685,19.54,-1.32,17.14
689,19.54,-1.29,17.51
693,19.54,-1.36,17.87
698,19.54,-1.71,18.15
703,19.54,-1.71,18.49
708,19.54,-1.78,18.15
712,19.54,-1.86,17.57
717,19.54,-2.28,16.92
722,19.54,-2.63,15.75
727,19.54,-3.08,15.42
731,19.54,-3.30,15.14
735,19.52,-3.50,14.77
740,19.48,-3.59,15.04
745,19.41,-3.76,14.91
749,19.40,-3.72,14.53
754,19.36,-3.76,14.32
759,19.34,-3.57,14.29
764,19.09,-3.42,14.05
769,19.01,-3.24,13.39
773,18.69,-3.25,12.70
777,18.49,-3.17,12.20
782,18.15,-2.88,11.88
787,18.05,-2.81,11.24
791,18.10,-2.64,10.81
796,17.87,-2.55,10.59
801,17.44,-2.62,9.95
806,17.04,-2.64,9.93
810,16.70,-2.72,9.35
814,16.13,-2.68,8.95
819,15.93,-2.54,8.79
824,15.75,-2.52,8.14
828,15.12,-2.65,7.67
833,14.88,-2.74,7.16
838,14.28,-3.04,6.94
843,13.98,-3.10,6.71
847,13.32,-3.43,6.94
852,12.88,-3.58,6.83
856,12.47,-4.09,7.17
861,11.98,-5.04,7.16
865,11.49,-5.12,7.36
870,10.64,-5.12,8.10
875,10.19,-5.16,8.55
880,9.92,-5.08,9.19
884,9.85,-4.96,9.26
889,9.41,-4.88,10.04
894,9.41,-4.92,9.90
898,9.52,-4.77,10.22
902,9.61,-4.32,10.73
907,10.06,-4.14,10.67
912,10.48,-3.95,10.96
917,10.36,-3.84,10.83
921,10.14,-3.61,10.73
926,10.17,-3.50,10.72
931,10.30,-2.39,10.90
936,10.58,-2.20,10.52
940,10.97,-1.74,9.81
944,11.15,-2.53,9.67
949,10.98,-3.08,9.55
954,10.57,-2.98,10.21
959,10.27,-2.08,11.05
963,10.55,-0.79,11.28
968,11.61,0.29,11.08
973,11.82,0.41,10.43
978,12.58,0.84,9.22
981,12.57,1.13,7.57
986,12.31,1.15,5.62
991,11.97,-0.26,3.85
996,11.84,-1.19,3.45
1000,10.99,-1.05,2.76
1005,9.99,-0.51,2.50
1010,9.12,-0.64,1.93
1015,8.38,-2.96,1.67
1019,8.36,-5.27,2.77
1023,8.20,-5.75,4.06
1028,7.85,-5.44,4.61
1032,7.16,-4.89,5.61
1037,7.11,-4.89,6.71
1042,7.41,-4.96,7.35
1047,7.90,-4.51,7.59
1051,7.87,-4.34,7.40
1056,8.00,-4.05,7.17
1061,7.97,-3.72,7.23
1065,7.62,-4.15,6.10
1069,7.03,-4.44,5.58
1074,6.17,-4.88,5.04
1079,4.89,-5.38,5.26
1084,4.02,-5.63,4.89
1088,3.31,-6.13,5.27
1093,1.88,-6.09,4.99
1098,0.98,-6.20,5.21
1103,2.39,-6.09,4.59
1106,1.75,-5.69,4.20
1111,0.34,-5.03,3.55
1116,-0.52,-4.06,2.94
1120,-1.32,-3.74,1.13
1125,-2.74,-3.66,0.55
1130,-3.84,-3.31,-1.04
1135,-4.55,-2.95,-2.29
1139,-5.35,-2.96,-3.41
1144,-5.75,-3.30,-4.51
1148,-6.48,-3.60,-5.24
1153,-7.25,-3.76,-5.80
1157,-7.73,-3.35,-5.97
1162,-8.28,-2.94,-6.14
1167,-9.22,-2.85,-6.25
1171,-10.06,-2.84,-6.86
1176,-10.39,-3.06,-6.85
1181,-11.04,-3.03,-7.17
1186,-11.32,-3.08,-7.26
1189,-11.23,-2.94,-6.84
1194,-11.20,-2.94,-7.07
1199,-10.98,-2.96,-6.84
1204,-11.00,-2.85,-5.90
1208,-11.02,-2.67,-5.61
1213,-11.08,-2.36,-5.02
1218,-11.00,-1.91,-5.01
1222,-11.00,-1.46,-4.45
1227,-10.72,-1.30,-4.05
1231,-10.59,-1.09,-3.76
1236,-10.50,-0.75,-3.55
1241,-10.20,-0.52,-3.36
1245,-9.93,-0.35,-3.49
1250,-9.96,-0.18,-2.99
1255,-9.88,-0.08,-3.12
1259,-9.55,-0.06,-3.84
1264,-9.63,-0.07,-3.86
1269,-9.73,-0.04,-3.88
1273,-9.54,-0.05,-3.97
1277,-9.33,-0.09,-3.98
1282,-9.28,-0.05,-4.48
1287,-9.12,0.11,-4.95
1291,-8.98,0.20,-5.05
1296,-8.71,0.16,-5.56
1301,-8.60,0.32,-5.92
1306,-8.61,0.63,-5.75
1310,-8.33,0.87,-6.08
1314,-8.23,1.02,-6.19
1319,-7.87,1.13,-6.54
1323,-7.61,1.32,-7.02
1328,-7.45,1.56,-7.40
1333,-7.32,1.56,-7.46
1338,-6.60,1.59,-8.36
1342,-6.35,1.71,-8.71
1347,-6.03,1.49,-8.46
1352,-5.53,1.28,-9.17
1356,-5.15,1.25,-9.25
1360,-4.89,1.18,-9.31
1365,-4.21,0.87,-9.45
1370,-3.44,0.82,-9.41
1374,-2.87,0.78,-9.04
1379,-2.15,0.75,-9.06
1384,-1.21,0.71,-8.73
1389,-0.09,0.64,-8.08
1393,0.52,0.73,-7.38
1398,1.56,0.84,-7.36
1402,2.67,1.16,-6.63
1406,3.83,1.43,-6.23
1411,4.81,1.54,-5.93
1416,5.58,1.62,-5.17
1420,5.98,1.31,-5.12
1425,7.24,0.92,-5.11
1430,8.49,0.67,-5.20
1435,9.37,0.31,-4.60
1439,9.94,0.05,-4.71
1443,10.85,-0.50,-4.41
1448,11.14,-1.08,-4.42
1453,11.88,-2.07,-3.79
1457,12.38,-2.87,-3.48
1462,13.42,-3.86,-2.56
1467,14.61,-4.57,-1.02
1471,15.17,-4.89,0.68
1476,15.80,-5.48,2.58
1481,16.17,-6.08,4.72
1485,16.95,-6.65,5.74
1489,17.48,-7.05,6.60
1494,17.77,-7.44,7.02
1499,18.28,-7.61,7.51
1504,18.79,-7.59,7.89
1508,18.83,-7.40,8.21
1513,18.82,-6.90,8.31
1518,18.21,-5.99,9.04
1523,17.64,-4.86,10.04
1526,17.97,-3.52,10.74
1531,18.26,-2.03,11.98
1536,18.89,-1.40,13.92
1541,19.10,0.03,15.27
1546,18.33,1.36,16.34
1550,17.96,2.73,17.65
1555,17.15,3.73,18.66
1560,15.98,4.56,18.77
1564,14.93,4.96,19.32
1568,14.66,5.07,19.49
1573,14.45,5.14,19.53
1578,13.22,5.18,19.54
1583,12.13,5.20,19.54
1587,13.17,4.67,19.54
1592,13.67,4.63,19.54
1597,12.83,4.85,19.54
1602,11.96,5.02,19.54
1606,11.33,5.05,19.54
1610,10.48,5.19,19.54
1615,10.10,5.40,19.54
1620,9.32,5.67,19.54
1625,8.95,5.74,19.54
1629,8.07,5.88,19.54
