timestamp,accX,accY,accZ
0,-11.80,6.00,-7.79
91,-11.61,6.49,-8.52
95,-11.60,7.12,-9.27
99,-11.52,7.64,-9.95
104,-11.72,8.18,-9.72
109,-11.77,8.72,-9.67
113,-11.49,9.26,-9.74
118,-10.97,9.42,-9.24
123,-10.43,9.97,-9.67
128,-10.51,10.59,-9.43
132,-10.07,11.06,-9.19
137,-9.63,11.54,-9.00
141,-9.31,11.95,-8.45
146,-9.10,12.31,-8.14
151,-8.33,12.31,-7.63
155,-7.81,12.49,-6.86
160,-7.41,12.77,-6.32
165,-7.21,12.86,-6.18
170,-6.78,12.92,-5.56
174,-6.03,13.31,-5.05
179,-5.44,13.71,-3.98
183,-5.08,13.82,-3.36
188,-4.59,13.86,-2.66
192,-4.01,13.82,-2.13
197,-3.80,13.71,-1.45
202,-3.02,13.38,-1.48
207,-2.31,12.98,-1.25
211,-1.97,12.53,-1.60
216,-1.43,12.10,-2.38
221,-1.02,11.70,-3.53
225,-0.74,10.86,-3.96
229,-0.51,10.17,-4.44
234,0.61,9.05,-4.09
239,1.24,8.59,-4.23
244,0.57,8.02,-5.03
248,1.42,7.73,-5.18
253,2.48,6.77,-5.45
258,3.07,6.35,-6.07
262,3.72,6.17,-6.14
266,4.67,5.63,-6.11
271,5.81,5.14,-6.30
276,6.80,4.68,-6.46
280,7.32,4.44,-6.55
285,7.70,4.17,-6.82
290,7.92,3.98,-6.26
294,8.82,3.51,-6.44
299,9.61,3.08,-6.43
304,10.49,2.79,-5.74
308,10.85,2.48,-4.95
312,11.45,2.62,-4.01
317,12.22,2.71,-3.13
322,12.55,2.62,-2.15
327,12.89,2.39,-1.12
332,13.93,2.22,0.01
336,14.38,2.13,0.84
341,14.13,2.10,2.02
346,14.64,2.08,3.14
349,14.76,1.82,4.06
354,14.48,1.60,5.14
359,14.11,1.53,6.42
364,13.56,1.46,7.32
368,13.59,1.25,8.89
373,13.50,1.01,10.06
378,12.96,0.44,11.34
383,12.18,-0.11,12.80
387,11.77,-0.56,14.22
391,10.99,-1.41,15.64
396,10.39,-1.94,16.06
401,9.70,-2.70,17.51
405,9.56,-3.80,18.52
410,9.69,-4.32,19.20
415,9.02,-4.58,19.45
420,8.95,-4.55,19.52
424,8.78,-4.44,19.54
429,8.53,-4.38,19.54
433,8.10,-3.91,19.54
438,7.80,-3.32,19.47
442,7.55,-3.18,19.22
447,7.57,-2.58,18.92
452,7.76,-2.10,18.16
457,7.66,-1.78,16.52
461,7.63,-1.59,15.28
466,7.85,-1.58,14.40
471,8.29,-1.64,12.83
475,8.64,-1.65,11.24
479,8.99,-1.58,9.75
484,9.39,-1.52,8.23
489,9.45,-1.60,7.23
494,9.90,-1.64,6.03
498,10.43,-1.64,5.33
503,10.80,-1.83,4.52
508,11.17,-1.85,3.76
513,11.80,-2.27,2.87
516,11.96,-2.60,2.18
521,12.63,-3.23,1.84
526,13.35,-3.95,1.48
531,13.96,-4.40,1.48
535,14.58,-5.06,1.58
540,15.26,-5.39,1.75
545,15.91,-5.71,2.12
549,17.04,-5.41,2.31
554,17.06,-6.23,2.55
558,17.26,-6.43,3.28
563,18.66,-6.61,3.54
567,19.24,-6.51,4.95
572,19.47,-6.63,5.54
577,19.52,-6.69,6.59
582,19.53,-6.83,7.88
587,19.54,-6.89,9.48
591,19.54,-6.72,9.99
596,19.54,-6.64,11.14
600,19.54,-6.71,11.96
605,19.54,-6.56,13.80
609,19.54,-6.54,14.69
614,19.54,-6.29,15.84
619,19.54,-6.09,17.02
624,19.54,-5.83,17.87
628,19.54,-5.55,18.70
633,19.54,-5.17,18.99
638,19.54,-5.13,19.30
642,19.54,-4.97,19.33
647,19.54,-4.24,19.39
651,19.54,-3.51,19.46
656,19.54,-2.77,19.52
661,19.54,-2.00,19.51
666,19.54,-1.14,19.52
670,19.54,-0.32,19.53
675,19.54,0.16,19.51
679,19.54,0.95,19.52
684,19.54,1.51,19.38
688,19.54,1.78,19.31
693,19.53,1.27,19.21
698,19.51,0.33,19.10
703,19.46,-0.34,19.01
707,19.25,-0.42,19.06
712,19.13,-0.68,18.41
717,18.92,-1.02,17.58
721,18.81,-1.18,16.64
725,18.79,-1.30,15.32
730,18.70,-1.50,14.49
735,18.67,-1.56,13.58
740,18.64,-1.39,12.87
745,18.28,-1.20,12.23
749,17.84,-0.80,11.96
754,17.64,-0.43,11.67
759,17.44,-0.34,11.18
763,17.05,-0.35,11.03
767,16.57,-0.34,10.78
772,16.29,-0.51,10.63
777,15.85,-0.83,10.76
782,15.61,-1.03,10.52
787,15.29,-1.46,10.03
791,15.18,-1.83,9.77
796,14.80,-2.10,9.16
801,14.33,-2.42,8.83
805,13.77,-2.53,8.82
809,13.23,-2.60,8.63
814,12.82,-2.66,8.76
819,12.29,-2.19,8.84
824,12.10,-2.62,9.07
828,11.49,-2.94,9.50
833,11.47,-3.41,10.01
838,10.97,-3.13,11.16
842,10.58,-2.57,11.99
846,10.46,-2.09,12.76
851,9.97,-1.30,12.73
856,9.94,-0.89,12.50
860,10.00,-0.78,12.47
865,10.05,-0.38,12.85
870,10.41,0.22,12.75
875,10.49,0.86,12.61
879,10.35,1.02,11.89
884,10.17,1.19,11.15
888,10.29,1.22,10.30
893,10.30,0.84,9.82
898,10.40,0.64,9.41
902,10.25,0.38,9.07
907,10.24,0.17,9.02
912,10.20,0.20,8.65
917,10.13,-0.11,8.60
921,10.36,0.30,8.76
926,10.25,-0.09,8.47
930,10.36,-0.52,8.77
934,10.61,-0.83,8.80
939,10.48,-1.40,9.01
944,10.29,-1.57,9.03
949,10.36,-1.96,9.32
953,10.43,-1.99,9.65
958,10.59,-2.15,9.46
963,10.58,-1.45,9.28
968,10.36,-1.86,9.16
971,10.05,-1.69,8.48
976,9.67,-2.00,7.90
981,9.09,-2.57,7.31
986,8.68,-3.77,7.29
990,8.09,-5.24,7.60
995,8.00,-6.91,8.02
1000,7.45,-7.95,8.79
1004,7.20,-8.12,9.82
1009,5.83,-8.99,11.04
1013,5.11,-9.16,11.71
1018,4.84,-8.95,12.37
1022,5.09,-8.99,12.57
1027,4.37,-8.99,12.66
1032,4.13,-8.44,12.40
1037,3.83,-7.20,12.28
1041,3.68,-6.12,12.03
1046,3.53,-4.44,12.13
1051,3.81,-2.80,11.47
1055,3.96,-1.77,10.81
1059,3.60,-0.77,10.44
1064,2.46,-0.37,8.87
1069,2.73,-0.09,7.54
1074,0.73,0.64,6.40
1078,3.24,1.41,5.95
1083,5.18,1.72,4.98
1088,6.34,1.97,3.56
1092,3.55,2.00,2.89
1096,1.44,1.99,1.95
1101,0.81,1.87,1.12
1106,0.52,1.47,0.60
1110,0.43,1.78,-0.25
1115,-0.05,1.71,-1.13
1120,-0.89,1.48,-1.62
1124,-1.93,1.25,-2.40
1129,-2.30,1.44,-3.02
1134,-2.30,2.02,-4.19
1138,-3.44,1.38,-5.80
1142,-3.60,1.03,-7.32
1147,-4.53,0.37,-8.20
1152,-4.92,-0.43,-8.47
1156,-5.32,-1.32,-8.75
1161,-5.87,-1.45,-9.25
1166,-6.30,-1.61,-9.21
1171,-6.55,-1.38,-9.19
1175,-7.02,-1.21,-9.16
1179,-7.57,-0.98,-8.93
1184,-7.66,-1.01,-9.10
1189,-8.01,-0.97,-9.34
1193,-8.23,-0.76,-9.55
1198,-8.47,-0.72,-9.12
1203,-8.66,-0.73,-9.16
1208,-8.59,-0.77,-9.03
1212,-8.54,-0.95,-8.91
1217,-8.82,-1.19,-9.04
1221,-8.85,-1.68,-8.92
1225,-8.93,-1.90,-8.51
1230,-8.77,-2.34,-8.75
1235,-8.73,-2.73,-8.83
1240,-8.75,-3.04,-8.44
1244,-8.69,-3.28,-8.37
1249,-8.66,-3.37,-7.90
1254,-8.53,-3.33,-7.86
1258,-8.27,-3.37,-7.32
1263,-8.09,-3.40,-7.38
1267,-8.33,-3.46,-6.97
1272,-8.07,-3.53,-6.66
1276,-7.92,-3.34,-6.71
1281,-7.85,-3.34,-6.40
1286,-7.79,-3.23,-6.19
1291,-7.75,-2.80,-5.76
1295,-7.40,-2.55,-6.26
1300,-7.11,-2.42,-6.28
1304,-7.19,-2.13,-6.13
1309,-7.01,-1.83,-6.34
1313,-7.03,-1.52,-6.76
1318,-7.10,-1.50,-6.58
1323,-6.87,-1.44,-6.72
1328,-6.60,-1.44,-6.84
1332,-6.71,-1.62,-7.09
1337,-6.66,-1.97,-7.32
1342,-6.15,-1.93,-7.43
1346,-5.86,-1.52,-7.40
1350,-5.83,-1.47,-7.54
1355,-5.62,-1.44,-7.77
1360,-5.42,-1.38,-8.07
1364,-4.89,-1.15,-8.24
1369,-4.69,-0.90,-8.37
1374,-4.30,-0.71,-7.83
1379,-3.58,-0.43,-7.58
1383,-2.88,-0.42,-7.57
1388,-2.25,0.00,-7.69
1392,-1.98,0.41,-7.04
1397,-1.61,0.72,-6.64
1401,-0.85,1.13,-6.30
1406,0.01,1.67,-6.03
1411,1.07,1.75,-5.90
1415,1.75,2.30,-5.58
1420,2.12,2.56,-4.79
1425,2.37,2.76,-4.41
1429,2.92,2.82,-3.70
1433,3.62,2.89,-3.30
1438,4.49,2.85,-2.40
1443,5.01,2.79,-1.52
1447,5.59,2.40,-0.83
1452,5.94,2.04,-0.44
1457,6.68,1.72,0.29
1462,7.40,1.25,0.63
1466,8.52,0.46,0.84
1471,9.06,-0.21,1.06
1475,9.39,-0.84,1.09
1479,10.30,-1.51,0.84
1484,10.91,-2.19,0.68
1489,12.04,-3.03,0.14
1494,13.27,-4.28,-0.08
1498,14.35,-5.11,-0.75
1503,15.35,-5.62,-0.84
1508,15.42,-6.66,-0.81
1513,15.87,-7.76,0.07
1516,16.15,-8.81,0.80
1521,17.14,-9.59,1.98
