timestamp,accX,accY,accZ
0,-8.53,4.08,-6.75
90,-8.71,4.33,-7.36
94,-8.74,4.57,-7.55
99,-8.86,4.77,-8.14
104,-9.09,5.09,-8.03
109,-9.36,5.44,-8.58
113,-9.32,5.68,-8.31
118,-8.63,6.11,-8.43
123,-8.62,6.96,-8.10
128,-8.92,7.36,-8.73
131,-9.23,7.35,-8.45
136,-8.62,7.48,-8.86
141,-8.35,7.76,-9.57
146,-8.39,7.97,-9.67
150,-8.72,8.45,-10.09
155,-8.75,8.64,-10.05
160,-8.89,8.78,-10.05
165,-8.60,8.80,-9.97
169,-8.37,9.02,-9.95
173,-8.70,9.26,-9.18
178,-7.29,9.40,-9.07
183,-7.71,10.81,-8.08
187,-7.41,10.93,-8.92
192,-6.69,10.38,-8.79
197,-5.77,11.03,-8.26
201,-5.73,11.56,-8.07
206,-5.85,11.84,-7.72
211,-5.71,12.02,-7.98
215,-5.25,11.80,-7.52
219,-5.28,11.49,-7.72
224,-4.89,11.43,-6.83
229,-4.86,11.04,-6.94
234,-3.96,9.95,-6.83
238,-2.88,9.66,-6.96
243,-2.64,9.53,-6.80
248,-2.40,9.00,-6.83
253,-1.74,8.51,-7.01
256,-1.41,7.85,-7.26
261,-0.76,7.39,-6.93
266,-0.11,6.90,-7.12
271,0.50,6.29,-7.23
275,1.29,6.05,-7.16
280,2.23,5.42,-6.95
285,2.74,4.94,-6.74
290,3.40,4.61,-6.75
294,4.21,4.28,-6.57
298,5.16,4.08,-6.16
303,6.04,3.98,-5.89
307,6.89,3.46,-5.84
312,7.27,2.77,-6.36
317,8.07,2.38,-6.30
321,8.40,1.92,-6.53
326,9.25,0.95,-6.49
331,10.04,0.19,-6.62
336,10.69,0.06,-6.10
339,11.45,-0.34,-5.34
344,11.72,-0.50,-4.67
349,12.32,-0.72,-3.30
354,13.09,-0.68,-2.56
358,13.85,-0.80,-1.53
363,14.18,-0.98,-0.36
368,14.34,-0.98,1.21
372,14.47,-0.96,2.77
377,14.56,-0.65,3.60
381,14.47,-0.42,4.43
386,14.88,0.12,4.61
390,14.82,0.17,5.02
395,14.90,-0.02,5.37
400,14.94,-0.23,5.61
405,15.00,-0.62,5.90
409,14.80,-0.83,6.21
414,14.50,-0.78,6.73
419,14.43,-0.76,6.84
423,14.14,-0.75,6.84
427,14.23,-0.80,6.88
432,14.10,-0.70,7.23
437,14.35,-0.76,7.39
442,14.35,-0.96,7.97
447,14.18,-1.02,8.59
451,14.33,-1.10,10.09
456,14.63,-0.47,10.74
461,14.61,-0.13,11.95
465,14.72,-0.04,12.88
469,14.54,0.31,13.69
474,14.61,0.80,14.09
479,14.55,1.28,14.45
484,14.48,1.79,14.82
489,14.36,2.49,15.15
493,14.48,3.10,15.34
498,14.02,3.77,15.39
503,14.87,3.98,15.15
507,16.06,4.50,14.95
511,16.12,5.12,14.82
516,15.86,5.47,14.40
521,15.19,5.55,13.91
526,15.18,5.22,13.72
530,15.21,4.71,12.83
535,15.16,4.34,12.19
540,14.99,3.74,11.62
545,14.72,2.71,11.05
548,14.97,1.80,11.26
553,14.91,1.13,11.31
558,15.24,0.59,11.46
563,15.31,-0.09,11.34
