timestamp,accX,accY,accZ
0,-9.87,10.88,-9.10
90,-10.27,11.15,-9.67
94,-10.51,11.34,-10.40
99,-10.28,11.34,-10.99
104,-10.05,11.69,-11.33
109,-9.93,11.94,-11.62
114,-9.47,12.56,-11.75
118,-9.58,13.12,-11.68
123,-9.24,13.34,-11.27
128,-8.74,13.83,-10.68
132,-8.39,14.13,-9.83
136,-7.61,14.26,-9.62
141,-7.37,14.01,-9.36
146,-6.85,13.70,-9.36
151,-6.42,13.09,-9.08
155,-6.02,12.74,-8.53
160,-6.17,11.94,-8.55
165,-6.11,10.81,-8.28
170,-5.48,9.33,-7.70
173,-5.05,7.69,-7.63
178,-4.83,5.98,-7.78
183,-4.38,4.49,-6.97
188,-4.39,3.58,-6.63
192,-3.57,1.82,-7.02
197,-3.41,0.22,-7.03
202,-3.23,-1.16,-7.17
207,-2.83,-2.32,-7.23
211,-2.66,-3.02,-7.12
215,-1.93,-4.11,-7.71
220,-1.12,-4.35,-8.06
224,-0.51,-4.88,-8.47
229,-0.36,-4.97,-8.93
234,0.11,-4.22,-8.32
239,1.34,-4.04,-8.19
243,2.08,-3.72,-9.18
248,2.42,-3.09,-9.00
253,3.34,-2.85,-9.56
257,4.40,-2.24,-8.99
261,4.84,-1.39,-8.29
266,6.15,-0.47,-8.28
271,7.02,0.65,-8.08
275,7.77,1.77,-7.09
280,8.26,2.32,-6.35
285,9.14,3.14,-6.19
290,9.54,3.86,-5.24
294,10.27,4.62,-4.77
298,10.75,5.03,-3.85
303,11.21,6.92,-2.23
308,10.76,6.51,-2.27
312,12.69,6.22,-2.25
317,12.56,5.85,-2.38
322,12.53,5.47,-0.82
327,12.90,5.37,-0.04
331,13.20,4.68,0.36
336,13.51,3.98,1.74
340,13.69,3.38,2.85
344,13.61,3.19,3.77
349,13.54,2.62,4.10
354,13.58,2.00,4.73
359,13.62,1.38,4.61
363,13.67,1.18,4.85
368,13.50,1.07,5.30
373,12.87,1.18,5.52
378,12.31,1.00,5.85
381,12.23,0.88,6.58
386,12.15,0.86,7.64
391,11.98,0.65,8.47
395,12.00,0.47,9.07
400,12.21,0.56,10.01
405,11.30,0.64,11.75
410,11.27,-0.11,12.18
415,11.61,-0.84,12.92
419,11.51,-1.64,13.56
423,11.17,-2.06,14.49
428,10.70,-2.08,15.56
433,10.26,-2.70,16.08
437,10.73,-3.39,16.81
442,10.70,-3.64,17.42
447,10.21,-4.21,17.93
452,9.69,-4.48,17.74
456,10.39,-5.25,17.49
461,10.55,-5.88,17.24
465,9.78,-5.83,16.96
470,10.60,-6.22,16.68
474,11.28,-6.25,15.89
479,10.72,-6.27,15.88
484,10.94,-6.59,14.94
489,11.97,-6.94,14.23
493,12.17,-7.22,14.34
498,11.72,-7.01,13.78
503,12.95,-7.13,12.92
507,13.07,-7.23,12.05
511,13.31,-7.21,11.31
516,13.12,-7.07,11.04
521,14.07,-7.34,10.10
526,14.91,-7.41,9.79
530,15.29,-7.32,8.80
535,15.72,-7.09,7.90
540,16.32,-7.17,7.55
545,17.02,-7.31,6.94
548,17.22,-7.17,6.11
553,18.07,-7.22,5.82
558,18.53,-7.17,5.75
562,19.20,-7.14,5.54
567,19.46,-7.06,5.60
572,19.52,-6.78,5.72
577,19.54,-6.55,6.11
581,19.54,-6.07,6.56
586,19.54,-5.66,7.32
590,19.54,-5.33,7.42
595,19.54,-4.97,8.12
599,19.45,-4.92,9.50
604,19.52,-5.00,10.71
609,19.54,-4.81,11.33
614,19.54,-4.39,13.22
618,19.54,-3.73,14.28
623,19.54,-3.68,15.60
628,19.54,-3.84,16.03
632,19.54,-3.72,17.15
637,19.54,-3.60,18.04
641,19.54,-3.26,19.06
646,19.54,-2.54,19.42
651,19.54,-2.01,19.51
656,19.54,-1.56,19.54
660,19.54,-0.86,19.54
665,19.54,-0.10,19.54
670,19.54,0.08,19.54
674,19.54,0.14,19.54
678,19.54,-0.28,19.54
683,19.54,-0.32,19.54
688,19.54,0.11,19.54
693,19.54,0.18,19.54
697,19.51,0.07,19.54
702,19.51,0.08,19.54
707,19.52,0.29,19.54
712,19.53,0.26,19.54
715,19.54,-0.09,19.47
720,19.46,-0.23,19.43
725,19.32,-0.06,19.01
730,19.10,-0.01,18.69
735,18.93,-0.15,18.39
739,18.67,-0.05,18.01
744,18.22,0.75,17.46
749,18.18,-0.34,16.94
754,18.30,-0.74,16.56
757,18.27,-1.47,16.47
762,17.84,-1.13,16.43
767,17.76,-0.88,16.27
772,17.56,-1.26,15.39
776,17.44,-1.84,14.40
781,18.08,-1.94,13.69
786,18.07,-2.21,12.47
791,16.76,-2.81,11.95
795,16.73,-2.91,11.95
799,16.62,-3.55,11.92
804,16.44,-4.27,11.71
809,16.46,-4.70,11.30
814,16.62,-5.14,10.84
818,16.68,-5.39,10.72
823,16.54,-5.74,10.38
828,16.23,-6.25,9.46
833,15.39,-6.32,9.58
837,16.29,-6.38,8.75
841,16.08,-6.54,8.34
846,14.80,-6.51,8.87
851,13.54,-6.20,8.23
855,13.59,-5.96,8.18
860,10.12,-6.64,8.26
865,13.00,-5.59,8.64
870,15.59,-4.58,9.19
874,14.78,-4.53,9.19
879,13.07,-3.57,9.28
883,12.09,-2.69,8.72
888,11.44,-1.56,8.08
892,9.25,-0.80,7.47
897,11.60,0.95,7.41
902,13.49,4.47,6.60
907,12.67,4.10,4.13
911,10.59,4.15,2.14
916,8.90,4.63,0.77
921,8.16,4.30,-0.15
925,8.54,2.52,-0.45
929,8.52,1.27,-0.72
934,7.44,1.84,0.66
939,5.91,3.01,1.37
944,4.92,2.81,1.75
948,4.62,1.90,1.25
953,4.64,0.99,0.43
958,4.13,-0.52,0.31
962,4.17,-1.71,0.04
966,3.97,-2.31,0.47
971,3.07,-2.52,1.61
976,2.44,-2.87,2.56
980,2.19,-3.01,3.53
985,1.69,-2.93,4.25
990,1.44,-2.99,5.03
994,1.03,-3.06,6.07
999,0.47,-3.07,6.79
1004,-0.09,-2.90,7.28
1008,-0.79,-2.94,7.56
1012,-0.91,-2.51,7.97
1017,-0.43,-1.77,7.86
1022,-0.41,-0.94,7.99
1027,-0.60,0.29,8.24
1031,-0.83,0.73,7.79
1036,-0.48,1.48,6.79
1041,-1.05,1.84,5.39
1045,-1.26,2.17,3.42
1049,-1.84,2.42,2.60
1054,-2.24,2.46,0.31
1059,-2.76,2.39,-1.17
1063,-2.67,2.12,-2.56
1068,-3.25,2.26,-3.69
1073,-4.73,2.28,-4.14
1078,-5.06,2.21,-4.73
1082,-5.38,2.08,-5.01
1087,-5.58,2.30,-5.05
1091,-6.18,2.59,-4.90
1095,-6.72,2.40,-4.73
1100,-7.07,2.12,-4.38
1105,-7.15,1.72,-4.52
1110,-7.22,1.64,-4.67
1114,-7.34,1.60,-4.54
1119,-7.33,1.63,-4.74
1124,-7.47,1.75,-4.59
1129,-7.43,1.74,-4.44
