timestamp,accX,accY,accZ
0,-9.34,4.03,1.89
90,-9.00,4.06,1.50
94,-9.02,4.10,1.09
99,-9.35,4.21,0.96
104,-9.58,4.21,0.80
109,-9.66,4.28,0.20
113,-9.69,4.52,-0.18
118,-9.65,4.45,-0.46
123,-9.70,4.41,-0.77
127,-10.02,4.32,-1.19
131,-10.26,4.00,-1.88
136,-10.28,3.89,-2.41
141,-10.06,4.17,-3.23
145,-10.10,4.22,-4.05
150,-10.47,4.43,-4.40
155,-10.57,4.62,-4.54
160,-10.48,4.65,-5.49
164,-10.51,4.88,-6.37
169,-10.70,4.96,-7.00
173,-10.52,5.42,-7.55
178,-10.76,5.96,-7.93
182,-10.83,6.76,-8.03
187,-11.10,7.26,-8.47
192,-10.65,7.24,-8.73
197,-10.04,7.61,-8.65
201,-9.56,8.23,-8.54
206,-9.71,8.61,-7.93
211,-9.59,8.86,-7.70
215,-9.18,8.83,-7.45
219,-8.60,8.71,-7.31
224,-8.54,8.75,-7.40
229,-8.28,8.87,-7.35
233,-8.04,8.82,-7.56
238,-7.89,8.88,-7.81
243,-7.45,9.22,-7.99
248,-7.23,9.38,-8.28
252,-6.95,9.35,-8.34
256,-6.35,9.52,-8.29
261,-5.96,9.76,-8.27
265,-5.62,10.00,-7.57
270,-5.25,10.38,-6.88
275,-4.92,10.69,-6.09
280,-4.44,10.94,-5.52
284,-3.67,11.01,-4.69
289,-3.20,10.98,-3.96
294,-2.46,10.71,-3.69
298,-2.40,10.28,-3.44
302,-2.07,9.76,-3.58
307,-1.90,9.22,-3.56
312,-1.50,8.55,-4.36
317,-1.28,8.08,-4.93
321,-0.91,7.17,-5.55
326,-0.50,6.23,-6.26
331,0.19,5.31,-6.71
335,0.88,4.76,-6.84
339,1.22,4.05,-7.17
344,1.82,3.99,-7.24
348,2.64,3.74,-7.41
353,2.98,3.92,-7.47
358,3.80,3.76,-7.27
363,4.99,3.63,-7.44
367,5.87,3.48,-7.40
372,6.88,3.23,-7.35
377,7.75,3.19,-7.65
380,7.15,3.07,-7.42
385,7.26,2.97,-7.15
390,7.68,2.82,-6.79
395,8.34,2.67,-6.80
399,8.89,2.55,-6.21
404,9.29,2.43,-5.24
409,9.86,2.20,-3.97
414,10.67,1.99,-3.21
418,11.02,1.56,-2.22
422,11.71,0.86,-1.09
427,12.31,0.18,-0.57
432,12.70,-0.64,-0.32
436,13.09,-1.38,0.55
441,12.83,-1.88,1.52
446,13.05,-2.97,1.83
451,13.12,-3.55,2.09
455,13.10,-4.24,2.85
460,13.06,-4.71,3.00
464,12.93,-4.96,3.26
469,12.79,-5.30,3.94
473,12.96,-5.38,4.11
478,13.20,-5.60,4.54
483,13.25,-6.08,4.92
488,13.10,-6.33,5.81
492,13.29,-6.52,6.52
497,13.83,-6.65,7.43
502,14.25,-6.97,8.58
506,14.51,-7.19,9.44
510,14.49,-7.57,10.83
515,14.47,-7.91,11.71
520,14.78,-8.06,12.31
525,14.82,-8.23,12.78
529,15.03,-8.50,13.24
534,15.20,-8.57,13.68
539,15.44,-8.61,13.89
544,15.78,-8.88,14.21
547,16.27,-8.71,14.44
552,16.53,-8.54,14.51
557,16.50,-8.57,14.48
562,16.90,-8.57,14.05
567,17.19,-8.21,14.00
571,15.69,-8.03,14.04
576,18.04,-8.35,13.67
581,19.17,-8.17,13.32
586,19.26,-7.79,13.43
589,19.25,-7.50,13.59
594,19.46,-7.61,13.01
599,19.52,-7.94,11.95
604,19.54,-8.26,11.19
609,19.54,-8.27,10.90
613,19.54,-8.38,10.33
618,19.54,-8.44,10.06
623,19.54,-8.31,10.48
628,19.54,-8.20,10.64
631,19.54,-7.88,10.74
636,19.54,-7.76,10.81
641,19.54,-7.41,11.65
646,19.54,-7.29,12.08
650,19.54,-7.04,13.00
655,19.54,-6.86,14.00
660,19.54,-6.73,14.74
665,19.54,-6.61,14.99
670,19.54,-6.66,15.98
673,19.54,-6.46,16.98
678,19.54,-6.46,17.64
683,19.54,-6.68,18.64
688,19.54,-6.61,19.25
692,19.54,-5.99,19.47
697,19.54,-5.02,19.53
702,19.54,-4.04,19.54
707,19.54,-3.10,19.54
711,19.54,-2.37,19.54
715,19.54,-0.51,19.54
720,19.54,1.29,19.54
725,19.54,3.14,19.54
729,19.54,5.24,19.54
734,19.54,7.36,19.54
739,19.54,8.69,19.54
744,19.54,7.27,19.54
748,19.54,5.57,19.54
753,19.54,3.31,19.54
757,19.54,2.93,19.54
762,19.54,3.18,19.54
766,19.54,3.39,19.54
771,19.54,3.51,19.54
776,19.54,3.20,19.35
781,19.54,2.88,18.62
785,19.46,2.21,18.10
790,19.46,2.18,17.60
795,18.98,2.28,17.90
799,18.18,2.04,17.75
803,17.25,1.70,17.64
808,17.20,0.90,17.60
813,16.96,0.65,18.08
818,16.34,0.03,17.97
823,16.34,-0.54,18.21
827,16.55,-1.20,18.14
832,16.62,-1.68,18.02
837,16.92,-2.20,17.89
841,17.19,-2.85,17.00
845,17.70,-3.19,16.31
850,17.92,-3.65,15.07
855,18.11,-3.93,13.99
860,17.89,-3.86,12.78
864,17.73,-4.52,11.47
869,17.84,-5.34,10.66
874,17.44,-6.29,9.46
879,16.70,-7.02,8.44
882,16.14,-6.87,8.35
887,15.54,-6.58,8.30
892,15.71,-6.47,8.33
897,15.14,-6.37,8.26
901,15.35,-6.27,8.02
906,15.37,-5.77,7.93
911,15.05,-4.51,8.35
916,14.36,-3.53,8.20
920,15.05,-2.59,6.80
924,14.85,-1.85,6.71
929,14.81,4.07,4.82
934,13.75,1.10,2.39
939,15.37,-0.90,1.20
943,15.83,-1.94,0.63
948,15.06,-1.70,1.02
953,13.89,-1.92,1.71
958,13.28,-2.32,2.16
962,12.38,-1.67,3.47
966,12.13,-2.14,3.20
971,11.57,-3.01,3.09
975,10.68,-3.55,2.42
980,10.19,-3.99,1.93
985,9.23,-4.36,1.76
990,8.73,-3.30,1.67
994,6.96,-3.61,1.70
999,6.04,-3.53,1.92
1004,5.82,-3.57,1.98
1007,5.12,-3.49,2.51
1012,4.21,-3.55,2.84
1017,4.03,-3.74,2.74
1022,3.53,-3.94,2.80
1026,3.28,-3.57,3.30
1031,2.65,-2.93,3.65
1036,2.04,-2.53,3.77
1041,1.32,-2.25,3.81
1045,0.67,-1.85,3.89
1049,0.52,-1.69,3.40
1054,0.11,-1.99,2.61
1058,-0.04,-2.13,2.24
1063,-0.50,-2.03,1.95
1068,-1.03,-2.05,1.54
1072,-1.71,-1.76,0.96
1077,-2.16,-1.51,0.35
1082,-2.39,-1.11,0.20
1087,-2.79,-0.58,0.03
1090,-3.45,-0.12,-0.13
1095,-3.97,0.02,-0.28
1100,-4.32,0.20,-0.49
1105,-4.62,0.54,-1.01
1109,-4.74,0.58,-1.89
1114,-5.21,0.65,-2.76
1119,-5.38,1.35,-3.40
1123,-5.70,2.36,-4.50
1128,-6.42,2.69,-5.78
1132,-6.51,3.02,-7.49
1137,-7.12,2.20,-8.91
1141,-7.32,1.21,-10.80
1146,-7.89,0.29,-11.79
1151,-7.92,-0.13,-12.12
1155,-8.06,-0.22,-12.96
1160,-8.70,-0.35,-13.78
1165,-9.28,-0.43,-14.10
1170,-9.53,-0.46,-15.08
1173,-9.50,-0.43,-15.91
1178,-9.63,-0.51,-16.87
1183,-9.67,-0.48,-17.33
1188,-9.53,-0.30,-18.34
1192,-8.99,-0.07,-18.69
1197,-8.36,0.11,-18.70
1202,-7.85,0.61,-18.99
1207,-7.75,0.93,-18.72
1211,-6.73,1.23,-18.44
1215,-5.58,1.37,-18.35
1220,-4.61,1.50,-18.10
1225,-3.94,1.41,-18.20
1229,-2.91,1.54,-17.74
1234,-2.35,1.72,-17.18
1239,-1.02,1.78,-16.96
1244,0.89,1.86,-16.73
1248,2.15,1.92,-16.71
1253,3.29,1.96,-16.49
1257,4.73,1.97,-15.89
1262,6.44,1.98,-15.38
1266,7.36,1.96,-14.70
1271,8.81,1.80,-13.75
1276,10.44,1.60,-13.32
1280,11.97,1.10,-12.27
1285,13.61,0.63,-11.15
1290,15.48,0.39,-10.16
1295,17.30,-0.29,-8.87
1299,18.71,-1.19,-7.57
1303,19.13,-2.05,-6.65
1308,19.45,-3.07,-5.81
1313,19.52,-4.07,-5.31
1318,19.54,-5.11,-3.63
1322,19.54,-6.10,-2.77
1327,19.54,-6.70,-1.82
1332,19.54,-8.08,-0.55
1337,19.54,-9.28,0.94
1340,19.54,-10.63,2.17
1345,19.54,-11.68,4.11
1350,19.54,-12.60,5.20
1355,19.54,-13.09,6.59
1360,19.54,-13.14,8.44
1364,19.54,-12.72,10.78
1369,19.54,-11.87,12.38
1374,19.54,-10.37,13.57
1379,19.54,-7.90,14.92
1382,19.54,-4.76,15.37
1387,19.54,-1.56,16.58
1392,19.54,1.20,17.52
1397,19.54,2.06,18.42
1401,19.54,3.35,19.11
1406,19.54,3.70,19.44
1411,19.54,3.38,19.52
1416,19.54,2.32,19.53
1420,19.54,1.08,19.54
1424,19.54,0.51,19.54
1429,19.54,0.63,19.54
1434,19.54,1.29,19.54
1438,19.54,2.25,19.54
1443,19.50,2.84,19.54
1448,18.78,3.22,19.54
1453,17.64,3.89,19.54
1458,15.99,4.46,19.54
1462,14.79,4.53,19.54
1466,13.79,4.61,19.54
1471,12.84,4.79,19.54
1476,12.30,5.23,19.54
1480,11.52,5.49,19.54
1485,10.79,5.81,19.54
1490,9.81,6.29,19.54
1495,9.04,6.44,19.54
1499,8.58,6.49,19.54
1504,8.26,6.50,19.54
1508,8.19,6.26,19.54
1513,8.01,6.10,19.54
1517,8.26,5.84,19.54
1522,8.11,5.98,19.23
1527,8.31,5.34,17.84
1532,8.38,5.33,16.27
1536,8.83,5.13,15.02
1541,8.87,4.75,13.39
1546,9.05,3.79,12.42
1550,9.49,3.07,12.17
1554,9.82,3.18,12.07
1559,9.91,3.13,12.38
1564,9.92,3.10,12.38
1569,10.03,3.18,12.75
1573,10.10,3.68,12.76
1578,10.03,3.98,12.59
1583,9.75,4.32,12.52
1588,9.44,4.41,12.36
1591,9.00,4.34,11.79
1596,8.52,4.29,11.88
1601,8.33,3.92,11.41
1606,8.26,3.38,10.99
1610,8.19,2.91,10.96
1615,8.15,2.45,11.11
1620,8.18,2.31,10.88
1625,7.99,1.90,11.10
1629,7.69,1.65,10.88
