timestamp,accX,accY,accZ
0,-11.27,11.34,-4.38
91,-11.07,11.61,-3.91
95,-10.96,12.08,-3.59
100,-11.02,12.43,-3.84
105,-10.74,12.61,-3.69
110,-10.85,12.77,-3.85
114,-10.51,12.81,-4.02
119,-10.58,12.70,-4.08
124,-10.41,12.78,-4.37
128,-10.45,12.63,-4.45
133,-10.31,12.55,-4.39
137,-10.14,12.49,-4.31
142,-9.95,12.33,-4.02
147,-9.79,12.13,-3.95
152,-9.53,11.90,-3.61
156,-9.34,11.81,-3.38
161,-9.01,11.74,-3.07
165,-8.48,11.32,-2.33
170,-8.30,10.70,-2.23
174,-8.18,10.09,-2.36
179,-7.57,9.36,-2.80
184,-7.51,8.32,-3.89
189,-7.49,6.61,-5.09
193,-7.70,5.80,-6.72
198,-7.64,4.06,-8.16
203,-7.64,2.44,-9.50
207,-7.56,0.79,-10.79
211,-7.41,-0.76,-11.58
216,-7.01,-1.86,-12.85
221,-6.39,-2.73,-13.73
226,-5.08,-2.97,-14.51
230,-4.08,-3.31,-15.25
235,-3.42,-3.46,-15.59
240,-2.85,-3.19,-15.58
245,-1.62,-2.88,-15.88
249,-0.38,-2.53,-16.43
253,1.21,-1.98,-16.25
258,2.60,-1.63,-16.25
263,4.24,-0.80,-16.27
267,6.07,0.07,-16.41
272,6.84,1.02,-16.11
277,8.20,1.75,-15.80
282,10.20,2.48,-15.90
287,11.72,3.52,-15.51
290,13.08,4.50,-14.11
295,13.77,5.05,-13.22
300,14.45,5.45,-11.80
305,15.04,5.39,-11.01
309,16.16,5.17,-9.88
314,16.63,4.75,-9.26
319,17.38,3.98,-7.54
324,18.62,3.22,-6.05
328,19.29,2.74,-4.30
332,19.48,1.72,-2.33
337,19.51,0.43,-0.88
342,19.54,-0.86,0.79
346,19.53,-1.95,2.06
351,19.53,-2.90,2.53
356,19.20,-3.62,4.21
361,18.85,-4.15,5.12
365,18.81,-4.95,6.21
370,19.04,-5.36,7.38
374,19.15,-5.44,8.55
379,18.56,-5.11,9.85
383,17.75,-4.61,10.34
388,17.03,-4.32,11.58
393,16.77,-4.12,12.43
398,16.50,-3.77,13.69
402,16.28,-3.61,15.44
407,16.39,-3.30,16.68
412,16.27,-3.08,18.06
416,15.83,-2.93,18.81
421,15.78,-2.95,19.03
425,14.00,-2.58,19.19
430,15.12,-3.02,19.43
435,15.91,-3.75,19.43
440,15.57,-4.10,19.51
444,15.18,-4.02,19.54
449,14.53,-4.10,19.41
454,14.27,-3.98,19.32
458,14.07,-3.80,19.05
463,13.74,-3.75,18.65
467,13.36,-3.58,18.05
472,13.55,-3.35,16.80
477,13.62,-3.34,15.90
481,13.59,-3.25,14.65
486,13.82,-3.43,13.95
491,13.94,-3.94,13.27
496,14.24,-4.62,11.83
499,14.91,-4.74,11.12
504,15.46,-5.26,9.54
509,15.59,-5.59,8.71
514,16.12,-6.11,7.47
518,16.55,-6.48,7.02
523,17.15,-6.70,6.31
528,17.68,-6.91,5.82
533,18.27,-6.88,5.37
537,19.05,-7.04,5.72
541,19.30,-7.23,5.67
546,19.47,-7.36,6.13
551,19.53,-7.60,6.04
555,19.54,-7.63,7.15
560,19.54,-7.89,8.02
565,19.54,-7.94,8.69
570,19.54,-8.07,9.82
574,19.54,-8.37,10.85
579,19.54,-8.71,11.99
583,19.54,-8.80,12.53
588,19.54,-8.83,14.01
592,19.54,-9.00,15.63
597,19.54,-9.19,16.48
602,19.54,-9.21,17.61
607,19.54,-9.21,18.43
611,19.54,-8.80,18.68
616,19.54,-8.27,18.92
621,19.54,-7.88,19.34
625,19.54,-7.08,19.41
630,19.54,-5.88,19.46
634,19.54,-5.31,19.52
639,19.54,-4.10,19.54
644,19.54,-3.07,19.54
649,19.54,-2.37,19.54
653,19.54,-2.00,19.54
658,19.54,-1.96,19.54
663,19.54,-2.70,19.54
667,19.54,-3.06,19.54
671,19.54,-3.35,19.54
676,19.54,-2.96,19.54
681,19.54,-2.54,19.54
686,19.54,-1.92,19.53
691,19.54,-1.43,19.49
695,19.54,-1.04,19.27
700,19.54,-0.73,18.87
705,19.54,-0.21,18.31
709,19.54,0.17,18.00
713,19.52,0.38,17.79
718,19.54,1.91,17.72
723,19.04,4.15,17.44
728,18.40,3.67,16.11
732,17.99,2.83,16.03
737,17.21,2.44,16.55
742,16.71,1.87,17.75
747,16.15,2.50,18.79
750,15.15,3.51,18.36
755,14.39,3.83,17.84
760,14.50,3.14,17.46
765,14.68,2.43,16.18
770,14.26,2.31,15.92
774,13.09,2.36,15.79
779,12.18,2.34,16.25
784,12.82,2.68,16.50
789,13.06,2.57,16.19
792,12.41,2.18,15.88
797,12.12,2.06,15.17
802,12.09,2.06,14.95
806,12.15,2.29,14.82
811,12.23,2.62,14.37
816,12.21,2.69,13.73
821,12.10,2.39,12.06
826,11.00,2.31,11.46
830,12.34,2.79,11.38
834,12.75,2.82,10.47
839,11.81,2.85,9.91
844,10.71,2.65,9.64
848,10.51,2.34,9.82
853,11.02,2.10,10.46
858,11.62,1.62,10.81
863,11.39,0.86,11.18
867,11.27,-0.01,11.56
872,11.30,-0.38,12.40
876,11.78,-1.38,12.60
881,12.02,-2.38,12.96
885,12.34,-3.39,13.14
890,13.01,-4.37,13.60
895,13.36,-5.10,13.50
900,13.55,-5.78,13.31
904,13.54,-6.15,13.24
909,13.48,-6.90,12.75
914,13.21,-7.71,11.77
918,12.95,-8.56,11.46
923,12.50,-9.04,10.83
927,12.31,-7.50,10.97
932,11.03,-8.44,9.85
937,11.19,-7.99,8.77
941,12.23,-7.60,6.73
946,11.13,-8.81,5.26
951,10.78,-9.46,3.56
956,9.70,-10.98,2.74
960,9.14,-12.13,2.60
964,8.96,-10.37,2.88
969,7.58,-10.02,2.57
974,6.00,-10.86,2.08
979,5.35,-12.14,2.69
983,5.26,-12.17,3.47
988,4.53,-11.05,4.57
993,3.80,-9.23,4.98
997,3.19,-7.86,5.76
1001,2.92,-7.19,5.51
1006,2.76,-6.17,5.09
1010,2.86,-5.58,5.04
1015,2.81,-4.70,4.61
1020,2.74,-3.59,4.36
1025,2.31,-2.80,3.49
1029,1.69,-2.16,2.46
1034,1.16,-2.40,1.52
1039,0.62,-2.81,0.71
1042,0.35,-2.28,0.04
1047,-0.11,-1.60,-0.87
1052,-0.69,-1.11,-1.07
1057,-1.46,-1.06,-2.81
1061,-2.65,-0.72,-4.13
1066,-3.54,-0.65,-5.85
1071,-3.98,-0.70,-7.40
1076,-4.79,-0.82,-8.38
1080,-5.55,-1.29,-9.45
1084,-5.89,-1.56,-9.58
1089,-6.46,-1.82,-10.21
1094,-7.06,-1.80,-10.78
1098,-7.73,-1.78,-11.11
1103,-7.99,-1.51,-11.13
1108,-8.14,-1.21,-10.79
1113,-8.22,-1.00,-11.10
1117,-8.73,-0.82,-11.04
1122,-8.90,-0.62,-11.00
1126,-9.01,-0.74,-10.84
1130,-9.01,-0.62,-10.39
1135,-8.98,-0.36,-10.12
1140,-8.92,-0.36,-10.14
1145,-8.89,-0.52,-10.07
1149,-8.75,-0.34,-9.93
1154,-9.02,-0.36,-9.58
1159,-8.98,-0.57,-9.22
1163,-8.77,-0.50,-9.07
1167,-8.63,-0.34,-9.35
1172,-8.87,-0.17,-8.56
1177,-8.69,-0.20,-8.01
1181,-8.43,0.13,-7.65
1186,-8.26,0.35,-7.12
