timestamp,accX,accY,accZ
0,-9.67,4.96,-11.33
91,-9.87,5.40,-12.35
95,-9.99,5.90,-13.00
100,-10.29,6.26,-13.34
105,-9.78,7.11,-13.51
110,-9.03,7.89,-13.58
114,-8.98,8.70,-13.61
118,-9.06,9.06,-13.54
123,-8.91,9.61,-13.64
128,-8.53,9.87,-13.72
132,-8.38,10.07,-14.32
137,-8.60,10.10,-14.64
142,-8.28,9.92,-15.05
147,-7.80,9.72,-15.62
151,-7.12,9.69,-16.10
156,-6.79,9.60,-16.14
160,-6.42,9.52,-16.52
165,-5.78,8.74,-17.52
170,-5.26,8.27,-17.80
174,-4.67,8.25,-17.59
179,-3.54,8.08,-17.78
184,-2.91,7.30,-17.41
189,-1.85,6.92,-17.32
193,-0.83,6.22,-16.65
198,-0.42,5.59,-15.68
202,0.80,5.22,-14.94
207,1.68,4.83,-14.40
211,2.63,4.65,-14.02
216,3.66,4.10,-13.55
221,4.59,3.74,-13.35
225,5.51,3.13,-12.82
230,6.15,2.78,-12.78
235,7.11,2.51,-12.37
240,8.09,2.31,-12.31
243,9.04,2.48,-12.25
248,10.12,2.60,-11.85
253,11.17,2.41,-11.38
258,11.81,2.47,-10.71
262,12.16,2.54,-10.22
267,12.81,2.56,-9.41
272,13.64,2.65,-8.57
277,14.51,2.60,-7.95
282,14.99,2.49,-6.67
285,15.72,2.30,-5.88
290,16.41,2.16,-5.13
295,16.88,1.50,-4.69
300,16.90,1.20,-4.03
304,16.96,0.40,-3.52
309,16.81,-0.54,-3.40
314,17.01,-1.56,-2.45
319,17.61,-2.06,-1.85
323,18.00,-3.11,-1.45
327,17.93,-3.88,-0.54
332,17.90,-4.27,0.11
336,17.66,-4.59,0.90
341,17.88,-4.56,1.17
346,18.16,-4.43,2.50
351,17.97,-4.38,3.40
355,18.15,-3.88,4.67
360,18.37,-3.65,6.06
365,18.58,-3.43,7.27
369,18.42,-3.25,8.76
373,18.13,-3.38,9.48
378,18.52,-3.64,11.29
383,18.58,-3.79,12.99
388,18.34,-3.93,14.47
392,18.12,-4.00,15.68
397,18.07,-4.19,16.90
402,17.62,-4.24,17.92
407,17.11,-4.03,18.21
410,17.02,-4.35,18.52
415,18.69,-4.34,19.16
420,18.52,-4.35,19.43
425,17.69,-4.05,19.49
429,17.26,-3.75,19.51
434,16.78,-3.50,19.53
439,16.59,-3.47,19.49
444,16.27,-3.36,19.23
448,16.11,-3.46,18.55
452,16.12,-3.84,17.62
457,16.58,-4.43,16.25
462,16.84,-4.97,14.78
466,17.15,-5.49,13.18
471,17.41,-6.08,12.78
476,18.08,-6.36,11.40
481,18.75,-6.69,10.05
486,19.16,-6.70,8.79
490,19.45,-6.78,7.59
494,19.49,-6.86,6.43
499,19.53,-6.96,5.73
503,19.54,-7.28,5.21
508,19.54,-7.45,4.64
513,19.54,-7.54,5.12
518,19.54,-7.84,5.54
522,19.54,-7.71,5.61
527,19.54,-7.53,6.59
532,19.54,-7.23,7.27
536,19.54,-6.98,8.00
541,19.54,-6.73,8.50
545,19.54,-6.33,9.09
550,19.54,-6.36,10.08
555,19.54,-6.16,11.36
560,19.54,-6.20,12.55
564,19.54,-6.17,13.47
569,19.54,-6.26,14.73
574,19.54,-5.99,15.07
578,19.54,-5.96,15.81
582,19.54,-5.77,16.72
587,19.54,-5.72,17.48
592,19.54,-5.21,17.90
597,19.54,-4.66,18.49
601,19.54,-3.95,18.93
606,19.54,-2.73,19.39
611,19.54,-1.38,19.44
616,19.54,-0.21,19.51
620,19.54,0.54,19.54
624,19.54,2.12,19.54
629,19.54,3.07,19.54
634,19.54,4.40,19.54
639,19.54,5.60,19.54
643,19.54,6.74,19.54
648,19.54,7.63,19.54
653,19.54,7.63,19.54
658,19.54,5.17,19.54
661,19.54,2.05,19.54
666,19.54,1.36,19.54
671,19.15,1.99,19.54
676,18.83,2.77,19.54
680,18.96,3.07,19.54
685,18.67,3.16,19.54
690,18.28,2.89,19.01
