timestamp,accX,accY,accZ
0,-9.69,1.76,2.45
91,-9.71,1.74,2.85
95,-9.73,1.73,2.96
100,-9.84,1.83,3.15
105,-9.95,1.69,3.30
110,-9.96,1.68,2.99
113,-10.17,1.63,3.13
118,-10.02,1.57,3.07
123,-10.25,1.59,3.13
128,-10.24,1.65,3.47
132,-10.30,1.77,3.46
137,-10.36,1.79,3.44
142,-10.40,2.05,3.15
147,-10.57,2.22,2.85
151,-10.76,2.29,2.64
155,-11.01,2.47,2.84
160,-11.26,2.81,2.40
165,-11.67,2.97,1.67
169,-11.94,3.30,2.00
174,-11.99,3.66,1.62
179,-12.18,4.04,1.57
184,-12.38,4.39,1.62
188,-12.41,4.70,1.10
193,-12.59,4.99,0.89
197,-12.59,5.07,0.67
201,-12.80,5.32,0.37
206,-12.63,5.61,-0.20
211,-12.44,6.01,-0.65
216,-12.45,6.53,-0.91
220,-12.87,6.99,-1.64
225,-12.83,7.56,-2.09
230,-12.99,7.88,-2.53
234,-12.44,8.51,-2.90
238,-12.53,9.08,-3.98
243,-12.83,9.65,-4.21
248,-12.50,10.04,-4.84
252,-12.22,10.32,-5.43
257,-12.15,10.61,-6.19
262,-12.05,11.07,-6.61
267,-11.81,11.41,-7.26
272,-11.78,11.76,-7.47
276,-11.19,11.99,-8.18
280,-10.74,11.76,-9.01
285,-10.59,11.09,-9.05
290,-10.24,10.67,-9.41
294,-10.11,10.38,-9.64
299,-9.68,9.54,-10.07
304,-9.34,8.63,-10.70
309,-8.99,7.95,-11.03
313,-8.53,7.13,-11.67
318,-8.39,6.30,-11.87
322,-7.86,5.46,-12.24
327,-7.23,5.03,-12.86
331,-6.64,4.09,-13.51
336,-6.44,3.29,-14.26
341,-6.02,2.21,-14.91
345,-5.61,1.25,-15.22
350,-4.46,0.15,-16.07
355,-3.70,-0.42,-16.73
360,-2.96,-0.75,-16.98
364,-1.75,-1.08,-17.41
368,-1.12,-1.38,-17.60
373,-0.07,-1.33,-17.56
378,1.64,-1.37,-17.36
383,3.07,-1.23,-17.58
387,4.05,-0.66,-16.81
392,5.44,-0.48,-16.45
397,6.90,-0.32,-16.00
401,7.64,0.09,-15.87
405,9.17,0.72,-14.65
410,11.27,0.85,-14.52
415,12.59,1.38,-13.32
419,13.79,1.71,-12.42
424,14.75,2.03,-11.07
429,15.95,2.42,-9.08
