timestamp,accX,accY,accZ
0,-8.87,12.00,-12.12
91,-8.81,11.57,-12.85
95,-8.40,11.34,-13.55
100,-8.24,10.90,-13.51
104,-8.23,10.12,-14.04
109,-8.13,9.63,-14.51
113,-7.73,9.07,-15.04
118,-7.40,8.21,-15.66
123,-7.27,7.40,-15.88
128,-6.60,6.79,-16.18
133,-6.15,6.15,-16.24
137,-5.53,5.76,-15.78
142,-4.89,5.46,-15.70
146,-4.17,5.46,-15.43
151,-3.30,5.26,-15.37
155,-2.87,4.99,-14.76
160,-2.16,4.83,-14.48
165,-1.28,4.65,-14.03
170,-0.13,4.35,-13.85
174,0.88,4.16,-13.25
179,2.21,4.01,-12.63
184,3.24,3.80,-11.89
188,4.22,3.53,-11.12
192,4.46,2.92,-10.56
197,5.72,2.69,-9.37
202,7.09,2.48,-8.91
207,8.30,2.47,-8.26
211,9.33,2.35,-7.95
216,10.10,2.50,-7.24
221,11.18,2.41,-6.91
226,11.50,2.49,-6.88
229,12.06,2.71,-6.37
234,12.70,2.83,-6.31
239,13.11,3.06,-5.58
244,13.55,3.21,-5.11
248,14.04,3.14,-4.44
253,14.35,3.28,-3.95
258,14.68,3.10,-2.76
263,15.26,3.01,-2.56
267,15.59,2.69,-2.24
271,15.55,2.22,-1.00
276,15.95,1.86,0.02
281,16.04,1.41,0.97
285,16.41,1.01,1.48
290,16.37,0.01,1.91
295,16.24,-0.57,2.70
299,16.58,-1.40,2.90
304,16.42,-1.99,3.41
309,16.36,-2.21,4.14
313,16.30,-3.09,4.35
317,16.20,-3.99,5.25
322,15.98,-4.69,5.49
327,15.73,-5.30,6.18
332,15.50,-5.47,6.03
336,15.18,-5.95,6.60
341,15.34,-6.20,7.02
346,15.40,-6.21,7.99
351,15.43,-6.08,8.73
354,15.94,-5.93,9.51
359,16.58,-5.81,9.99
364,16.65,-5.69,10.92
368,16.78,-5.73,12.18
373,16.93,-5.75,13.05
378,16.91,-5.87,13.89
383,16.84,-5.69,14.25
388,16.50,-5.87,14.96
392,17.93,-6.22,16.01
396,18.60,-6.33,15.83
401,18.53,-6.41,16.86
406,17.71,-6.28,17.37
410,17.53,-6.19,17.63
415,17.23,-6.19,18.07
420,17.30,-6.31,18.41
425,17.32,-6.29,18.83
429,17.23,-6.27,18.90
434,16.87,-6.48,18.96
438,16.96,-6.49,19.13
443,16.88,-6.70,18.87
447,16.85,-7.03,18.56
452,16.81,-7.47,18.26
457,16.75,-8.14,17.78
462,16.85,-8.57,17.69
466,17.34,-9.03,16.96
471,18.10,-9.35,16.28
476,18.69,-9.36,15.17
480,19.20,-9.36,14.81
485,19.34,-9.39,13.73
489,19.49,-9.27,13.29
494,19.53,-9.31,12.75
