timestamp,accX,accY,accZ
0,-10.36,2.94,1.05
91,-10.37,2.88,1.36
95,-10.36,3.02,1.48
99,-10.36,3.09,1.57
104,-10.51,3.08,1.84
109,-10.37,3.10,1.77
113,-10.43,3.11,1.81
118,-10.59,3.22,1.59
123,-10.58,3.22,1.58
128,-10.79,3.41,1.80
132,-10.71,3.47,1.89
137,-10.56,3.52,1.50
141,-10.61,3.80,1.93
146,-10.48,3.89,2.19
150,-10.38,4.41,2.38
155,-10.26,4.64,2.31
160,-10.29,5.01,2.85
164,-10.13,5.18,2.37
169,-10.04,5.63,2.28
174,-9.97,5.91,1.78
179,-10.06,6.36,1.11
183,-10.08,6.66,0.30
187,-10.30,6.88,-0.04
192,-10.36,7.12,-1.36
197,-10.54,7.17,-2.57
201,-10.58,7.58,-4.18
206,-10.62,7.72,-5.79
211,-10.83,7.95,-7.63
216,-10.73,8.41,-7.93
220,-10.79,9.03,-9.33
224,-10.91,9.52,-10.54
229,-10.50,9.73,-11.69
234,-10.68,10.28,-12.76
238,-10.83,10.93,-13.40
243,-10.77,11.57,-14.16
248,-10.43,12.02,-14.16
253,-10.10,12.18,-14.56
258,-9.66,12.33,-14.49
262,-9.30,12.35,-14.83
266,-8.91,12.16,-15.18
271,-8.36,11.76,-15.65
275,-8.02,11.49,-16.13
280,-7.62,10.94,-16.98
285,-7.32,9.99,-17.19
290,-6.74,9.04,-17.46
294,-5.78,8.48,-17.99
299,-4.91,7.49,-18.20
304,-3.99,6.49,-18.30
308,-3.48,5.45,-17.58
312,-2.39,4.59,-16.63
317,-1.08,3.68,-16.19
322,0.42,3.06,-15.46
327,2.01,2.89,-14.99
332,3.18,2.60,-14.48
336,4.66,2.17,-14.20
341,5.50,1.63,-14.37
346,6.57,0.88,-14.75
350,7.74,0.53,-14.78
354,9.19,0.09,-14.63
359,10.68,-0.10,-14.77
364,12.15,-0.17,-14.91
369,13.71,-0.39,-14.47
373,14.28,-0.13,-14.17
378,15.98,0.15,-13.41
383,17.27,0.70,-12.91
388,18.63,0.94,-11.69
391,19.29,1.19,-10.07
396,19.48,1.16,-8.70
401,19.53,0.94,-7.42
406,19.54,0.56,-5.66
410,19.54,0.00,-4.71
415,19.54,-1.04,-3.28
420,19.54,-2.20,-2.74
425,19.54,-3.11,-1.14
429,19.54,-3.53,-0.67
433,19.54,-4.20,0.34
438,19.54,-4.49,2.01
443,19.54,-4.20,2.65
447,19.54,-4.49,3.58
452,19.54,-4.64,3.98
457,19.54,-4.70,5.47
462,19.54,-4.69,6.68
466,19.54,-4.58,8.02
471,19.54,-4.57,9.37
475,19.54,-4.58,10.67
480,19.54,-4.42,12.38
485,19.54,-4.50,13.43
489,19.54,-4.84,14.99
494,19.54,-5.54,16.45
499,19.54,-5.80,17.63
504,19.54,-6.35,18.78
508,19.54,-6.73,19.35
513,19.54,-6.42,19.49
517,19.54,-6.55,19.52
521,19.54,-6.35,19.54
526,19.54,-6.17,19.54
531,19.54,-5.62,19.54
536,19.54,-4.95,19.54
540,19.54,-4.48,19.54
545,19.54,-4.09,19.54
550,19.54,-4.11,19.54
554,19.50,-4.15,19.54
558,19.33,-4.48,19.51
563,19.01,-4.70,19.45
568,18.80,-5.31,19.21
573,18.92,-6.06,18.67
577,18.94,-6.69,17.80
582,18.92,-7.06,17.31
587,19.11,-7.43,15.59
592,19.06,-7.70,14.50
596,19.34,-7.86,13.25
600,19.49,-8.15,12.35
605,19.52,-8.16,11.34
610,19.54,-8.00,10.50
614,19.54,-7.99,9.53
619,19.54,-7.92,9.30
624,19.54,-7.64,9.26
629,19.54,-7.65,8.80
634,19.54,-7.40,8.78
638,19.54,-7.13,8.78
642,19.54,-6.87,9.46
647,19.54,-6.52,10.04
652,19.54,-6.25,10.13
656,19.54,-6.13,10.77
661,19.54,-6.23,11.58
666,19.54,-5.87,12.40
671,19.54,-5.66,13.39
675,19.54,-5.64,14.60
679,19.54,-5.54,15.57
684,19.54,-5.35,16.02
689,19.54,-5.07,17.02
