timestamp,accX,accY,accZ
0,-10.62,12.17,-6.14
90,-10.70,12.65,-6.49
94,-10.28,13.06,-6.80
99,-10.11,13.60,-6.66
104,-10.13,13.91,-6.81
109,-10.05,14.03,-6.68
113,-9.66,14.09,-6.63
118,-9.54,13.89,-6.66
123,-9.23,14.00,-6.69
128,-9.00,13.88,-6.31
131,-8.44,13.57,-5.92
136,-8.15,13.19,-5.69
141,-7.85,12.76,-5.79
146,-7.68,12.16,-5.75
150,-7.18,11.42,-5.69
155,-6.80,10.83,-5.44
160,-6.35,10.68,-4.96
165,-6.03,10.21,-4.94
169,-5.99,9.61,-5.49
173,-5.54,9.01,-5.26
178,-5.16,8.41,-5.09
183,-4.77,7.62,-4.73
187,-4.35,7.05,-4.37
192,-3.94,6.82,-3.61
197,-3.40,6.17,-3.52
202,-3.13,5.55,-2.77
206,-2.63,4.98,-2.87
211,-2.28,4.06,-2.87
215,-1.85,3.29,-2.95
220,-1.68,2.50,-3.04
224,-1.16,2.17,-3.20
229,-0.59,1.50,-4.08
234,-0.37,0.83,-4.27
238,-0.15,0.15,-4.68
243,0.42,-0.56,-5.05
248,1.03,-1.29,-6.00
253,1.42,-1.75,-6.70
256,2.02,-2.09,-7.49
261,2.80,-2.42,-8.07
266,3.06,-2.55,-8.38
271,3.85,-2.61,-8.58
275,4.43,-2.75,-8.88
280,5.32,-2.62,-9.23
285,6.18,-2.57,-9.40
290,6.88,-2.26,-8.99
294,7.32,-2.02,-8.31
298,8.12,-1.88,-8.16
303,9.05,-1.73,-7.56
307,9.75,-1.44,-6.99
312,10.75,-1.30,-6.27
317,11.72,-1.22,-5.71
322,12.57,-1.32,-4.86
326,12.84,-1.42,-4.24
331,13.85,-1.61,-3.76
336,14.50,-1.98,-3.12
340,15.05,-2.52,-3.19
344,15.48,-3.10,-2.43
349,16.34,-3.41,-2.48
354,17.07,-4.17,-2.32
359,17.38,-4.92,-1.19
363,17.68,-5.33,-1.00
368,18.51,-6.10,-0.85
373,19.14,-6.78,-0.26
378,19.39,-6.98,0.34
381,19.49,-7.17,0.73
386,19.53,-7.47,1.08
391,19.54,-7.35,1.22
395,19.54,-7.21,2.06
400,19.54,-7.01,2.56
405,19.54,-6.50,2.96
410,19.54,-6.18,4.01
414,19.54,-5.54,5.58
419,19.54,-4.98,6.99
423,19.54,-4.81,8.29
428,19.54,-4.62,9.90
432,19.54,-4.52,11.10
437,19.54,-4.41,12.88
442,19.54,-4.47,14.17
447,19.54,-4.48,15.73
451,19.54,-4.36,17.25
456,19.54,-3.75,18.20
461,19.43,-4.13,18.68
465,19.51,-4.36,19.27
470,19.54,-4.38,19.30
474,19.54,-4.12,19.43
479,19.54,-3.95,19.51
484,19.54,-3.86,19.54
489,19.54,-3.69,19.54
493,19.54,-3.61,19.54
498,19.54,-3.50,19.54
503,19.54,-3.62,19.54
507,19.54,-3.52,19.54
511,19.54,-3.63,19.51
516,19.54,-3.95,19.36
521,19.54,-4.15,19.34
526,19.54,-4.19,19.18
530,19.54,-4.39,18.91
535,19.54,-4.69,18.56
540,19.54,-4.67,18.00
545,19.54,-4.68,17.53
548,19.54,-4.93,16.67
553,19.54,-4.80,16.13
558,19.54,-4.78,15.35
563,19.54,-4.71,14.97
567,19.54,-4.64,14.45
572,19.54,-4.66,14.32
577,19.54,-4.34,14.06
582,19.54,-4.46,13.83
586,19.54,-4.12,13.19
590,19.54,-4.21,12.63
595,19.54,-3.85,12.32
600,19.54,-3.78,12.12
605,19.54,-3.54,12.00
609,19.54,-3.49,11.74
