timestamp,accX,accY,accZ
0,-5.04,7.43,-15.00
91,-5.23,6.46,-15.35
95,-4.09,6.19,-15.91
100,-3.41,5.73,-16.45
105,-2.42,5.16,-16.60
109,-2.03,4.52,-16.31
113,-1.25,3.90,-16.43
118,-0.60,3.81,-16.05
123,0.34,3.38,-16.59
128,1.77,3.27,-15.62
132,2.66,2.62,-16.47
137,3.84,2.81,-15.85
142,4.08,2.37,-15.45
147,5.40,2.60,-14.73
151,6.62,2.80,-14.03
155,8.07,2.65,-13.71
160,9.02,2.64,-13.15
165,10.12,2.41,-12.39
169,10.92,2.26,-11.30
174,11.52,2.11,-10.44
179,12.39,1.89,-9.40
184,13.42,1.42,-8.60
188,14.41,1.03,-6.97
192,15.25,0.80,-5.48
197,15.78,0.57,-4.03
202,16.06,0.02,-2.84
206,16.14,-0.52,-1.15
211,16.49,-1.01,-0.15
216,16.99,-1.87,0.48
221,17.14,-2.71,1.14
225,17.39,-3.62,1.91
230,17.18,-4.24,2.76
234,16.94,-5.40,2.90
239,17.00,-6.53,3.53
243,17.08,-6.88,4.12
248,17.48,-6.93,4.59
253,16.70,-8.39,4.14
257,17.03,-8.65,4.42
262,17.52,-8.72,4.74
267,17.78,-8.67,5.24
272,17.88,-8.48,5.91
276,17.74,-8.12,6.56
280,17.82,-7.54,7.03
285,17.87,-6.65,7.69
290,18.18,-5.75,8.90
294,18.08,-5.44,9.92
299,18.45,-4.59,11.14
304,18.57,-3.72,12.18
309,18.89,-2.82,13.40
314,19.01,-2.76,14.07
317,18.90,-2.75,15.17
322,19.20,-2.63,16.45
327,19.32,-2.56,17.39
332,18.74,-2.59,18.23
336,19.14,-2.79,18.67
341,19.45,-2.51,19.05
346,19.52,-2.18,19.46
351,19.50,-1.87,19.20
355,19.53,-1.36,19.31
359,19.54,-1.10,19.30
364,19.54,-0.35,19.41
369,19.54,0.19,19.36
373,19.52,0.47,19.39
378,19.48,0.57,19.27
383,19.48,0.67,19.34
388,19.50,0.57,19.40
393,19.46,0.03,19.35
397,19.38,-0.41,19.12
401,19.32,-1.27,19.02
406,19.28,-1.95,18.86
411,19.23,-2.47,18.19
415,19.28,-3.04,17.60
420,19.41,-3.33,16.97
425,19.50,-3.42,16.28
430,19.53,-3.40,15.26
434,19.54,-3.60,14.01
439,19.54,-3.20,14.21
443,19.54,-2.89,13.81
448,19.54,-2.73,13.25
453,19.54,-2.48,13.12
457,19.54,-2.52,12.53
462,19.54,-2.52,12.22
467,19.54,-2.67,12.08
472,19.54,-2.66,11.89
476,19.54,-2.95,11.50
481,19.54,-2.92,11.89
485,19.54,-2.58,12.20
490,19.54,-2.51,12.21
495,19.54,-2.24,12.63
499,19.54,-1.97,12.89
504,19.54,-1.84,13.54
509,19.54,-1.67,13.57
514,19.54,-1.20,13.69
518,19.54,-0.91,13.36
523,19.54,-0.17,13.30
527,19.54,0.26,13.30
532,19.54,0.93,13.22
536,19.54,1.40,12.89
541,19.54,2.60,12.82
546,19.54,3.91,12.76
551,19.00,5.54,12.50
555,19.32,6.77,12.52
560,19.13,5.63,12.19
565,19.37,1.90,12.39
569,19.50,0.25,13.79
574,19.27,-0.76,15.45
578,17.94,-0.35,16.37
583,17.98,-0.01,16.31
588,18.14,0.57,16.47
593,18.23,0.98,16.06
597,18.29,0.93,15.48
602,18.43,0.88,15.27
607,18.31,0.88,15.03
611,17.63,1.19,15.17
615,17.16,1.60,15.33
620,16.55,1.66,15.57
625,16.08,1.65,15.55
630,16.09,1.63,15.59
634,15.66,2.08,15.73
639,15.34,2.26,15.49
644,14.86,3.04,15.11
649,14.48,3.35,14.27
652,13.95,3.26,13.29
657,13.76,2.40,13.26
662,13.67,1.79,12.75
667,13.08,2.01,12.84
671,12.28,2.30,13.22
676,11.45,2.72,12.71
681,11.39,2.68,11.98
686,10.96,2.86,11.83
691,11.35,2.36,11.85
694,11.09,1.44,12.25
699,10.64,0.34,12.17
704,10.19,-0.36,12.20
709,9.92,-0.45,12.37
713,10.37,-0.40,13.12
718,10.88,-0.01,13.61
723,10.68,0.05,13.74
728,9.68,0.06,13.59
732,9.12,-0.09,13.81
736,8.83,-0.20,13.82
741,8.41,-0.22,13.97
746,8.23,-0.24,14.00
751,8.05,-0.11,14.00
755,7.83,0.10,14.53
760,7.74,0.36,14.65
765,7.47,0.37,14.53
770,8.51,1.60,15.16
774,10.10,2.14,15.21
778,10.75,2.74,14.29
783,10.85,2.81,13.09
788,10.88,2.73,11.98
792,10.87,2.78,10.36
797,10.68,2.06,9.65
802,10.45,1.08,8.57
807,9.76,-0.39,7.96
811,9.24,-1.29,7.84
816,8.57,-2.70,8.20
820,8.31,-3.71,8.87
824,7.64,-4.27,9.80
829,7.56,-4.36,10.05
834,7.57,-3.83,10.38
839,7.69,-3.51,10.44
843,8.08,-2.70,9.99
848,8.70,-1.81,8.87
853,8.42,-0.81,8.32
858,5.67,-0.36,7.10
861,6.22,-0.32,6.67
866,10.53,-0.37,5.80
871,10.89,-0.73,5.25
876,8.28,-1.66,5.23
880,7.12,-2.76,5.73
885,5.78,-3.44,6.70
890,4.81,-4.40,7.99
895,5.24,-5.54,8.66
899,5.39,-5.80,9.88
903,4.80,-5.85,11.26
908,3.96,-5.37,11.50
912,3.62,-4.57,10.91
917,3.30,-4.23,9.09
922,3.05,-4.47,7.40
927,2.83,-4.42,6.44
931,1.71,-4.16,4.51
936,1.33,-4.49,2.00
941,0.89,-5.27,0.04
945,0.60,-6.12,-0.81
949,0.18,-6.84,-2.24
954,-0.81,-6.79,-2.65
959,-1.71,-6.03,-2.16
964,-1.48,-5.52,-2.42
968,-1.90,-5.31,-3.09
973,-4.07,-4.91,-3.61
978,-4.85,-4.75,-3.79
982,-5.58,-4.24,-4.41
986,-5.98,-3.47,-4.67
991,-6.00,-2.88,-5.36
996,-6.29,-1.96,-6.01
1000,-6.90,-1.46,-6.63
1005,-7.16,-0.86,-7.13
1010,-7.27,0.23,-7.68
1015,-7.91,0.25,-8.38
1019,-8.32,0.28,-8.60
1024,-8.99,-0.13,-8.85
1028,-9.41,-0.42,-9.12
1033,-9.33,-0.77,-9.40
1037,-9.59,-1.28,-9.45
1042,-9.72,-1.72,-9.59
1047,-9.84,-2.21,-9.00
1052,-9.90,-2.62,-8.31
1056,-9.70,-2.97,-7.98
1061,-9.85,-2.86,-7.06
1066,-9.85,-3.07,-6.06
1070,-9.99,-3.08,-5.38
1074,-9.78,-2.94,-4.49
1079,-9.82,-2.80,-3.75
1084,-9.59,-2.77,-3.61
1089,-9.42,-2.37,-3.26
1093,-9.27,-2.22,-2.49
1098,-9.13,-1.97,-1.88
1103,-9.05,-1.60,-2.04
1107,-8.86,-1.27,-1.93
1111,-8.81,-1.06,-1.69
1116,-8.71,-0.96,-1.63
1121,-8.48,-0.85,-2.06
1125,-8.69,-0.93,-1.93
1130,-8.64,-0.96,-2.19
1135,-8.49,-1.05,-2.81
1140,-8.47,-1.07,-3.13
1144,-8.51,-1.09,-3.29
1149,-8.49,-1.07,-3.40
1153,-8.57,-1.15,-3.57
1157,-8.52,-1.20,-3.59
1162,-8.06,-1.25,-3.58
1167,-8.08,-1.00,-3.58
1172,-8.25,-0.79,-3.14
1176,-7.99,-0.80,-3.27
1181,-7.87,-0.34,-3.07
1186,-7.79,-0.14,-2.51
1191,-7.50,0.06,-1.98
1194,-7.11,0.29,-2.22
1199,-7.15,0.70,-1.84
1204,-7.02,1.37,-1.46
1209,-6.75,1.51,-1.32
1213,-6.26,2.07,-1.32
1218,-6.21,2.19,-1.25
1223,-6.20,2.39,-1.56
1227,-6.27,2.33,-1.74
1232,-6.32,2.28,-2.01
1236,-6.15,2.23,-2.60
1241,-6.05,2.13,-2.75
1245,-5.43,2.05,-3.63
1250,-5.33,1.91,-4.10
1255,-4.87,1.76,-5.01
1260,-4.81,1.85,-6.03
1264,-4.28,1.78,-7.21
1269,-3.53,1.92,-7.92
1274,-3.00,2.03,-9.34
1277,-2.45,1.90,-10.19
1282,-1.31,1.85,-11.28
1287,-0.11,1.79,-12.13
1292,0.72,1.66,-12.74
1296,2.09,1.69,-12.68
1301,3.71,1.37,-12.68
1306,5.25,0.91,-12.63
1311,6.92,0.76,-11.81
1315,8.40,0.11,-11.01
1319,9.67,-0.63,-9.49
1324,10.46,-1.52,-7.92
1329,12.26,-2.43,-6.83
1333,13.60,-3.35,-6.03
1338,14.92,-4.52,-5.20
1343,16.25,-5.70,-4.21
1348,17.67,-6.20,-3.14
1352,18.47,-6.80,-2.39
1357,18.69,-7.70,-2.36
1361,18.98,-8.59,-2.37
1366,19.32,-9.12,-2.49
1370,19.49,-9.71,-3.11
1375,19.53,-10.06,-3.37
1380,19.54,-10.13,-3.54
1385,19.54,-9.71,-3.61
1389,19.54,-8.82,-3.62
1394,19.54,-7.65,-2.75
1399,19.54,-6.26,-1.36
1403,19.54,-4.58,-0.20
1407,19.54,-3.19,1.48
1412,19.54,-2.40,3.59
1417,19.54,-1.45,6.05
1422,19.54,-0.93,8.39
1426,19.54,-0.58,11.25
1431,19.54,-0.47,14.01
1436,19.54,-0.73,15.45
1441,19.54,-0.93,17.26
1444,19.54,-1.25,18.90
1449,19.54,-1.57,19.39
1454,19.54,-2.16,19.50
1459,19.54,-1.93,19.53
1464,19.54,-1.26,19.54
1468,19.54,-0.89,19.54
1473,19.54,-0.13,19.54
1478,19.54,0.53,19.54
1483,19.54,0.91,19.54
1486,19.54,1.46,19.54
1491,19.50,1.52,19.54
1496,19.31,2.19,19.54
1501,18.40,3.04,19.54
1505,17.28,3.91,19.54
1510,15.63,3.85,19.54
1515,14.45,4.29,19.54
1520,13.40,5.08,19.54
1525,12.35,5.55,19.54
1528,12.18,5.60,19.54
1533,11.54,5.81,19.54
1538,11.17,6.40,19.54
1543,10.91,6.92,19.54
1547,10.82,7.22,19.54
1552,10.85,7.32,19.47
1557,10.89,7.24,19.10
1562,10.84,7.38,17.74
1566,11.06,7.17,16.39
1570,11.02,7.55,15.14
1575,10.87,7.97,14.08
1580,10.30,6.70,12.48
1585,10.63,5.99,11.23
1589,10.20,5.68,10.19
1594,9.88,5.34,9.41
1599,9.98,4.75,8.79
1604,9.98,3.76,8.01
1608,10.28,2.85,7.90
1612,10.75,2.20,7.57
1617,10.66,1.89,7.35
1622,10.46,1.70,7.40
1626,10.57,1.09,7.20
1631,10.45,0.71,7.13
