timestamp,accX,accY,accZ
0,-9.38,8.10,-11.76
91,-9.00,7.82,-11.52
95,-8.69,7.56,-10.81
100,-8.53,7.34,-10.65
104,-8.70,6.97,-10.06
109,-8.31,6.84,-9.73
113,-7.69,6.67,-9.70
118,-7.48,6.36,-9.71
123,-7.10,5.98,-9.48
128,-6.42,5.59,-9.03
132,-6.36,5.57,-9.10
137,-6.44,4.89,-8.79
142,-5.71,4.61,-8.79
145,-7.17,5.12,-8.27
150,-5.60,3.41,-9.69
155,-3.56,2.51,-8.80
160,-3.26,1.77,-8.14
164,-2.98,1.33,-7.95
169,-2.97,1.10,-7.84
174,-2.90,0.68,-7.78
179,-2.45,0.09,-8.47
183,-1.88,-0.43,-8.91
187,-1.55,-1.16,-8.93
192,-0.79,-1.74,-8.54
197,-0.52,-2.06,-8.30
201,0.16,-2.43,-8.42
206,0.58,-2.27,-8.74
211,1.18,-2.14,-8.62
216,1.63,-2.06,-8.25
220,2.25,-1.78,-8.30
225,2.37,-1.50,-8.12
229,3.17,-1.22,-8.04
233,3.66,-0.91,-7.66
238,4.25,-0.67,-7.40
243,4.89,-0.40,-7.27
248,5.66,-0.19,-6.94
252,6.03,0.22,-6.33
257,6.35,0.55,-6.24
262,7.08,0.98,-5.75
267,7.70,1.06,-5.74
270,8.48,1.24,-5.06
275,8.99,1.24,-4.55
280,9.17,1.07,-4.26
284,9.01,1.02,-3.99
289,9.37,1.03,-3.76
294,10.47,0.60,-3.38
299,11.31,-0.07,-3.07
303,11.85,-0.51,-2.40
308,12.27,-0.73,-1.87
312,12.73,-1.17,-1.42
317,13.12,-1.54,-0.45
321,13.49,-1.86,-0.05
326,13.89,-2.00,0.87
331,14.27,-2.01,1.08
336,14.54,-1.60,1.98
340,15.20,-2.00,2.49
345,15.49,-2.65,2.99
350,15.82,-3.02,3.09
354,15.86,-3.16,3.72
358,15.95,-2.88,4.70
363,16.30,-2.62,4.87
368,16.60,-1.92,5.97
373,16.97,-1.70,6.49
377,17.36,-1.26,7.72
382,17.84,-0.44,8.31
387,18.10,-0.02,9.33
392,18.38,0.34,10.81
395,18.26,0.60,11.17
400,18.70,0.81,12.83
405,18.85,0.88,14.41
410,18.96,1.25,15.46
414,19.13,1.69,16.98
419,19.12,1.90,18.28
424,18.84,1.81,18.98
429,18.31,2.12,19.02
433,18.03,2.58,19.26
437,18.16,3.22,19.43
442,18.00,3.64,19.51
447,17.80,3.93,19.54
451,17.57,4.44,19.54
456,17.61,4.67,19.54
461,17.18,4.47,19.53
466,16.91,3.86,19.54
471,16.59,3.30,19.54
475,16.58,2.74,19.42
479,16.50,2.27,19.15
484,16.37,1.34,18.40
489,16.63,0.63,17.46
493,16.93,-0.04,16.46
498,17.17,-0.35,14.92
503,17.66,-0.61,14.08
508,18.28,-0.80,12.19
513,18.83,-1.00,10.96
517,19.30,-0.89,9.46
521,19.48,-0.54,8.45
526,19.51,-0.37,7.81
531,19.54,-0.20,7.26
