timestamp,accX,accY,accZ
0,-7.31,8.60,-9.22
91,-6.93,8.17,-9.06
94,-6.77,7.44,-8.62
99,-6.25,7.11,-8.69
104,-5.86,6.28,-8.68
109,-5.65,5.38,-9.34
113,-5.44,4.64,-9.48
118,-5.12,3.83,-9.76
123,-4.65,2.93,-9.93
128,-4.43,1.97,-10.50
132,-3.69,1.69,-10.95
136,-3.11,1.32,-10.98
141,-2.82,0.84,-10.92
145,-2.46,0.79,-10.85
150,-1.59,0.53,-10.89
155,-1.01,0.29,-11.05
160,-0.59,0.20,-11.17
164,0.28,0.10,-11.10
169,1.06,-0.04,-11.19
174,1.49,-0.14,-11.15
178,2.32,0.03,-10.65
182,3.23,0.34,-10.55
187,3.76,0.83,-10.42
192,5.01,1.49,-10.21
197,5.90,1.59,-9.95
201,6.51,2.00,-9.25
206,7.07,2.13,-8.84
211,7.82,2.60,-8.23
215,8.31,2.67,-7.68
219,8.89,2.56,-7.29
224,9.54,2.59,-6.33
228,10.17,2.63,-5.91
233,10.71,2.55,-4.82
238,11.29,2.37,-3.69
243,12.29,2.55,-3.48
247,11.88,1.88,-2.69
252,11.86,1.11,-2.14
257,12.28,0.91,-1.51
261,13.00,0.47,-0.43
265,13.43,-0.11,0.46
270,13.73,-0.85,0.68
275,13.79,-1.76,0.99
280,14.22,-2.40,1.77
284,14.38,-2.88,2.62
289,14.43,-3.13,3.25
294,14.35,-3.49,3.83
299,14.32,-3.91,4.35
302,14.74,-3.84,4.84
307,15.02,-3.72,4.94
312,14.80,-3.58,5.68
316,15.16,-3.07,6.02
321,15.27,-3.09,6.23
326,15.43,-2.86,7.10
331,15.28,-2.34,8.06
336,15.50,-1.99,9.10
340,15.42,-1.53,9.46
344,15.31,-0.82,10.61
349,15.49,-0.37,12.07
354,15.46,-0.08,13.55
358,15.62,-0.02,14.91
363,15.58,-0.40,15.99
368,15.73,-0.71,16.92
373,15.90,-0.96,18.04
377,15.48,-1.34,18.49
382,15.18,-1.41,19.06
386,15.08,-1.45,19.20
391,15.03,-1.42,19.37
395,14.68,-1.23,19.33
400,14.42,-1.23,19.37
405,14.20,-1.18,19.43
410,14.17,-1.16,19.44
414,14.62,-1.15,19.44
419,14.69,-1.26,19.33
424,14.59,-1.32,18.78
428,14.89,-1.72,18.11
432,14.91,-2.05,17.43
437,14.94,-2.60,16.44
442,15.41,-3.06,15.48
447,15.90,-3.63,14.11
451,16.05,-4.19,13.08
456,16.48,-4.48,11.89
461,17.16,-5.07,10.73
466,17.24,-5.18,9.94
469,17.89,-5.26,8.93
474,18.35,-5.35,7.73
479,18.95,-5.09,7.19
484,19.36,-4.91,6.47
488,19.50,-4.73,6.34
493,19.53,-4.33,5.91
498,19.54,-3.85,5.40
503,19.54,-3.75,5.69
508,19.54,-3.38,5.59
511,19.54,-3.38,5.74
516,19.54,-3.32,5.70
521,19.54,-3.25,6.14
526,19.54,-3.03,6.44
530,19.54,-2.92,6.86
535,19.54,-2.88,7.15
540,19.54,-2.69,7.77
545,19.54,-2.50,8.02
549,19.54,-2.29,8.94
553,19.54,-1.87,9.53
558,19.54,-1.74,10.41
563,19.54,-1.37,11.14
567,19.54,-1.00,12.49
572,19.54,-0.72,13.25
577,19.54,-0.30,14.27
582,19.54,-0.03,14.78
587,19.54,0.36,15.79
591,19.54,0.92,16.64
595,19.53,1.52,17.61
600,19.52,2.44,17.85
605,19.52,2.06,18.21
610,19.38,1.72,18.44
614,19.00,1.07,18.51
619,18.34,-0.21,18.81
624,18.04,-1.68,18.92
629,19.04,-2.08,19.33
633,19.11,-2.11,19.44
637,18.67,-1.96,19.36
642,18.34,-1.89,19.01
647,18.53,-1.80,18.61
651,18.69,-1.93,17.83
656,18.53,-1.94,16.92
661,18.23,-1.81,16.44
666,17.80,-1.72,15.90
670,17.35,-1.70,15.48
675,17.10,-0.52,15.35
679,16.46,-0.08,14.04
684,16.73,-2.02,14.34
689,16.43,-2.52,14.47
693,16.07,-2.58,15.11
698,15.49,-2.14,15.61
703,14.96,-1.08,15.68
708,14.95,-0.31,15.13
712,15.08,-0.14,14.70
717,14.80,-0.22,14.68
721,14.37,0.07,14.48
726,13.75,0.23,14.45
730,13.45,0.13,14.68
735,13.46,0.30,14.34
740,12.96,0.14,14.04
745,12.92,0.43,13.49
749,12.50,-0.23,12.84
754,12.06,-0.51,12.75
758,11.78,-1.66,12.09
763,11.72,-1.75,12.19
767,11.16,-1.39,12.29
772,11.11,-0.97,12.24
777,10.97,-0.81,11.71
782,10.36,-1.03,11.81
786,9.91,-1.28,12.33
791,9.92,-0.97,12.54
796,9.70,-0.62,12.91
800,9.52,-0.36,13.60
804,9.57,0.06,14.17
809,9.65,0.55,14.14
814,10.04,0.85,13.95
819,10.18,0.85,13.07
824,10.32,0.56,12.76
828,10.42,0.09,11.74
833,10.36,-0.15,10.12
838,10.38,-1.01,8.82
842,10.36,-2.10,7.91
846,10.09,-1.91,7.24
851,9.70,-1.51,6.19
856,9.29,-1.66,5.58
861,9.49,-1.46,4.46
865,9.91,-1.75,3.80
870,9.83,-3.26,3.24
875,9.21,-4.47,3.74
880,8.91,-4.76,4.51
883,8.22,-3.75,5.57
888,7.71,-2.69,5.99
893,7.30,-2.91,5.58
