timestamp,accX,accY,accZ
0,-10.32,4.07,-0.87
91,-10.22,4.35,-1.41
95,-10.29,4.62,-2.00
100,-10.24,5.00,-2.32
105,-10.29,5.44,-2.47
110,-10.71,5.83,-2.64
114,-10.71,6.12,-2.90
119,-10.36,6.42,-2.74
123,-10.69,7.06,-3.32
128,-10.58,7.78,-3.59
132,-10.49,8.55,-3.52
137,-11.28,9.44,-3.69
142,-10.58,10.26,-4.42
147,-10.46,10.46,-4.80
151,-10.39,10.96,-5.41
156,-10.42,11.25,-5.62
161,-10.26,11.25,-6.31
165,-10.18,11.29,-6.53
169,-10.31,11.30,-7.11
174,-10.29,11.52,-7.60
179,-10.23,11.75,-8.08
184,-10.32,12.03,-8.81
188,-10.26,12.31,-9.28
193,-10.02,12.88,-9.27
198,-10.16,12.40,-9.67
202,-10.26,11.96,-10.08
206,-10.09,12.16,-10.52
211,-9.83,11.99,-10.78
216,-9.57,11.06,-11.48
221,-9.32,10.20,-12.22
225,-9.05,9.60,-11.99
230,-8.63,9.00,-12.12
235,-8.50,7.99,-12.67
240,-8.49,6.74,-13.12
244,-8.08,6.13,-13.88
248,-7.50,4.75,-14.25
253,-7.29,3.59,-13.78
257,-6.06,1.14,-13.79
262,-6.18,1.22,-13.85
267,-5.50,0.40,-13.67
272,-4.93,-0.52,-14.20
276,-4.51,-0.88,-14.56
281,-3.64,-1.96,-14.97
286,-3.09,-2.59,-15.56
290,-2.62,-3.40,-15.65
294,-1.69,-3.59,-15.58
299,-0.99,-3.33,-14.90
304,-0.31,-3.16,-14.31
309,0.53,-3.15,-14.16
313,1.45,-3.14,-14.01
318,1.91,-3.08,-13.61
323,2.79,-2.64,-13.14
327,3.76,-2.36,-12.94
331,5.12,-1.82,-12.46
336,5.91,-1.34,-11.81
341,6.94,-1.20,-11.14
346,7.72,-0.90,-10.65
351,8.07,-0.43,-10.13
355,9.01,0.06,-9.32
360,9.85,0.39,-8.89
365,10.43,0.95,-8.54
369,10.83,1.35,-7.92
373,11.30,1.55,-7.30
378,11.92,1.92,-6.80
383,11.99,2.11,-6.17
387,11.98,2.29,-5.59
392,12.33,2.42,-4.84
397,12.68,2.44,-4.52
402,13.10,2.36,-3.90
406,13.25,2.14,-3.34
