timestamp,accX,accY,accZ
0,19.54,8.29,-9.33
91,-8.89,7.90,-9.15
95,-8.76,7.46,-8.86
100,-8.38,6.89,-8.76
104,-8.11,6.07,-8.88
108,-7.89,5.22,-8.60
113,-7.70,4.43,-8.59
118,-7.43,3.85,-8.86
123,-7.40,3.60,-8.80
127,-7.25,2.85,-8.57
132,-7.21,2.44,-8.15
137,-6.81,1.82,-8.26
142,-6.35,1.29,-8.39
145,-6.26,0.59,-8.03
150,-5.91,0.25,-7.69
155,-5.30,-0.32,-7.84
159,-5.01,-0.92,-8.28
164,-4.71,-1.49,-7.97
169,-4.71,-2.04,-8.37
174,-4.32,-2.80,-8.32
178,-3.86,-3.29,-8.66
183,-3.60,-3.51,-8.76
187,-3.06,-3.75,-8.79
192,-2.32,-3.76,-9.11
196,-1.96,-3.68,-9.43
201,-1.64,-3.65,-9.23
206,-1.36,-3.61,-8.94
210,-1.64,-3.36,-8.60
215,0.16,-3.39,-9.31
220,0.77,-3.29,-9.21
225,0.88,-3.07,-8.83
229,1.21,-2.59,-8.52
233,1.96,-2.23,-8.50
238,2.78,-1.74,-8.42
243,3.52,-1.02,-8.32
247,3.95,-0.61,-7.59
252,4.68,-0.08,-7.36
257,5.35,0.60,-7.16
262,5.66,1.24,-6.68
266,5.71,1.74,-6.09
270,6.26,2.10,-5.82
275,6.79,2.60,-5.68
279,7.44,2.75,-5.35
284,7.59,2.90,-4.51
289,7.85,3.08,-4.34
294,8.24,3.27,-3.64
298,8.84,3.31,-3.48
303,9.21,3.27,-2.73
308,9.93,3.30,-1.82
312,10.92,3.05,-1.23
316,10.88,2.88,-0.85
321,11.25,2.53,-0.60
326,11.50,2.03,0.27
330,11.67,1.61,0.54
335,11.94,1.26,1.27
340,12.52,1.09,1.52
345,12.86,0.73,1.93
349,13.08,0.30,2.45
354,13.58,-0.47,2.77
358,14.00,-1.01,2.98
363,14.07,-1.56,3.71
367,14.49,-1.96,3.79
372,14.78,-1.90,4.17
377,15.07,-2.29,4.33
381,15.08,-2.55,4.58
386,15.64,-2.51,5.16
391,16.01,-2.41,5.52
395,16.16,-2.16,5.77
399,16.30,-2.16,6.36
404,16.83,-1.91,7.25
409,17.23,-1.55,8.50
413,17.32,-1.26,9.90
418,17.64,-0.80,11.73
423,17.64,-0.60,12.63
428,17.79,-0.27,14.19
433,18.00,-0.09,15.46
437,18.04,-0.02,16.75
441,17.01,0.00,17.63
446,15.76,-0.17,18.11
451,17.79,-0.37,18.60
455,18.86,-0.32,18.80
460,18.51,0.01,19.22
465,17.51,0.03,19.16
470,16.73,0.26,19.29
474,16.43,0.53,19.17
479,16.41,0.78,18.89
483,16.55,1.00,18.16
488,16.33,1.22,17.65
492,16.28,1.58,16.59
497,16.15,1.69,15.64
502,16.23,1.75,14.56
507,16.57,1.52,13.24
511,16.57,1.54,11.71
516,16.86,1.11,9.99
520,17.19,0.63,9.12
525,17.85,0.16,8.26
529,18.33,-0.47,7.21
534,18.94,-0.58,6.01
539,19.38,-1.10,4.79
544,19.46,-1.48,3.77
548,19.52,-1.86,2.87
553,19.54,-2.33,2.29
558,19.54,-2.59,1.58
562,19.54,-2.81,1.43
566,19.54,-2.71,0.64
571,19.54,-2.73,0.14
576,19.54,-2.75,-0.03
581,19.54,-2.62,-0.04
585,19.54,-2.36,0.02
590,19.54,-1.95,-0.13
595,19.54,-1.52,0.40
600,19.54,-1.45,1.12
604,19.54,-1.04,1.82
608,19.54,-0.70,2.84
613,19.54,-0.34,4.24
618,19.54,-0.05,5.60
622,19.54,0.28,6.19
627,19.54,0.49,7.49
632,19.54,0.57,8.83
637,19.54,0.81,10.58
641,19.54,1.42,12.63
645,19.54,2.40,14.06
650,19.54,3.32,15.63
655,19.54,4.21,16.22
659,19.54,5.12,17.34
664,19.54,5.90,18.74
669,19.54,5.84,19.29
674,19.54,5.15,19.48
678,19.54,4.16,19.53
683,19.54,3.49,19.54
687,19.54,3.07,19.54
692,19.54,2.76,19.54
696,19.54,2.33,19.54
701,19.54,2.02,19.54
706,19.54,1.48,19.54
711,19.54,0.80,19.54
716,19.54,0.24,19.53
720,19.54,-0.25,19.16
725,19.54,-0.76,19.15
729,19.54,-1.32,18.66
734,19.50,-1.67,17.39
738,19.53,-2.28,16.00
743,19.54,-2.94,14.39
748,19.44,-3.28,12.87
753,19.30,-3.72,11.83
757,19.02,-4.27,11.63
762,18.55,-4.72,10.41
767,18.45,-4.81,9.50
771,18.14,-5.27,9.07
775,17.98,-5.58,8.67
780,17.66,-6.08,8.50
785,17.34,-6.22,8.31
790,17.04,-6.24,8.13
794,17.03,-6.23,7.87
799,17.03,-5.82,8.28
804,16.74,-5.35,7.99
809,16.35,-6.03,7.41
812,16.23,-5.83,7.18
817,16.03,-6.59,7.08
822,15.36,-6.40,7.27
827,15.15,-5.80,7.40
831,15.04,-5.51,7.12
836,14.41,-5.51,6.78
841,15.39,-5.70,6.84
846,15.85,-6.79,6.64
850,13.78,-7.67,6.48
854,10.72,-7.68,6.49
859,9.02,-6.92,6.53
863,9.19,-6.29,6.96
868,10.23,-4.12,7.11
873,10.68,-2.68,6.98
878,11.07,-0.28,6.53
