timestamp,accX,accY,accZ
0,19.54,5.02,-6.54
91,-11.95,6.06,-8.02
94,-12.10,6.73,-8.79
99,-12.26,7.59,-9.41
104,-12.49,7.85,-10.98
109,-12.51,8.38,-12.28
113,-12.73,8.80,-12.48
118,-12.73,9.70,-12.67
123,-12.89,10.21,-12.28
128,-12.86,10.88,-12.17
132,-12.56,11.41,-11.28
136,-12.19,11.49,-10.40
141,-11.78,11.72,-9.65
146,-11.40,11.61,-8.67
150,-11.36,11.35,-7.18
155,-10.94,10.99,-7.10
160,-10.61,10.25,-6.47
165,-10.31,9.86,-5.79
169,-10.02,9.77,-5.35
174,-9.65,9.48,-4.95
178,-9.57,9.12,-4.47
183,-9.42,8.85,-4.66
187,-9.16,8.60,-4.85
192,-9.07,8.31,-5.14
197,-8.86,7.97,-5.41
202,-8.46,7.77,-5.89
206,-8.53,7.27,-6.83
211,-8.36,6.68,-7.33
216,-8.25,6.12,-7.61
219,-7.71,5.56,-8.12
224,-7.45,5.12,-8.37
229,-7.06,4.74,-8.60
234,-6.47,4.44,-9.11
238,-6.17,3.80,-10.42
243,-5.99,3.14,-11.03
248,-5.52,2.36,-11.59
253,-5.08,1.72,-12.28
257,-4.44,0.82,-13.00
261,-3.95,0.29,-14.00
266,-2.91,0.17,-14.38
271,-2.16,-0.10,-14.49
275,-1.37,-0.43,-14.70
280,-0.82,-0.55,-14.82
285,0.24,-0.43,-14.49
290,1.64,-0.15,-14.19
294,3.00,-0.10,-13.82
299,4.08,0.00,-13.39
303,4.96,0.18,-13.17
308,6.36,0.45,-12.84
312,6.98,0.61,-12.29
317,7.78,0.71,-11.83
322,8.87,1.10,-11.59
327,10.19,0.91,-11.49
331,11.22,1.07,-10.57
336,11.73,1.51,-9.70
341,12.37,1.73,-8.82
345,13.00,1.76,-7.60
349,13.91,1.68,-6.98
354,14.77,1.95,-6.44
359,15.97,1.78,-5.44
364,16.21,1.69,-4.74
368,16.75,1.29,-3.95
373,17.40,0.90,-3.18
378,17.67,0.47,-2.64
383,18.39,0.06,-1.71
386,19.06,-0.39,-1.35
391,19.38,-0.90,-1.67
396,19.50,-1.15,-1.65
401,19.53,-1.26,-1.69
405,19.54,-1.96,-2.06
410,19.53,-2.51,-2.04
415,19.54,-3.09,-1.85
420,19.54,-3.33,-1.72
424,19.54,-3.50,-1.08
428,19.54,-3.35,0.39
433,19.54,-3.17,1.93
438,19.54,-2.55,3.76
442,19.54,-1.87,5.98
447,19.54,-1.09,7.88
452,19.54,-0.55,8.77
457,19.54,0.21,10.87
461,19.54,0.75,12.23
466,19.54,0.67,13.10
470,19.54,0.84,14.58
475,19.54,-0.08,15.12
479,19.54,-0.93,15.84
484,19.54,-1.25,16.73
489,19.54,-1.31,16.90
494,19.54,-1.66,17.11
499,19.54,-1.91,17.53
503,19.54,-2.47,17.60
508,19.54,-2.89,17.82
512,19.52,-2.97,17.72
517,19.48,-3.23,17.84
521,19.53,-3.18,17.91
526,19.50,-2.97,18.09
531,19.48,-2.91,18.37
536,19.53,-2.83,18.76
540,19.53,-2.94,18.49
545,19.51,-3.14,17.87
550,19.46,-3.53,17.51
554,19.51,-4.03,16.91
559,19.54,-4.40,16.67
563,19.54,-4.89,15.74
568,19.54,-5.00,14.94
573,19.54,-5.40,14.10
578,19.54,-6.01,12.96
582,19.54,-6.24,12.38
587,19.54,-6.40,11.78
592,19.54,-6.27,11.27
596,19.54,-6.24,10.58
600,19.54,-6.04,10.15
605,19.54,-5.78,10.04
610,19.54,-5.38,9.81
615,19.54,-5.03,9.77
619,19.54,-4.91,10.02
624,19.54,-4.66,10.09
629,19.54,-4.44,10.39
634,19.54,-4.31,10.62
637,19.54,-4.42,10.99
642,19.54,-4.33,11.45
647,19.54,-4.19,11.99
652,19.54,-4.18,12.80
656,19.54,-3.74,13.35
661,19.54,-3.39,14.17
666,19.54,-3.13,14.41
671,19.54,-2.96,14.98
675,19.54,-2.62,15.94
679,19.54,-2.49,16.87
684,19.54,-2.24,17.69
689,19.54,-1.68,17.76
693,19.54,-1.11,18.34
698,19.54,0.09,18.47
703,19.54,1.27,19.04
708,19.54,3.14,19.32
712,19.54,5.00,19.49
717,19.54,4.22,19.52
721,19.54,0.35,19.54
726,19.54,-2.14,19.54
731,19.54,-3.25,19.54
735,19.53,-3.71,19.51
740,19.54,-4.26,18.98
745,19.54,-4.06,17.12
750,19.38,-3.96,15.15
754,19.50,-4.29,13.99
759,19.53,-4.21,13.45
763,19.49,-3.73,12.83
