timestamp,accX,accY,accZ
0,19.54,4.67,-3.25
91,-9.46,4.91,-3.45
95,-9.40,5.42,-3.48
99,-9.39,5.58,-4.15
104,-9.36,6.05,-4.49
109,-9.35,6.40,-4.56
113,-9.36,6.56,-4.57
118,-9.66,6.73,-5.32
123,-9.15,6.67,-5.83
127,-8.94,6.94,-5.92
132,-9.12,7.06,-6.17
137,-9.35,7.22,-6.53
141,-9.17,7.24,-6.99
145,-9.47,7.30,-7.57
150,-9.41,7.24,-7.96
155,-9.30,7.51,-8.35
159,-9.57,8.06,-8.52
164,-9.52,8.20,-8.81
169,-9.43,9.59,-8.62
174,-10.83,9.76,-9.10
178,-8.92,9.33,-9.90
182,-7.90,8.18,-9.88
187,-8.35,8.22,-9.65
192,-9.00,8.19,-9.62
196,-9.04,9.05,-8.73
201,-9.11,8.78,-9.22
206,-8.84,8.37,-10.11
210,-8.58,7.35,-10.33
215,-8.39,7.03,-11.04
220,-8.27,6.88,-10.83
224,-8.00,6.75,-10.86
228,-8.12,6.28,-11.06
233,-7.78,5.83,-11.54
238,-7.70,5.70,-11.67
243,-7.34,5.33,-11.58
247,-7.18,4.70,-11.26
252,-6.71,4.36,-10.51
257,-6.33,4.25,-10.58
262,-5.91,4.10,-10.55
265,-5.31,4.05,-10.48
270,-5.02,3.97,-10.45
275,-5.11,3.66,-10.30
279,-4.68,3.30,-10.83
284,-4.26,2.85,-10.73
289,-3.84,2.52,-10.98
294,-3.36,1.84,-11.42
298,-3.07,1.33,-12.05
303,-2.19,0.63,-12.65
307,-1.71,-0.34,-12.81
312,-1.13,-0.90,-13.32
316,-0.45,-1.20,-13.54
321,0.57,-1.54,-13.61
326,1.42,-1.48,-13.59
330,2.37,-1.50,-13.41
335,3.48,-1.26,-13.49
340,3.97,-1.06,-13.12
345,4.93,-0.67,-12.94
348,5.71,-0.58,-12.59
353,6.87,-0.17,-12.35
358,8.30,0.30,-11.88
363,9.45,0.42,-11.21
367,10.88,0.94,-10.56
372,11.50,1.16,-10.12
377,12.57,1.39,-9.44
382,13.34,1.82,-8.96
386,14.45,2.17,-8.13
390,15.16,2.25,-7.46
395,16.02,2.32,-6.21
400,16.86,2.27,-5.15
404,17.54,2.05,-4.13
409,17.92,1.60,-3.48
414,18.31,1.07,-2.69
419,18.41,0.53,-2.26
423,18.80,-0.31,-2.14
428,19.23,-0.78,-1.31
432,19.35,-1.70,-0.97
437,19.26,-2.72,-0.44
442,19.23,-3.51,0.11
446,19.36,-4.17,0.67
451,19.48,-4.71,1.07
456,19.49,-4.98,2.06
461,19.53,-5.12,2.94
465,19.54,-5.27,3.98
470,19.54,-5.33,4.71
474,19.54,-5.32,6.09
479,19.54,-5.29,7.49
483,19.54,-5.01,8.29
488,19.54,-4.89,10.14
493,19.54,-4.49,11.62
498,19.54,-4.44,13.00
502,19.54,-4.02,14.68
507,19.54,-3.65,16.50
512,19.54,-3.44,17.62
516,19.54,-3.19,18.75
520,19.22,-2.76,19.05
525,19.00,-2.19,19.43
530,19.22,-1.83,19.51
535,19.46,-1.74,19.54
539,19.50,-0.98,19.54
544,19.27,0.32,19.54
549,18.97,1.46,19.54
554,19.23,1.60,19.54
558,18.98,1.27,19.54
562,18.32,1.01,19.54
567,18.03,0.52,19.42
572,18.10,0.15,19.20
577,18.10,-0.38,18.49
581,18.28,-1.06,17.64
586,18.70,-1.60,16.82
591,18.99,-2.08,15.76
595,19.08,-2.50,14.76
599,19.43,-2.51,13.95
604,19.51,-2.76,13.11
609,19.53,-2.90,11.96
614,19.54,-2.90,10.75
618,19.54,-2.96,9.97
623,19.54,-2.99,9.32
628,19.54,-2.75,8.58
633,19.54,-2.78,7.57
637,19.54,-2.71,6.90
641,19.54,-2.40,6.68
646,19.54,-2.22,6.74
651,19.54,-2.02,6.94
656,19.54,-2.14,7.02
660,19.54,-2.05,8.03
665,19.54,-2.03,8.81
670,19.54,-2.13,10.17
675,19.54,-2.15,11.26
679,19.54,-2.16,12.24
683,19.54,-1.78,13.14
688,19.54,-1.25,13.77
693,19.54,-0.53,14.63
697,19.54,0.32,15.58
702,19.54,0.81,15.82
707,19.54,1.72,16.37
712,19.54,2.15,16.72
717,19.54,2.92,17.00
720,19.54,3.82,17.58
