timestamp,accX,accY,accZ
0,-10.75,7.03,-9.08
90,-10.58,7.17,-9.51
94,-10.55,7.22,-10.37
99,-10.43,7.28,-11.14
104,-10.42,7.87,-11.36
109,-10.36,8.54,-11.49
113,-11.31,9.18,-11.67
118,-10.66,9.65,-12.11
123,-10.09,10.64,-12.22
128,-10.16,11.68,-11.79
131,-11.24,11.83,-11.65
136,-9.95,13.16,-10.89
141,-9.09,13.81,-10.38
146,-8.12,13.44,-9.90
150,-8.08,13.67,-9.63
155,-8.49,13.66,-9.61
160,-8.06,13.54,-8.82
165,-7.47,13.55,-8.70
169,-6.92,13.30,-8.82
173,-6.49,12.98,-9.30
178,-6.33,12.52,-9.98
183,-5.31,11.66,-10.11
187,-5.70,10.39,-9.83
192,-5.12,9.78,-10.12
197,-4.67,9.08,-10.50
202,-4.05,8.51,-11.14
206,-3.55,7.17,-10.83
211,-2.88,6.02,-10.79
215,-2.16,5.00,-10.71
220,-1.07,3.80,-10.58
224,-0.12,2.84,-10.23
229,0.69,2.56,-9.79
234,1.76,1.90,-9.50
238,2.65,1.28,-9.70
243,3.45,0.79,-10.01
248,4.40,0.31,-10.11
253,5.43,-0.05,-10.30
256,6.48,-0.20,-10.48
261,7.47,-0.24,-10.55
266,8.63,-0.57,-10.75
271,9.67,-0.75,-10.81
276,10.32,-0.94,-11.02
280,11.53,-1.11,-10.85
285,12.58,-1.31,-10.67
290,13.28,-1.23,-10.28
295,14.00,-1.35,-9.40
298,15.77,-1.32,-8.41
303,17.15,-1.51,-8.09
308,17.38,-2.49,-7.67
313,18.04,-3.58,-7.51
317,19.04,-4.48,-7.34
322,19.21,-5.62,-6.55
327,19.05,-6.87,-6.25
332,19.33,-7.42,-5.49
336,19.48,-8.65,-4.86
340,19.51,-9.23,-3.89
345,19.54,-10.10,-3.13
350,19.51,-10.51,-1.71
354,19.54,-10.37,-1.33
359,19.54,-9.83,0.04
364,19.54,-8.99,1.55
369,19.54,-8.46,2.82
374,19.54,-7.45,4.46
378,19.54,-6.46,5.80
382,19.54,-5.18,7.52
387,19.54,-4.81,7.88
392,19.54,-5.35,9.15
396,19.54,-6.04,10.91
401,19.54,-6.43,13.11
406,19.54,-6.72,15.25
411,19.54,-6.81,17.63
415,19.54,-6.92,19.00
420,19.54,-7.10,19.23
424,18.80,-7.40,19.23
429,19.36,-7.39,19.31
433,19.50,-7.09,19.35
438,19.52,-6.57,19.49
443,19.49,-5.84,19.28
448,19.48,-5.71,19.06
452,19.37,-5.86,18.71
457,19.33,-6.16,18.33
462,19.15,-6.22,17.41
466,19.24,-6.39,16.57
470,19.46,-6.73,15.58
475,19.57,-7.07,15.10
480,19.49,-7.38,14.02
485,19.53,-7.35,13.01
490,19.54,-7.26,12.63
494,19.54,-7.21,11.49
499,19.54,-7.00,10.53
504,19.54,-7.08,9.67
508,19.54,-6.97,9.00
512,19.54,-6.71,8.43
517,19.54,-6.77,7.65
522,19.54,-6.81,7.18
527,19.54,-7.01,6.98
531,19.54,-7.14,6.49
536,19.54,-7.34,6.66
541,19.54,-7.53,6.93
545,19.54,-7.88,7.49
549,19.54,-8.21,7.83
554,19.54,-8.79,8.51
559,19.54,-9.37,9.76
563,19.54,-9.67,11.17
568,19.54,-9.90,12.97
573,19.54,-10.13,14.77
578,19.54,-10.26,17.02
582,19.54,-10.22,18.66
587,19.54,-10.20,19.10
591,19.54,-10.09,19.44
596,19.54,-10.07,19.52
600,19.54,-9.93,19.54
605,19.54,-9.59,19.54
610,19.54,-9.32,19.54
615,19.54,-8.65,19.54
619,19.54,-8.25,19.54
624,19.54,-8.76,19.54
629,19.54,-8.32,19.54
633,19.54,-7.78,19.54
