timestamp,accX,accY,accZ
0,4.91,2.94,14.88
91,4.61,4.04,15.56
94,4.89,4.51,16.01
99,4.47,5.71,16.59
104,4.30,7.10,17.02
109,4.28,8.25,18.05
113,4.31,9.55,18.34
118,4.48,10.67,18.93
123,4.39,11.90,19.38
127,4.45,12.53,19.50
132,4.71,13.57,19.53
136,4.62,14.96,19.54
141,4.28,16.63,19.54
145,3.95,18.55,19.54
150,3.15,19.29,19.54
155,2.56,19.48,19.54
160,3.02,19.51,19.54
165,3.52,19.54,19.54
169,4.24,19.54,19.54
174,5.23,19.54,19.54
178,6.50,19.54,19.54
182,7.58,19.54,19.54
187,8.05,19.54,19.54
192,9.07,19.54,19.54
197,10.36,19.54,19.54
202,11.71,17.63,19.54
206,12.24,13.37,19.54
211,13.35,9.11,19.54
216,14.22,5.52,19.54
220,14.97,2.65,19.54
224,15.53,-0.17,19.54
229,15.48,-1.84,19.54
234,15.44,-4.52,19.54
239,15.54,-6.14,19.50
244,15.36,-7.17,19.47
248,14.37,-7.46,18.83
253,13.32,-7.55,18.27
258,12.54,-6.74,17.35
262,12.05,-6.17,17.01
266,11.91,-4.79,16.73
271,11.78,-3.46,16.13
276,11.96,0.85,14.77
281,12.17,-0.24,13.30
285,12.52,0.31,12.40
290,12.40,-0.57,10.34
295,11.97,-2.34,8.43
300,11.44,-3.00,6.87
303,11.43,-4.24,5.57
308,11.39,-4.52,4.30
313,10.86,-5.18,2.52
318,10.33,-5.98,1.43
322,9.24,-6.81,-0.19
327,8.39,-7.61,-2.11
332,7.45,-8.08,-4.04
337,5.99,-9.20,-6.27
341,5.31,-11.03,-7.45
345,3.89,-12.85,-8.91
350,2.49,-14.57,-9.40
355,1.52,-15.54,-10.27
360,0.55,-16.22,-10.83
364,-0.50,-16.52,-10.87
369,-1.14,-16.54,-11.22
374,-1.89,-16.17,-11.35
379,-2.10,-15.48,-10.68
383,-2.62,-14.64,-10.08
387,-3.23,-13.12,-9.66
392,-3.38,-11.72,-8.15
397,-3.59,-10.93,-6.94
401,-3.62,-9.42,-5.77
406,-3.76,-7.88,-4.55
411,-3.79,-6.44,-3.90
