timestamp,accX,accY,accZ
0,11.19,16.98,19.54
91,11.78,14.74,19.54
95,12.02,12.26,19.54
100,11.54,10.83,19.51
104,12.20,8.81,19.54
109,12.72,6.81,19.54
114,13.32,4.60,19.53
118,13.47,2.98,19.54
123,13.88,1.20,19.54
128,14.03,-1.02,19.47
133,13.71,-1.75,19.48
137,13.63,-2.92,19.18
142,14.04,-3.46,18.11
146,14.11,-3.96,17.41
151,14.14,-2.45,14.23
155,13.77,-5.66,13.16
160,13.52,-5.52,10.33
165,13.01,-5.75,7.88
170,12.08,-5.69,5.90
175,10.96,-5.35,3.23
179,10.42,-5.64,0.61
183,9.48,-6.54,-1.55
188,8.50,-7.94,-2.39
192,7.07,-8.70,-3.59
197,5.04,-8.93,-4.92
202,3.61,-9.19,-5.65
207,2.76,-8.49,-5.60
211,2.35,-7.83,-5.45
216,1.47,-8.05,-5.26
221,0.77,-7.48,-5.06
225,0.47,-7.65,-4.86
229,-0.17,-7.85,-4.65
234,-0.86,-8.39,-4.15
239,-1.18,-8.24,-2.61
243,-1.73,-7.63,-1.91
248,-2.62,-7.56,-1.72
253,-2.73,-7.34,-1.09
257,-2.93,-7.06,-0.60
262,-3.44,-5.72,0.45
267,-3.53,-4.28,1.10
271,-3.82,-2.79,1.66
275,-4.17,-1.57,1.68
280,-4.07,-0.85,1.93
285,-4.07,-0.41,2.15
289,-4.25,-0.36,1.72
294,-4.29,-0.38,1.27
299,-4.32,-0.43,1.32
304,-4.56,-0.52,1.01
308,-4.59,-0.34,1.22
312,-4.57,-0.15,1.08
317,-4.74,-0.03,0.95
321,-4.78,0.37,0.79
326,-4.81,0.66,0.55
331,-5.12,1.02,0.45
336,-5.12,1.36,0.67
340,-5.09,1.57,0.66
345,-4.96,1.95,0.55
350,-5.21,2.07,0.19
354,-5.20,2.30,-0.30
358,-5.16,2.35,-0.14
363,-5.27,2.22,-0.24
368,-5.27,2.07,-0.29
372,-5.37,2.18,-0.25
377,-5.44,2.22,0.15
382,-5.44,2.36,0.29
387,-5.55,2.46,0.42
391,-5.60,2.63,0.10
395,-5.67,3.21,0.28
400,-5.77,3.89,0.14
404,-5.83,4.76,0.36
409,-5.85,5.12,0.70
414,-5.80,5.74,1.02
419,-5.85,6.23,1.02
423,-5.83,6.58,1.02
428,-5.97,6.82,1.02
433,-6.05,6.95,1.05
437,-5.84,6.80,0.62
441,-5.80,6.87,0.51
446,-5.89,6.67,0.40
451,-5.85,6.43,0.34
456,-5.82,6.26,0.31
460,-5.82,5.86,0.08
465,-5.74,5.55,0.06
470,-5.58,5.35,0.15
474,-5.49,5.20,-0.28
478,-5.13,5.12,-0.18
483,-5.11,5.18,-0.63
488,-4.94,5.35,-1.02
492,-4.75,5.80,-1.04
497,-4.70,6.14,-1.27
502,-4.55,6.22,-1.57
506,-4.33,6.34,-2.14
511,-4.29,6.37,-1.68
516,-4.14,6.26,-1.83
520,-3.98,6.04,-1.93
524,-3.80,5.76,-2.02
529,-3.43,5.46,-1.71
534,-3.09,5.24,-1.96
539,-2.77,5.18,-2.24
543,-2.76,5.00,-2.27
548,-2.67,4.91,-2.87
553,-2.24,4.63,-2.84
557,-1.87,4.44,-3.61
561,-1.85,4.26,-4.10
566,-1.48,3.92,-4.84
571,-1.19,3.67,-5.10
575,-0.88,3.25,-5.47
580,-0.58,2.58,-5.64
