timestamp,accX,accY,accZ
0,2.63,-0.04,8.67
91,2.43,-0.04,8.38
95,2.39,-0.02,8.41
100,2.43,-0.07,8.42
105,2.56,-0.18,8.17
109,2.57,-0.07,7.85
113,2.55,-0.03,8.07
118,2.39,-0.12,8.08
122,2.46,-0.02,7.85
127,2.46,0.08,7.85
132,2.66,0.07,7.90
137,2.92,0.03,7.63
141,2.93,0.10,7.59
146,3.15,0.27,7.36
151,3.45,0.42,7.40
155,3.75,0.54,7.47
159,4.15,0.52,7.33
164,4.55,0.67,8.05
169,4.94,0.85,8.49
173,5.24,1.11,8.67
178,5.53,1.51,9.64
183,6.08,2.30,9.82
188,6.39,3.54,11.15
192,7.10,5.60,12.34
196,7.27,6.43,13.43
201,7.60,8.83,15.55
206,7.91,11.01,17.02
210,7.77,12.90,18.83
215,7.69,15.06,19.34
220,8.05,17.57,19.46
225,8.22,19.02,19.52
230,8.00,19.28,19.54
234,8.03,19.48,19.54
238,8.61,19.53,19.54
243,8.80,19.54,19.54
248,9.13,19.54,19.54
252,9.56,19.54,19.54
257,9.67,19.54,19.54
262,10.09,19.54,19.54
267,10.69,19.54,19.54
271,11.32,19.54,19.54
276,11.63,19.54,19.54
280,12.45,18.79,19.54
285,12.95,16.39,19.54
290,13.49,13.83,19.54
294,14.06,11.38,19.54
299,14.70,8.82,19.54
304,15.00,7.45,19.54
309,15.46,4.84,19.54
314,15.60,2.20,19.54
318,16.26,-0.37,19.54
322,16.73,-2.52,19.54
327,16.99,-4.33,19.54
332,17.04,-5.93,19.54
336,16.87,-6.40,19.54
341,16.60,-7.44,18.65
346,16.09,-8.08,17.16
351,15.73,-8.58,14.28
356,15.41,-9.00,11.44
360,15.08,-6.67,10.62
364,13.78,-9.81,6.10
369,13.26,-10.29,2.21
374,11.63,-10.45,-0.75
378,9.97,-10.45,-2.70
383,7.92,-10.10,-4.39
388,7.11,-10.29,-6.09
393,5.67,-9.85,-6.83
397,4.38,-9.59,-7.19
402,3.28,-9.48,-7.56
406,1.99,-9.37,-7.23
411,0.97,-9.08,-6.83
415,0.24,-8.48,-5.80
420,0.18,-7.89,-5.14
425,-0.57,-7.44,-4.18
430,-1.06,-7.14,-3.82
434,-1.63,-6.43,-2.74
439,-1.86,-6.40,-1.76
444,-1.96,-5.20,-1.06
448,-1.93,-4.28,-0.81
452,-2.05,-3.29,-0.45
457,-2.33,-2.58,-0.41
462,-2.83,-1.76,-0.29
467,-3.01,-1.01,0.11
471,-2.93,-0.80,0.48
476,-3.16,-0.34,0.62
481,-3.16,-0.16,0.80
486,-3.34,0.30,0.67
489,-3.41,0.27,0.55
494,-3.42,0.14,0.23
499,-3.62,0.44,0.16
504,-3.66,0.63,0.21
508,-3.79,0.97,0.06
513,-3.84,1.21,-0.35
518,-3.69,1.33,-0.62
522,-3.70,1.43,-0.68
527,-3.82,1.65,-0.78
531,-3.73,1.94,-0.75
536,-3.97,2.11,-0.74
540,-3.94,2.57,-0.90
545,-3.85,3.11,-0.78
550,-4.04,3.59,-0.67
555,-3.94,4.06,-0.86
559,-4.00,4.26,-1.06
564,-4.04,4.49,-0.98
569,-4.07,4.66,-0.91
573,-4.02,4.68,-0.74
577,-3.91,4.68,-1.10
582,-4.07,4.80,-1.39
587,-3.98,4.84,-1.48
591,-3.93,5.11,-2.30
596,-4.01,5.16,-2.76
601,-4.09,5.62,-2.61
606,-4.14,6.00,-2.65
610,-4.13,6.28,-2.68
614,-4.11,6.67,-2.27
619,-4.09,6.65,-2.48
624,-4.01,6.49,-2.01
628,-3.91,6.41,-2.28
633,-3.82,6.12,-2.16
638,-3.83,5.80,-2.15
642,-3.45,5.40,-2.40
647,-3.72,5.27,-2.34
652,-3.45,5.18,-2.16
656,-3.11,4.97,-1.77
660,-3.04,4.96,-1.96
665,-3.13,4.67,-2.19
670,-3.08,4.29,-2.63
675,-2.88,4.11,-2.71
679,-2.52,3.91,-2.61
684,-2.35,3.70,-3.10
689,-2.21,3.55,-3.81
693,-1.98,3.45,-4.50
697,-1.69,3.50,-4.82
702,-1.43,3.36,-5.87
707,-0.97,3.27,-7.08
711,-0.57,3.23,-7.77
716,-0.43,3.13,-8.81
721,-0.12,2.86,-9.71
726,0.41,2.40,-10.29
730,0.65,1.86,-10.63
735,0.94,1.31,-10.36
739,1.54,0.91,-9.74
744,2.27,0.96,-9.28
748,2.75,1.27,-7.68
753,3.35,1.46,-6.15
758,3.86,2.06,-4.51
763,4.34,2.47,-3.53
767,4.76,2.62,-2.76
772,4.78,2.97,-2.24
777,5.13,2.89,-2.46
781,5.51,2.66,-2.50
785,6.18,2.77,-2.79
790,6.23,2.81,-2.86
795,6.54,2.90,-3.40
800,6.79,2.57,-3.23
804,7.62,2.69,-1.92
809,7.85,2.41,-1.77
814,8.38,2.89,-0.34
818,8.96,3.36,0.61
822,9.54,1.88,1.13
827,10.20,0.61,2.26
832,10.39,0.31,3.21
837,10.77,0.05,5.85
841,11.31,-1.04,7.06
846,12.11,-1.52,8.42
851,13.17,-1.54,9.30
856,14.38,-1.09,10.21
860,15.45,0.00,10.78
864,15.89,1.84,12.77
869,16.66,3.83,14.95
874,16.77,6.03,16.60
878,16.24,8.07,18.65
883,15.40,9.69,19.32
888,14.59,10.23,19.49
893,13.36,10.01,19.53
897,12.58,9.91,19.54
902,12.08,9.07,19.54
906,12.06,7.85,19.54
911,11.62,8.80,19.54
916,10.28,11.08,19.54
920,9.64,11.90,19.54
925,8.58,11.94,19.54
930,7.80,10.91,19.54
935,7.58,9.90,19.54
939,7.42,8.88,19.54
944,6.56,7.84,19.54
948,6.49,7.31,19.54
953,5.94,7.19,19.54
957,5.41,7.07,19.54
962,5.19,7.18,19.54
967,5.16,6.71,19.54
972,4.88,5.77,19.54
976,4.93,4.76,19.54
981,4.91,3.91,19.49
986,4.97,3.13,18.86
990,5.12,3.07,18.28
994,4.89,2.87,17.26
999,5.02,2.29,16.40
1004,5.02,2.34,15.28
1009,5.05,2.32,14.93
1013,4.95,2.85,14.35
1018,4.94,3.06,13.28
1023,4.81,3.11,12.71
1027,4.93,3.03,11.97
1031,4.89,2.99,11.19
1036,4.98,2.76,11.14
1041,4.96,2.05,10.35
1046,4.70,1.34,10.16
1050,4.52,0.62,9.39
1055,4.17,0.20,9.52
1060,3.95,-0.23,9.45
1065,3.70,-0.48,9.36
1069,3.44,-0.68,9.53
1073,3.23,-0.80,9.74
1078,2.90,-0.87,9.67
1082,2.63,-0.71,9.95
1087,2.56,-0.47,10.00
1092,2.32,-0.35,10.39
1097,2.39,-0.36,10.66
1101,2.44,-0.17,10.21
1106,2.31,-0.23,10.43
1111,2.40,-0.28,10.30
1115,2.16,-0.30,10.47
1119,2.28,-0.50,10.38
1124,1.99,-0.46,10.42
1129,2.27,-0.34,10.76
1134,2.24,-0.18,10.66
1138,1.97,0.11,10.59
1143,2.26,0.17,10.79
1148,2.30,0.17,11.08
1152,2.36,0.50,11.21
1156,2.33,0.64,10.83
1161,2.12,1.01,11.54
1166,2.22,1.46,11.82
1171,2.24,1.85,12.02
1175,2.21,2.09,12.31
1180,2.32,2.39,12.38
1185,2.16,2.37,12.32
1190,2.48,2.39,12.62
1194,2.60,2.41,12.73
1198,2.63,2.56,12.56
1203,2.71,2.47,12.82
1208,2.80,2.42,12.79
1212,2.82,2.16,12.83
1217,2.86,2.30,12.95
1222,2.91,2.32,12.98
1227,2.85,2.41,13.22
1231,2.87,2.42,13.37
1236,2.96,2.47,13.18
1240,2.94,2.36,13.63
1245,3.35,2.57,13.88
1250,3.18,2.53,13.66
1254,3.04,2.55,14.37
1259,3.11,2.51,14.61
1264,3.33,2.62,14.69
1268,3.07,2.72,14.83
1273,3.28,2.88,15.59
1277,3.25,2.83,15.78
1282,3.34,2.85,16.24
1286,3.41,2.85,16.52
1291,3.46,2.73,16.81
1296,3.48,2.36,17.14
1301,3.76,1.84,17.30
1305,3.76,1.47,17.50
1310,3.88,1.24,17.66
1315,3.99,1.19,17.98
1319,4.00,0.93,18.19
1323,4.22,0.58,18.23
1328,4.01,0.11,18.30
1333,4.05,-0.37,18.28
1338,4.06,-0.65,18.53
1342,4.05,-0.97,18.70
1347,3.90,-1.11,18.63
1352,3.81,-1.05,18.38
1357,3.79,-1.07,18.66
1361,3.77,-1.45,18.28
1365,3.53,-1.56,18.24
1370,3.45,-1.88,18.27
1375,3.26,-1.93,17.94
1379,3.30,-1.91,17.86
1384,3.48,-2.05,17.91
1389,3.52,-2.37,17.66
1393,3.76,-2.59,17.54
1398,3.90,-3.08,17.20
1402,3.93,-3.45,16.65
1407,3.76,-3.63,16.20
1411,3.95,-3.84,15.60
1416,4.42,-4.26,14.94
1421,4.55,-4.61,14.48
1426,4.65,-4.78,13.90
1430,4.66,-5.02,13.39
1435,5.03,-5.52,12.50
1440,5.05,-5.88,11.55
1444,4.97,-5.75,11.21
1448,5.35,-5.80,10.46
1453,5.56,-5.74,9.94
1458,5.54,-5.57,9.78
1463,5.63,-5.22,9.56
1467,5.91,-5.09,8.43
1472,5.98,-5.06,7.63
1477,6.24,-4.81,7.00
1482,6.45,-4.81,6.54
1486,6.48,-4.70,5.60
1490,6.44,-4.67,4.66
1495,6.40,-4.73,4.40
1500,6.43,-4.56,3.70
1504,6.07,-4.41,3.08
1509,5.83,-4.24,2.33
1514,5.93,-3.68,2.23
1519,5.94,-3.30,1.59
1523,5.59,-3.53,1.27
1527,5.77,-4.17,1.08
1532,5.81,-4.85,0.18
1536,5.76,-5.29,-0.77
1541,5.63,-6.53,-1.55
1546,5.57,-7.88,-2.85
1550,5.43,-9.29,-4.06
1555,5.59,-10.48,-4.68
1560,5.91,-11.56,-5.82
1565,5.96,-12.45,-6.36
1569,6.44,-12.68,-6.79
1573,6.55,-12.68,-7.51
1578,6.86,-12.18,-7.24
1583,7.60,-11.43,-7.34
1587,8.56,-10.33,-6.78
1592,9.66,-9.17,-6.68
1597,10.64,-7.88,-6.30
1602,11.48,-7.22,-5.08
1607,12.30,-5.93,-4.05
1611,12.79,-4.89,-3.04
1615,13.56,-4.11,-2.10
1620,14.49,-3.35,-0.61
1625,15.31,-2.83,-0.34
1629,16.35,-2.17,1.08
