timestamp,accX,accY,accZ
0,2.52,0.50,8.95
91,2.51,0.49,8.78
95,2.61,0.54,8.59
100,2.54,0.51,8.76
105,2.57,0.48,8.93
109,2.55,0.54,8.85
114,2.55,0.54,8.93
118,2.67,0.62,8.84
123,2.64,0.76,8.87
127,2.40,0.82,8.80
132,2.61,0.77,8.76
137,2.65,0.90,8.86
142,2.53,0.93,9.17
146,2.57,0.74,9.33
151,2.37,0.69,9.12
156,2.48,0.72,9.32
160,2.39,0.69,9.00
164,2.32,0.70,9.14
169,2.30,0.71,9.22
174,2.30,0.57,9.15
179,2.54,0.36,8.91
183,2.75,0.22,9.22
188,3.04,0.16,9.40
193,3.38,0.30,9.45
197,3.79,0.71,9.38
202,4.13,0.87,9.54
206,4.65,1.65,9.82
211,4.83,2.45,9.86
216,5.03,3.42,10.43
220,5.04,4.26,11.08
225,5.24,5.35,12.13
230,5.11,6.02,12.69
235,4.96,6.79,13.66
239,5.11,8.01,14.31
243,5.09,9.43,15.03
248,5.09,10.59,15.70
253,4.84,11.41,16.07
258,4.76,12.05,16.75
262,4.42,12.29,17.90
267,4.36,12.34,18.51
272,4.28,12.44,19.15
277,4.37,13.07,19.44
281,4.13,13.71,19.52
285,4.41,15.08,19.54
290,4.85,17.03,19.54
295,5.23,18.77,19.54
299,5.58,19.16,19.54
304,5.95,19.45,19.54
309,5.84,19.52,19.54
314,6.33,19.54,19.54
318,7.56,19.54,19.54
322,8.67,19.54,19.54
327,9.50,19.48,19.54
332,11.06,17.94,19.54
336,12.80,16.77,19.54
341,14.69,13.47,19.54
346,15.70,9.98,19.54
351,17.14,6.05,19.54
356,18.45,2.65,19.54
360,18.86,-0.61,19.54
364,18.33,-3.26,19.54
369,17.80,-4.61,19.45
373,17.14,-6.52,18.71
378,16.63,-8.00,16.50
383,15.73,-8.91,13.69
388,14.53,-9.01,12.50
393,13.46,-8.93,10.03
397,11.94,-7.45,8.38
402,10.95,-6.72,5.32
406,9.96,-7.95,3.07
410,9.31,-7.76,-0.58
415,7.77,-8.51,-3.12
420,5.87,-8.44,-3.88
425,4.38,-8.54,-4.93
429,2.75,-8.99,-5.99
434,1.71,-9.51,-7.00
439,0.61,-9.25,-6.49
444,0.11,-8.85,-5.90
447,-0.84,-8.71,-5.42
452,-1.68,-8.79,-4.91
457,-2.05,-8.99,-4.16
461,-2.33,-8.82,-3.54
466,-2.67,-8.06,-2.84
471,-2.90,-7.22,-2.04
476,-3.35,-6.38,-0.86
480,-3.53,-5.63,-0.40
485,-3.70,-4.81,-0.58
489,-3.89,-3.99,-0.11
493,-3.99,-3.53,0.48
498,-4.07,-2.62,0.56
503,-4.18,-2.20,1.03
508,-4.09,-1.79,0.97
512,-4.03,-1.60,0.80
517,-4.49,-1.43,1.02
522,-4.71,-1.24,1.00
526,-4.86,-0.99,1.39
531,-5.02,-0.63,1.60
535,-5.04,-0.54,1.29
539,-5.10,-0.71,1.07
544,-5.15,-0.84,0.68
549,-5.12,-0.60,0.89
554,-5.11,-0.52,0.91
558,-5.19,-0.24,0.52
563,-5.37,0.12,0.60
568,-5.35,0.31,0.85
572,-5.21,0.55,0.84
576,-5.30,0.56,0.62
581,-5.28,0.77,0.60
586,-5.32,0.81,0.81
591,-5.38,1.06,1.02
595,-5.48,1.37,1.41
600,-5.46,1.55,1.73
605,-5.39,2.04,1.73
610,-5.59,2.27,1.99
614,-5.38,2.58,2.02
618,-5.51,3.00,1.76
623,-5.65,3.20,1.89
628,-5.56,3.36,1.48
632,-5.51,3.64,1.26
637,-5.49,3.98,1.12
642,-5.24,4.14,0.73
646,-5.51,4.23,0.75
651,-5.30,4.41,0.51
656,-5.32,4.52,0.17
659,-5.26,4.72,-0.18
664,-5.06,5.18,-0.35
669,-5.10,5.56,-0.58
674,-4.88,5.77,-0.82
678,-4.91,6.16,-0.37
683,-5.00,6.58,-0.87
688,-4.86,7.03,-0.65
693,-4.61,7.37,-0.64
697,-4.53,7.63,-0.82
701,-4.53,7.81,-1.21
706,-4.30,8.00,-1.32
710,-4.29,8.40,-1.25
715,-4.28,8.62,-1.05
720,-4.13,8.60,-1.24
725,-4.13,8.73,-1.07
729,-3.84,8.61,-1.60
734,-3.75,8.53,-1.77
739,-3.43,8.41,-2.07
743,-3.30,8.43,-2.82
