timestamp,accX,accY,accZ
0,13.05,10.18,17.45
91,8.32,10.82,18.87
95,8.67,12.35,19.37
100,8.77,13.63,19.50
105,8.70,14.75,19.53
110,8.99,15.80,19.54
114,8.85,16.55,19.54
118,9.25,17.26,19.54
123,9.13,17.64,19.54
128,9.35,17.91,19.54
133,9.67,18.13,19.54
137,9.83,18.11,19.54
142,10.17,18.01,19.54
147,10.31,17.81,19.54
152,10.62,17.04,19.54
156,11.22,16.31,19.54
160,11.87,15.54,19.54
165,12.32,14.21,19.54
170,12.54,12.53,19.54
174,12.79,10.62,19.53
179,13.29,9.09,19.52
184,13.36,7.49,19.51
189,13.37,6.13,19.33
193,13.49,5.65,19.16
198,13.59,4.74,19.01
202,13.42,4.24,18.97
207,13.33,4.03,19.20
212,13.27,4.04,19.08
216,12.98,3.80,19.14
221,12.98,3.54,18.83
226,13.16,3.08,18.42
231,13.11,2.85,18.23
235,13.21,2.62,18.06
240,13.24,4.46,17.06
244,12.87,-0.19,16.40
249,13.38,-0.16,15.75
253,12.66,-2.23,14.90
258,12.34,-3.82,14.19
263,11.53,-4.13,12.78
268,10.78,-5.81,11.25
272,10.13,-7.70,9.59
277,9.81,-8.71,8.86
282,9.24,-8.85,7.85
286,8.44,-8.22,7.68
290,7.76,-7.11,6.82
295,7.46,-5.60,5.34
300,6.49,-4.87,3.31
305,6.15,-3.01,0.72
310,5.75,-3.21,-2.16
314,5.88,-4.48,-4.72
319,5.56,-5.89,-5.62
324,4.44,-5.94,-5.86
327,3.12,-6.37,-5.81
332,2.26,-7.11,-5.88
337,1.73,-7.66,-5.69
342,1.57,-7.48,-5.35
346,0.69,-7.10,-4.88
351,0.07,-6.45,-4.89
356,-0.34,-6.15,-5.07
360,-0.98,-5.98,-4.77
365,-1.52,-6.04,-4.50
369,-1.72,-6.03,-4.18
373,-2.16,-5.89,-3.53
378,-2.59,-5.24,-2.94
383,-3.09,-4.92,-2.40
388,-3.46,-4.64,-1.72
392,-3.78,-3.88,-0.46
397,-4.11,-3.33,0.10
402,-3.99,-2.57,0.37
407,-4.31,-2.05,0.57
410,-4.51,-1.60,0.78
415,-4.44,-1.06,0.57
420,-4.70,-0.72,0.49
425,-4.77,-0.04,0.76
429,-4.94,0.41,0.74
434,-4.94,0.68,0.54
439,-4.83,0.81,0.50
444,-5.09,0.82,0.77
448,-4.86,0.98,0.85
452,-5.06,1.16,0.86
457,-5.16,1.61,0.75
461,-5.24,2.19,0.99
466,-5.27,2.77,0.73
471,-5.29,3.14,0.50
476,-5.25,3.43,0.17
480,-5.37,3.69,0.05
485,-5.08,3.82,-0.45
490,-5.11,3.98,-0.91
494,-5.06,4.16,-1.22
498,-5.11,4.44,-1.04
503,-5.06,4.58,-1.22
508,-4.91,4.82,-1.49
513,-4.95,4.94,-1.25
517,-4.96,4.96,-1.40
522,-4.93,4.93,-1.33
527,-4.97,4.80,-1.18
532,-4.77,4.71,-1.21
535,-4.82,4.75,-1.02
540,-4.83,4.72,-1.01
545,-4.73,4.65,-0.61
550,-4.63,4.53,-0.73
554,-4.50,4.40,-0.35
559,-4.36,4.25,-0.77
564,-4.23,4.15,-1.00
568,-4.03,4.21,-1.25
573,-3.89,4.20,-1.15
577,-3.60,4.27,-1.39
582,-3.53,4.33,-1.49
586,-3.68,4.27,-1.72
591,-3.49,4.04,-2.25
596,-3.25,3.86,-2.42
601,-3.04,3.76,-2.42
605,-2.93,3.56,-2.70
610,-2.90,3.40,-3.07
615,-2.65,3.19,-3.68
619,-2.44,2.89,-4.03
623,-2.15,2.46,-4.79
628,-2.13,2.31,-5.15
633,-1.96,2.00,-5.24
637,-1.89,1.52,-5.88
642,-1.62,1.27,-6.62
647,-1.53,1.01,-7.20
652,-1.49,0.53,-7.61
656,-1.20,0.02,-7.83
660,-0.76,-0.36,-7.95
665,-0.45,-0.39,-8.10
669,-0.03,-0.07,-8.15
674,0.10,0.03,-7.85
679,0.55,0.33,-7.47
684,0.75,0.51,-7.30
688,1.02,0.55,-7.20
693,1.27,0.62,-7.07
698,2.06,0.70,-6.83
702,2.54,0.76,-6.97
706,3.14,1.09,-6.93
711,3.83,1.66,-6.92
716,4.04,2.36,-6.50
721,4.89,2.73,-5.89
725,5.28,3.08,-6.49
730,6.17,3.09,-5.33
735,7.04,3.06,-4.85
740,7.46,2.91,-3.57
743,7.68,2.38,-2.17
748,8.11,2.01,-1.45
753,8.69,1.67,0.25
757,9.68,1.14,0.66
762,10.20,0.72,2.01
767,10.98,0.39,3.54
772,11.72,0.11,4.72
776,12.42,-0.28,5.60
781,13.14,-0.24,7.14
785,13.71,-0.54,8.87
790,14.35,-1.13,9.55
794,15.31,-2.04,11.08
799,16.27,-2.46,12.81
804,16.64,-3.08,14.18
809,17.57,-3.13,15.41
813,17.79,-3.15,17.28
818,17.94,-1.78,18.83
823,17.85,0.57,19.19
