timestamp,accX,accY,accZ
0,10.52,14.84,19.28
91,10.39,15.30,19.48
95,10.29,15.94,19.53
100,10.47,16.70,19.54
105,10.85,17.41,19.54
110,10.52,17.86,19.54
115,10.80,18.41,19.54
119,10.93,18.66,19.54
123,11.13,18.91,19.54
128,11.25,18.58,19.54
133,11.56,17.64,19.54
137,12.02,16.44,19.54
142,12.19,14.87,19.54
147,12.47,13.32,19.54
152,13.09,11.83,19.39
157,13.49,11.04,19.13
161,13.56,9.41,18.78
165,13.64,7.80,18.48
170,13.73,6.43,18.48
174,13.88,5.07,18.72
179,13.60,4.12,18.96
184,13.34,3.12,18.92
189,13.22,2.60,19.01
194,12.83,1.75,18.98
198,12.42,1.04,19.05
203,12.04,0.56,19.20
207,11.88,0.59,19.14
212,11.43,0.55,19.04
216,11.19,3.59,19.36
221,10.75,2.07,18.54
226,11.39,1.07,17.55
231,11.47,0.43,16.53
235,11.34,0.03,15.86
240,10.72,-0.26,15.68
245,10.63,-0.63,14.58
249,10.17,-0.69,13.96
253,9.76,-1.25,12.38
258,9.55,-2.58,11.90
263,9.24,-3.01,11.31
268,9.09,-3.15,10.37
272,8.58,-2.85,10.20
277,8.08,-2.31,9.67
282,7.59,-1.54,9.02
287,7.06,-1.69,7.57
290,7.00,-2.21,5.65
295,6.81,-5.30,3.01
300,6.93,-8.35,0.78
304,5.90,-10.81,0.35
309,4.44,-10.67,0.33
314,3.24,-10.31,-0.25
319,2.46,-10.26,-0.29
324,1.70,-9.29,-0.67
328,1.15,-8.14,-0.57
332,0.68,-7.14,-0.80
337,0.47,-5.57,-1.25
342,0.08,-4.26,-1.43
346,-0.38,-3.27,-1.50
351,-0.62,-2.75,-1.65
356,-1.09,-1.98,-1.83
360,-1.53,-1.46,-1.34
365,-1.61,-1.02,-1.02
370,-1.89,-0.45,-1.19
374,-2.11,-0.36,-1.06
378,-2.47,-0.50,-1.15
383,-2.64,-0.57,-1.46
388,-2.54,-1.03,-1.96
392,-2.49,-1.47,-2.07
397,-2.94,-1.60,-2.19
402,-3.26,-1.29,-2.10
407,-3.51,-1.04,-2.35
411,-3.55,-1.06,-2.85
415,-3.86,-1.22,-3.63
420,-4.20,-1.76,-3.97
425,-3.99,-2.01,-4.54
429,-4.02,-1.88,-4.29
434,-4.18,-1.26,-4.33
439,-4.32,-0.97,-3.93
444,-4.39,-0.81,-3.80
448,-4.41,-0.50,-4.14
453,-4.55,-0.31,-3.96
457,-4.71,0.01,-4.14
462,-4.87,0.26,-4.06
466,-4.88,0.76,-4.05
471,-4.83,1.72,-3.81
476,-4.61,1.93,-3.67
481,-4.68,2.52,-3.58
485,-4.74,2.85,-2.90
490,-4.83,3.10,-3.19
495,-4.72,3.21,-3.04
498,-4.74,3.14,-3.09
503,-4.84,3.17,-2.79
508,-4.75,3.06,-2.49
513,-4.78,3.07,-2.20
517,-4.77,3.08,-2.09
522,-4.54,3.19,-2.45
527,-4.56,3.15,-2.62
531,-4.37,3.28,-2.25
536,-4.29,3.24,-2.69
540,-4.10,3.37,-2.77
545,-3.97,3.80,-3.01
549,-3.86,4.25,-3.07
554,-3.87,4.46,-3.06
559,-3.73,4.65,-3.21
564,-3.68,4.59,-2.90
568,-3.41,4.52,-3.53
573,-3.60,4.40,-3.40
578,-3.49,4.21,-3.44
581,-3.12,3.86,-3.25
586,-2.99,3.55,-3.37
591,-3.05,3.09,-3.10
595,-2.87,2.90,-3.45
600,-2.78,2.60,-3.87
605,-2.49,2.32,-3.69
610,-2.22,2.00,-4.21
614,-2.24,1.54,-4.35
619,-1.93,1.32,-4.49
623,-1.78,1.27,-4.67
628,-1.68,1.21,-5.10
632,-1.30,1.19,-5.11
637,-1.16,1.34,-5.13
642,-1.01,1.46,-5.28
647,-0.64,1.67,-5.77
651,-0.43,1.71,-5.59
656,-0.30,1.93,-5.58
661,-0.02,2.04,-5.58
664,0.44,2.21,-5.81
669,0.63,2.36,-5.61
674,1.01,2.35,-5.87
679,1.25,2.31,-5.67
683,1.77,2.06,-5.35
688,2.07,2.06,-5.30
693,2.39,1.67,-4.93
697,2.78,1.41,-4.51
702,3.11,1.12,-4.07
706,3.25,0.85,-3.65
711,3.97,0.64,-3.18
715,4.67,0.25,-2.73
720,4.80,0.10,-1.80
725,5.10,-0.65,-1.63
730,5.58,-1.11,-1.25
734,6.31,-1.45,-0.58
739,6.74,-1.37,-0.17
744,7.79,-2.13,-0.24
747,8.79,-2.40,0.16
752,9.68,-2.48,1.00
757,10.41,-2.57,1.32
762,10.62,-2.10,1.59
767,11.85,-1.15,2.31
771,13.22,-0.14,2.33
776,14.37,0.68,3.80
781,15.53,0.79,5.86
786,16.55,0.93,8.27
789,17.09,1.05,9.96
794,17.80,1.61,11.30
799,18.03,2.63,13.14
804,18.24,3.82,16.07
808,18.12,4.72,17.38
813,17.77,5.91,18.98
818,17.20,6.41,19.41
823,16.33,6.69,19.51
827,14.87,6.81,19.54
831,13.89,6.40,19.54
836,12.15,6.71,19.54
841,10.84,6.90,19.54
845,9.73,6.94,19.54
850,8.42,7.37,19.54
855,7.73,7.69,19.54
860,7.03,8.34,19.54
865,6.75,9.54,19.54
869,6.76,11.32,19.54
873,5.91,12.70,19.54
878,5.47,13.42,19.54
883,5.10,13.46,19.54
887,4.89,13.47,19.54
892,4.68,12.74,19.54
897,4.89,11.87,19.54
902,4.98,11.04,19.54
906,5.23,10.06,19.52
911,5.50,8.89,19.10
915,5.58,7.60,17.72
920,5.79,6.99,16.33
924,6.00,5.67,14.61
929,5.92,4.56,13.39
934,5.86,3.86,12.43
939,6.05,2.92,12.38
943,6.22,2.77,12.42
948,6.10,2.02,11.95
953,5.99,1.42,11.85
957,5.84,1.17,11.73
961,5.76,0.78,12.04
966,5.61,0.89,12.42
971,5.16,1.13,12.87
976,4.84,1.58,13.13
980,4.73,1.64,13.64
985,4.31,1.71,14.35
990,4.14,1.84,14.35
995,3.77,2.28,14.99
998,3.69,2.57,15.52
1003,3.69,2.85,15.93
1008,3.57,3.25,16.07
1013,3.31,3.57,16.24
1017,3.36,3.76,15.90
1022,3.23,3.96,15.76
1027,3.08,4.24,15.70
1032,3.12,4.44,15.50
1036,3.10,4.76,15.12
1040,3.17,5.04,14.64
1045,3.30,5.27,14.51
1050,3.44,5.17,14.05
1054,3.77,5.08,14.12
1059,3.86,4.89,13.64
1064,3.97,4.53,13.39
1069,4.15,4.11,13.67
1073,4.32,3.73,13.31
1078,4.13,3.20,13.31
1082,4.23,2.86,13.48
1086,4.30,2.19,13.77
1091,4.18,1.59,14.09
1096,4.02,1.18,14.21
1101,3.88,1.06,14.68
1105,3.73,0.86,14.69
1110,3.64,0.71,15.26
1115,3.73,0.69,15.26
1120,3.53,0.49,15.65
1123,3.64,0.29,15.54
1128,3.52,0.20,15.95
1133,3.47,0.23,15.61
1137,3.61,0.21,15.77
1142,3.62,0.31,15.76
1147,3.42,0.41,15.38
1152,3.44,0.46,15.55
1156,3.60,0.54,15.17
1161,3.39,0.57,14.91
1165,3.37,0.60,14.71
1169,3.43,0.63,14.91
1174,3.32,0.54,14.74
1179,3.06,0.25,14.85
1184,3.18,-0.04,15.29
1188,3.09,-0.39,15.44
1193,3.07,-0.69,15.43
1198,3.14,-1.16,15.58
1203,3.02,-1.49,15.88
1206,3.06,-1.71,16.21
1211,3.05,-2.11,16.73
1216,2.78,-2.53,17.25
1221,2.87,-2.75,17.88
1225,2.59,-3.16,17.88
1230,2.45,-3.22,18.03
1235,2.81,-3.46,17.71
1240,3.00,-3.61,17.35
1244,3.01,-3.69,16.92
1248,3.21,-3.50,16.09
1253,3.31,-3.04,15.45
1258,3.46,-2.77,14.92
1262,3.34,-2.54,14.32
1267,3.46,-2.52,13.52
1272,3.73,-2.44,13.33
1277,3.64,-2.30,12.98
1281,3.60,-2.24,12.44
1286,3.62,-1.98,11.97
1290,3.41,-1.58,11.59
1295,3.81,-1.08,10.75
1299,3.94,-1.06,10.65
1304,4.23,-0.93,9.96
1309,4.06,-0.81,9.01
1314,4.06,-0.92,8.57
1318,3.94,-0.99,7.91
1323,4.09,-1.39,7.17
1328,3.94,-1.60,6.63
1332,3.93,-1.58,6.25
1336,3.81,-2.04,5.42
1341,4.01,-2.39,4.86
1346,3.66,-2.47,4.62
1351,3.78,-2.19,3.45
1355,3.75,-2.81,2.78
1360,4.01,-3.23,2.39
1365,3.99,-3.89,1.46
1369,4.02,-3.86,1.01
1373,3.80,-3.76,0.44
1378,3.82,-3.54,-0.26
1383,3.53,-3.39,-0.90
1387,3.52,-3.16,-1.70
1392,3.37,-3.03,-1.92
