timestamp,accX,accY,accZ
0,9.67,10.36,15.36
91,10.13,11.79,17.26
95,10.68,13.46,18.74
100,10.55,14.96,19.33
105,10.58,15.82,19.49
110,10.52,16.96,19.53
115,10.63,17.64,19.54
119,10.45,17.29,19.54
124,11.26,17.18,19.54
128,11.97,17.02,19.54
133,12.54,17.42,19.54
138,13.09,17.68,19.54
142,13.30,17.64,19.54
147,13.38,16.84,19.54
152,13.54,15.21,19.54
157,13.78,13.03,19.54
161,13.95,11.03,19.54
166,14.26,9.16,19.54
170,14.58,7.64,19.54
175,14.85,7.13,19.51
179,14.75,5.89,19.54
184,14.70,4.67,19.38
189,14.47,3.72,19.43
194,14.03,2.78,19.38
198,13.71,2.21,19.35
203,13.45,1.48,19.23
208,13.13,1.07,18.87
212,12.73,0.34,18.41
216,12.53,-0.15,18.10
221,11.99,0.50,17.75
226,11.50,-0.64,16.90
231,11.79,-1.38,16.23
236,11.59,-2.37,14.80
240,11.32,-3.23,13.67
245,10.80,-4.97,13.30
250,10.33,-5.13,13.32
254,9.86,-4.84,13.73
258,9.17,-4.35,13.74
263,8.51,-3.99,13.34
268,8.05,-3.32,13.04
273,7.68,-2.90,12.42
277,7.36,-2.84,11.73
282,7.10,-2.97,10.33
287,7.12,-3.05,9.06
291,6.85,-2.83,8.17
295,6.24,-2.23,7.64
300,6.29,-1.61,6.72
305,6.20,-1.43,5.91
309,6.10,-1.56,4.46
314,6.17,-1.72,2.90
319,6.14,-2.25,1.18
323,6.01,-4.08,0.44
328,5.47,-5.71,-1.02
333,4.64,-6.05,-1.49
337,3.73,-6.07,-1.67
341,2.79,-6.48,-2.92
346,2.32,-7.05,-4.43
351,1.86,-7.16,-5.24
356,1.25,-6.60,-5.48
360,0.48,-6.15,-6.09
365,-0.19,-5.95,-6.18
370,-0.96,-5.64,-6.03
375,-1.44,-5.47,-5.72
378,-1.73,-5.49,-5.74
383,-2.20,-5.25,-5.44
388,-2.67,-4.86,-5.08
392,-3.28,-4.38,-4.69
397,-3.53,-4.23,-3.97
402,-3.88,-3.85,-3.63
407,-4.07,-3.50,-2.84
411,-4.10,-2.80,-2.63
416,-4.28,-2.40,-2.48
420,-4.31,-1.85,-2.35
424,-4.44,-1.65,-1.91
429,-4.51,-1.13,-1.48
434,-4.62,-0.40,-1.26
438,-4.67,0.22,-1.43
443,-4.91,0.66,-1.04
448,-5.12,0.79,-1.11
453,-5.05,0.81,-1.54
457,-5.13,0.83,-1.49
461,-5.07,0.87,-1.40
466,-5.09,1.03,-0.94
471,-4.86,1.29,-0.97
475,-5.04,1.66,-1.32
480,-5.12,2.03,-1.16
485,-5.02,2.16,-1.00
489,-5.46,2.32,-1.01
494,-5.14,2.38,-1.29
499,-5.15,2.62,-1.59
503,-5.05,3.15,-1.44
508,-5.12,3.56,-1.28
512,-5.19,3.88,-1.32
517,-5.04,4.01,-1.48
522,-5.00,4.19,-1.37
526,-5.05,4.32,-1.38
531,-5.06,4.31,-1.71
536,-4.88,4.35,-1.96
541,-4.63,4.27,-1.73
544,-4.50,4.24,-1.93
549,-4.47,4.21,-1.78
554,-4.36,4.07,-1.64
559,-4.02,3.98,-1.31
563,-3.87,3.86,-1.71
568,-3.88,3.82,-1.83
573,-3.58,3.84,-1.82
578,-3.48,4.02,-2.17
582,-3.15,3.97,-2.39
586,-2.79,4.08,-2.77
591,-2.59,4.21,-3.36
596,-2.48,4.24,-4.17
600,-2.00,4.39,-4.67
605,-1.87,4.56,-5.02
610,-1.81,4.57,-5.62
614,-1.69,4.49,-6.07
619,-1.22,4.26,-6.63
624,-1.23,4.18,-7.07
628,-0.76,3.84,-7.37
632,-0.68,3.46,-7.11
637,-0.34,3.22,-6.81
642,-0.07,2.86,-6.76
647,0.26,2.65,-6.49
651,0.28,2.31,-6.35
656,0.47,1.95,-6.11
661,0.57,1.60,-5.64
665,0.87,1.52,-5.40
669,1.42,1.27,-4.82
674,1.95,1.48,-4.72
679,2.44,1.58,-4.66
683,2.67,1.96,-4.16
688,2.85,2.12,-3.98
693,3.13,2.56,-4.24
698,3.69,3.03,-4.32
702,3.98,3.01,-4.44
707,4.14,3.16,-3.89
711,4.60,3.41,-4.54
716,5.17,3.54,-4.00
720,5.40,3.73,-3.96
725,6.37,3.45,-2.97
730,7.07,3.37,-2.49
734,7.84,3.22,-1.25
739,8.46,3.15,-0.20
744,8.99,3.07,0.83
749,9.21,2.62,1.80
752,9.56,2.19,2.59
757,10.05,1.88,2.94
762,10.45,1.74,4.67
767,11.34,1.89,5.77
771,11.75,1.95,7.09
776,12.69,2.22,8.79
781,13.22,2.57,10.33
786,13.72,2.72,11.86
790,14.03,3.46,13.64
794,14.34,4.48,14.17
799,14.61,5.01,15.74
804,14.89,5.38,17.03
808,15.04,6.03,18.26
813,15.14,7.13,19.14
818,15.12,8.44,19.45
823,14.90,9.63,19.52
828,14.04,10.47,19.53
832,13.64,11.18,19.54
836,12.65,11.01,19.54
841,11.97,11.05,19.54
846,11.16,10.79,19.54
850,10.78,10.52,19.54
855,10.31,9.71,19.54
860,10.02,8.23,19.54
865,9.28,6.88,19.54
869,9.05,5.79,19.54
874,9.11,5.33,19.54
878,8.78,4.45,19.54
883,8.37,3.77,19.54
887,8.08,3.20,19.54
892,7.63,2.62,19.54
897,7.71,1.98,19.54
902,7.28,1.64,19.54
906,6.66,1.04,19.54
911,6.58,0.45,19.54
916,6.26,-0.29,19.46
920,6.10,-1.15,19.21
924,5.85,-1.33,18.57
929,5.46,-1.35,18.32
934,5.14,-1.20,17.63
939,4.98,-1.08,16.96
943,4.73,-1.04,16.31
948,4.56,-1.04,15.95
953,4.42,-0.68,15.59
958,4.26,-0.29,15.15
961,4.14,0.11,15.12
966,3.85,0.21,14.57
971,3.66,0.16,14.53
976,3.55,0.05,14.14
980,3.38,-0.04,13.62
985,3.53,0.00,13.34
990,3.20,-0.20,13.16
995,3.07,-0.24,13.18
999,2.80,-0.20,12.83
1003,2.92,-0.05,13.00
1008,2.91,0.00,13.06
1012,3.02,0.33,13.49
1017,3.20,0.74,13.77
1022,3.07,1.25,14.18
1027,3.16,1.75,14.07
1032,2.92,2.12,14.60
1036,2.99,2.36,15.07
1041,3.14,2.59,15.51
1045,3.10,2.71,16.14
1050,3.03,2.65,16.05
1054,3.34,2.62,16.05
1059,3.25,2.44,16.07
1064,3.18,2.24,16.40
1068,3.38,1.99,16.95
1073,3.35,1.70,17.13
1078,3.37,1.14,17.12
1083,3.19,0.93,17.35
1086,3.38,0.52,17.79
1091,3.39,0.45,17.86
1096,3.39,0.22,17.93
1100,3.51,0.15,18.02
1105,3.89,0.02,18.14
1110,3.92,0.00,18.10
1115,4.14,-0.13,17.96
1119,4.04,-0.27,17.71
1124,4.22,-0.66,17.64
1128,4.15,-1.09,17.02
1133,4.24,-1.40,16.82
1137,4.44,-1.97,16.69
1142,4.49,-2.36,16.66
1147,4.40,-2.31,16.54
1152,4.34,-2.15,16.37
1156,4.37,-2.08,16.59
1161,4.47,-2.04,16.35
1166,4.24,-1.98,16.60
1170,4.11,-1.97,16.25
1174,4.02,-2.10,15.78
1179,3.97,-2.22,15.56
1184,3.72,-2.35,15.26
1189,3.58,-2.69,14.73
1193,3.42,-2.99,14.65
1198,3.44,-3.15,13.72
1203,3.44,-3.66,12.86
1208,3.31,-4.21,12.65
1211,3.36,-4.56,12.05
1216,3.23,-5.04,11.67
1221,3.22,-5.25,11.29
1226,3.09,-5.40,10.84
1230,2.72,-5.35,10.55
1235,2.81,-5.14,9.91
1240,2.66,-5.04,10.06
1245,2.12,-4.97,9.90
1249,2.29,-4.81,9.70
1253,2.39,-4.70,9.66
1258,2.47,-4.65,9.22
1262,2.28,-4.88,8.82
1267,2.56,-4.93,8.21
1272,2.64,-4.99,7.53
1277,2.38,-5.16,7.18
1281,2.53,-5.25,6.90
1286,2.78,-5.56,6.14
1291,2.73,-5.65,5.74
1295,2.59,-5.76,5.34
1299,2.62,-5.80,4.94
1304,2.78,-4.25,4.29
1309,2.68,-5.13,4.34
1313,3.03,-4.25,3.79
1318,2.91,-4.42,3.72
1323,2.88,-4.63,3.48
1328,2.73,-4.78,2.75
1332,2.81,-5.14,2.39
1336,2.50,-5.53,2.35
1341,2.74,-5.35,2.17
1345,2.54,-5.27,2.22
1350,2.34,-5.04,2.51
1355,2.53,-4.89,2.61
1360,2.46,-4.53,2.65
1364,2.54,-4.49,2.75
1369,2.97,-4.81,2.20
1374,3.33,-5.41,1.82
1378,3.98,-5.83,1.23
1382,4.27,-6.01,0.71
1387,4.67,-6.25,-0.04
1392,5.06,-6.28,-0.68
1397,5.59,-6.37,-0.87
1401,6.26,-6.19,-1.50
1406,6.57,-5.88,-1.61
1411,7.05,-5.53,-1.89
1415,7.37,-5.25,-2.00
1419,7.61,-4.78,-1.73
1424,7.94,-4.27,-1.17
1429,8.77,-3.51,-0.46
1433,9.79,-3.02,-0.06
1438,10.59,-2.32,0.34
1443,11.22,-1.64,0.43
1448,11.84,-1.16,0.99
1452,12.30,-0.26,1.11
1457,12.54,0.95,1.35
1461,12.85,2.16,1.93
1466,13.09,3.32,2.16
1470,13.06,4.44,2.66
1475,13.08,5.42,3.61
1480,12.96,5.96,3.99
1484,12.93,6.87,4.98
1489,12.94,7.83,5.48
1494,13.22,8.44,6.22
1499,13.15,9.22,7.03
1502,13.13,10.11,7.89
1507,12.67,10.51,8.77
1512,12.23,10.99,9.64
1517,11.92,11.72,11.06
1521,11.78,12.38,12.58
1526,11.44,12.89,14.05
1531,11.13,13.17,14.77
1536,10.89,13.19,16.14
1541,10.50,13.09,17.02
1544,10.13,13.06,18.23
1549,9.83,12.75,18.76
1554,9.63,12.43,19.15
1558,8.98,11.91,19.24
1563,8.49,11.32,19.29
1568,8.10,10.60,19.37
1573,7.61,10.10,19.49
1578,7.53,9.75,19.41
1582,7.21,9.24,19.46
1586,7.28,8.21,19.49
1591,7.33,7.70,19.44
1596,7.17,6.92,19.33
1600,7.11,6.03,19.26
1605,6.94,6.11,19.22
1610,7.06,5.98,18.69
1614,6.83,4.82,18.26
1619,6.50,4.86,17.54
1624,6.60,4.72,17.03
1628,6.55,4.40,16.62
