timestamp,accX,accY,accZ
0,6.24,9.23,19.53
91,8.94,10.37,19.54
94,9.37,11.11,19.54
99,9.84,12.10,19.54
104,10.22,13.01,19.54
109,10.44,13.58,19.54
114,11.06,14.10,19.54
118,11.46,14.32,19.54
123,11.89,14.19,19.54
128,12.18,13.58,19.54
132,12.57,13.09,19.54
136,13.08,12.13,19.54
141,13.38,11.15,19.54
146,13.59,10.10,19.54
151,13.93,9.15,19.51
155,14.06,8.25,19.43
160,13.92,7.58,19.46
165,13.89,7.33,19.48
170,13.86,7.11,19.49
174,13.90,6.70,19.53
178,13.82,6.23,19.52
183,13.91,5.66,19.53
188,13.84,5.24,19.54
192,13.77,4.65,19.54
197,13.87,4.43,19.54
202,13.76,3.72,19.54
207,14.03,3.06,19.54
212,13.95,2.32,19.53
216,13.62,1.74,19.43
220,13.26,1.13,19.40
225,13.23,0.81,19.34
230,13.31,0.50,19.28
234,12.92,0.47,19.19
239,12.77,2.32,18.09
244,13.04,-0.68,16.42
249,13.52,-2.03,14.26
253,13.22,-3.91,13.01
257,12.63,-7.19,11.24
262,12.05,-9.68,10.23
267,10.72,-9.82,10.09
271,9.19,-8.99,9.95
276,8.45,-8.24,9.85
281,7.71,-7.42,9.49
286,7.20,-6.46,9.32
290,6.94,-5.16,8.32
295,6.03,-4.56,7.85
299,5.60,-3.53,7.18
303,5.16,-2.83,6.97
308,4.90,-1.68,6.80
313,4.60,-0.38,6.68
318,4.23,0.46,6.39
322,3.84,1.17,6.11
327,3.92,1.24,5.12
332,4.06,1.58,3.99
336,4.03,1.48,2.94
341,4.07,0.54,1.79
345,4.27,-1.02,0.57
350,4.10,-1.56,0.34
354,3.56,-1.15,0.75
359,3.03,-1.04,0.08
364,2.87,-2.19,-1.35
369,2.75,-3.38,-3.15
373,2.34,-3.81,-4.06
378,1.71,-4.29,-5.04
382,0.93,-4.75,-5.16
387,0.40,-5.17,-5.24
391,-0.32,-5.36,-5.23
396,-0.75,-5.90,-5.21
401,-0.94,-6.25,-5.66
406,-1.45,-6.45,-5.58
410,-1.92,-6.34,-5.65
415,-2.52,-6.42,-5.53
420,-2.80,-6.29,-5.72
424,-3.17,-5.88,-5.87
428,-3.57,-5.39,-5.85
433,-3.66,-4.90,-5.32
438,-3.77,-4.67,-5.26
442,-3.94,-4.27,-5.14
447,-4.18,-3.62,-4.54
452,-4.24,-3.29,-3.65
456,-4.34,-2.81,-3.08
461,-4.40,-2.39,-3.03
466,-4.44,-2.16,-2.99
470,-4.60,-2.02,-2.39
474,-4.57,-1.75,-2.36
479,-4.88,-1.39,-1.99
484,-4.69,-1.16,-1.85
489,-4.79,-0.45,-1.27
493,-4.83,0.08,-1.07
498,-4.91,0.41,-0.95
503,-4.97,0.67,-0.88
507,-5.07,0.73,-0.78
511,-4.95,1.01,-0.47
516,-4.97,1.10,-0.50
521,-4.79,1.38,-0.53
525,-4.89,1.78,-0.54
530,-4.80,2.27,-0.59
535,-4.67,2.79,-0.46
540,-4.80,3.07,-0.42
544,-4.60,3.26,-0.81
549,-4.61,3.98,-1.46
553,-4.56,4.52,-1.43
558,-4.55,5.07,-1.77
562,-4.58,5.27,-1.57
567,-4.40,5.70,-1.36
572,-4.33,5.75,-1.57
576,-4.05,5.99,-1.67
581,-4.21,6.02,-1.31
586,-4.26,5.79,-1.40
591,-3.98,5.51,-1.22
594,-3.59,4.89,-1.16
599,-3.41,4.44,-1.37
604,-3.22,4.21,-1.84
608,-3.17,3.59,-2.03
613,-3.05,3.04,-2.06
618,-2.92,2.55,-2.27
623,-2.55,2.01,-2.89
627,-2.45,1.60,-3.25
632,-2.27,1.30,-3.07
636,-2.15,0.92,-3.57
640,-1.93,0.54,-3.78
645,-1.92,0.17,-4.29
650,-1.66,-0.01,-4.40
655,-1.23,0.07,-4.44
659,-0.97,0.05,-4.48
664,-0.57,-0.05,-4.63
669,-0.46,-0.25,-4.67
673,-0.19,-0.21,-5.07
677,0.17,-0.26,-5.36
682,0.51,0.03,-5.47
686,1.03,0.37,-5.80
691,1.32,0.71,-5.71
696,1.38,0.80,-5.63
701,1.85,0.82,-5.87
705,2.16,0.83,-5.94
710,2.34,1.17,-5.82
715,2.58,1.23,-5.73
718,3.05,1.44,-5.84
723,3.31,1.46,-5.12
728,3.59,1.35,-4.24
733,3.81,1.19,-3.73
737,4.55,0.64,-2.67
742,4.91,0.03,-1.06
747,4.99,-0.28,0.04
752,5.08,-0.65,1.70
756,5.71,-0.93,3.27
760,5.95,-0.78,4.04
765,5.90,-0.24,4.84
770,5.96,-0.03,5.58
774,6.19,1.00,6.30
779,6.49,2.12,7.35
784,6.80,3.51,8.70
788,7.28,4.21,10.40
793,8.09,5.52,12.82
798,8.36,7.17,14.86
802,8.82,8.57,16.58
807,8.77,9.59,17.31
