timestamp,accX,accY,accZ
0,6.94,3.48,11.09
91,7.18,3.32,11.84
94,7.53,3.38,12.91
99,7.85,3.45,13.63
104,8.01,4.08,14.74
109,8.41,4.74,15.24
113,8.63,5.94,16.90
118,9.04,7.07,18.13
123,9.70,7.96,19.06
128,10.02,9.32,19.43
132,10.16,10.64,19.51
136,10.44,11.86,19.54
141,10.55,13.18,19.54
146,10.80,14.22,19.54
151,10.69,14.63,19.54
155,10.70,14.60,19.54
160,11.11,14.48,19.54
165,11.31,13.71,19.54
170,11.45,12.56,19.54
175,11.69,11.60,19.54
178,11.74,10.37,19.54
183,11.93,9.09,19.54
188,12.15,7.90,19.54
193,12.32,7.36,19.54
197,12.71,6.40,19.52
202,12.78,5.52,19.46
207,12.91,4.99,19.41
212,12.81,5.13,19.35
217,12.86,5.62,19.44
220,13.00,5.74,19.40
225,12.94,5.73,19.38
230,12.80,5.73,19.50
235,12.53,6.10,19.53
239,12.51,6.50,19.53
244,12.56,6.71,19.53
249,12.52,6.73,19.54
254,12.31,6.74,19.54
258,12.31,6.34,19.52
262,12.41,6.09,19.53
267,12.31,5.28,19.38
272,12.46,4.20,19.27
277,12.55,3.54,19.26
281,12.61,2.24,18.43
286,13.52,-0.13,18.55
291,13.83,-2.85,17.57
296,13.87,-4.17,16.60
300,13.54,-6.76,15.52
304,12.83,-8.07,13.68
309,12.40,-9.82,11.90
314,11.67,-11.88,10.21
318,10.81,-12.89,9.63
323,9.78,-13.06,8.04
328,8.60,-11.93,6.52
333,7.46,-11.04,5.12
337,6.87,-7.44,4.20
342,6.48,-4.89,2.05
346,6.11,-3.06,-0.28
351,6.49,-3.07,-1.72
355,5.67,-3.78,-3.84
360,5.26,-3.43,-4.66
365,4.31,-2.98,-4.61
369,3.26,-2.87,-4.18
374,2.84,-3.70,-3.43
379,2.64,-4.00,-3.54
383,2.07,-4.68,-3.22
387,1.11,-5.03,-2.96
392,0.43,-5.09,-2.90
397,-0.24,-5.07,-3.05
402,-0.90,-5.15,-2.85
406,-1.02,-5.28,-2.64
411,-1.41,-5.45,-2.74
416,-1.96,-5.62,-2.53
421,-2.23,-5.49,-1.97
425,-2.88,-5.67,-1.93
429,-3.07,-5.74,-1.69
434,-3.26,-5.47,-1.71
438,-3.48,-5.36,-1.51
443,-3.71,-4.97,-1.49
448,-3.93,-4.51,-1.91
453,-4.01,-4.22,-1.68
457,-4.11,-3.46,-1.86
462,-4.45,-2.69,-1.76
467,-4.55,-2.13,-1.93
471,-4.28,-1.71,-1.97
475,-4.29,-1.43,-2.16
480,-4.34,-1.40,-2.21
485,-4.31,-1.39,-2.53
490,-4.40,-1.54,-2.71
494,-4.57,-1.18,-2.17
499,-4.64,-0.36,-1.36
504,-4.53,0.35,-0.70
508,-4.57,0.88,-0.19
512,-4.66,1.25,-0.11
517,-4.84,1.43,-0.18
521,-5.01,1.69,0.23
526,-5.08,2.10,0.05
531,-5.15,2.35,0.22
536,-4.93,2.60,0.34
540,-4.92,3.03,0.66
545,-4.81,3.07,0.64
550,-4.75,3.23,0.70
553,-4.78,3.24,0.70
558,-4.66,3.33,0.45
563,-4.54,3.48,0.24
568,-4.47,3.66,0.26
572,-4.29,3.94,0.12
577,-4.41,3.92,-0.20
582,-4.28,4.18,-0.16
587,-4.17,4.52,-0.90
591,-4.02,4.84,-1.02
595,-3.83,5.16,-1.34
600,-3.77,5.16,-1.35
604,-3.76,5.26,-1.57
609,-3.57,5.20,-1.48
614,-3.72,4.96,-1.61
619,-3.67,4.58,-1.69
623,-3.62,4.09,-1.69
628,-3.40,3.50,-1.80
633,-3.35,3.13,-1.62
637,-3.32,2.99,-1.93
641,-3.22,2.53,-1.93
646,-3.26,2.22,-1.92
651,-3.29,1.87,-2.37
656,-3.12,1.57,-2.49
660,-3.02,1.38,-2.72
665,-3.10,1.41,-2.74
670,-2.80,1.46,-3.33
675,-2.39,1.60,-3.46
678,-2.35,1.69,-3.76
683,-1.95,1.92,-3.80
688,-1.42,2.05,-3.81
692,-1.16,2.38,-4.21
697,-1.05,2.41,-4.10
702,-0.75,2.41,-4.20
707,-0.54,2.39,-4.24
711,-0.50,2.22,-4.44
716,-0.28,2.33,-4.63
720,0.03,2.31,-4.55
725,0.27,2.48,-4.43
729,0.35,2.39,-4.09
734,0.47,2.26,-3.98
739,0.87,2.48,-3.86
744,1.04,2.81,-3.73
748,1.17,2.95,-3.83
753,1.62,2.95,-3.60
758,1.97,3.22,-3.24
761,2.57,3.25,-3.18
766,3.10,3.57,-2.67
771,3.17,3.60,-2.36
776,3.48,3.51,-2.33
780,4.21,3.33,-1.77
785,4.31,3.25,-1.64
790,4.82,2.81,-1.60
795,5.20,2.75,-0.22
799,5.55,2.49,0.54
803,5.76,2.13,1.98
808,6.36,1.85,3.69
812,6.94,1.61,4.43
817,7.42,1.39,6.04
822,7.47,1.30,7.28
826,8.04,1.12,7.95
831,8.45,0.48,8.84
836,8.95,-0.14,8.81
841,9.31,-0.47,9.25
844,10.01,-0.19,9.30
849,10.46,0.90,9.67
854,10.81,1.63,10.90
859,11.00,2.39,12.63
863,10.92,3.71,15.04
868,11.26,4.68,16.82
873,11.51,5.12,18.61
878,11.60,5.36,19.04
882,11.23,5.16,19.42
886,10.67,5.47,19.51
891,10.32,5.19,19.54
896,9.49,4.99,19.54
900,9.01,4.48,19.54
905,8.88,3.75,19.54
910,8.25,3.08,19.54
915,8.40,2.57,19.54
919,8.18,2.32,19.54
924,8.09,2.54,19.54
928,7.70,2.41,19.54
933,8.08,2.57,19.54
937,7.55,2.70,19.54
942,7.42,2.86,19.54
947,7.05,3.28,19.54
952,6.94,3.62,19.54
956,6.46,4.13,19.54
961,6.28,4.57,19.54
966,6.11,4.78,19.54
970,5.90,4.75,19.54
974,6.03,4.43,19.54
979,5.76,4.01,19.54
984,5.67,3.49,19.53
989,5.62,3.45,19.25
993,5.65,2.45,18.98
998,5.77,1.48,18.28
1003,5.62,1.28,17.56
1008,5.39,0.57,17.57
1011,5.28,0.75,17.13
1016,5.09,0.68,16.68
1021,5.06,0.86,16.21
1026,4.84,1.15,15.81
1030,4.69,1.21,15.59
1035,4.68,0.90,14.96
1040,4.36,0.47,14.45
1045,4.26,0.06,13.89
1049,4.12,-0.56,13.33
1053,3.90,-0.81,13.19
1058,3.63,-1.50,13.03
1063,3.59,-1.69,12.92
1067,3.07,-1.74,13.13
1072,3.08,-1.67,13.03
1077,2.98,-1.33,13.32
1081,2.73,-0.91,13.92
1086,2.73,-0.60,14.51
1091,2.63,-0.35,14.73
1095,2.67,0.10,14.74
1099,2.64,0.50,14.56
1104,2.58,0.57,14.83
1109,2.62,0.52,14.55
1114,2.61,0.15,14.41
1118,2.75,0.14,14.35
1123,2.87,-0.03,14.34
1128,2.74,-0.28,14.30
1133,2.77,-0.54,14.49
1136,2.76,-1.01,14.61
1141,2.75,-1.31,14.77
1146,2.72,-1.36,15.08
1151,2.82,-1.35,15.40
1155,2.78,-1.07,15.42
1160,2.88,-0.76,16.02
1165,2.85,-0.47,16.32
1169,3.03,-0.05,16.45
1174,2.87,0.26,16.36
1178,2.99,0.39,16.66
1183,2.89,0.27,16.96
1188,2.97,-0.14,16.48
1192,2.80,-0.60,16.31
1197,2.74,-1.07,16.16
1202,2.63,-1.58,16.15
1207,2.47,-2.10,16.29
1211,2.50,-2.50,16.06
1216,2.53,-2.72,16.02
1220,2.41,-3.13,16.04
1225,2.45,-3.52,15.70
1229,2.65,-4.03,15.74
1234,2.51,-4.52,15.79
1239,2.39,-4.83,15.78
1244,2.47,-5.21,15.64
1248,2.48,-5.32,15.34
1253,2.53,-5.55,15.24
1258,2.46,-5.57,14.87
1262,2.37,-5.43,14.71
1266,2.48,-5.20,14.58
1271,2.60,-4.76,14.40
1276,2.40,-4.27,14.21
1281,2.26,-4.05,14.14
1285,2.13,-3.75,14.15
1290,2.17,-3.58,13.98
1295,2.05,-3.93,13.45
1300,2.01,-4.16,12.98
1303,2.13,-4.60,13.12
1308,2.16,-4.86,12.80
1313,2.65,-5.12,12.21
1318,2.80,-5.49,11.41
1322,2.74,-6.05,11.20
1327,2.55,-6.36,10.16
1332,2.69,-6.76,9.90
1336,2.95,-6.98,9.47
1341,3.01,-7.36,9.22
1345,3.21,-7.45,8.39
1350,3.40,-7.49,7.56
1354,3.32,-7.75,7.40
1359,3.50,-8.04,6.69
1364,3.53,-8.03,6.37
1369,3.71,-7.96,5.73
1373,3.99,-7.88,4.95
1378,3.98,-7.83,4.67
1383,4.15,-7.58,4.15
1387,4.34,-7.16,2.98
1391,4.44,-6.74,2.66
1396,4.56,-6.36,2.16
1401,4.62,-6.01,1.79
1405,4.86,-5.93,1.38
1410,5.08,-5.60,0.39
1415,5.13,-5.14,-0.31
1420,5.38,-4.67,-0.78
1424,5.19,-4.33,-1.17
1428,5.38,-3.94,-1.37
1433,5.51,-3.79,-1.66
1438,5.80,-3.77,-1.93
1443,6.06,-3.75,-2.09
1447,6.34,-3.77,-1.96
1452,6.60,-3.57,-2.36
1457,6.71,-3.56,-2.56
1461,6.72,-3.23,-2.08
1466,7.27,-3.24,-1.63
1470,7.90,-3.22,-1.53
1475,8.25,-3.28,-1.19
1479,9.01,-3.21,-0.65
1484,9.36,-3.05,-0.56
1489,9.93,-2.72,-0.16
1494,10.58,-2.47,0.04
1498,11.47,-1.90,0.06
1503,12.18,-1.01,0.58
1508,12.89,-0.64,1.40
1512,13.67,0.41,1.85
1516,13.80,1.66,2.68
1521,14.00,2.97,3.67
1526,14.45,4.41,3.93
1531,14.21,6.09,5.04
1535,14.21,6.82,6.21
1540,14.45,8.10,7.07
1545,14.39,8.91,8.28
1549,14.17,9.91,9.63
1553,13.86,11.13,10.54
1558,13.72,12.54,11.41
1563,13.38,13.76,12.51
1568,12.96,14.29,14.07
1572,12.03,15.41,15.35
1577,11.30,16.37,16.95
1582,11.04,17.29,17.27
1587,10.00,17.41,17.89
1591,9.31,17.15,17.84
1595,8.84,16.69,18.39
1600,8.58,15.90,18.50
1605,8.20,15.45,18.72
1610,7.78,14.58,18.71
1614,7.58,13.47,18.84
1619,7.28,12.22,18.63
1624,6.99,11.26,18.32
1629,6.59,10.11,18.29
