timestamp,accX,accY,accZ
0,6.44,-0.12,9.28
90,1.27,-0.15,9.43
94,1.39,-0.22,9.12
99,1.32,-0.13,9.40
104,1.20,-0.28,9.11
109,1.23,-0.34,9.08
113,1.03,-0.44,9.00
118,1.09,-0.55,8.92
123,1.16,-0.60,8.93
127,1.08,-0.49,8.86
131,1.06,-0.44,8.57
136,0.81,-0.56,8.53
141,0.85,-0.57,8.45
145,1.02,-0.67,8.15
150,0.97,-0.74,7.91
155,0.99,-0.57,8.06
159,0.91,-0.71,7.99
164,0.90,-0.85,8.08
169,0.91,-0.89,7.79
173,1.09,-0.83,7.71
177,1.04,-0.93,7.65
182,1.01,-0.87,7.86
187,1.14,-0.81,8.17
191,1.24,-0.95,8.28
196,1.39,-1.10,8.14
201,1.34,-1.05,8.09
206,1.31,-1.04,8.58
210,1.26,-1.08,8.46
214,1.30,-1.13,8.68
219,1.57,-1.17,8.52
224,1.48,-1.19,8.95
228,1.59,-1.29,9.07
233,1.62,-1.28,9.03
238,1.86,-1.08,9.07
243,1.78,-0.99,9.18
247,1.95,-0.86,9.32
252,1.93,-0.79,9.82
256,1.99,-0.83,10.03
261,2.13,-0.60,10.14
265,2.03,-0.50,10.17
270,2.15,-0.35,10.17
275,2.08,-0.28,10.19
280,1.99,-0.07,10.26
284,2.13,-0.03,10.76
289,1.93,-0.05,10.36
294,2.14,0.11,10.64
298,2.16,0.18,10.43
302,2.19,0.19,10.75
307,2.48,0.24,10.37
312,2.39,0.14,10.44
317,2.89,-0.05,10.08
321,3.15,-0.09,10.13
326,3.63,-0.07,9.93
331,3.79,-0.09,9.39
335,4.20,0.20,9.15
339,4.61,0.73,9.01
344,5.12,1.61,8.65
349,5.29,1.95,8.43
353,5.59,3.00,8.08
358,5.86,3.92,8.12
363,5.78,4.75,7.79
368,5.91,5.56,7.81
372,5.96,6.22,7.80
377,6.68,6.67,8.26
381,7.19,6.97,8.61
386,7.48,7.55,9.26
390,7.52,7.92,9.99
395,7.77,8.58,11.65
400,8.29,9.35,12.14
404,8.53,9.98,13.77
409,9.07,11.09,16.33
414,9.39,11.58,18.02
419,9.34,13.01,19.17
423,9.48,14.77,19.46
427,9.66,17.09,19.52
432,9.68,18.78,19.54
437,10.02,19.36,19.54
442,9.93,19.50,19.54
446,9.92,19.52,19.54
451,11.17,19.54,19.54
456,12.16,19.54,19.54
460,12.32,19.54,19.54
465,12.75,19.54,19.54
469,13.42,19.52,19.54
474,14.11,17.60,19.54
479,14.69,14.95,19.54
484,15.23,13.71,19.54
489,15.64,11.34,19.54
493,15.84,9.22,19.54
498,15.83,7.31,19.54
502,15.82,5.63,19.54
507,15.54,3.75,19.54
511,15.15,2.11,19.54
516,14.91,0.77,19.54
521,14.34,0.22,19.54
526,13.75,-0.74,19.54
530,13.48,-1.26,19.54
535,13.09,-1.59,19.54
540,12.40,-2.05,19.54
544,12.03,-2.37,19.54
549,11.59,-2.63,19.52
553,11.08,-1.75,19.50
558,10.74,-0.70,19.18
