timestamp,accX,accY,accZ
0,3.73,-0.17,8.20
90,3.83,-0.28,8.01
94,4.16,-0.18,7.81
99,4.42,-0.19,7.82
104,4.64,-0.06,7.77
108,4.75,0.15,7.76
113,4.99,0.34,7.87
118,5.22,0.77,7.83
123,5.66,1.06,8.17
127,5.85,1.21,8.87
131,6.28,1.40,9.53
136,6.36,1.75,9.81
141,6.70,2.41,10.09
145,7.14,3.10,10.93
150,7.76,4.37,11.80
155,8.06,5.83,12.98
160,8.32,6.51,14.64
164,8.50,8.15,16.13
169,8.54,9.28,17.87
173,8.58,10.31,19.11
178,8.56,11.41,19.44
183,8.64,12.41,19.49
187,8.29,13.41,19.53
192,8.31,14.35,19.54
197,8.46,14.73,19.54
201,8.50,15.12,19.54
206,8.67,15.02,19.54
210,9.02,14.67,19.54
215,9.23,13.63,19.54
220,9.76,12.40,19.54
224,10.13,10.80,19.54
229,10.57,9.97,19.54
234,11.04,8.23,19.54
239,11.41,6.60,19.54
243,11.50,5.24,19.54
248,11.73,4.24,19.54
252,11.66,3.90,19.54
257,11.54,3.67,19.54
262,11.42,3.16,19.54
266,10.95,3.09,19.54
271,10.72,2.94,19.54
276,10.84,2.60,19.54
281,10.74,2.34,19.54
285,10.38,2.04,19.54
290,10.62,1.59,19.54
294,10.61,1.12,19.54
299,10.78,0.84,19.53
303,11.25,0.23,19.54
308,11.07,-0.48,19.45
313,11.04,-1.32,19.12
318,11.26,-2.15,18.51
322,11.56,-3.09,18.30
327,11.72,-4.01,16.81
332,11.77,-3.99,15.73
336,11.93,-3.86,14.62
340,11.69,-4.44,12.28
345,11.88,-5.53,9.56
350,11.81,-7.27,7.64
355,11.24,-7.85,6.73
359,10.35,-8.76,4.97
364,9.35,-9.56,3.39
369,8.31,-9.63,2.59
374,7.26,-8.50,2.48
377,6.72,-8.09,1.40
382,5.65,-8.03,0.68
387,5.69,-7.85,0.79
392,4.50,-7.30,0.61
396,3.61,-6.51,1.32
401,2.65,-6.24,2.05
406,2.25,-5.49,2.12
411,2.13,-4.59,2.52
415,2.16,-3.38,2.41
419,1.71,-2.70,2.23
424,1.81,-1.99,1.21
429,1.73,-1.19,0.36
433,1.68,-0.82,-0.91
438,1.25,-0.23,-1.53
443,1.12,0.14,-2.07
448,0.86,0.59,-2.62
452,0.58,0.52,-3.03
457,0.21,0.10,-3.62
461,0.03,-0.19,-3.95
465,-0.16,-0.44,-4.31
470,-0.57,-0.83,-4.30
475,-1.06,-0.84,-4.22
479,-1.33,-1.12,-4.28
484,-1.58,-1.32,-4.65
489,-1.89,-1.49,-4.73
494,-2.08,-1.86,-4.90
498,-2.14,-2.30,-5.31
502,-2.43,-2.44,-5.58
507,-2.40,-2.29,-5.65
511,-2.70,-1.91,-5.28
516,-2.91,-1.68,-5.07
521,-3.60,-1.40,-5.01
526,-2.64,-0.79,-5.12
530,-2.68,-0.06,-4.85
535,-3.44,0.87,-4.57
540,-3.76,1.70,-4.42
544,-3.45,2.38,-4.78
548,-3.61,3.07,-4.58
553,-3.53,3.59,-4.43
558,-3.49,4.06,-4.23
563,-3.47,4.81,-4.07
567,-3.30,5.57,-3.70
572,-3.36,6.10,-3.24
577,-3.43,6.21,-2.86
581,-3.08,6.24,-2.62
585,-3.06,6.56,-1.79
590,-2.90,6.49,-1.61
595,-2.89,6.55,-1.53
599,-2.80,6.42,-1.43
604,-2.30,6.14,-1.33
609,-2.45,5.93,-1.35
614,-1.87,5.67,-1.80
618,-1.58,5.37,-2.26
623,-1.55,5.06,-2.70
627,-1.37,4.76,-2.74
631,-1.11,4.26,-3.09
636,-0.82,3.83,-3.41
641,-0.57,3.28,-3.87
646,-0.51,3.00,-4.14
650,-0.30,2.30,-4.44
655,-0.22,1.78,-4.45
660,0.27,1.08,-4.86
664,0.36,0.62,-5.22
669,0.71,0.39,-5.35
673,0.97,0.16,-5.42
677,1.44,-0.34,-5.48
682,1.48,-0.48,-5.49
687,1.80,-0.54,-5.06
692,1.97,-0.59,-4.82
696,2.02,-0.91,-4.13
701,2.31,-0.97,-3.37
706,2.78,-1.03,-2.35
710,2.95,-0.85,-1.69
714,3.30,-0.57,-0.94
719,3.38,-0.55,-0.59
723,3.72,-0.08,0.39
728,3.84,0.38,1.32
733,4.11,0.67,2.41
738,4.44,0.92,3.17
742,4.36,0.85,3.32
747,3.95,0.59,4.62
752,3.85,0.25,5.00
756,3.51,-0.34,6.35
760,3.16,-0.76,7.03
765,3.06,-1.56,8.01
770,2.93,-2.31,9.22
775,2.77,-2.70,10.24
779,2.41,-3.21,10.91
784,2.16,-3.07,11.61
789,2.18,-2.62,12.66
794,2.14,-2.01,13.71
797,1.93,-2.03,15.15
802,1.26,-1.74,15.87
807,1.35,-1.02,17.28
812,1.02,-0.65,18.09
816,1.23,-0.30,18.31
821,0.84,3.27,16.74
826,1.25,1.57,18.65
831,-0.33,0.52,19.32
835,-0.80,0.25,19.49
839,-0.97,0.03,19.53
844,-0.80,-0.04,19.53
849,-0.85,-0.26,19.54
853,-0.91,-0.82,19.54
858,-0.94,-1.24,19.49
863,-1.15,-1.78,19.50
868,-0.95,-2.34,19.46
872,-1.03,-2.90,19.47
877,-1.06,-3.60,19.22
881,-1.17,-4.46,19.09
885,-1.26,-5.25,19.00
890,-1.24,-5.61,19.01
895,-1.46,-6.00,19.30
900,-1.50,-6.20,19.15
904,-1.47,-6.24,19.33
909,-1.71,-5.90,19.44
914,-1.87,-5.70,19.47
918,-2.16,-5.52,19.38
922,-2.29,-5.32,19.47
927,-2.41,-4.83,19.52
932,-2.41,-4.24,19.53
936,-2.69,-3.54,19.38
941,-2.86,-2.98,19.31
946,-2.82,-2.48,19.18
951,-2.99,-2.39,18.83
955,-2.74,-2.10,18.49
960,-2.60,-2.15,17.55
964,-2.64,-2.23,16.85
969,-2.54,-2.31,16.13
973,-2.34,-2.03,15.82
978,-2.18,-1.48,15.03
983,-2.03,-1.33,14.18
988,-1.85,-0.83,13.47
992,-1.76,-0.57,12.93
997,-1.58,-0.38,12.76
1002,-1.48,-0.34,12.25
1005,-1.55,-0.22,12.18
1010,-1.62,-0.08,12.20
1015,-1.50,-0.18,11.95
1020,-1.53,0.06,11.89
1024,-1.43,0.33,12.09
1029,-1.78,0.40,12.05
1034,-1.50,0.48,12.38
1039,-1.55,0.47,12.62
1043,-1.64,0.52,12.89
1047,-1.76,0.55,13.25
1052,-1.75,0.58,13.41
1057,-1.80,1.00,13.85
1061,-1.89,1.27,13.82
1066,-1.74,1.86,13.85
1071,-1.63,2.38,14.04
1076,-1.64,2.79,13.87
1080,-1.73,2.99,13.82
1085,-1.90,2.90,13.65
1089,-1.71,2.53,13.65
1094,-1.67,1.94,13.40
1098,-1.56,1.16,13.25
1103,-1.72,0.67,12.86
1108,-1.85,0.04,12.74
1113,-1.51,-0.15,12.63
1117,-1.48,-0.56,12.75
1122,-1.34,-1.07,12.40
1127,-1.18,-1.44,12.84
1131,-1.37,-2.04,12.90
1135,-1.47,-2.48,13.18
1140,-1.11,-3.06,13.16
1145,-1.31,-3.30,13.55
1150,-1.23,-3.67,13.94
1154,-1.29,-4.02,14.23
1159,-1.57,-4.28,14.14
1164,-1.71,-4.53,14.30
1169,-1.62,-4.81,14.76
1172,-1.68,-4.96,15.13
1177,-1.79,-5.04,15.39
1182,-1.72,-5.32,15.75
1186,-1.80,-5.32,15.87
1191,-1.97,-5.51,15.63
1196,-1.84,-5.59,15.61
1201,-1.91,-5.43,15.77
1205,-1.94,-5.50,15.35
1210,-2.14,-5.54,15.34
1214,-1.95,-5.60,15.18
1219,-1.93,-5.68,14.93
1223,-2.09,-5.70,14.54
1228,-1.48,-5.21,15.89
1233,-1.75,-5.80,15.51
1238,-1.78,-5.46,14.34
1242,-2.22,-5.37,14.61
1247,-2.42,-5.55,14.60
1252,-2.36,-5.75,14.28
1255,-2.09,-5.94,14.34
1260,-1.99,-6.28,14.23
1265,-1.41,-6.71,13.73
1270,-1.36,-6.92,13.55
1274,-1.58,-7.31,12.82
1279,-1.48,-7.70,12.38
1284,-1.32,-7.98,12.00
1289,-1.58,-8.24,10.24
1294,-1.52,-8.20,10.59
1297,-1.10,-8.10,10.38
1302,-0.43,-7.99,10.03
1307,0.32,-7.98,9.83
1311,1.42,-7.95,8.78
1316,1.63,-7.57,8.56
1321,1.99,-7.92,7.17
1326,3.01,-8.65,5.71
1330,4.08,-9.79,4.79
1335,4.35,-10.33,2.85
1339,4.20,-11.47,1.78
1343,4.20,-12.43,0.20
1348,4.10,-13.53,-1.23
1353,4.21,-14.12,-2.85
1358,4.39,-14.25,-3.20
1362,4.56,-12.68,-3.97
1367,4.62,-12.94,-4.86
1372,5.40,-12.93,-5.02
1377,5.89,-12.51,-5.11
1380,6.87,-11.15,-4.35
1385,7.92,-9.32,-3.33
