timestamp,accX,accY,accZ
0,10.81,10.89,19.54
91,11.04,11.75,19.54
95,11.13,12.40,19.54
100,11.33,12.74,19.54
105,11.60,13.09,19.54
110,12.07,13.29,19.54
115,12.60,13.67,19.54
120,12.76,13.47,19.54
124,13.08,13.16,19.54
128,13.34,12.34,19.48
133,13.51,11.13,19.25
138,13.74,9.67,18.58
142,14.18,8.22,18.20
147,14.20,6.57,17.71
152,14.13,5.09,16.90
157,14.24,4.35,16.05
161,13.86,2.81,15.88
165,13.89,1.98,15.81
170,13.75,1.22,15.73
175,13.63,0.69,15.49
179,13.30,0.33,15.15
184,13.01,0.34,15.83
189,12.86,0.55,16.54
194,13.05,0.67,17.06
198,13.22,0.34,17.22
203,13.32,-0.05,17.18
207,13.23,-0.70,17.03
212,13.54,-1.26,17.04
216,14.04,-2.14,16.75
221,14.82,-0.51,16.53
226,15.45,-3.22,15.20
231,15.64,-4.87,13.98
235,15.14,-6.49,12.70
240,14.17,-7.80,11.43
245,13.64,-9.32,10.93
249,13.09,-9.54,10.14
253,12.30,-10.89,8.74
258,11.44,-11.59,7.80
263,10.67,-12.35,7.03
268,10.05,-12.40,6.11
273,9.25,-11.55,5.23
277,8.47,-10.48,4.63
282,7.67,-7.86,4.21
287,7.44,-5.23,3.73
290,6.86,-4.01,2.82
295,6.28,-2.39,0.69
300,6.12,-3.18,-1.10
305,5.44,-3.17,-2.71
309,5.66,-2.72,-3.59
314,4.70,-1.83,-3.63
319,3.82,-2.07,-4.28
324,3.38,-2.23,-4.49
328,2.74,-1.92,-4.83
332,2.58,-1.61,-4.85
337,2.22,-1.83,-5.29
342,1.72,-1.79,-5.53
346,1.26,-2.27,-5.66
351,0.68,-2.37,-6.02
356,0.42,-2.12,-5.97
361,-0.04,-2.31,-5.74
365,-0.27,-3.01,-5.98
370,-0.64,-3.42,-5.59
374,-1.20,-4.17,-5.93
378,-1.72,-4.36,-5.89
383,-2.32,-4.42,-5.32
388,-2.58,-4.49,-5.37
393,-2.94,-4.58,-5.13
397,-3.04,-4.68,-4.42
402,-3.27,-4.61,-4.15
407,-3.89,-4.37,-4.00
411,-4.21,-4.17,-3.48
415,-4.24,-4.05,-3.56
420,-4.31,-3.42,-3.12
425,-4.38,-2.91,-2.80
429,-4.53,-2.49,-2.31
434,-4.69,-2.15,-2.37
439,-4.87,-1.69,-1.83
444,-5.07,-1.12,-1.38
448,-4.90,-0.84,-1.01
453,-4.88,-0.47,-0.86
457,-4.88,-0.06,-0.12
462,-4.67,0.31,0.17
466,-4.81,0.90,0.17
471,-4.88,1.38,0.27
476,-4.79,1.89,0.05
481,-4.56,2.15,0.15
485,-4.71,2.52,0.00
490,-4.69,2.74,0.02
495,-4.42,2.96,-0.27
499,-4.24,3.08,-0.26
503,-4.08,3.27,-0.02
508,-3.66,3.55,0.09
513,-3.45,3.93,0.14
517,-3.21,4.37,-0.01
522,-3.04,4.62,0.07
527,-2.86,4.91,-0.07
532,-2.83,4.94,0.03
536,-2.78,5.09,-0.25
540,-2.50,5.13,-0.76
545,-2.36,5.11,-0.93
550,-2.13,4.92,-0.84
554,-1.74,4.79,-1.30
559,-1.48,4.68,-1.69
564,-1.17,4.87,-1.78
569,-1.21,4.83,-1.69
573,-1.11,4.86,-1.93
578,-0.94,5.03,-2.18
582,-0.83,5.05,-2.56
586,-0.55,5.19,-2.57
591,-0.18,5.37,-2.52
596,-0.11,5.30,-2.62
601,0.08,5.12,-2.97
605,0.35,5.18,-3.12
610,0.82,5.24,-3.56
615,1.46,5.50,-3.20
619,1.50,5.47,-2.74
624,1.33,5.23,-2.34
628,1.13,5.44,-1.94
633,1.04,5.20,-1.80
637,1.03,5.05,-1.51
642,1.48,4.78,-1.15
647,1.57,4.50,-0.72
652,1.84,4.04,0.06
656,2.10,3.46,0.57
661,2.40,3.05,1.48
665,2.77,3.02,2.42
669,3.23,2.91,3.24
674,3.45,2.86,3.89
679,3.39,2.74,4.76
684,3.41,2.72,5.61
688,3.40,2.42,6.19
693,3.44,2.15,6.67
698,3.32,2.04,7.93
703,3.09,1.45,8.81
707,3.07,0.39,10.05
711,3.16,-0.40,10.34
716,3.15,-1.68,10.58
721,3.41,-2.59,11.70
725,3.48,-3.20,12.32
730,3.35,-3.67,12.65
735,3.04,-4.44,13.62
740,2.82,-5.31,14.77
744,2.97,-5.97,15.05
749,2.89,-6.93,15.63
753,2.75,-7.74,15.70
758,2.25,-8.70,16.30
762,2.16,-9.20,16.56
767,1.94,-10.33,16.81
772,1.71,-11.21,16.72
777,1.59,-11.90,16.26
781,1.47,-12.55,15.96
786,1.30,-12.87,15.56
790,1.09,-13.32,14.71
795,0.78,-13.30,14.39
799,0.40,-13.44,13.95
804,0.15,-13.49,13.25
809,-0.05,-13.81,12.89
814,0.02,-14.27,12.70
818,0.02,-14.99,12.53
823,-0.31,-14.94,12.25
828,-0.65,-14.98,12.72
832,-0.93,-15.13,13.08
836,-1.00,-16.05,13.63
841,-1.02,-16.52,13.96
846,-1.15,-16.29,14.41
851,-1.64,-16.01,14.74
855,-2.03,-15.63,15.02
860,-2.30,-15.34,15.22
865,-2.24,-15.15,15.42
870,-2.33,-14.78,15.23
874,-2.07,-14.10,15.11
878,-2.13,-13.75,15.26
883,-2.16,-13.29,15.29
888,-2.27,-12.70,14.93
893,-2.26,-12.18,14.65
897,-2.55,-11.95,14.19
902,-2.48,-11.61,14.10
907,-2.58,-11.49,13.66
912,-2.79,-11.12,13.81
915,-2.69,-11.12,13.45
920,-2.85,-11.24,13.31
925,-2.81,-11.51,12.98
930,-2.74,-11.32,12.79
935,-2.88,-11.29,12.97
939,-2.88,-11.01,13.32
944,-2.96,-10.65,13.29
949,-2.92,-10.39,13.37
954,-2.99,-10.13,13.60
957,-3.09,-9.94,13.49
962,-2.94,-9.56,13.56
967,-2.86,-9.23,13.54
972,-2.69,-9.20,13.60
976,-2.35,-8.88,13.49
981,-2.41,-8.40,13.91
986,-2.33,-7.93,14.13
991,-2.29,-7.72,14.08
995,-2.49,-7.64,14.14
999,-2.42,-7.55,14.54
1004,-2.58,-7.64,14.56
1009,-2.46,-7.72,14.51
1013,-2.13,-7.59,14.65
1018,-2.12,-7.50,14.85
1023,-2.30,-7.59,14.77
1028,-2.10,-7.85,14.49
1032,-2.03,-8.21,14.00
1037,-1.66,-8.38,13.70
1041,-1.49,-8.61,13.58
1046,-1.41,-8.64,12.98
1051,-1.32,-8.99,12.80
1055,-1.48,-9.63,12.49
1060,-1.39,-10.15,12.37
1065,-1.35,-10.80,11.95
1070,-1.40,-11.53,11.72
1074,-1.21,-11.76,11.87
1079,-1.45,-12.36,11.78
1083,-1.12,-12.65,11.91
1088,-0.96,-13.01,11.67
1092,-1.20,-13.41,11.75
1097,-1.28,-13.37,11.72
1102,-1.11,-13.57,11.56
1107,-1.30,-13.63,11.56
1112,-1.31,-13.59,11.32
1116,-1.08,-13.77,11.53
1121,-0.97,-13.84,11.73
1125,-0.71,-14.00,11.05
1130,-0.85,-14.23,10.97
1134,-0.86,-14.63,10.68
1139,-0.93,-14.71,10.31
1144,-0.94,-15.00,9.91
1149,-0.75,-15.10,9.10
1153,-0.76,-15.15,8.76
1158,-0.55,-14.97,8.46
1163,-0.27,-14.82,8.32
1167,0.02,-14.63,7.92
1171,0.37,-14.48,7.35
1176,0.36,-14.29,6.98
1181,0.39,-14.18,6.36
1186,0.40,-14.38,5.61
1190,0.67,-14.06,5.32
1195,0.96,-14.03,4.84
1200,1.06,-13.89,4.72
1205,1.31,-13.84,3.98
1208,1.61,-13.65,3.56
1213,1.87,-13.70,2.75
1218,2.15,-13.69,1.70
1223,2.27,-13.87,0.52
1227,2.47,-14.16,-0.07
1232,2.48,-14.48,-1.26
1237,2.76,-14.70,-2.00
1242,3.48,-15.00,-3.22
1246,3.65,-15.63,-3.63
1250,3.88,-15.07,-3.79
1255,4.53,-14.35,-3.85
1260,5.25,-14.51,-4.11
1264,5.96,-13.16,-3.82
1269,6.59,-12.81,-3.84
1274,7.71,-12.10,-3.24
1279,9.14,-10.91,-2.73
1283,9.88,-10.74,-2.93
1288,10.15,-10.04,-3.01
1292,10.74,-9.50,-2.99
1297,11.28,-9.08,-3.29
1301,12.09,-8.40,-3.39
1306,12.63,-7.89,-3.67
1311,13.56,-7.29,-3.59
1316,14.54,-6.64,-3.55
1320,14.91,-6.04,-3.16
1325,15.66,-5.36,-2.85
1330,16.34,-4.67,-2.46
1334,16.93,-4.00,-1.70
1338,18.24,-3.53,-0.60
1343,18.97,-2.88,0.62
1348,19.25,-2.35,1.46
1353,19.31,-1.85,2.13
1357,19.37,-1.25,2.39
1362,19.49,-0.15,2.45
1367,19.53,2.09,2.46
1372,19.37,2.85,3.89
1375,19.29,6.04,3.29
1380,19.55,9.64,2.94
1385,19.47,13.32,3.78
1390,18.24,16.03,4.44
1394,17.37,18.17,5.42
1399,16.47,19.17,6.26
1404,15.22,19.34,7.95
1409,15.42,19.49,9.25
1414,15.24,19.53,11.11
1417,14.52,19.54,12.86
1422,13.08,19.54,14.03
1427,11.18,19.54,14.42
1432,10.12,19.27,15.56
1436,9.15,17.87,15.90
1441,8.47,17.10,16.49
1446,8.05,15.60,17.30
1451,7.82,14.23,17.69
1455,7.41,13.03,18.18
1459,7.03,12.18,18.04
1464,6.73,11.38,18.13
1469,6.31,10.66,17.82
1473,5.80,10.43,17.44
1478,5.52,9.93,16.88
1483,5.53,9.58,16.23
1488,5.60,9.44,15.82
1492,5.51,9.26,15.39
1497,5.27,8.76,14.98
1501,5.53,8.66,14.45
1505,5.35,8.53,13.56
1510,5.25,8.37,12.83
1515,5.35,8.69,11.95
1520,5.17,7.25,11.20
1524,5.15,7.09,10.94
1529,5.15,7.00,11.08
1534,5.15,6.74,11.03
1539,5.27,6.20,10.82
1542,4.90,6.16,10.91
1547,4.96,6.32,11.09
1552,4.78,5.35,10.97
1556,4.21,4.46,11.04
1561,4.10,3.74,11.37
1566,3.94,3.39,11.54
1571,3.89,2.85,11.68
1575,3.69,2.63,11.80
1580,3.55,2.43,11.72
1584,3.39,2.29,12.03
1589,3.27,2.44,12.10
1593,3.43,2.41,12.27
1598,3.27,2.49,11.75
1603,3.26,2.25,11.31
1608,3.22,2.39,10.79
1612,3.33,2.39,10.65
1617,3.20,2.30,10.13
1622,3.28,2.32,9.72
1625,3.48,2.25,9.37
1630,3.41,2.20,9.20
