timestamp,accX,accY,accZ
0,8.10,2.57,14.77
90,8.47,2.82,15.78
94,8.65,3.25,17.07
99,8.91,3.79,18.09
104,8.89,4.52,18.76
109,9.09,5.45,19.10
113,9.24,6.45,19.44
118,9.39,7.00,19.52
123,9.31,7.85,19.54
127,8.94,8.42,19.54
131,9.11,9.05,19.54
136,9.19,9.49,19.54
141,9.24,9.94,19.54
146,9.37,10.17,19.54
150,9.55,10.31,19.54
155,9.66,10.27,19.54
160,10.09,9.67,19.54
165,10.24,8.77,19.54
168,10.40,7.38,19.54
173,10.78,5.79,19.54
178,10.96,3.97,19.54
183,11.35,2.11,19.54
187,11.52,0.87,19.39
192,11.41,-1.24,19.18
197,11.26,-3.41,18.22
202,11.11,-4.91,17.55
207,10.97,-6.37,17.34
210,10.70,-7.51,17.38
215,10.11,-8.27,17.23
220,9.51,-8.65,16.77
225,9.37,-9.10,17.23
229,8.57,-9.62,17.58
234,8.06,-9.25,17.84
239,8.37,-8.73,17.49
244,8.36,-7.02,17.63
248,8.60,-7.50,15.83
252,8.64,-8.80,13.56
257,8.68,-11.63,10.99
262,8.20,-15.47,9.65
266,7.56,-15.94,10.29
271,6.11,-14.29,10.59
276,5.58,-12.77,10.48
281,5.61,-11.60,8.92
285,5.58,-11.88,6.98
290,5.23,-11.60,5.95
294,5.17,-10.95,5.21
299,4.87,-8.63,5.35
303,4.17,-7.84,4.94
308,3.61,-5.42,5.24
313,3.55,-2.13,5.61
318,3.66,0.29,5.39
322,3.95,0.62,3.83
327,4.01,0.70,2.14
332,4.12,0.34,-0.11
336,3.51,-0.37,-1.73
341,3.16,-0.20,-2.54
345,2.89,-0.34,-3.32
350,2.20,-0.28,-4.16
355,1.64,-0.25,-4.57
360,1.02,-0.19,-4.56
364,0.95,0.31,-4.82
369,0.75,1.56,-4.99
374,0.55,2.15,-5.69
377,0.18,2.23,-5.62
382,-0.22,1.67,-6.27
387,-0.59,1.43,-6.20
392,-1.06,1.42,-6.12
396,-1.32,1.14,-5.52
401,-1.78,0.82,-4.89
406,-1.86,0.65,-4.75
411,-1.93,0.63,-4.22
415,-2.39,0.67,-3.24
419,-2.76,0.61,-3.25
424,-2.79,0.58,-2.83
428,-2.95,0.47,-2.64
433,-3.33,0.34,-2.31
438,-3.41,0.43,-1.91
443,-3.43,0.69,-1.56
447,-3.31,0.98,-1.26
452,-3.36,1.38,-1.02
457,-3.61,1.79,-0.93
461,-3.84,1.84,0.11
465,-4.08,1.71,0.16
470,-4.12,2.04,0.60
475,-4.19,2.23,1.21
479,-4.33,2.14,1.54
484,-4.53,2.13,1.90
489,-4.30,2.07,1.88
493,-4.39,2.17,2.24
498,-4.59,2.32,2.51
502,-4.69,2.35,2.90
507,-4.67,2.33,2.87
511,-4.75,2.36,2.35
516,-4.83,2.37,2.47
521,-4.74,2.52,2.30
525,-4.72,2.70,1.25
530,-4.94,3.10,1.25
535,-4.93,3.27,1.31
540,-4.87,3.49,0.97
544,-4.81,3.74,0.75
548,-4.88,3.98,0.62
553,-4.57,4.23,0.35
558,-4.72,4.27,0.24
563,-4.66,4.03,0.25
567,-4.19,4.16,-0.01
572,-3.85,4.31,-0.34
577,-3.84,4.52,-0.73
581,-3.53,4.73,-1.04
585,-3.36,4.77,-1.56
590,-3.20,5.04,-1.59
594,-3.05,5.22,-1.92
599,-2.94,5.34,-2.01
604,-2.68,5.47,-2.12
609,-2.72,5.37,-2.34
613,-2.43,5.28,-2.80
618,-2.17,5.24,-3.28
623,-1.71,5.16,-3.23
627,-1.40,5.05,-3.53
631,-1.18,4.98,-3.50
636,-0.99,4.70,-3.06
641,-1.04,4.53,-2.78
645,-0.60,4.24,-2.92
650,-0.30,3.92,-3.23
655,-0.22,3.57,-2.92
660,0.07,3.29,-3.07
664,0.17,2.86,-3.14
668,0.55,2.46,-3.27
673,0.82,2.30,-3.17
678,0.87,2.32,-2.75
682,1.40,2.15,-2.41
687,1.74,1.93,-2.29
692,2.11,2.04,-2.02
697,2.64,2.32,-1.15
701,2.87,2.37,-0.42
706,3.03,2.59,-0.21
710,3.20,3.21,0.77
715,3.56,3.60,1.02
719,4.18,3.57,1.59
724,4.41,3.46,2.18
729,4.52,3.62,2.83
733,4.31,3.72,4.24
738,4.33,3.57,5.25
743,4.12,2.49,7.41
748,2.92,1.94,8.25
751,3.00,1.52,9.61
756,2.92,0.79,11.18
761,3.08,0.34,13.09
766,3.16,0.08,13.92
770,3.05,-0.24,14.25
775,2.61,0.14,15.03
780,2.52,-0.71,14.52
784,2.35,-0.25,15.32
789,2.53,0.02,14.67
793,2.10,-0.25,15.18
798,2.13,-0.80,14.20
802,2.12,-1.46,14.12
807,1.84,-2.90,13.50
812,2.05,-3.76,11.23
817,2.71,-4.13,9.17
821,2.99,-4.58,7.06
826,3.51,-4.70,4.89
831,3.78,-4.46,3.84
835,3.93,-4.14,3.76
839,4.44,-3.52,4.60
844,5.33,-3.54,7.10
849,7.12,-3.40,10.53
853,8.84,-3.34,12.85
858,9.49,-3.23,15.24
863,9.77,-3.39,16.84
867,9.89,-3.53,17.41
872,9.86,-3.59,18.85
876,9.69,-3.71,19.30
881,8.92,-4.19,19.29
885,8.18,-4.52,19.35
890,8.11,-5.09,19.38
895,7.54,-6.10,19.39
900,7.44,-6.88,19.37
904,7.13,-7.38,19.35
909,6.94,-7.89,19.43
914,6.70,-8.15,19.51
918,6.57,-8.67,19.46
922,6.29,-9.69,19.49
927,6.07,-10.62,19.52
932,5.75,-10.39,19.53
937,5.59,-11.00,19.54
941,5.36,-10.61,19.54
946,5.24,-10.36,19.54
951,4.91,-9.47,19.54
956,4.77,-8.16,19.54
960,4.80,-7.08,19.54
964,4.92,-6.44,19.54
969,4.80,-5.92,19.54
974,4.92,-5.74,19.54
979,4.57,-5.79,19.54
983,4.89,-5.90,19.54
988,4.97,-5.90,19.54
993,4.86,-5.80,19.53
998,4.57,-5.74,19.49
1001,4.50,-5.87,19.44
1006,4.16,-6.24,19.27
1011,4.28,-6.24,18.80
1015,4.30,-6.42,18.17
1020,4.18,-6.41,17.41
1025,4.34,-6.26,16.69
1030,4.25,-5.98,16.04
1035,4.27,-5.71,15.67
1039,4.41,-5.42,15.37
1043,4.44,-5.38,14.51
1048,4.32,-5.14,13.88
1053,4.44,-4.86,13.58
1057,4.45,-4.80,13.23
1062,4.32,-4.90,12.94
1067,4.10,-4.93,12.63
1071,3.93,-5.29,12.47
1076,3.62,-5.39,12.64
1081,3.66,-5.66,12.91
1085,3.63,-5.77,12.76
1089,3.71,-5.81,13.52
1094,3.82,-5.91,13.69
1099,3.51,-6.14,13.69
1104,3.44,-6.25,14.13
1108,3.47,-6.04,14.40
1113,3.27,-6.02,14.53
1118,3.38,-5.90,14.68
1123,3.24,-5.77,14.81
1126,3.30,-5.58,14.92
1131,3.58,-5.50,14.96
1136,3.56,-5.40,15.02
1141,3.74,-5.41,15.02
1146,3.84,-5.45,14.60
1150,3.80,-5.83,14.74
1155,3.95,-6.02,14.35
1160,3.81,-6.71,13.71
1164,3.97,-7.23,13.59
1168,3.64,-7.69,13.38
1173,3.83,-8.07,12.95
1178,3.30,-8.35,12.88
1183,3.43,-8.74,12.48
1187,3.31,-9.16,12.39
1192,3.26,-9.24,12.39
1197,3.24,-9.36,12.49
1201,3.32,-9.17,12.61
