timestamp,accX,accY,accZ
0,5.85,-3.46,8.05
91,5.95,-3.60,8.18
95,6.02,-3.63,8.36
100,6.55,-3.55,8.41
105,6.90,-3.31,8.89
110,7.07,-2.94,8.90
114,7.22,-2.90,9.02
119,7.50,-2.62,9.52
123,7.64,-2.49,9.70
128,8.24,-2.29,10.30
132,8.40,-2.24,10.40
137,8.76,-1.98,11.37
142,9.01,-1.82,12.11
147,9.45,-1.44,13.09
151,9.67,-0.91,14.48
156,9.89,-0.38,15.77
161,9.95,0.13,17.05
165,10.22,0.62,17.73
169,10.54,0.75,18.80
174,10.57,0.84,19.31
179,10.45,1.16,19.48
184,10.53,1.53,19.53
188,10.62,2.19,19.54
193,10.79,3.09,19.54
198,11.18,3.90,19.54
203,10.96,4.55,19.54
206,10.97,4.88,19.54
211,11.32,4.89,19.54
216,11.25,4.72,19.54
220,11.44,4.77,19.54
225,11.64,4.38,19.54
230,11.88,3.98,19.54
235,12.27,3.62,19.54
240,12.63,3.34,19.54
244,12.92,3.30,19.54
248,13.09,3.05,19.54
253,13.46,2.70,19.53
258,13.50,2.19,19.51
262,13.84,1.56,19.51
267,14.12,0.88,19.47
272,14.53,-0.08,19.01
277,14.95,-0.88,18.88
281,15.32,-1.35,18.36
286,15.52,-2.03,17.96
290,15.52,-2.83,17.23
295,15.58,-3.67,16.61
299,15.67,-4.43,16.47
304,15.57,-5.36,15.69
309,15.37,-5.33,15.65
314,15.56,-5.03,15.46
319,16.01,-3.15,14.40
323,16.39,-1.71,11.36
328,16.36,-2.63,7.92
332,16.63,-6.44,5.09
337,17.10,-8.31,4.59
341,14.79,-8.67,4.79
346,13.35,-7.95,5.65
351,12.51,-7.39,4.26
356,11.70,-7.92,1.43
360,10.83,-9.32,-1.73
365,9.65,-11.07,-3.97
370,9.14,-10.31,-4.14
374,6.36,-11.27,-4.89
378,5.04,-9.76,-3.82
383,3.99,-8.50,-1.70
388,3.54,-6.34,-0.08
393,3.56,-4.34,1.38
397,3.32,-2.02,1.49
402,2.79,-0.76,1.14
407,2.39,-0.55,0.80
411,1.92,-0.66,0.21
415,1.82,-0.75,-0.39
420,1.48,-0.58,-0.10
425,1.38,-0.42,0.05
429,1.02,-0.22,0.11
434,0.56,-0.23,0.08
439,0.09,-0.28,-0.07
443,-0.14,-0.38,-0.06
448,-0.28,-0.53,-0.47
453,-0.48,-0.46,-0.93
456,-0.65,-0.27,-1.17
461,-0.92,-0.51,-2.14
466,-1.29,-0.56,-2.78
470,-1.48,-0.95,-3.11
475,-1.64,-1.26,-3.10
480,-2.00,-1.67,-3.41
